date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	17.21	17.21	17.07	17.08	241	EUR	
19/05/2015 00:00	17.08	17.08	17.06	17.06	321	EUR	
20/05/2015 00:00	17.06	17.09	16.95	16.95	12043	EUR	
21/05/2015 00:00	16.95	16.99	16.85	16.85	11828	EUR	
22/05/2015 00:00	16.91	17	16.91	16.96	1867	EUR	
25/05/2015 00:00	16.94	16.99	16.9	16.99	700	EUR	
26/05/2015 00:00	16.99	17	16.99	16.99	552	EUR	
27/05/2015 00:00	16.99	16.99	16.95	16.95	1463	EUR	
28/05/2015 00:00	16.94	16.95	16.94	16.95	150	EUR	
29/05/2015 00:00	16.94	16.99	16.85	16.85	1581	EUR	
01/06/2015 00:00	16.95	17	16.95	17	1076	EUR	
02/06/2015 00:00	17	17.15	17	17.15	1782	EUR	
03/06/2015 00:00	17.15	17.19	17.15	17.19	1431	EUR	
04/06/2015 00:00	17.2	17.49	17.19	17.4	3779	EUR	
05/06/2015 00:00	17.4	17.7	17.4	17.41	11275	EUR	
08/06/2015 00:00	17.59	17.59	17.4	17.5	3402	EUR	
09/06/2015 00:00	17.6	17.65	17.5	17.5	9770	EUR	
10/06/2015 00:00	17.6	17.65	17.6	17.65	2021	EUR	
11/06/2015 00:00	17.65	17.69	17.6	17.64	2674	EUR	
12/06/2015 00:00	17.6	17.63	17.43	17.43	19626	EUR	
15/06/2015 00:00	17.5	17.64	17.44	17.5	13351	EUR	
16/06/2015 00:00	17.5	17.6	17.45	17.5	3641	EUR	
17/06/2015 00:00	16.36	16.36	16.19	16.3	3989	EUR	
18/06/2015 00:00	16.29	16.29	16	16.1	4000	EUR	
19/06/2015 00:00	16.1	16.1	15.77	16	4199	EUR	
22/06/2015 00:00	15.91	16.1	15.91	16.06	4924	EUR	
23/06/2015 00:00	16.06	16.06	15.8	15.9	3070	EUR	
24/06/2015 00:00	15.92	16	15.91	15.97	3626	EUR	
25/06/2015 00:00	15.97	16	15.8	15.85	1862	EUR	
26/06/2015 00:00	15.85	15.85	15.81	15.85	913	EUR	
29/06/2015 00:00	15.7	15.7	15.15	15.5	6885	EUR	
30/06/2015 00:00	15.49	15.5	15.45	15.5	11076	EUR	
01/07/2015 00:00	15.5	15.89	15.5	15.89	3703	EUR	
02/07/2015 00:00	15.61	16	15.61	16	2197	EUR	
03/07/2015 00:00	15.99	16	15.99	16	1627	EUR	
06/07/2015 00:00	15.94	16	15.9	16	1984	EUR	
07/07/2015 00:00	16	16.06	15.91	16	1871	EUR	
08/07/2015 00:00	15.99	16.1	15.95	16.1	36042	EUR	
09/07/2015 00:00	16.1	16.1	16	16.1	6251	EUR	
10/07/2015 00:00	16.1	16.91	16.1	16.66	2135	EUR	
13/07/2015 00:00	16.67	17.29	16.67	17.29	5311	EUR	
14/07/2015 00:00	17.29	17.88	17.01	17.66	14849	EUR	
15/07/2015 00:00	17.89	18.21	17.88	18.19	5215	EUR	
16/07/2015 00:00	18.18	18.18	17.95	17.95	6751	EUR	
17/07/2015 00:00	17.95	18.14	17.95	18.14	1857	EUR	
20/07/2015 00:00	18.12	18.21	18.01	18.05	1840	EUR	
21/07/2015 00:00	18.06	18.32	18.06	18.1	2267	EUR	
22/07/2015 00:00	18.03	18.29	18.03	18.2	1684	EUR	
23/07/2015 00:00	18.06	18.3	18.06	18.3	722	EUR	
24/07/2015 00:00	18.05	18.7	18.05	18.7	14135	EUR	
27/07/2015 00:00	18.1	18.7	18	18.7	1631	EUR	
28/07/2015 00:00	18.5	18.7	18.22	18.7	96	EUR	
29/07/2015 00:00	18.69	18.99	18.5	18.91	7271	EUR	
30/07/2015 00:00	18.95	18.97	18.65	18.9	1009	EUR	
31/07/2015 00:00	17.75	17.97	17.5	17.7	13530	EUR	
03/08/2015 00:00	17.45	17.5	17.45	17.5	3881	EUR	
04/08/2015 00:00	17.51	17.52	17.5	17.51	1275	EUR	
05/08/2015 00:00	17.51	17.57	17.51	17.51	1903	EUR	
06/08/2015 00:00	17.56	17.6	17.55	17.55	1514	EUR	
07/08/2015 00:00	17.55	17.6	17.55	17.56	874	EUR	
10/08/2015 00:00	17.59	17.6	17.56	17.6	1912	EUR	
11/08/2015 00:00	17.6	17.6	17.52	17.52	1153	EUR	
12/08/2015 00:00	17.53	17.65	17.53	17.54	2699	EUR	
13/08/2015 00:00	17.7	17.72	17.58	17.58	1191	EUR	
14/08/2015 00:00	17.6	17.6	17.6	17.6	1	EUR	
17/08/2015 00:00	17.62	17.62	17.61	17.61	1815	EUR	
18/08/2015 00:00	17.63	17.65	17.63	17.65	751	EUR	
19/08/2015 00:00	17.65	17.7	17.6	17.6	2912	EUR	
20/08/2015 00:00	17.6	17.6	17.6	17.6	2013	EUR	
21/08/2015 00:00	17.55	17.65	17.4	17.4	3088	EUR	
24/08/2015 00:00	17.4	17.4	16.5	16.51	5892	EUR	
25/08/2015 00:00	16.5	16.8	16.5	16.8	2385	EUR	
26/08/2015 00:00	16.79	16.85	16.79	16.85	982	EUR	
27/08/2015 00:00	16.99	17	16.7	16.7	1608	EUR	
28/08/2015 00:00	16.91	17.05	16.9	17.05	832	EUR	
31/08/2015 00:00	17.05	17.05	16.95	16.95	541	EUR	
01/09/2015 00:00	16.95	16.95	16.66	16.66	943	EUR	
02/09/2015 00:00	16.66	16.83	16.66	16.75	7320	EUR	
03/09/2015 00:00	16.75	17.1	16.75	17.1	364	EUR	
04/09/2015 00:00	17.11	17.11	17	17	514	EUR	
07/09/2015 00:00	17	17.01	17	17	1031	EUR	
08/09/2015 00:00	17.01	17.2	17.01	17.2	651	EUR	
09/09/2015 00:00	17.2	17.31	17.2	17.31	370	EUR	
10/09/2015 00:00	17.31	17.41	17.31	17.4	526	EUR	
11/09/2015 00:00	17.4	17.4	17.4	17.4	431	EUR	
14/09/2015 00:00	17.3	17.5	17.3	17.5	543	EUR	
15/09/2015 00:00	17.35	17.35	17.3	17.3	689	EUR	
16/09/2015 00:00	17.29	17.3	17.29	17.3	321	EUR	
17/09/2015 00:00	17.3	17.49	17.3	17.3	25767	EUR	
18/09/2015 00:00	17.31	17.5	17.31	17.5	483	EUR	
21/09/2015 00:00	17.49	17.6	17.49	17.5	254	EUR	
22/09/2015 00:00	17.5	17.6	17.46	17.6	656	EUR	
23/09/2015 00:00	17.61	17.64	17.6	17.64	369	EUR	
24/09/2015 00:00	17.6	17.6	17.5	17.5	1101	EUR	
25/09/2015 00:00	17.51	17.51	17.35	17.4	1276	EUR	
28/09/2015 00:00	17.4	17.4	17.21	17.21	703	EUR	
29/09/2015 00:00	17.21	17.21	16.9	17	2947	EUR	
30/09/2015 00:00	17	17	16.75	16.75	182	EUR	
01/10/2015 00:00	16.48	16.48	13.6	13.89	16459	EUR	
02/10/2015 00:00	13.65	13.84	12.51	12.55	5120	EUR	
05/10/2015 00:00	13.18	13.18	12.55	12.55	1575	EUR	
06/10/2015 00:00	12.56	12.56	12.15	12.17	1708	EUR	
07/10/2015 00:00	12.15	12.17	11.8	12.14	5774	EUR	
08/10/2015 00:00	12.13	12.13	11.97	12.1	1530	EUR	
09/10/2015 00:00	12.15	12.49	11.99	11.99	10169	EUR	
12/10/2015 00:00	11.91	11.99	11.6	11.61	9329	EUR	
13/10/2015 00:00	11.6	11.6	11	11.2	10890	EUR	
14/10/2015 00:00	11.2	11.2	11	11.01	2181	EUR	
15/10/2015 00:00	11.05	11.2	11.01	11.01	3383	EUR	
16/10/2015 00:00	11.1	11.24	11	11.24	4809	EUR	
19/10/2015 00:00	11.3	12.07	11.3	11.61	4431	EUR	
20/10/2015 00:00	11.61	11.78	11.6	11.61	1061	EUR	
21/10/2015 00:00	11.61	11.7	11.61	11.7	577	EUR	
22/10/2015 00:00	11.75	11.87	11.75	11.75	2146	EUR	
23/10/2015 00:00	11.75	11.89	11.61	11.62	1508	EUR	
26/10/2015 00:00	11.6	11.61	11.44	11.44	1658	EUR	
27/10/2015 00:00	11.51	11.51	11.2	11.2	1757	EUR	
28/10/2015 00:00	11.26	11.41	11.26	11.41	1152	EUR	
29/10/2015 00:00	11.7	11.7	11.69	11.69	485	EUR	
30/10/2015 00:00	11.69	11.83	11.51	11.79	483	EUR	
02/11/2015 00:00	11.59	11.78	11.36	11.78	1257	EUR	
03/11/2015 00:00	11.75	11.75	11.45	11.73	2307	EUR	
04/11/2015 00:00	11.5	11.52	11.3	11.5	1858	EUR	
05/11/2015 00:00	11.41	11.61	11.21	11.3	1712	EUR	
06/11/2015 00:00	11.29	11.48	11.16	11.48	493	EUR	
09/11/2015 00:00	11.51	12.2	11.51	12.15	6852	EUR	
10/11/2015 00:00	12.15	12.77	12.15	12.77	3298	EUR	
11/11/2015 00:00	12.77	13	12.77	12.9	1083	EUR	
12/11/2015 00:00	12.9	13.27	12.85	12.85	2762	EUR	
13/11/2015 00:00	12.86	12.9	12.52	12.52	3281	EUR	
16/11/2015 00:00	12.5	12.5	12.2	12.3	1682	EUR	
17/11/2015 00:00	12.3	12.5	12.3	12.3	587	EUR	
18/11/2015 00:00	12.27	12.27	12.02	12.02	2641	EUR	
19/11/2015 00:00	12.03	12.03	12.01	12.02	274	EUR	
20/11/2015 00:00	12.02	12.1	11.95	11.95	1057	EUR	
23/11/2015 00:00	12.09	12.2	12.02	12.2	751	EUR	
24/11/2015 00:00	12.19	12.2	12	12.19	927	EUR	
25/11/2015 00:00	12.1	12.19	12.03	12.1	322	EUR	
26/11/2015 00:00	12.19	12.19	12	12.1	1419	EUR	
27/11/2015 00:00	12.1	12.19	11.98	12.19	842	EUR	
30/11/2015 00:00	11.97	12.49	11.97	12.45	1177	EUR	
01/12/2015 00:00	12.45	12.45	12.25	12.31	119	EUR	
02/12/2015 00:00	12.31	12.44	12.3	12.3	842	EUR	
03/12/2015 00:00	12.31	12.7	12.3	12.7	3338	EUR	
04/12/2015 00:00	12.63	12.63	12.5	12.5	1137	EUR	
07/12/2015 00:00	12.5	12.7	12.5	12.7	1096	EUR	
08/12/2015 00:00	12.69	12.74	12.69	12.69	2353	EUR	
09/12/2015 00:00	12.69	12.72	12.69	12.72	126	EUR	
10/12/2015 00:00	12.72	12.72	12.7	12.7	201	EUR	
11/12/2015 00:00	12.69	12.69	12.55	12.55	480	EUR	
14/12/2015 00:00	12.55	12.55	12.15	12.15	3931	EUR	
15/12/2015 00:00	12.06	12.2	12.05	12.11	918	EUR	
16/12/2015 00:00	12.09	12.11	12.08	12.1	312	EUR	
17/12/2015 00:00	12.1	12.21	12.1	12.2	517	EUR	
18/12/2015 00:00	12.2	12.2	12.1	12.14	507	EUR	
21/12/2015 00:00	12.11	12.11	11.95	12.02	2222	EUR	
22/12/2015 00:00	12.02	12.03	11.72	11.85	2385	EUR	
23/12/2015 00:00	11.85	11.98	11.85	11.94	3391	EUR	
24/12/2015 00:00	11.94	12.07	11.94	12.07	22	EUR	
28/12/2015 00:00	12.5	12.5	12.07	12.07	4365	EUR	
29/12/2015 00:00	12.07	12.07	12.02	12.02	531	EUR	
30/12/2015 00:00	12.06	12.6	12.05	12.35	1995	EUR	
31/12/2015 00:00	12.35	12.57	12.01	12.35	1786	EUR	
04/01/2016 00:00	12.79	12.79	12.25	12.25	2661	EUR	
05/01/2016 00:00	12.27	12.39	12.2	12.23	260	EUR	
06/01/2016 00:00	12.22	12.35	12.06	12.06	1866	EUR	
07/01/2016 00:00	12.3	12.3	11.99	12.03	2310	EUR	
08/01/2016 00:00	12.03	12.1	12.01	12.1	1135	EUR	
11/01/2016 00:00	12.1	12.1	11.9	11.92	933	EUR	
12/01/2016 00:00	11.92	12.12	11.72	11.99	1029	EUR	
13/01/2016 00:00	12.01	12.01	11.9	11.9	351	EUR	
14/01/2016 00:00	11.9	12	11.56	11.8	2028	EUR	
15/01/2016 00:00	11.79	11.79	11	11.48	2125	EUR	
18/01/2016 00:00	11.5	11.5	10.65	11.38	4494	EUR	
19/01/2016 00:00	11.38	11.54	11.22	11.22	265	EUR	
20/01/2016 00:00	11.55	11.65	11.02	11.2	3484	EUR	
21/01/2016 00:00	11.2	11.21	11.06	11.2	582	EUR	
22/01/2016 00:00	11.2	11.65	10.92	11.65	4377	EUR	
25/01/2016 00:00	11.64	11.64	11.31	11.6	338	EUR	
26/01/2016 00:00	11.59	11.59	11.51	11.51	287	EUR	
27/01/2016 00:00	11.65	11.65	11.59	11.65	426	EUR	
