date	ouv	haut	bas	clot	vol	devise	
19/05/2015 00:00	1.71	1.75	1.7	1.75	1964	EUR	
20/05/2015 00:00	1.76	1.76	1.76	1.76	237	EUR	
21/05/2015 00:00	1.78	1.78	1.76	1.76	1002	EUR	
22/05/2015 00:00	1.76	1.85	1.76	1.85	50011	EUR	
25/05/2015 00:00	1.85	1.85	1.8	1.85	1354	EUR	
26/05/2015 00:00	1.77	1.82	1.76	1.78	14897	EUR	
27/05/2015 00:00	1.81	1.81	1.81	1.81	343	EUR	
28/05/2015 00:00	1.81	1.81	1.81	1.81	450	EUR	
29/05/2015 00:00	1.76	1.82	1.76	1.76	713	EUR	
01/06/2015 00:00	1.8	1.9	1.75	1.89	3919	EUR	
02/06/2015 00:00	1.89	1.89	1.79	1.85	1178	EUR	
03/06/2015 00:00	1.8	1.82	1.8	1.82	2158	EUR	
04/06/2015 00:00	1.78	1.78	1.78	1.78	97	EUR	
05/06/2015 00:00	1.85	1.85	1.78	1.78	274	EUR	
08/06/2015 00:00	1.76	1.76	1.7	1.71	1581	EUR	
09/06/2015 00:00	1.79	1.8	1.68	1.79	2417	EUR	
10/06/2015 00:00	1.73	1.77	1.69	1.69	2507	EUR	
11/06/2015 00:00	1.75	1.76	1.64	1.73	7837	EUR	
12/06/2015 00:00	1.65	1.67	1.6	1.61	32228	EUR	
15/06/2015 00:00	1.65	1.69	1.65	1.69	1818	EUR	
16/06/2015 00:00	1.68	1.72	1.61	1.72	3554	EUR	
17/06/2015 00:00	1.65	1.65	1.59	1.63	10350	EUR	
18/06/2015 00:00	1.6	1.67	1.6	1.67	19496	EUR	
19/06/2015 00:00	1.65	1.7	1.59	1.69	4355	EUR	
22/06/2015 00:00	1.7	1.78	1.6	1.62	22493	EUR	
23/06/2015 00:00	1.64	1.65	1.59	1.59	7815	EUR	
24/06/2015 00:00	1.63	1.67	1.6	1.66	19615	EUR	
25/06/2015 00:00	1.67	1.69	1.6	1.6	12005	EUR	
26/06/2015 00:00	1.58	1.69	1.57	1.69	12359	EUR	
