date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	31.614	31.614	31.614	31.614	35	EUR	
19/05/2015 00:00	31.604	31.604	31.604	31.604	1	EUR	
20/05/2015 00:00	31.614	31.614	31.614	31.614	96	EUR	
21/05/2015 00:00	31.614	31.812	31.021	31.812	121	EUR	
22/05/2015 00:00	31.614	31.614	31.614	31.614	29	EUR	
25/05/2015 00:00	31.654	31.812	31.367	31.367	1215	EUR	
26/05/2015 00:00	31.377	31.377	31.377	31.377	1	EUR	
27/05/2015 00:00	31.377	31.614	31.021	31.614	547	EUR	
28/05/2015 00:00	31.614	31.614	31.021	31.021	1013	EUR	
29/05/2015 00:00	31.021	31.021	31.021	31.021	1012	EUR	
01/06/2015 00:00	31.021	31.021	31.021	31.021	1	EUR	
02/06/2015 00:00	31.12	31.12	31.12	31.12	35	EUR	
03/06/2015 00:00	31.229	31.229	30.132	30.626	1158	EUR	
04/06/2015 00:00	30.626	30.626	30.132	30.132	763	EUR	
05/06/2015 00:00	30.429	30.429	30.429	30.429	11	EUR	
08/06/2015 00:00	30.439	30.478	30.439	30.478	77	EUR	
09/06/2015 00:00	30.478	30.527	30.478	30.527	30	EUR	
10/06/2015 00:00	30.439	31.604	30.132	30.132	2921	EUR	
11/06/2015 00:00	30.132	30.626	30.033	30.132	32	EUR	
12/06/2015 00:00	29.836	30.626	29.836	30.626	40	EUR	
15/06/2015 00:00	30.616	30.626	30.132	30.132	527	EUR	
16/06/2015 00:00	30.142	30.626	30.132	30.626	790	EUR	
17/06/2015 00:00	30.616	31.021	30.132	30.132	3464	EUR	
18/06/2015 00:00	31.021	31.021	30.033	31.021	893	EUR	
19/06/2015 00:00	31.021	31.249	31.021	31.249	416	EUR	
22/06/2015 00:00	31.249	31.249	30.132	30.132	23	EUR	
23/06/2015 00:00	31.249	31.249	31.249	31.249	132	EUR	
24/06/2015 00:00	31.249	31.249	31.249	31.249	364	EUR	
25/06/2015 00:00	31.239	31.614	31.239	31.614	364	EUR	
26/06/2015 00:00	31.614	31.614	31.12	31.12	73	EUR	
29/06/2015 00:00	31.13	31.17	31.13	31.17	21	EUR	
30/06/2015 00:00	31.17	31.17	31.17	31.17	1	EUR	
01/07/2015 00:00	31.17	31.743	30.725	31.743	67	EUR	
02/07/2015 00:00	31.733	31.733	31.565	31.614	46	EUR	
03/07/2015 00:00	31.614	31.614	31.614	31.614	26	EUR	
06/07/2015 00:00	31.614	31.614	31.614	31.614	1	EUR	
07/07/2015 00:00	31.614	31.614	30.626	30.626	653	EUR	
08/07/2015 00:00	30.636	31.219	30.636	31.219	11	EUR	
09/07/2015 00:00	31.219	31.219	31.219	31.219	1	EUR	
10/07/2015 00:00	31.219	31.219	31.219	31.219	1	EUR	
13/07/2015 00:00	30.735	31.229	30.626	31.229	99	EUR	
14/07/2015 00:00	31.219	31.239	31.219	31.239	31	EUR	
15/07/2015 00:00	31.229	31.229	31.229	31.229	1	EUR	
16/07/2015 00:00	31.229	31.239	31.229	31.239	17	EUR	
17/07/2015 00:00	31.239	31.239	31.239	31.239	1	EUR	
20/07/2015 00:00	31.239	31.239	31.12	31.12	299	EUR	
