date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	0.49	0.5	0.49	0.49	3667	EUR	
19/05/2015 00:00	0.48	0.49	0.48	0.49	3401	EUR	
20/05/2015 00:00	0.49	0.49	0.49	0.49	200	EUR	
21/05/2015 00:00	0.49	0.49	0.48	0.48	2500	EUR	
22/05/2015 00:00	0.47	0.47	0.47	0.47	9530	EUR	
25/05/2015 00:00	0.49	0.49	0.47	0.47	1135	EUR	
26/05/2015 00:00	0.48	0.48	0.46	0.48	12001	EUR	
27/05/2015 00:00	0.48	0.48	0.46	0.48	31046	EUR	
28/05/2015 00:00	0.47	0.47	0.47	0.47	1	EUR	
29/05/2015 00:00	0.47	0.47	0.45	0.47	21335	EUR	
01/06/2015 00:00	0.47	0.47	0.46	0.46	7502	EUR	
02/06/2015 00:00	0.47	0.47	0.46	0.46	7250	EUR	
03/06/2015 00:00	0.47	0.47	0.46	0.47	2850	EUR	
04/06/2015 00:00	0.47	0.47	0.46	0.46	1300	EUR	
05/06/2015 00:00	0.46	0.46	0.46	0.46	2750	EUR	
08/06/2015 00:00	0.47	0.47	0.46	0.46	121	EUR	
09/06/2015 00:00	0.46	0.46	0.46	0.46	1	EUR	
10/06/2015 00:00	0.46	0.46	0.45	0.45	5001	EUR	
11/06/2015 00:00	0.47	0.47	0.47	0.47	28689	EUR	
12/06/2015 00:00	0.47	0.47	0.45	0.46	7000	EUR	
15/06/2015 00:00	0.47	0.47	0.47	0.47	260	EUR	
16/06/2015 00:00	0.47	0.47	0.47	0.47	1520	EUR	
17/06/2015 00:00	0.47	0.48	0.46	0.46	4500	EUR	
18/06/2015 00:00	0.45	0.45	0.45	0.45	0	EUR	
22/06/2015 00:00	0.45	0.46	0.44	0.46	57220	EUR	
23/06/2015 00:00	0.44	0.46	0.43	0.43	15924	EUR	
24/06/2015 00:00	0.43	0.43	0.43	0.43	2319	EUR	
25/06/2015 00:00	0.44	0.44	0.4	0.44	44601	EUR	
26/06/2015 00:00	0.44	0.44	0.43	0.44	496	EUR	
29/06/2015 00:00	0.43	0.43	0.43	0.43	0	EUR	
01/07/2015 00:00	0.42	0.43	0.38	0.43	88361	EUR	
02/07/2015 00:00	0.4	0.43	0.39	0.43	33300	EUR	
03/07/2015 00:00	0.42	0.43	0.39	0.42	3702	EUR	
06/07/2015 00:00	0.41	0.41	0.4	0.4	300	EUR	
07/07/2015 00:00	0.41	0.43	0.4	0.42	20339	EUR	
08/07/2015 00:00	0.42	0.44	0.4	0.44	1601	EUR	
09/07/2015 00:00	0.43	0.44	0.41	0.41	336	EUR	
10/07/2015 00:00	0.41	0.44	0.4	0.41	15006	EUR	
13/07/2015 00:00	0.41	0.44	0.4	0.44	13001	EUR	
14/07/2015 00:00	0.42	0.42	0.42	0.42	1	EUR	
15/07/2015 00:00	0.42	0.44	0.42	0.43	32421	EUR	
16/07/2015 00:00	0.43	0.46	0.43	0.45	60838	EUR	
17/07/2015 00:00	0.43	0.43	0.42	0.42	18254	EUR	
20/07/2015 00:00	0.42	0.45	0.42	0.42	18701	EUR	
21/07/2015 00:00	0.43	0.44	0.43	0.44	5650	EUR	
22/07/2015 00:00	0.44	0.44	0.44	0.44	4503	EUR	
23/07/2015 00:00	0.52	0.67	0.52	0.6	1469656	EUR	
24/07/2015 00:00	0.62	0.62	0.54	0.57	239101	EUR	
27/07/2015 00:00	0.55	0.56	0.52	0.54	76572	EUR	
28/07/2015 00:00	0.54	0.55	0.5	0.52	284893	EUR	
29/07/2015 00:00	0.52	0.55	0.5	0.52	324439	EUR	
30/07/2015 00:00	0.52	0.54	0.51	0.52	43831	EUR	
31/07/2015 00:00	0.51	0.51	0.49	0.5	57778	EUR	
03/08/2015 00:00	0.5	0.52	0.49	0.52	25128	EUR	
04/08/2015 00:00	0.52	0.52	0.5	0.52	44738	EUR	
05/08/2015 00:00	0.52	0.52	0.5	0.51	19881	EUR	
06/08/2015 00:00	0.51	0.52	0.51	0.51	11251	EUR	
07/08/2015 00:00	0.51	0.52	0.5	0.51	9231	EUR	
10/08/2015 00:00	0.52	0.53	0.51	0.52	35586	EUR	
11/08/2015 00:00	0.52	0.58	0.52	0.55	747179	EUR	
12/08/2015 00:00	0.55	0.56	0.52	0.54	124776	EUR	
13/08/2015 00:00	0.54	0.54	0.52	0.54	15951	EUR	
14/08/2015 00:00	0.54	0.54	0.52	0.53	28749	EUR	
17/08/2015 00:00	0.53	0.53	0.52	0.53	28026	EUR	
18/08/2015 00:00	0.53	0.53	0.52	0.53	9011	EUR	
19/08/2015 00:00	0.53	0.53	0.49	0.5	121722	EUR	
20/08/2015 00:00	0.49	0.5	0.48	0.49	28197	EUR	
21/08/2015 00:00	0.49	0.49	0.48	0.49	4100	EUR	
24/08/2015 00:00	0.49	0.49	0.45	0.47	87789	EUR	
25/08/2015 00:00	0.45	0.47	0.45	0.47	30500	EUR	
26/08/2015 00:00	0.47	0.49	0.46	0.48	31547	EUR	
27/08/2015 00:00	0.48	0.48	0.45	0.47	20226	EUR	
28/08/2015 00:00	0.46	0.47	0.45	0.47	6865	EUR	
31/08/2015 00:00	0.47	0.47	0.47	0.47	1656	EUR	
01/09/2015 00:00	0.45	0.46	0.45	0.46	10190	EUR	
02/09/2015 00:00	0.46	0.46	0.45	0.45	3692	EUR	
03/09/2015 00:00	0.45	0.46	0.45	0.45	6541	EUR	
04/09/2015 00:00	0.45	0.45	0.45	0.45	2501	EUR	
07/09/2015 00:00	0.45	0.46	0.45	0.45	1945	EUR	
08/09/2015 00:00	0.45	0.45	0.45	0.45	3001	EUR	
09/09/2015 00:00	0.45	0.46	0.44	0.45	5001	EUR	
10/09/2015 00:00	0.45	0.49	0.45	0.46	70817	EUR	
11/09/2015 00:00	0.47	0.6	0.47	0.51	735420	EUR	
14/09/2015 00:00	0.51	0.53	0.48	0.5	136681	EUR	
15/09/2015 00:00	0.49	0.49	0.47	0.48	89195	EUR	
16/09/2015 00:00	0.48	0.48	0.46	0.48	23850	EUR	
17/09/2015 00:00	0.48	0.52	0.47	0.51	122376	EUR	
18/09/2015 00:00	0.5	0.5	0.47	0.48	21606	EUR	
21/09/2015 00:00	0.48	0.49	0.47	0.49	4040	EUR	
22/09/2015 00:00	0.48	0.49	0.47	0.48	14915	EUR	
23/09/2015 00:00	0.48	0.5	0.47	0.5	24400	EUR	
24/09/2015 00:00	0.5	0.5	0.47	0.48	23594	EUR	
25/09/2015 00:00	0.48	0.48	0.47	0.47	8143	EUR	
28/09/2015 00:00	0.47	0.47	0.45	0.45	172161	EUR	
29/09/2015 00:00	0.44	0.45	0.43	0.44	34276	EUR	
30/09/2015 00:00	0.43	0.44	0.43	0.44	4001	EUR	
01/10/2015 00:00	0.43	0.44	0.39	0.41	105531	EUR	
02/10/2015 00:00	0.41	0.45	0.38	0.41	268580	EUR	
05/10/2015 00:00	0.41	0.43	0.4	0.41	129943	EUR	
06/10/2015 00:00	0.41	0.41	0.39	0.41	89871	EUR	
07/10/2015 00:00	0.41	0.41	0.37	0.39	147687	EUR	
08/10/2015 00:00	0.39	0.4	0.38	0.38	139614	EUR	
09/10/2015 00:00	0.39	0.41	0.39	0.4	185398	EUR	
12/10/2015 00:00	0.39	0.42	0.39	0.42	128447	EUR	
13/10/2015 00:00	0.42	0.42	0.41	0.42	9285	EUR	
14/10/2015 00:00	0.41	0.41	0.39	0.41	18186	EUR	
15/10/2015 00:00	0.4	0.41	0.38	0.39	146547	EUR	
16/10/2015 00:00	0.39	0.39	0.38	0.39	30027	EUR	
19/10/2015 00:00	0.39	0.44	0.39	0.41	883277	EUR	
20/10/2015 00:00	0.42	0.42	0.39	0.4	142422	EUR	
21/10/2015 00:00	0.41	0.46	0.39	0.42	356695	EUR	
22/10/2015 00:00	0.43	0.53	0.43	0.49	889089	EUR	
23/10/2015 00:00	0.5	0.53	0.46	0.46	735134	EUR	
26/10/2015 00:00	0.48	0.49	0.45	0.47	250897	EUR	
27/10/2015 00:00	0.47	0.47	0.43	0.45	207413	EUR	
28/10/2015 00:00	0.44	0.45	0.42	0.42	249523	EUR	
29/10/2015 00:00	0.42	0.45	0.42	0.45	67210	EUR	
30/10/2015 00:00	0.44	0.44	0.43	0.44	59560	EUR	
02/11/2015 00:00	0.43	0.44	0.4	0.42	148770	EUR	
03/11/2015 00:00	0.42	0.46	0.42	0.46	441465	EUR	
04/11/2015 00:00	0.46	0.46	0.45	0.46	122642	EUR	
