date	ouv	haut	bas	clot	vol	devise	
11/12/2017 00:00	4.4	4.4	4.4	4.4	5157	EUR	
12/12/2017 00:00	4.4	4.4	4.4	4.4	1055	EUR	
13/12/2017 00:00	4.4	4.4	4.4	4.4	867	EUR	
14/12/2017 00:00	4.4	4.4	4.4	4.4	0	EUR	
18/12/2017 00:00	4.4	4.4	4.4	4.4	2500	EUR	
19/12/2017 00:00	4.51	4.51	4.51	4.51	200	EUR	
20/12/2017 00:00	4.4	4.6	4.4	4.6	65	EUR	
21/12/2017 00:00	4.6	4.6	4.6	4.6	690	EUR	
22/12/2017 00:00	4.6	4.6	4.6	4.6	250	EUR	
27/12/2017 00:00	4.6	4.6	4.6	4.6	593	EUR	
28/12/2017 00:00	4.6	4.6	4.6	4.6	110	EUR	
29/12/2017 00:00	4.6	4.6	4.6	4.6	200	EUR	
02/01/2018 00:00	4.6	4.6	4.6	4.6	80	EUR	
03/01/2018 00:00	4.6	4.6	4.6	4.6	0	EUR	
08/01/2018 00:00	4.6	4.6	4.6	4.6	0	EUR	
10/01/2018 00:00	4.6	4.6	4.6	4.6	0	EUR	
15/01/2018 00:00	4.7	4.7	4.7	4.7	50	EUR	
16/01/2018 00:00	4.8	4.8	4.8	4.8	0	EUR	
18/01/2018 00:00	4.8	4.8	4.8	4.8	140	EUR	
19/01/2018 00:00	4.8	4.8	4.7	4.7	1610	EUR	
22/01/2018 00:00	4.55	4.55	4.55	4.55	1100	EUR	
23/01/2018 00:00	4.85	4.85	4.85	4.85	0	EUR	
25/01/2018 00:00	4.9	4.9	4.9	4.9	500	EUR	
26/01/2018 00:00	4.85	4.85	4.85	4.85	3	EUR	
29/01/2018 00:00	5.1	5.1	5.1	5.1	1670	EUR	
30/01/2018 00:00	5.25	5.35	5.25	5.35	2240	EUR	
31/01/2018 00:00	5.55	5.55	5.55	5.55	1710	EUR	
01/02/2018 00:00	5.64	5.64	5.64	5.64	278	EUR	
02/02/2018 00:00	5.65	5.65	5.6	5.6	401	EUR	
05/02/2018 00:00	5.35	5.35	5.35	5.35	1800	EUR	
06/02/2018 00:00	5.65	5.65	5.65	5.65	1199	EUR	
07/02/2018 00:00	5.45	5.45	5.45	5.45	1200	EUR	
08/02/2018 00:00	5.4	5.4	5.4	5.4	0	EUR	
12/02/2018 00:00	5.55	5.55	5.55	5.55	14	EUR	
13/02/2018 00:00	5.65	5.65	5.65	5.65	1081	EUR	
14/02/2018 00:00	5.65	5.65	5.65	5.65	110	EUR	
15/02/2018 00:00	5.5	5.5	5.5	5.5	0	EUR	
20/02/2018 00:00	5.55	5.55	5.55	5.55	0	EUR	
22/02/2018 00:00	5.4	5.4	5.4	5.4	678	EUR	
23/02/2018 00:00	5.62	5.62	5.62	5.62	300	EUR	
26/02/2018 00:00	5.62	5.62	5.62	5.62	0	EUR	
28/02/2018 00:00	5.75	5.75	5.75	5.75	106	EUR	
01/03/2018 00:00	5.75	5.75	5.55	5.55	600	EUR	
02/03/2018 00:00	5.55	5.55	5.55	5.55	100	EUR	
05/03/2018 00:00	5.4	5.4	5.4	5.4	500	EUR	
06/03/2018 00:00	5.4	5.4	5.4	5.4	15	EUR	
07/03/2018 00:00	5.35	5.35	5.35	5.35	0	EUR	
12/03/2018 00:00	5.25	5.25	5.25	5.25	0	EUR	
19/03/2018 00:00	5.45	5.45	5.45	5.45	200	EUR	
20/03/2018 00:00	5.25	5.25	5.25	5.25	0	EUR	
22/03/2018 00:00	5.25	5.25	5.25	5.25	361	EUR	
23/03/2018 00:00	5.15	5.15	4.95	4.95	2250	EUR	
26/03/2018 00:00	5.2	5.2	5.2	5.2	0	EUR	
09/04/2018 00:00	4.68	4.68	4.68	4.68	500	EUR	
10/04/2018 00:00	4.72	4.72	4.72	4.72	300	EUR	
12/04/2018 00:00	4.248	4.248	4.248	4.248	500	EUR	
13/04/2018 00:00	4.66	4.66	4.66	4.66	120	EUR	
16/04/2018 00:00	4.67	4.67	4.67	4.67	0	EUR	
18/04/2018 00:00	4.68	4.68	4.68	4.68	200	EUR	
19/04/2018 00:00	4.212	4.212	4.212	4.212	290	EUR	
20/04/2018 00:00	4.62	4.62	4.62	4.62	173	EUR	
23/04/2018 00:00	4.9	4.9	4.9	4.9	200	EUR	
24/04/2018 00:00	4.96	4.96	4.96	4.96	10	EUR	
25/04/2018 00:00	4.96	4.96	4.96	4.96	0	EUR	
30/04/2018 00:00	4.96	4.96	4.96	4.96	200	EUR	
02/05/2018 00:00	4.96	5.14	4.96	5.14	471	EUR	
03/05/2018 00:00	5.14	5.14	5.14	5.14	10	EUR	
04/05/2018 00:00	5.2	5.2	5.2	5.2	12	EUR	
08/05/2018 00:00	5.2	5.2	5.2	5.2	0	EUR	
10/05/2018 00:00	4.95	4.95	4.95	4.95	380	EUR	
14/05/2018 00:00	5.15	5.15	5.15	5.15	100	EUR	
