date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	43.12	44.15	43.12	44.04	22917	EUR	
19/05/2015 00:00	43.9	44.96	43.9	44.8	18190	EUR	
20/05/2015 00:00	44.8	45.135	44.795	44.995	14464	EUR	
21/05/2015 00:00	44.8	45.295	44.46	44.54	13568	EUR	
22/05/2015 00:00	44.45	44.46	43.7	44	15423	EUR	
25/05/2015 00:00	44	44.45	43.78	44.45	10717	EUR	
26/05/2015 00:00	44.79	44.79	43.89	43.92	12899	EUR	
27/05/2015 00:00	44.5	45.565	43.93	45.115	23163	EUR	
28/05/2015 00:00	45.245	45.355	44.345	44.37	15943	EUR	
29/05/2015 00:00	44.4	44.4	42.75	42.87	49992	EUR	
01/06/2015 00:00	43.005	43.115	41.67	41.98	45053	EUR	
02/06/2015 00:00	41.97	42.2	41.565	41.67	74289	EUR	
03/06/2015 00:00	41.8	41.89	41.215	41.395	35443	EUR	
04/06/2015 00:00	41.5	42.4	40.96	42.275	37478	EUR	
05/06/2015 00:00	42	42.395	41	41.335	20525	EUR	
08/06/2015 00:00	41.5	41.5	40.56	40.725	31907	EUR	
09/06/2015 00:00	40.685	40.685	40.12	40.29	61395	EUR	
10/06/2015 00:00	40.405	41.41	40.225	41	92445	EUR	
11/06/2015 00:00	41	41.45	40.75	41.45	150774	EUR	
12/06/2015 00:00	41.6	42.4	41.275	41.745	42253	EUR	
15/06/2015 00:00	41.6	41.735	41	41.475	87401	EUR	
16/06/2015 00:00	41.495	41.965	41.1	41.915	19901	EUR	
17/06/2015 00:00	42	42.4	41.7	41.92	24376	EUR	
18/06/2015 00:00	41.995	42.2	41.4	42.155	25108	EUR	
19/06/2015 00:00	42.2	42.475	41.965	42.475	45293	EUR	
22/06/2015 00:00	42.5	43.75	42.405	43.705	51453	EUR	
23/06/2015 00:00	43	43.355	42.7	43.16	35651	EUR	
24/06/2015 00:00	43.1	43.1	42.34	43.02	43124	EUR	
25/06/2015 00:00	42.99	42.99	42.3	42.685	18893	EUR	
26/06/2015 00:00	42.89	42.965	42.11	42.86	24472	EUR	
29/06/2015 00:00	41.2	42.59	40.955	42.04	29855	EUR	
30/06/2015 00:00	41.75	41.94	41.1	41.665	52044	EUR	
01/07/2015 00:00	41.9	44.395	41.9	44.165	66677	EUR	
02/07/2015 00:00	44	44	42.3	42.58	37695	EUR	
03/07/2015 00:00	42.795	42.795	41.72	41.945	20458	EUR	
06/07/2015 00:00	41.6	41.88	40.96	41.35	26652	EUR	
07/07/2015 00:00	41.5	41.55	40.235	40.25	40336	EUR	
08/07/2015 00:00	40.6	41.3	40.465	41.09	27119	EUR	
09/07/2015 00:00	41.2	41.975	41	41.55	19831	EUR	
10/07/2015 00:00	42	42.43	41.98	41.98	38727	EUR	
13/07/2015 00:00	42.27	42.6	42	42.435	40304	EUR	
14/07/2015 00:00	42.66	42.86	42.1	42.86	27510	EUR	
15/07/2015 00:00	42.995	43.395	42.63	43.395	18581	EUR	
16/07/2015 00:00	43.2	44.94	43.2	44.81	43306	EUR	
17/07/2015 00:00	44.74	45.14	44.47	44.595	23275	EUR	
20/07/2015 00:00	44.7	44.98	44.59	44.755	10294	EUR	
21/07/2015 00:00	44.84	45	44.4	44.665	16035	EUR	
22/07/2015 00:00	44.7	44.7	44.02	44.205	24462	EUR	
23/07/2015 00:00	44.5	44.76	43.935	44.72	93403	EUR	
24/07/2015 00:00	44.775	45.2	44.405	44.765	20420	EUR	
27/07/2015 00:00	44.6	44.6	43.785	43.93	37753	EUR	
28/07/2015 00:00	44.1	44.5	43.985	44.165	29244	EUR	
29/07/2015 00:00	44.4	44.595	44	44.42	16869	EUR	
30/07/2015 00:00	45	46.15	44.9	45.01	64752	EUR	
31/07/2015 00:00	45.595	45.93	45.27	45.88	38592	EUR	
03/08/2015 00:00	45.995	45.995	45.485	45.545	16989	EUR	
04/08/2015 00:00	45.4	45.9	45.375	45.505	37468	EUR	
05/08/2015 00:00	45.8	45.8	45.475	45.69	10450	EUR	
06/08/2015 00:00	45.795	45.9	44.53	44.8	43271	EUR	
07/08/2015 00:00	44.9	45.2	44.505	44.7	18001	EUR	
10/08/2015 00:00	44.895	44.9	44.24	44.435	8027	EUR	
11/08/2015 00:00	44.5	44.64	44.145	44.38	13770	EUR	
12/08/2015 00:00	44.105	44.2	43.63	44	39506	EUR	
13/08/2015 00:00	44.285	45.305	44.285	44.93	18001	EUR	
14/08/2015 00:00	45.12	45.5	44	44.2	15327	EUR	
17/08/2015 00:00	44.295	44.725	44	44.585	13370	EUR	
18/08/2015 00:00	44.44	44.99	44.29	44.69	16039	EUR	
19/08/2015 00:00	45.08	45.08	43.605	44.16	14534	EUR	
20/08/2015 00:00	44.18	44.18	43.025	43.085	20793	EUR	
21/08/2015 00:00	43	43.39	42.5	42.595	52252	EUR	
24/08/2015 00:00	42.05	42.05	38.98	40.43	37086	EUR	
25/08/2015 00:00	40.505	42.39	40.355	42.18	23054	EUR	
26/08/2015 00:00	42	42.465	41.79	42.005	32885	EUR	
27/08/2015 00:00	42.5	42.91	42.24	42.24	37705	EUR	
28/08/2015 00:00	42.75	42.75	42.045	42.525	13978	EUR	
31/08/2015 00:00	42.07	42.7	41.82	42.49	18665	EUR	
01/09/2015 00:00	42.2	42.33	41.7	42.3	24220	EUR	
02/09/2015 00:00	42	42.5	41.9	42.1	28705	EUR	
03/09/2015 00:00	42.01	43	42.01	42.56	14391	EUR	
04/09/2015 00:00	42.795	42.795	42.2	42.28	16714	EUR	
07/09/2015 00:00	42.39	43	42.35	42.785	113640	EUR	
08/09/2015 00:00	42.98	44.16	42.98	43.505	24302	EUR	
09/09/2015 00:00	44.1	44.2	43.605	43.67	9477	EUR	
10/09/2015 00:00	43.69	43.945	43.175	43.835	32630	EUR	
11/09/2015 00:00	43.995	43.995	43	43.14	10102	EUR	
14/09/2015 00:00	43.1	43.3	42.18	42.18	43359	EUR	
15/09/2015 00:00	42.4	42.77	42.16	42.42	29315	EUR	
