date	ouv	haut	bas	clot	vol	devise	
23/09/2019 00:00	0.078	0.078	0.078	0.078	0	USD	
07/10/2019 00:00	0.081	0.081	0.081	0.081	0	USD	
10/10/2019 00:00	0.081	0.081	0.081	0.081	0	USD	
14/10/2019 00:00	0.081	0.081	0.081	0.081	400	USD	
15/10/2019 00:00	0.081	0.081	0.081	0.081	0	USD	
21/10/2019 00:00	0.081	0.081	0.081	0.081	0	USD	
25/10/2019 00:00	0.081	0.081	0.081	0.081	102	USD	
31/10/2019 00:00	0.081	0.081	0.081	0.081	0	USD	
04/11/2019 00:00	0.081	0.081	0.081	0.081	0	USD	
06/11/2019 00:00	0.081	0.081	0.081	0.081	0	USD	
15/11/2019 00:00	0.081	0.081	0.081	0.081	20000	USD	
19/11/2019 00:00	0.081	0.081	0.081	0.081	0	USD	
27/11/2019 00:00	0	0	0	0	0	USD	
03/12/2019 00:00	0.081	0.081	0.081	0.081	750	USD	
04/12/2019 00:00	0.101	0.101	0.081	0.081	2500	USD	
05/12/2019 00:00	0.081	0.081	0.081	0.081	0	USD	
20/12/2019 00:00	0.081	0.081	0.081	0.081	1000	USD	
23/12/2019 00:00	0.081	0.081	0.081	0.081	1000	USD	
24/12/2019 00:00	0.081	0.09	0.081	0.09	44400	USD	
26/12/2019 00:00	0.081	0.081	0.081	0.081	750	USD	
27/12/2019 00:00	0.081	0.081	0.081	0.081	1500	USD	
06/01/2020 00:00	0.081	0.081	0.081	0.081	2	USD	
21/01/2020 00:00	0.09	0.09	0.09	0.09	0	USD	
27/01/2020 00:00	0.081	0.081	0.081	0.081	0	USD	
31/01/2020 00:00	0.081	0.081	0.081	0.081	203	USD	
12/02/2020 00:00	0.085	0.085	0.085	0.085	0	USD	
20/02/2020 00:00	0.081	0.081	0.081	0.081	0	USD	
25/02/2020 00:00	0.081	0.081	0.081	0.081	100	USD	
06/03/2020 00:00	0.09	0.09	0.09	0.09	3332	USD	
23/03/2020 00:00	0.081	0.081	0.081	0.081	900	USD	
24/03/2020 00:00	0.081	0.081	0.081	0.081	1000	USD	
25/03/2020 00:00	0.09	0.09	0.09	0.09	33	USD	
27/03/2020 00:00	0.081	0.081	0.081	0.081	1000	USD	
31/03/2020 00:00	0.081	0.081	0.081	0.081	0	USD	
06/04/2020 00:00	0.081	0.081	0.081	0.081	799	USD	
07/04/2020 00:00	0.081	0.081	0.081	0.081	33	USD	
23/04/2020 00:00	0.081	0.081	0.081	0.081	0	USD	
29/04/2020 00:00	0.081	0.081	0.081	0.081	0	USD	
04/05/2020 00:00	0.082	0.082	0.082	0.082	0	USD	
06/05/2020 00:00	0.09	0.09	0.09	0.09	0	USD	
08/05/2020 00:00	0.09	0.09	0.09	0.09	222	USD	
12/05/2020 00:00	0.09	0.09	0.09	0.09	0	USD	
