date	ouv	haut	bas	clot	vol	devise	
26/06/2015 00:00	5	5.23	4.98	5	601805	EUR	
29/06/2015 00:00	4.8	4.97	4.74	4.9	307491	EUR	
30/06/2015 00:00	4.9	4.9	4.81	4.86	157373	EUR	
01/07/2015 00:00	4.88	5.1	4.88	5.02	38855	EUR	
02/07/2015 00:00	5.07	5.08	4.98	5.04	36496	EUR	
03/07/2015 00:00	5.06	5.07	4.95	5.02	31174	EUR	
06/07/2015 00:00	5.02	5.18	4.95	5.17	41035	EUR	
07/07/2015 00:00	5.2	5.29	5	5.13	40047	EUR	
08/07/2015 00:00	5.06	5.13	4.97	5.02	23341	EUR	
09/07/2015 00:00	5.03	5.1	5.02	5.05	8998	EUR	
10/07/2015 00:00	5.1	5.13	5.06	5.11	17752	EUR	
13/07/2015 00:00	5.15	5.28	5.15	5.18	50801	EUR	
14/07/2015 00:00	5.23	5.23	4.95	5.07	29455	EUR	
15/07/2015 00:00	5.18	5.5	5.06	5.23	207254	EUR	
16/07/2015 00:00	5.3	5.66	5.27	5.44	119472	EUR	
17/07/2015 00:00	5.45	5.5	5.21	5.22	77233	EUR	
20/07/2015 00:00	5.43	5.56	5.3	5.56	83096	EUR	
21/07/2015 00:00	5.56	5.81	5.5	5.8	63351	EUR	
22/07/2015 00:00	5.82	5.85	5.61	5.85	35559	EUR	
23/07/2015 00:00	5.86	5.89	5.65	5.88	35303	EUR	
24/07/2015 00:00	5.89	5.89	5.73	5.82	36293	EUR	
27/07/2015 00:00	5.89	5.89	5.66	5.66	38518	EUR	
28/07/2015 00:00	5.8	5.8	5.36	5.62	59889	EUR	
29/07/2015 00:00	5.74	5.74	5.46	5.47	10797	EUR	
30/07/2015 00:00	5.55	5.55	5.26	5.35	27115	EUR	
31/07/2015 00:00	5.35	5.38	5.31	5.32	6296	EUR	
03/08/2015 00:00	5.37	5.39	5.24	5.24	22092	EUR	
04/08/2015 00:00	5.3	5.39	5.26	5.27	11458	EUR	
05/08/2015 00:00	5.34	5.5	5.34	5.5	29336	EUR	
06/08/2015 00:00	5.46	5.57	5.38	5.47	35487	EUR	
07/08/2015 00:00	5.47	5.48	5.36	5.39	11124	EUR	
10/08/2015 00:00	5.39	5.43	5.14	5.34	36492	EUR	
11/08/2015 00:00	5.39	5.67	5.36	5.64	152067	EUR	
12/08/2015 00:00	5.59	5.64	5.4	5.64	85643	EUR	
13/08/2015 00:00	5.64	5.67	5.51	5.52	23232	EUR	
14/08/2015 00:00	5.52	5.57	5.46	5.51	15181	EUR	
17/08/2015 00:00	5.51	5.75	5.51	5.51	69676	EUR	
18/08/2015 00:00	5.54	5.55	5.5	5.51	26859	EUR	
19/08/2015 00:00	5.51	5.54	5.45	5.45	27570	EUR	
20/08/2015 00:00	5.43	5.53	5.4	5.4	28263	EUR	
21/08/2015 00:00	5.36	5.37	5.26	5.37	31867	EUR	
24/08/2015 00:00	5.25	5.25	4.52	5.1	101830	EUR	
25/08/2015 00:00	5.19	5.46	5.19	5.28	94613	EUR	
26/08/2015 00:00	5.34	5.44	5.34	5.36	85127	EUR	
27/08/2015 00:00	5.48	5.48	5.33	5.37	41331	EUR	
28/08/2015 00:00	5.44	5.44	5.36	5.4	42711	EUR	
31/08/2015 00:00	5.39	5.44	5.31	5.39	18929	EUR	
01/09/2015 00:00	5.39	5.39	5.27	5.28	14773	EUR	
02/09/2015 00:00	5.44	5.58	5.35	5.52	115080	EUR	
03/09/2015 00:00	5.53	5.56	5.4	5.55	26389	EUR	
04/09/2015 00:00	5.5	5.5	5.21	5.43	41874	EUR	
07/09/2015 00:00	5.39	5.39	5.3	5.39	13794	EUR	
08/09/2015 00:00	5.43	5.43	5.35	5.37	15224	EUR	
09/09/2015 00:00	5.43	5.45	5.36	5.43	25638	EUR	
10/09/2015 00:00	5.43	5.43	5.36	5.43	12957	EUR	
11/09/2015 00:00	5.43	5.43	5.35	5.43	11788	EUR	
14/09/2015 00:00	5.5	5.5	5.37	5.4	15947	EUR	
15/09/2015 00:00	5.49	5.49	5.33	5.41	10415	EUR	
16/09/2015 00:00	5.41	5.44	5.31	5.35	19238	EUR	
17/09/2015 00:00	5.4	5.4	5.24	5.28	29132	EUR	
18/09/2015 00:00	5.28	5.28	5.1	5.1	19490	EUR	
21/09/2015 00:00	5.11	5.13	5.03	5.06	11108	EUR	
22/09/2015 00:00	5.17	5.17	4.93	4.96	22959	EUR	
23/09/2015 00:00	4.98	5.04	4.98	5	5039	EUR	
24/09/2015 00:00	5	5.03	4.97	5.01	4178	EUR	
25/09/2015 00:00	5.05	5.07	5	5.05	15763	EUR	
28/09/2015 00:00	5.05	5.05	4.81	4.81	12835	EUR	
29/09/2015 00:00	4.79	4.89	4.71	4.73	19571	EUR	
30/09/2015 00:00	4.71	4.75	4.51	4.75	26840	EUR	
01/10/2015 00:00	4.75	4.8	4.68	4.7	10078	EUR	
02/10/2015 00:00	4.7	4.79	4.61	4.62	9981	EUR	
05/10/2015 00:00	4.7	4.78	4.59	4.59	11238	EUR	
06/10/2015 00:00	4.6	4.7	4.6	4.65	8219	EUR	
07/10/2015 00:00	4.7	4.8	4.65	4.8	8460	EUR	
08/10/2015 00:00	4.8	4.8	4.6	4.6	13105	EUR	
09/10/2015 00:00	4.7	4.7	4.65	4.65	5610	EUR	
12/10/2015 00:00	4.7	4.7	4.61	4.66	3755	EUR	
13/10/2015 00:00	4.66	4.69	4.62	4.65	5667	EUR	
14/10/2015 00:00	4.62	4.62	4.51	4.51	16460	EUR	
15/10/2015 00:00	4.51	4.55	4.37	4.41	19949	EUR	
16/10/2015 00:00	4.55	4.55	4.41	4.5	9656	EUR	
19/10/2015 00:00	4.5	4.55	4.41	4.55	25278	EUR	
20/10/2015 00:00	4.6	4.79	4.6	4.66	19445	EUR	
21/10/2015 00:00	4.66	4.89	4.61	4.66	64220	EUR	
22/10/2015 00:00	4.64	4.66	4.56	4.65	32685	EUR	
23/10/2015 00:00	4.7	4.8	4.64	4.64	29320	EUR	
26/10/2015 00:00	4.7	4.7	4.6	4.64	6116	EUR	
27/10/2015 00:00	4.74	4.74	4.56	4.56	7492	EUR	
28/10/2015 00:00	4.51	4.58	4.42	4.43	28414	EUR	
29/10/2015 00:00	4.49	4.5	4.46	4.5	9083	EUR	
30/10/2015 00:00	4.52	4.55	4.46	4.53	1892	EUR	
02/11/2015 00:00	4.52	4.78	4.46	4.78	35043	EUR	
03/11/2015 00:00	4.8	4.89	4.79	4.85	37984	EUR	
04/11/2015 00:00	4.79	4.9	4.75	4.75	18385	EUR	
05/11/2015 00:00	4.75	4.86	4.72	4.8	11639	EUR	
06/11/2015 00:00	4.85	4.98	4.7	4.9	24547	EUR	
09/11/2015 00:00	4.98	4.98	4.8	4.89	9548	EUR	
10/11/2015 00:00	4.9	4.9	4.81	4.89	3081	EUR	
11/11/2015 00:00	4.87	4.87	4.71	4.83	5151	EUR	
12/11/2015 00:00	4.83	4.87	4.78	4.87	4338	EUR	
13/11/2015 00:00	4.8	4.97	4.8	4.87	2514931	EUR	
16/11/2015 00:00	4.81	4.81	4.6	4.6	50381	EUR	
17/11/2015 00:00	4.66	4.69	4.57	4.57	14889	EUR	
18/11/2015 00:00	4.53	4.58	4.52	4.56	11098	EUR	
19/11/2015 00:00	4.58	4.6	4.5	4.5	18744	EUR	
20/11/2015 00:00	4.6	4.6	4.52	4.6	4460	EUR	
23/11/2015 00:00	4.7	4.7	4.55	4.63	8207	EUR	
24/11/2015 00:00	4.7	4.7	4.41	4.6	19958	EUR	
25/11/2015 00:00	4.56	4.8	4.56	4.8	10050	EUR	
26/11/2015 00:00	4.8	4.8	4.75	4.8	5524	EUR	
27/11/2015 00:00	4.79	4.79	4.63	4.77	8548	EUR	
30/11/2015 00:00	4.78	4.78	4.64	4.78	7139	EUR	
01/12/2015 00:00	4.78	4.78	4.67	4.7	6954	EUR	
02/12/2015 00:00	4.66	4.9	4.66	4.84	34735	EUR	
03/12/2015 00:00	5	5.19	4.99	5.08	72121	EUR	
04/12/2015 00:00	4.98	5.08	4.91	5.07	30204	EUR	
07/12/2015 00:00	5.05	5.07	5	5.04	12808	EUR	
08/12/2015 00:00	5.04	5.04	4.91	4.95	7261	EUR	
09/12/2015 00:00	4.91	4.94	4.8	4.94	13678	EUR	
10/12/2015 00:00	4.98	5	4.8	4.8	14157	EUR	
11/12/2015 00:00	4.9	4.9	4.79	4.79	22022	EUR	
14/12/2015 00:00	4.8	4.82	4.67	4.69	12161	EUR	
15/12/2015 00:00	4.7	4.8	4.66	4.8	8388	EUR	
16/12/2015 00:00	4.8	4.89	4.8	4.88	4135	EUR	
17/12/2015 00:00	4.89	5.07	4.84	5.06	30310	EUR	
18/12/2015 00:00	5	5.06	4.96	5.04	7220	EUR	
21/12/2015 00:00	5.07	5.07	5.01	5.04	3866	EUR	
22/12/2015 00:00	5.01	5.08	4.97	5.05	16364	EUR	
23/12/2015 00:00	5.05	5.05	4.97	5	17127	EUR	
24/12/2015 00:00	5	5	4.99	5	1197	EUR	
28/12/2015 00:00	4.94	4.95	4.77	4.8	18764	EUR	
29/12/2015 00:00	4.79	5	4.79	4.81	12017	EUR	
30/12/2015 00:00	4.82	4.82	4.77	4.79	4467	EUR	
31/12/2015 00:00	4.79	4.9	4.77	4.8	11019	EUR	
04/01/2016 00:00	4.8	4.88	4.75	4.77	25449	EUR	
05/01/2016 00:00	4.78	4.78	4.6	4.66	40345	EUR	
06/01/2016 00:00	4.66	4.7	4.6	4.61	7238	EUR	
07/01/2016 00:00	4.6	4.68	4.58	4.6	10230	EUR	
08/01/2016 00:00	4.6	4.69	4.6	4.63	5026	EUR	
11/01/2016 00:00	4.61	4.8	4.61	4.71	16530	EUR	
12/01/2016 00:00	4.8	4.8	4.61	4.64	9200	EUR	
13/01/2016 00:00	4.7	4.7	4.51	4.56	11303	EUR	
14/01/2016 00:00	4.56	4.56	4.35	4.5	21497	EUR	
15/01/2016 00:00	4.5	4.51	4.31	4.36	18793	EUR	
18/01/2016 00:00	4.31	4.4	4.25	4.4	15541	EUR	
19/01/2016 00:00	4.4	4.5	4.4	4.47	61283	EUR	
20/01/2016 00:00	4.45	4.52	4.35	4.52	53613	EUR	
21/01/2016 00:00	4.48	4.5	4.32	4.41	61114	EUR	
22/01/2016 00:00	4.5	4.5	4.41	4.46	5861	EUR	
