date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	31.125	31.38	30.18	30.375	3236244	EUR	
19/05/2015 00:00	30.54	30.735	30.135	30.24	2779267	EUR	
20/05/2015 00:00	30.195	30.555	29.853	30.42	1901330	EUR	
21/05/2015 00:00	30.405	30.825	30.21	30.33	2207899	EUR	
22/05/2015 00:00	30.285	30.495	29.982	30.045	1810285	EUR	
25/05/2015 00:00	30.345	30.495	30.09	30.24	615407	EUR	
26/05/2015 00:00	30.465	30.87	30.165	30.33	3233273	EUR	
27/05/2015 00:00	30.435	30.75	30.105	30.66	2144594	EUR	
28/05/2015 00:00	30.51	30.51	29.703	30.015	2654655	EUR	
29/05/2015 00:00	30.06	30.15	29.13	29.094	3826940	EUR	
01/06/2015 00:00	29.451	29.67	28.812	28.902	3111155	EUR	
02/06/2015 00:00	29.04	30.285	29.019	30	5528382	EUR	
03/06/2015 00:00	30.15	31.08	29.817	30.915	4090529	EUR	
04/06/2015 00:00	30.495	30.63	30	30	3061406	EUR	
05/06/2015 00:00	29.7	30.045	29.205	29.667	4345873	EUR	
08/06/2015 00:00	29.595	29.655	29.034	29.142	2978367	EUR	
09/06/2015 00:00	29.049	29.955	28.743	29.715	3988682	EUR	
10/06/2015 00:00	29.403	30.225	29.403	30.015	4042909	EUR	
11/06/2015 00:00	29.85	30.135	29.031	29.202	4213210	EUR	
12/06/2015 00:00	29.094	29.382	28.605	28.866	3039212	EUR	
15/06/2015 00:00	28.533	28.917	28.146	28.632	2743052	EUR	
16/06/2015 00:00	28.269	28.497	27.645	28.392	3843874	EUR	
17/06/2015 00:00	28.536	28.566	27.915	27.999	3022632	EUR	
18/06/2015 00:00	27.969	28.398	27.372	27.45	5783971	EUR	
19/06/2015 00:00	27.594	28.02	27.456	27.6	4895666	EUR	
22/06/2015 00:00	28.155	28.17	27.705	28.05	3577435	EUR	
23/06/2015 00:00	28.266	28.419	27.978	28.248	3227133	EUR	
24/06/2015 00:00	28.8	28.8	28.374	28.44	3426514	EUR	
25/06/2015 00:00	28.242	28.623	27.903	27.978	2661891	EUR	
26/06/2015 00:00	27.9	28.323	27.66	27.882	2385159	EUR	
29/06/2015 00:00	27	27.435	26.64	27.057	3754792	EUR	
30/06/2015 00:00	26.964	27.081	26.199	26.199	5151985	EUR	
01/07/2015 00:00	26.439	26.835	26.226	26.4	3752979	EUR	
02/07/2015 00:00	26.385	26.514	25.989	26.028	3226409	EUR	
03/07/2015 00:00	26.025	26.217	25.704	26.115	2600926	EUR	
06/07/2015 00:00	25.65	25.683	25.059	25.287	4944506	EUR	
07/07/2015 00:00	25.149	25.17	23.646	23.667	7546394	EUR	
08/07/2015 00:00	23.955	24.771	23.775	24.393	6157808	EUR	
09/07/2015 00:00	24.678	25.017	24.375	24.522	4370995	EUR	
10/07/2015 00:00	25.08	25.377	24.873	24.897	4353760	EUR	
13/07/2015 00:00	24.906	25.281	24.75	25.281	4176696	EUR	
14/07/2015 00:00	25.47	25.674	25.14	25.185	3106227	EUR	
15/07/2015 00:00	25.134	25.359	24.774	24.951	3338316	EUR	
16/07/2015 00:00	24.717	25.107	24.66	24.933	3873543	EUR	
17/07/2015 00:00	24.816	25.044	24.636	24.708	3228973	EUR	
20/07/2015 00:00	24.69	25.23	24.495	24.693	3225993	EUR	
21/07/2015 00:00	24.792	25.287	24.612	25.14	3681889	EUR	
22/07/2015 00:00	24.777	24.816	24.093	24.309	5027425	EUR	
23/07/2015 00:00	24.468	24.555	24.129	24.198	3549312	EUR	
24/07/2015 00:00	24.108	24.444	23.427	23.589	4116070	EUR	
27/07/2015 00:00	23.61	23.94	23.052	23.418	4412726	EUR	
28/07/2015 00:00	23.565	24.141	23.502	24.12	5086569	EUR	
29/07/2015 00:00	24.42	24.6	23.676	24.57	5300495	EUR	
30/07/2015 00:00	24.804	24.84	24.234	24.411	3725143	EUR	
31/07/2015 00:00	25.347	25.35	24.42	24.78	4671958	EUR	
03/08/2015 00:00	24.69	24.738	24.03	24.42	3642669	EUR	
04/08/2015 00:00	24.351	25.155	24.312	24.885	4017070	EUR	
05/08/2015 00:00	25.032	26.244	24.96	26.079	5774929	EUR	
06/08/2015 00:00	25.89	26.184	25.521	25.944	3332109	EUR	
07/08/2015 00:00	26.1	26.49	25.695	26.064	4201470	EUR	
10/08/2015 00:00	26.058	26.223	25.23	26.136	3589015	EUR	
11/08/2015 00:00	26.028	26.058	24.909	24.966	5967244	EUR	
12/08/2015 00:00	24.513	24.549	24.03	24.345	5596025	EUR	
13/08/2015 00:00	24.777	25.05	23.859	23.898	4045893	EUR	
14/08/2015 00:00	23.883	24.258	23.655	23.841	3485853	EUR	
17/08/2015 00:00	24	24.15	23.646	23.907	2570767	EUR	
18/08/2015 00:00	23.82	23.859	23.415	23.703	3088448	EUR	
19/08/2015 00:00	23.55	23.691	22.923	23.031	3553549	EUR	
20/08/2015 00:00	22.95	23.4	22.815	23.028	3552001	EUR	
21/08/2015 00:00	22.605	22.974	22.089	22.11	5261483	EUR	
