date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	2.129	2.158	2.11	2.149	38759	EUR	
19/05/2015 00:00	2.149	2.207	2.149	2.188	120828	EUR	
20/05/2015 00:00	2.168	2.197	2.158	2.168	52311	EUR	
21/05/2015 00:00	2.188	2.188	2.158	2.178	21605	EUR	
22/05/2015 00:00	2.178	2.197	2.168	2.168	20398	EUR	
25/05/2015 00:00	2.168	2.168	2.139	2.158	19045	EUR	
26/05/2015 00:00	2.139	2.188	2.139	2.158	20886	EUR	
27/05/2015 00:00	2.149	2.178	2.12	2.129	77047	EUR	
28/05/2015 00:00	2.158	2.158	2.129	2.149	26173	EUR	
29/05/2015 00:00	2.158	2.158	2.1	2.1	50034	EUR	
01/06/2015 00:00	2.129	2.129	2.071	2.081	62571	EUR	
02/06/2015 00:00	2.09	2.129	2.081	2.11	68737	EUR	
03/06/2015 00:00	2.12	2.12	2.09	2.09	17818	EUR	
04/06/2015 00:00	2.09	2.11	2.071	2.081	27765	EUR	
05/06/2015 00:00	2.071	2.09	2.051	2.071	42298	EUR	
08/06/2015 00:00	2.051	2.061	1.945	2.013	158438	EUR	
09/06/2015 00:00	2.022	2.032	2.003	2.022	53871	EUR	
10/06/2015 00:00	2.042	2.051	2.003	2.022	61527	EUR	
11/06/2015 00:00	2.022	2.081	2.022	2.022	58826	EUR	
12/06/2015 00:00	2.022	2.061	2.003	2.003	31414	EUR	
15/06/2015 00:00	1.974	2.061	1.925	1.935	165643	EUR	
16/06/2015 00:00	1.945	1.964	1.915	1.954	105656	EUR	
17/06/2015 00:00	1.935	1.954	1.925	1.935	45933	EUR	
18/06/2015 00:00	1.935	1.964	1.925	1.935	36754	EUR	
19/06/2015 00:00	1.935	1.954	1.915	1.925	48237	EUR	
22/06/2015 00:00	1.964	2.061	1.964	2.061	164412	EUR	
23/06/2015 00:00	2.032	2.081	2.032	2.042	76585	EUR	
24/06/2015 00:00	2.042	2.042	2.013	2.032	52594	EUR	
25/06/2015 00:00	2.003	2.032	2.003	2.013	13512	EUR	
26/06/2015 00:00	2.042	2.061	2.022	2.032	36151	EUR	
29/06/2015 00:00	1.954	2.042	1.945	2.003	90685	EUR	
30/06/2015 00:00	1.964	1.993	1.954	1.983	50699	EUR	
01/07/2015 00:00	1.954	2.022	1.945	1.983	77416	EUR	
02/07/2015 00:00	2.003	2.003	1.964	1.974	57407	EUR	
03/07/2015 00:00	1.964	1.993	1.945	1.945	41295	EUR	
06/07/2015 00:00	1.945	1.954	1.925	1.935	55089	EUR	
07/07/2015 00:00	1.925	1.993	1.818	1.838	117519	EUR	
08/07/2015 00:00	1.886	1.896	1.867	1.896	46301	EUR	
09/07/2015 00:00	1.896	1.915	1.867	1.886	58012	EUR	
10/07/2015 00:00	1.867	1.964	1.867	1.954	94904	EUR	
13/07/2015 00:00	1.945	2.013	1.945	2.003	107684	EUR	
14/07/2015 00:00	2.003	2.022	1.983	2.003	22554	EUR	
15/07/2015 00:00	2.003	2.051	2.003	2.022	72732	EUR	
16/07/2015 00:00	2.051	2.129	2.051	2.081	165743	EUR	
17/07/2015 00:00	2.071	2.11	2.071	2.09	40618	EUR	
20/07/2015 00:00	2.12	2.158	2.12	2.158	135331	EUR	
21/07/2015 00:00	2.178	2.188	2.139	2.149	114734	EUR	
22/07/2015 00:00	2.158	2.207	2.129	2.188	160723	EUR	
23/07/2015 00:00	2.197	2.236	2.158	2.236	173048	EUR	
24/07/2015 00:00	2.382	2.421	2.236	2.246	878768	EUR	
27/07/2015 00:00	2.178	2.188	2.022	2.1	279235	EUR	
28/07/2015 00:00	2.129	2.129	2.061	2.09	86289	EUR	
29/07/2015 00:00	2.129	2.129	2.042	2.081	116444	EUR	
30/07/2015 00:00	2.081	2.1	2.051	2.061	47908	EUR	
31/07/2015 00:00	2.042	2.071	2.042	2.051	55454	EUR	
03/08/2015 00:00	2.1	2.1	2.051	2.071	67195	EUR	
04/08/2015 00:00	2.051	2.09	2.051	2.051	26538	EUR	
05/08/2015 00:00	2.09	2.1	2.061	2.061	72723	EUR	
06/08/2015 00:00	2.09	2.09	2.042	2.051	94292	EUR	
07/08/2015 00:00	2.071	2.071	2.042	2.051	49785	EUR	
10/08/2015 00:00	1.954	1.954	1.906	1.935	297291	EUR	
11/08/2015 00:00	1.945	1.964	1.915	1.925	63611	EUR	
12/08/2015 00:00	1.925	1.925	1.847	1.847	113903	EUR	
13/08/2015 00:00	1.867	1.896	1.838	1.867	73133	EUR	
14/08/2015 00:00	1.896	1.925	1.857	1.876	69056	EUR	
17/08/2015 00:00	1.925	1.925	1.867	1.867	20917	EUR	
18/08/2015 00:00	1.876	1.896	1.876	1.876	11556	EUR	
19/08/2015 00:00	1.886	1.886	1.857	1.857	27975	EUR	
20/08/2015 00:00	1.867	1.867	1.799	1.799	89424	EUR	
21/08/2015 00:00	1.799	1.799	1.75	1.76	95339	EUR	
24/08/2015 00:00	1.74	1.74	1.526	1.643	233866	EUR	
25/08/2015 00:00	1.653	1.75	1.643	1.721	78505	EUR	
26/08/2015 00:00	1.75	1.75	1.692	1.692	79195	EUR	
27/08/2015 00:00	1.711	1.799	1.711	1.75	120522	EUR	
28/08/2015 00:00	1.789	1.789	1.75	1.77	41942	EUR	
31/08/2015 00:00	1.76	1.789	1.75	1.75	60053	EUR	
01/09/2015 00:00	1.75	1.76	1.692	1.711	60014	EUR	
02/09/2015 00:00	1.74	1.77	1.672	1.682	80229	EUR	
03/09/2015 00:00	1.721	1.75	1.682	1.682	61205	EUR	
04/09/2015 00:00	1.731	1.731	1.663	1.682	46074	EUR	
07/09/2015 00:00	1.682	1.682	1.663	1.672	20819	EUR	
08/09/2015 00:00	1.682	1.701	1.663	1.682	27784	EUR	
09/09/2015 00:00	1.701	1.721	1.682	1.711	99459	EUR	
10/09/2015 00:00	1.672	1.721	1.672	1.682	24275	EUR	
11/09/2015 00:00	1.692	1.692	1.663	1.663	15702	EUR	
14/09/2015 00:00	1.663	1.672	1.643	1.643	55099	EUR	
15/09/2015 00:00	1.604	1.643	1.595	1.614	23645	EUR	
16/09/2015 00:00	1.614	1.653	1.614	1.624	26472	EUR	
17/09/2015 00:00	1.614	1.663	1.614	1.624	20756	EUR	
18/09/2015 00:00	1.643	1.643	1.546	1.575	170610	EUR	
21/09/2015 00:00	1.585	1.614	1.536	1.565	54093	EUR	
22/09/2015 00:00	1.556	1.565	1.517	1.526	34717	EUR	
23/09/2015 00:00	1.575	1.604	1.526	1.546	161932	EUR	
24/09/2015 00:00	1.536	1.575	1.507	1.507	75636	EUR	
25/09/2015 00:00	1.526	1.546	1.497	1.497	65189	EUR	
28/09/2015 00:00	1.526	1.663	1.526	1.565	238008	EUR	
29/09/2015 00:00	1.546	1.546	1.497	1.517	79961	EUR	
30/09/2015 00:00	1.556	1.585	1.497	1.507	149236	EUR	
01/10/2015 00:00	1.517	1.536	1.468	1.478	89664	EUR	
02/10/2015 00:00	1.497	1.526	1.468	1.478	75670	EUR	
05/10/2015 00:00	1.507	1.604	1.488	1.536	309290	EUR	
06/10/2015 00:00	1.565	1.653	1.517	1.653	218146	EUR	
07/10/2015 00:00	1.808	1.867	1.721	1.731	783371	EUR	
08/10/2015 00:00	1.76	1.76	1.682	1.682	146959	EUR	
09/10/2015 00:00	1.701	1.77	1.701	1.721	118345	EUR	
12/10/2015 00:00	1.711	1.76	1.701	1.711	80656	EUR	
13/10/2015 00:00	1.692	1.711	1.643	1.672	90691	EUR	
14/10/2015 00:00	1.653	1.672	1.624	1.633	111649	EUR	
15/10/2015 00:00	1.682	1.75	1.643	1.711	206209	EUR	
