date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	0.19	0.2	0.19	0.19	1895005	EUR	
19/05/2015 00:00	0.19	0.19	0.18	0.19	324974	EUR	
20/05/2015 00:00	0.19	0.19	0.18	0.19	64469	EUR	
21/05/2015 00:00	0.18	0.19	0.18	0.18	69633	EUR	
22/05/2015 00:00	0.18	0.19	0.18	0.18	99504	EUR	
25/05/2015 00:00	0.19	0.19	0.18	0.19	101684	EUR	
26/05/2015 00:00	0.19	0.19	0.18	0.19	103914	EUR	
27/05/2015 00:00	0.18	0.2	0.18	0.19	823748	EUR	
28/05/2015 00:00	0.19	0.19	0.18	0.19	62990	EUR	
29/05/2015 00:00	0.18	0.19	0.18	0.18	87248	EUR	
01/06/2015 00:00	0.19	0.19	0.18	0.18	146013	EUR	
02/06/2015 00:00	0.19	0.19	0.18	0.19	239121	EUR	
03/06/2015 00:00	0.19	0.19	0.18	0.19	143803	EUR	
04/06/2015 00:00	0.18	0.19	0.18	0.18	146040	EUR	
05/06/2015 00:00	0.18	0.19	0.18	0.18	20954	EUR	
08/06/2015 00:00	0.18	0.19	0.18	0.19	121600	EUR	
09/06/2015 00:00	0.19	0.19	0.18	0.18	43695	EUR	
10/06/2015 00:00	0.18	0.19	0.18	0.18	307402	EUR	
11/06/2015 00:00	0.19	0.19	0.17	0.17	847467	EUR	
12/06/2015 00:00	0.18	0.18	0.17	0.17	429314	EUR	
15/06/2015 00:00	0.17	0.18	0.17	0.17	166963	EUR	
16/06/2015 00:00	0.17	0.18	0.17	0.17	167752	EUR	
17/06/2015 00:00	0.18	0.18	0.17	0.18	132525	EUR	
18/06/2015 00:00	0.18	0.18	0.17	0.18	268621	EUR	
19/06/2015 00:00	0.17	0.18	0.17	0.17	99872	EUR	
22/06/2015 00:00	0.18	0.18	0.17	0.18	173774	EUR	
23/06/2015 00:00	0.18	0.18	0.17	0.18	81060	EUR	
24/06/2015 00:00	0.17	0.18	0.17	0.18	217827	EUR	
25/06/2015 00:00	0.18	0.18	0.17	0.18	33719	EUR	
26/06/2015 00:00	0.18	0.18	0.17	0.18	63181	EUR	
29/06/2015 00:00	0.17	0.18	0.17	0.18	286940	EUR	
30/06/2015 00:00	0.18	0.18	0.17	0.17	106676	EUR	
01/07/2015 00:00	0.18	0.18	0.17	0.17	101347	EUR	
02/07/2015 00:00	0.18	0.18	0.17	0.18	43435	EUR	
03/07/2015 00:00	0.18	0.23	0.18	0.2	7700294	EUR	
06/07/2015 00:00	0.2	0.2	0.19	0.19	926164	EUR	
07/07/2015 00:00	0.19	0.2	0.18	0.19	1397289	EUR	
08/07/2015 00:00	0.18	0.2	0.18	0.2	904906	EUR	
09/07/2015 00:00	0.19	0.2	0.19	0.19	174092	EUR	
10/07/2015 00:00	0.2	0.2	0.19	0.19	57156	EUR	
13/07/2015 00:00	0.2	0.2	0.19	0.2	263751	EUR	
14/07/2015 00:00	0.19	0.2	0.18	0.19	896403	EUR	
