date	ouv	haut	bas	clot	vol	devise	
30/07/2018 00:00	4.6	4.6	4.565	4.6	7229	EUR	
31/07/2018 00:00	4.598	4.598	4.49	4.516	9439	EUR	
01/08/2018 00:00	4.52	4.52	4.47	4.51	3559	EUR	
02/08/2018 00:00	4.509	4.509	4.505	4.508	2101	EUR	
03/08/2018 00:00	4.509	4.52	4.504	4.51	4252	EUR	
06/08/2018 00:00	4.52	4.52	4.5	4.51	3849	EUR	
07/08/2018 00:00	4.51	4.51	4.47	4.505	1090	EUR	
08/08/2018 00:00	4.5	4.5	4.49	4.5	2469	EUR	
09/08/2018 00:00	4.5	4.5	4.49	4.49	214	EUR	
10/08/2018 00:00	4.47	4.47	4.465	4.465	807	EUR	
13/08/2018 00:00	4.465	4.48	4.465	4.48	4	EUR	
14/08/2018 00:00	4.48	4.49	4.48	4.49	81	EUR	
15/08/2018 00:00	4.49	4.51	4.465	4.5	3067	EUR	
16/08/2018 00:00	4.5	4.5	4.5	4.5	158	EUR	
17/08/2018 00:00	4.5	4.5	4.44	4.5	2416	EUR	
20/08/2018 00:00	4.5	4.5	4.5	4.5	21	EUR	
21/08/2018 00:00	4.5	4.5	4.48	4.48	738	EUR	
22/08/2018 00:00	4.481	4.49	4.47	4.49	796	EUR	
23/08/2018 00:00	4.49	4.49	4.48	4.48	111	EUR	
24/08/2018 00:00	4.481	4.49	4.481	4.49	2	EUR	
27/08/2018 00:00	4.49	4.49	4.47	4.47	371	EUR	
28/08/2018 00:00	4.47	4.47	4.2	4.45	14940	EUR	
29/08/2018 00:00	4.47	4.47	4.45	4.46	2196	EUR	
30/08/2018 00:00	4.46	4.46	4.46	4.46	76	EUR	
31/08/2018 00:00	4.46	4.46	4.39	4.46	1775	EUR	
03/09/2018 00:00	4.46	4.46	4.46	4.46	179	EUR	
04/09/2018 00:00	4.46	4.46	4.38	4.45	9281	EUR	
05/09/2018 00:00	4.451	4.456	4.451	4.456	101	EUR	
06/09/2018 00:00	4.456	4.456	4.35	4.35	1811	EUR	
07/09/2018 00:00	4.35	4.46	4.2	4.46	24321	EUR	
10/09/2018 00:00	4.46	4.46	4.46	4.46	101	EUR	
11/09/2018 00:00	4.46	4.46	4.36	4.46	1461	EUR	
12/09/2018 00:00	4.46	4.46	4.4	4.46	11655	EUR	
13/09/2018 00:00	4.46	4.46	4.43	4.43	111	EUR	
14/09/2018 00:00	4.43	4.46	4.39	4.46	534	EUR	
17/09/2018 00:00	4.46	4.46	4.4	4.4	710	EUR	
18/09/2018 00:00	4.4	4.4	4.25	4.4	5822	EUR	
19/09/2018 00:00	4.4	4.46	4.32	4.46	8646	EUR	
20/09/2018 00:00	4.46	4.46	4.45	4.45	1065	EUR	
21/09/2018 00:00	4.45	4.45	4.45	4.45	101	EUR	
24/09/2018 00:00	4.45	4.45	4.28	4.44	3262	EUR	
25/09/2018 00:00	4.44	4.46	4.44	4.46	501	EUR	
26/09/2018 00:00	4.46	4.46	4.46	4.46	1	EUR	
27/09/2018 00:00	4.46	4.46	4.46	4.46	36	EUR	
28/09/2018 00:00	4.46	4.46	4.46	4.46	166	EUR	
01/10/2018 00:00	4.46	4.46	4.36	4.44	2587	EUR	
02/10/2018 00:00	4.44	4.44	4.44	4.44	1	EUR	
03/10/2018 00:00	4.441	4.441	4.35	4.35	701	EUR	
04/10/2018 00:00	4.35	4.43	4.35	4.43	101	EUR	
05/10/2018 00:00	4.43	4.43	4.42	4.42	178	EUR	
08/10/2018 00:00	4.42	4.44	4.41	4.44	211	EUR	
09/10/2018 00:00	4.44	4.45	4.42	4.45	266	EUR	
10/10/2018 00:00	4.45	4.46	4.35	4.46	2676	EUR	
11/10/2018 00:00	4.36	4.36	4.25	4.25	5561	EUR	
12/10/2018 00:00	4.25	4.35	4.25	4.35	371	EUR	
