date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	4.57	4.57	4.57	4.57	0	EUR	
20/05/2015 00:00	4.75	4.8	4.75	4.8	1879	EUR	
21/05/2015 00:00	4.9	4.9	4.9	4.9	900	EUR	
22/05/2015 00:00	4.99	4.99	4.99	4.99	850	EUR	
26/05/2015 00:00	5.09	5.09	5.09	5.09	0	EUR	
28/05/2015 00:00	5.1	5.1	5.1	5.1	0	EUR	
02/06/2015 00:00	4.95	4.95	4.95	4.95	10	EUR	
03/06/2015 00:00	4.95	4.95	4.95	4.95	65	EUR	
04/06/2015 00:00	5.21	5.21	5.21	5.21	0	EUR	
08/06/2015 00:00	4.96	4.96	4.96	4.96	0	EUR	
15/06/2015 00:00	4.95	4.95	4.95	4.95	0	EUR	
19/06/2015 00:00	4.95	4.95	4.95	4.95	200	EUR	
30/06/2015 00:00	4.95	4.95	4.95	4.95	1495	EUR	
01/07/2015 00:00	4.51	4.51	4.51	4.51	120	EUR	
02/07/2015 00:00	4.95	4.95	4.95	4.95	119	EUR	
03/07/2015 00:00	4.85	4.85	4.85	4.85	570	EUR	
06/07/2015 00:00	4.8	4.8	4.8	4.8	0	EUR	
20/07/2015 00:00	4.8	4.8	4.8	4.8	0	EUR	
27/07/2015 00:00	4.6	4.6	4.6	4.6	0	EUR	
30/07/2015 00:00	4.8	4.8	4.8	4.8	0	EUR	
06/08/2015 00:00	4.65	4.65	4.65	4.65	0	EUR	
19/08/2015 00:00	4.65	4.65	4.65	4.65	0	EUR	
21/08/2015 00:00	4.64	4.64	4.64	4.64	605	EUR	
27/08/2015 00:00	5	5	5	5	0	EUR	
04/09/2015 00:00	4.05	4.05	4.05	4.05	100	EUR	
07/09/2015 00:00	4.1	4.1	4.1	4.1	0	EUR	
14/09/2015 00:00	4.11	4.11	4.11	4.11	0	EUR	
17/09/2015 00:00	4.12	4.12	4.12	4.12	0	EUR	
23/09/2015 00:00	4.01	4.01	4.01	4.01	30	EUR	
24/09/2015 00:00	4.02	4.02	4.02	4.02	0	EUR	
02/10/2015 00:00	4.1	4.1	4.1	4.1	504	EUR	
05/10/2015 00:00	4.1	4.1	4.1	4.1	0	EUR	
14/10/2015 00:00	4.01	4.01	4.01	4.01	220	EUR	
15/10/2015 00:00	4	4	4	4	338	EUR	
16/10/2015 00:00	3.75	3.75	3.75	3.75	30	EUR	
21/10/2015 00:00	4.43	4.43	4.43	4.43	0	EUR	
23/10/2015 00:00	4.33	4.33	4.33	4.33	96	EUR	
26/10/2015 00:00	4	4	4	4	0	EUR	
28/10/2015 00:00	4.05	4.05	4.05	4.05	150	EUR	
29/10/2015 00:00	4.05	4.05	4.05	4.05	0	EUR	
05/11/2015 00:00	4.05	4.05	4.05	4.05	400	EUR	
06/11/2015 00:00	4.05	4.05	4.05	4.05	995	EUR	
20/11/2015 00:00	4.05	4.05	4.05	4.05	10	EUR	
02/12/2015 00:00	3.1	3.1	3.1	3.1	1	EUR	
03/12/2015 00:00	3.61	3.61	3.61	3.61	200	EUR	
04/12/2015 00:00	3.61	3.61	3.61	3.61	200	EUR	
08/12/2015 00:00	3.61	3.61	3.61	3.61	18	EUR	
09/12/2015 00:00	3.61	3.61	3.61	3.61	0	EUR	
11/12/2015 00:00	3.97	3.97	3.97	3.97	10	EUR	
14/12/2015 00:00	3.77	3.77	3.77	3.77	0	EUR	
21/12/2015 00:00	3.61	3.61	3.61	3.61	922	EUR	
22/12/2015 00:00	3.85	3.85	3.85	3.85	500	EUR	
23/12/2015 00:00	3.61	3.61	3.61	3.61	0	EUR	
04/01/2016 00:00	3.5	3.5	3.5	3.5	0	EUR	
07/01/2016 00:00	3.61	3.61	3.61	3.61	0	EUR	
11/01/2016 00:00	3.59	3.59	3.59	3.59	1220	EUR	
12/01/2016 00:00	3.5	3.5	3.5	3.5	771	EUR	
13/01/2016 00:00	3.56	3.56	3.56	3.56	0	EUR	
22/01/2016 00:00	3.99	3.99	3.99	3.99	50	EUR	
25/01/2016 00:00	3.57	3.57	3.57	3.57	0	EUR	
04/02/2016 00:00	3.19	3.19	3.19	3.19	0	EUR	
11/02/2016 00:00	3	3	3	3	485	EUR	
12/02/2016 00:00	3.31	3.31	3.31	3.31	50	EUR	
16/02/2016 00:00	3.31	3.31	3.31	3.31	0	EUR	
02/03/2016 00:00	3.31	3.31	3.31	3.31	0	EUR	
04/03/2016 00:00	3	3	3	3	9	EUR	
08/03/2016 00:00	3	3	3	3	0	EUR	
23/03/2016 00:00	3.12	3.12	3.12	3.12	0	EUR	
05/04/2016 00:00	3.12	3.12	3.12	3.12	0	EUR	
07/04/2016 00:00	3.12	3.12	3.12	3.12	8	EUR	
08/04/2016 00:00	3.12	3.12	3.12	3.12	901	EUR	
18/04/2016 00:00	3.13	3.13	3.13	3.13	0	EUR	
20/04/2016 00:00	3.13	3.13	3.13	3.13	0	EUR	
11/05/2016 00:00	3.99	3.99	3.99	3.99	0	EUR	
07/06/2016 00:00	3.24	3.24	3.24	3.24	0	EUR	
10/06/2016 00:00	3.19	3.35	3.19	3.35	130	EUR	
17/06/2016 00:00	3.38	3.38	3.38	3.38	122	EUR	
21/06/2016 00:00	3.2	3.2	3.2	3.2	0	EUR	
12/07/2016 00:00	3.78	3.78	3.78	3.78	0	EUR	
21/07/2016 00:00	3.78	3.78	3.78	3.78	0	EUR	
28/07/2016 00:00	3.39	3.39	3.39	3.39	220	EUR	
29/07/2016 00:00	3.07	3.07	3.07	3.07	50	EUR	
19/08/2016 00:00	3.11	3.11	3.11	3.11	200	EUR	
30/08/2016 00:00	3.4	3.4	3.4	3.4	0	EUR	
05/09/2016 00:00	3.2	3.2	3.2	3.2	0	EUR	
27/09/2016 00:00	3.01	3.01	3.01	3.01	500	EUR	
28/09/2016 00:00	2.71	2.71	2.71	2.71	1850	EUR	
29/09/2016 00:00	2.75	2.75	2.75	2.75	0	EUR	
04/10/2016 00:00	2.49	2.49	2.49	2.49	0	EUR	
06/10/2016 00:00	2.7	2.7	2.7	2.7	2850	EUR	
07/10/2016 00:00	2.7	2.7	2.7	2.7	200	EUR	
