date	ouv	haut	bas	clot	vol	devise	
25/05/2015 00:00	14.78	14.78	14.77	14.78	1532	EUR	
26/05/2015 00:00	14.77	14.77	14.55	14.77	544	EUR	
27/05/2015 00:00	14.84	14.84	14.84	14.84	0	EUR	
29/05/2015 00:00	14.84	14.84	14.75	14.75	5016	EUR	
01/06/2015 00:00	14.75	15	14.75	15	2336	EUR	
02/06/2015 00:00	15	15	14.75	14.75	684	EUR	
03/06/2015 00:00	14.88	15	14.88	15	3016	EUR	
04/06/2015 00:00	14.75	14.8	14.75	14.78	804	EUR	
05/06/2015 00:00	14.78	15.06	14.7	14.98	1540	EUR	
08/06/2015 00:00	14.98	14.98	14.98	14.98	80	EUR	
09/06/2015 00:00	15	15	15	15	1388	EUR	
10/06/2015 00:00	15	15	14.55	14.58	1144	EUR	
11/06/2015 00:00	14.6	15.06	14.6	15.06	364	EUR	
12/06/2015 00:00	15.1	15.1	13.89	15	5872	EUR	
15/06/2015 00:00	15	15	14.25	14.26	336	EUR	
16/06/2015 00:00	14.3	14.3	13.63	14.08	6896	EUR	
17/06/2015 00:00	14.24	14.99	14.12	14.99	8256	EUR	
18/06/2015 00:00	14.75	14.75	14.75	14.75	1328	EUR	
19/06/2015 00:00	14.62	15	14.62	14.67	3108	EUR	
22/06/2015 00:00	14.75	15	14.75	15	2184	EUR	
23/06/2015 00:00	14.7	14.75	14.7	14.75	3488	EUR	
24/06/2015 00:00	14.75	14.88	14.75	14.88	1088	EUR	
25/06/2015 00:00	14.88	14.88	14.88	14.88	332	EUR	
26/06/2015 00:00	14.88	15	14.88	15	3436	EUR	
29/06/2015 00:00	13.85	15	13.85	15	3108	EUR	
30/06/2015 00:00	15	15.04	14.52	15.04	3272	EUR	
01/07/2015 00:00	15	15.02	15	15.02	2472	EUR	
02/07/2015 00:00	15.02	15.02	14.93	14.94	644	EUR	
03/07/2015 00:00	14.94	14.95	14.52	14.52	628	EUR	
06/07/2015 00:00	14.99	14.99	14.97	14.97	84	EUR	
07/07/2015 00:00	14.97	14.97	14.5	14.5	136	EUR	
08/07/2015 00:00	14.51	15	14.51	14.88	3152	EUR	
09/07/2015 00:00	14.65	15.02	14.65	14.98	3448	EUR	
10/07/2015 00:00	14.98	15.38	14.98	15.37	4504	EUR	
13/07/2015 00:00	15.4	17.5	15.4	16.27	14724	EUR	
14/07/2015 00:00	16.5	17.08	16.5	17.08	4676	EUR	
15/07/2015 00:00	17.11	17.11	16.52	17.08	1656	EUR	
16/07/2015 00:00	16.02	16.97	15.76	16.97	2952	EUR	
17/07/2015 00:00	17.03	17.09	16.38	16.75	3992	EUR	
20/07/2015 00:00	16.77	16.92	16.6	16.75	2124	EUR	
21/07/2015 00:00	16.75	17.22	16.75	17.03	1020	EUR	
22/07/2015 00:00	17.03	17.22	17.03	17.22	768	EUR	
23/07/2015 00:00	16.88	16.99	16.87	16.89	1148	EUR	
24/07/2015 00:00	16.89	16.89	16.75	16.75	1360	EUR	
27/07/2015 00:00	16.75	16.75	16.63	16.64	544	EUR	
28/07/2015 00:00	16.64	17	16.64	17	1716	EUR	
29/07/2015 00:00	16.99	17.25	16.62	17.25	14136	EUR	
30/07/2015 00:00	17.25	17.48	17.25	17.25	408	EUR	
31/07/2015 00:00	16.61	17.18	16.61	17.17	1936	EUR	
03/08/2015 00:00	17.18	17.18	16.62	17.16	2412	EUR	
04/08/2015 00:00	17.18	17.18	16.8	16.81	344	EUR	
05/08/2015 00:00	16.8	17	16.8	16.97	864	EUR	
06/08/2015 00:00	16.96	16.96	16.8	16.8	2784	EUR	
07/08/2015 00:00	16.8	16.8	16.8	16.8	444	EUR	
10/08/2015 00:00	16.62	16.75	16.62	16.75	1192	EUR	
11/08/2015 00:00	16.92	17.17	16.92	17.13	4752	EUR	
12/08/2015 00:00	17	17.16	16.55	16.75	9056	EUR	
13/08/2015 00:00	16.75	18.2	16.75	17.99	14160	EUR	
14/08/2015 00:00	18.12	18.12	17.55	17.88	1312	EUR	
17/08/2015 00:00	17.88	17.88	17.83	17.88	3920	EUR	
18/08/2015 00:00	17.88	18.24	17.88	18.19	1076	EUR	
19/08/2015 00:00	18.2	18.3	18.15	18.15	2332	EUR	
20/08/2015 00:00	18.15	18.18	17.63	18.18	384	EUR	
21/08/2015 00:00	17	17.2	16.51	16.75	4972	EUR	
24/08/2015 00:00	16.52	16.52	15.08	15.5	7176	EUR	
25/08/2015 00:00	15.5	16	15.5	15.75	3948	EUR	
26/08/2015 00:00	15.75	17.3	15.75	17.14	2080	EUR	
27/08/2015 00:00	17.14	17.28	16.88	17	1276	EUR	
28/08/2015 00:00	17	17.02	17	17.02	444	EUR	
31/08/2015 00:00	17.02	17.02	16.88	17.02	3612	EUR	
01/09/2015 00:00	17.02	17.02	16.62	16.75	4264	EUR	
02/09/2015 00:00	16.75	16.75	16.62	16.74	5780	EUR	
03/09/2015 00:00	16.74	16.74	16.58	16.74	648	EUR	
04/09/2015 00:00	16.58	16.58	16.22	16.25	25732	EUR	
07/09/2015 00:00	16.49	16.5	16.2	16.5	700	EUR	
08/09/2015 00:00	16.5	16.55	16.5	16.55	44	EUR	
09/09/2015 00:00	16.55	16.75	16.55	16.75	404	EUR	
10/09/2015 00:00	16.75	16.75	16.61	16.61	2004	EUR	
11/09/2015 00:00	16.61	16.61	16.42	16.42	1504	EUR	
14/09/2015 00:00	16.5	16.5	16	16.42	892	EUR	
15/09/2015 00:00	16.42	16.42	16	16	152	EUR	
16/09/2015 00:00	16.13	16.42	16.13	16.38	532	EUR	
17/09/2015 00:00	16.38	16.44	16.25	16.25	2340	EUR	
18/09/2015 00:00	16.44	16.44	15.92	15.92	628	EUR	
21/09/2015 00:00	15.92	17.12	15.92	17.12	2996	EUR	
22/09/2015 00:00	17.12	17.12	16.75	16.75	1044	EUR	
23/09/2015 00:00	17.35	17.75	17.35	17.38	71428	EUR	
24/09/2015 00:00	17.38	17.38	17.27	17.38	568	EUR	
25/09/2015 00:00	17.37	17.37	16.5	16.95	4288	EUR	
28/09/2015 00:00	16.84	16.87	16.48	16.48	2248	EUR	
29/09/2015 00:00	16.48	16.48	16	16.25	2796	EUR	
30/09/2015 00:00	16.25	16.48	16.1	16.48	1880	EUR	
01/10/2015 00:00	16.37	16.37	16.1	16.1	2004	EUR	
02/10/2015 00:00	16.1	16.47	16.1	16.47	36	EUR	
05/10/2015 00:00	16.54	16.54	16.43	16.5	336	EUR	
06/10/2015 00:00	16.5	16.54	16.26	16.26	1000	EUR	
07/10/2015 00:00	16.2	16.2	16.06	16.2	864	EUR	
08/10/2015 00:00	16.1	16.12	16.1	16.12	384	EUR	
09/10/2015 00:00	16.13	16.42	16.08	16.25	7580	EUR	
12/10/2015 00:00	16.44	16.85	16.44	16.68	2084	EUR	
13/10/2015 00:00	16.85	16.85	16.7	16.75	2516	EUR	
14/10/2015 00:00	16.75	16.8	16.7	16.7	1268	EUR	
15/10/2015 00:00	16.8	16.8	16.8	16.8	1524	EUR	
16/10/2015 00:00	16.8	16.85	16.8	16.85	1608	EUR	
19/10/2015 00:00	16.85	16.85	16.81	16.84	1344	EUR	
20/10/2015 00:00	16.85	17.25	16.83	17.24	3096	EUR	
21/10/2015 00:00	17.12	17.12	16.45	16.74	5512	EUR	
22/10/2015 00:00	16.74	16.74	16.57	16.73	260	EUR	
23/10/2015 00:00	16.67	16.73	16.56	16.56	1836	EUR	
26/10/2015 00:00	16.73	16.73	16.47	16.47	1272	EUR	
27/10/2015 00:00	16.47	16.88	16.47	16.52	4572	EUR	
28/10/2015 00:00	16.75	16.75	16.5	16.57	1296	EUR	
29/10/2015 00:00	16.75	16.75	16.59	16.59	840	EUR	
30/10/2015 00:00	16.59	16.75	16.57	16.69	9852	EUR	
02/11/2015 00:00	16.75	16.75	16.43	16.43	1600	EUR	
03/11/2015 00:00	16.43	16.6	16.4	16.41	1320	EUR	
04/11/2015 00:00	16.65	16.65	16.6	16.6	164	EUR	
05/11/2015 00:00	16.36	16.38	16.13	16.13	3972	EUR	
06/11/2015 00:00	16.13	16.3	16.13	16.26	1684	EUR	
09/11/2015 00:00	16.5	16.5	16.25	16.27	2216	EUR	
10/11/2015 00:00	16.27	16.3	16.14	16.25	2860	EUR	
11/11/2015 00:00	16.25	16.46	16.25	16.27	32	EUR	
12/11/2015 00:00	16.5	16.5	16.25	16.25	116	EUR	
13/11/2015 00:00	16.25	16.29	16.25	16.26	992	EUR	
16/11/2015 00:00	16.27	16.5	16.25	16.49	2040	EUR	
17/11/2015 00:00	16.48	16.48	16.48	16.48	4	EUR	
18/11/2015 00:00	16.48	16.48	16.26	16.26	108	EUR	
19/11/2015 00:00	16.47	16.47	16.44	16.45	300	EUR	
20/11/2015 00:00	16.45	16.45	16.37	16.38	1008	EUR	
23/11/2015 00:00	16.37	16.38	16.13	16.29	588	EUR	
24/11/2015 00:00	16.13	16.3	16.13	16.3	2608	EUR	
25/11/2015 00:00	16.3	16.3	16.25	16.25	364	EUR	
26/11/2015 00:00	16.38	16.38	16.25	16.25	552	EUR	
27/11/2015 00:00	16.25	16.31	16.25	16.31	1268	EUR	
30/11/2015 00:00	16.31	16.31	16.13	16.25	2700	EUR	
01/12/2015 00:00	16.25	16.25	16.18	16.2	1568	EUR	
02/12/2015 00:00	16.2	16.25	16.2	16.25	1948	EUR	
03/12/2015 00:00	16.25	16.25	16.25	16.25	3312	EUR	
04/12/2015 00:00	16.25	16.38	16.16	16.25	3168	EUR	
07/12/2015 00:00	16.16	16.38	16.16	16.25	512	EUR	
08/12/2015 00:00	16.2	16.2	16.16	16.16	1332	EUR	
09/12/2015 00:00	16.25	16.25	16	16	2176	EUR	
10/12/2015 00:00	16	16.08	16	16.05	436	EUR	
11/12/2015 00:00	16.06	16.2	16.05	16.12	388	EUR	
14/12/2015 00:00	16.13	16.25	16.12	16.25	356	EUR	
15/12/2015 00:00	16.25	16.25	16.25	16.25	68	EUR	
16/12/2015 00:00	16.25	16.25	16.02	16.25	9704	EUR	
17/12/2015 00:00	16.25	17.5	16.23	16.25	8444	EUR	
18/12/2015 00:00	16.26	16.29	16.25	16.25	6860	EUR	
21/12/2015 00:00	16.25	16.25	16.04	16.25	2340	EUR	
22/12/2015 00:00	16.24	17.12	16.22	16.25	4088	EUR	
23/12/2015 00:00	16.26	16.27	16.25	16.25	4116	EUR	
24/12/2015 00:00	16.25	16.25	16.06	16.25	484	EUR	
28/12/2015 00:00	16.25	16.25	16.07	16.07	1580	EUR	
29/12/2015 00:00	16.07	16.5	16.07	16.5	1704	EUR	
30/12/2015 00:00	16.25	17	16.25	16.34	1060	EUR	
31/12/2015 00:00	16.38	17	16.38	17	476	EUR	
04/01/2016 00:00	17	17	16.39	16.77	2788	EUR	
05/01/2016 00:00	16.77	16.77	16.38	16.77	152	EUR	
06/01/2016 00:00	16.77	16.77	16.25	16.67	2884	EUR	
07/01/2016 00:00	16.06	16.25	16	16.2	2188	EUR	
08/01/2016 00:00	16.2	16.2	16.04	16.04	540	EUR	
11/01/2016 00:00	16.04	16.5	16.04	16.35	2680	EUR	
12/01/2016 00:00	16.56	16.56	16.49	16.49	1100	EUR	
13/01/2016 00:00	16.51	16.84	16.51	16.84	564	EUR	
14/01/2016 00:00	16.14	16.25	16.11	16.25	780	EUR	
15/01/2016 00:00	16.25	16.25	16.05	16.05	1812	EUR	
18/01/2016 00:00	16.05	16.05	16.05	16.05	436	EUR	
19/01/2016 00:00	16.05	16.25	16.05	16.25	1204	EUR	
20/01/2016 00:00	16.12	16.12	16.02	16.11	3560	EUR	
21/01/2016 00:00	16.04	16.11	16.04	16.04	1184	EUR	
22/01/2016 00:00	15.76	16.25	15.02	16.25	9792	EUR	
25/01/2016 00:00	16.25	16.27	16.25	16.27	4820	EUR	
26/01/2016 00:00	16.25	16.25	16.25	16.25	4	EUR	
27/01/2016 00:00	16.32	16.62	16.28	16.62	47032	EUR	
28/01/2016 00:00	16.62	16.65	16.38	16.5	12968	EUR	
29/01/2016 00:00	16.6	16.6	16.45	16.58	12272	EUR	
01/02/2016 00:00	16.58	16.58	16.38	16.38	8348	EUR	
02/02/2016 00:00	16.38	16.5	16.35	16.5	48532	EUR	
03/02/2016 00:00	16.5	16.74	16.5	16.64	2200	EUR	
04/02/2016 00:00	16.64	17.02	16.64	16.89	1968	EUR	
05/02/2016 00:00	16.89	17.57	17.57	17.57	4664	EUR	
08/02/2016 00:00	17.88	19.65	17.88	18.66	15448	EUR	
09/02/2016 00:00	18.75	18.75	17.5	17.7	5220	EUR	
10/02/2016 00:00	17.7	18.36	17.7	18.25	4608	EUR	
11/02/2016 00:00	18.25	18.25	17.98	17.98	2596	EUR	
12/02/2016 00:00	17.98	17.98	17.7	17.9	1256	EUR	
15/02/2016 00:00	18.24	18.52	18.18	18.55	5020	EUR	
16/02/2016 00:00	18.75	18.75	18.62	18.69	3388	EUR	
17/02/2016 00:00	18.69	18.71	18.46	18.46	1224	EUR	
18/02/2016 00:00	18.47	18.47	18.3	18.44	1728	EUR	
19/02/2016 00:00	18.44	18.5	18.44	18.44	728	EUR	
22/02/2016 00:00	18.5	18.5	18.06	18.2	3428	EUR	
23/02/2016 00:00	18.2	18.2	18.02	18.02	1556	EUR	
24/02/2016 00:00	18.02	18.02	17.83	17.85	1076	EUR	
25/02/2016 00:00	17.85	18.2	17.85	18.05	1284	EUR	
26/02/2016 00:00	18.05	18.05	17.86	17.86	3148	EUR	
29/02/2016 00:00	17.5	17.88	17.5	17.88	2604	EUR	
01/03/2016 00:00	17.88	17.9	17.88	17.88	400	EUR	
02/03/2016 00:00	18.05	18.25	18.04	18.13	996	EUR	
03/03/2016 00:00	18.13	18.24	18.13	18.18	712	EUR	
04/03/2016 00:00	18.18	18.24	18.18	18.23	524	EUR	
07/03/2016 00:00	18.23	18.25	18.23	18.25	1924	EUR	
08/03/2016 00:00	18.27	18.42	18.27	18.36	32480	EUR	
09/03/2016 00:00	18.42	18.45	18.38	18.38	3924	EUR	
10/03/2016 00:00	18.38	18.42	18.38	18.39	3676	EUR	
11/03/2016 00:00	18.39	18.41	18.38	18.38	2904	EUR	
14/03/2016 00:00	18.38	18.45	18.38	18.42	1776	EUR	
15/03/2016 00:00	18.42	18.45	18.4	18.45	2188	EUR	
16/03/2016 00:00	18.46	18.59	18.45	18.59	20396	EUR	
17/03/2016 00:00	18.59	18.59	18.25	18.25	2660	EUR	
18/03/2016 00:00	18.25	18.29	18.25	18.29	324	EUR	
21/03/2016 00:00	18.29	18.36	18.25	18.3	2096	EUR	
22/03/2016 00:00	18.23	18.23	18.23	18.23	604	EUR	
23/03/2016 00:00	18.23	18.34	18.15	18.15	896	EUR	
24/03/2016 00:00	18.15	18.27	18.15	18.21	320	EUR	
29/03/2016 00:00	18.21	18.21	18.18	18.2	1324	EUR	
30/03/2016 00:00	18.2	18.29	18.19	18.25	2024	EUR	
31/03/2016 00:00	18.25	18.37	18.25	18.37	1380	EUR	
01/04/2016 00:00	18.37	18.59	18.37	18.58	1648	EUR	
04/04/2016 00:00	18.59	18.62	18.58	18.62	4300	EUR	
05/04/2016 00:00	18.62	18.62	18.6	18.6	288	EUR	
06/04/2016 00:00	18.62	18.62	18.58	18.6	1724	EUR	
07/04/2016 00:00	18.6	18.62	18.6	18.62	1604	EUR	
08/04/2016 00:00	18.62	18.62	18.44	18.57	1460	EUR	
11/04/2016 00:00	18.56	18.62	18.45	18.62	4244	EUR	
12/04/2016 00:00	18.62	18.62	18.57	18.57	2020	EUR	
13/04/2016 00:00	18.57	18.68	18.57	18.68	9108	EUR	
14/04/2016 00:00	18.6	18.68	18.6	18.67	1648	EUR	
15/04/2016 00:00	18.67	18.67	18.57	18.66	2460	EUR	
18/04/2016 00:00	18.66	18.66	18.64	18.65	952	EUR	
19/04/2016 00:00	18.67	18.68	18.45	18.59	2656	EUR	
20/04/2016 00:00	18.68	18.68	18.67	18.68	3388	EUR	
21/04/2016 00:00	18.85	19.42	18.85	19.29	137700	EUR	
22/04/2016 00:00	19.49	19.62	19.46	19.61	28832	EUR	
25/04/2016 00:00	19.61	19.61	19.45	19.56	5968	EUR	
26/04/2016 00:00	19.56	19.56	19.45	19.55	2488	EUR	
27/04/2016 00:00	19.55	19.55	19.46	19.55	1696	EUR	
28/04/2016 00:00	19.55	19.56	19.43	19.43	4056	EUR	
29/04/2016 00:00	19.38	19.38	19.29	19.34	8640	EUR	
02/05/2016 00:00	19.36	19.45	19.34	19.39	5292	EUR	
03/05/2016 00:00	19.41	19.41	18.88	19	3032	EUR	
04/05/2016 00:00	19	19	18.75	18.75	2996	EUR	
05/05/2016 00:00	18.75	18.75	18.69	18.75	712	EUR	
06/05/2016 00:00	18.75	18.75	17.62	17.87	12836	EUR	
09/05/2016 00:00	17.89	18.12	17.88	17.91	5952	EUR	
10/05/2016 00:00	17.91	18.25	17.91	18.14	596	EUR	
11/05/2016 00:00	18.5	18.62	18.5	18.5	1408	EUR	
12/05/2016 00:00	18.55	19.25	18.55	19	4668	EUR	
13/05/2016 00:00	19	19.31	19	19.31	2284	EUR	
16/05/2016 00:00	19.4	19.4	19.31	19.31	1052	EUR	
17/05/2016 00:00	19.31	19.32	19.31	19.31	740	EUR	
18/05/2016 00:00	19.31	19.31	19.12	19.12	3204	EUR	
19/05/2016 00:00	19.12	19.12	18.62	18.63	2092	EUR	
20/05/2016 00:00	18.64	18.66	18.63	18.64	824	EUR	
23/05/2016 00:00	18.64	18.75	18.64	18.75	1408	EUR	
24/05/2016 00:00	18.75	18.81	18.72	18.72	1624	EUR	
25/05/2016 00:00	18.72	18.72	18.71	18.71	492	EUR	
26/05/2016 00:00	18.75	18.75	18.75	18.75	1384	EUR	
27/05/2016 00:00	18.75	18.82	18.75	18.75	608	EUR	
30/05/2016 00:00	18.75	19.11	18.75	18.88	676	EUR	
31/05/2016 00:00	18.98	19.25	18.98	19.18	692	EUR	
01/06/2016 00:00	19.19	19.19	19.08	19.14	820	EUR	
02/06/2016 00:00	19.14	19.35	19.11	19.35	640	EUR	
03/06/2016 00:00	19.35	19.9	19.3	19.9	5816	EUR	
06/06/2016 00:00	19.92	20.42	19.92	20.42	3532	EUR	
07/06/2016 00:00	20.7	21.12	20.7	21.12	12228	EUR	
08/06/2016 00:00	21.12	21.12	20.12	20.5	4344	EUR	
09/06/2016 00:00	20.54	21.11	20.46	21.11	1164	EUR	
10/06/2016 00:00	21.11	21.11	20.16	20.34	3528	EUR	
13/06/2016 00:00	20.31	20.31	20	20	5708	EUR	
14/06/2016 00:00	20	20.24	20	20	12844	EUR	
15/06/2016 00:00	20	20.48	20	20.35	3496	EUR	
16/06/2016 00:00	20.35	20.35	20	20.11	1764	EUR	
17/06/2016 00:00	20.97	20.97	19.96	20.13	3480	EUR	
20/06/2016 00:00	20.13	20.33	20.12	20.33	1944	EUR	
21/06/2016 00:00	20.33	20.75	20.33	20.6	1184	EUR	
22/06/2016 00:00	20.55	20.62	20.32	20.37	4064	EUR	
23/06/2016 00:00	20.37	20.37	20.2	20.21	9696	EUR	
24/06/2016 00:00	17.75	18.75	17.5	18.75	14996	EUR	
27/06/2016 00:00	18.75	20.37	18.73	19.26	11168	EUR	
