date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	34.4	34.6	34	34.35	12883	EUR	
19/05/2015 00:00	34.35	34.97	34.3	34.7	34666	EUR	
20/05/2015 00:00	34.6	34.6	34.37	34.55	984	EUR	
21/05/2015 00:00	34.6	34.6	34.06	34.58	1896	EUR	
22/05/2015 00:00	34.56	34.6	34.21	34.33	780	EUR	
25/05/2015 00:00	34.5	34.5	34.5	34.5	25	EUR	
26/05/2015 00:00	34.12	34.6	34.1	34.6	2022	EUR	
27/05/2015 00:00	34.58	34.58	34.18	34.18	261	EUR	
28/05/2015 00:00	34.51	34.52	34.51	34.52	50	EUR	
29/05/2015 00:00	34.56	34.57	34.18	34.19	833	EUR	
01/06/2015 00:00	34.15	34.16	33.52	33.94	1777	EUR	
02/06/2015 00:00	33.55	33.97	33.51	33.97	233	EUR	
03/06/2015 00:00	33.98	33.98	32.82	33.7	658	EUR	
04/06/2015 00:00	33.98	33.98	32.5	32.72	339	EUR	
05/06/2015 00:00	32.53	32.53	32.53	32.53	6	EUR	
08/06/2015 00:00	32.99	32.99	32.99	32.99	0	EUR	
10/06/2015 00:00	32.53	33.15	32.52	33.01	645	EUR	
11/06/2015 00:00	33.7	34.4	33.51	34.4	1524	EUR	
12/06/2015 00:00	33.51	33.98	31.55	32.1	1389	EUR	
15/06/2015 00:00	31.67	33.48	31.52	33.11	1009	EUR	
16/06/2015 00:00	33	33.96	33	33.96	432	EUR	
17/06/2015 00:00	33.35	33.35	33.35	33.35	0	EUR	
19/06/2015 00:00	32.63	33.34	32.61	32.84	401	EUR	
22/06/2015 00:00	33	34	32.6	34	1208	EUR	
23/06/2015 00:00	33.6	33.61	33.51	33.51	100	EUR	
24/06/2015 00:00	34	34	31.63	32.02	1685	EUR	
25/06/2015 00:00	32.19	33	32.01	33	1291	EUR	
26/06/2015 00:00	32.5	33.84	32.5	33.01	1452	EUR	
29/06/2015 00:00	33.87	33.87	33.87	33.87	10	EUR	
30/06/2015 00:00	33.88	33.88	32.5	32.5	559	EUR	
01/07/2015 00:00	32.26	33	32.26	33	89	EUR	
02/07/2015 00:00	33.25	33.25	32.7	32.7	60	EUR	
03/07/2015 00:00	32.77	33.49	32.77	32.92	539	EUR	
06/07/2015 00:00	33.8	34	33.14	33.98	1099	EUR	
07/07/2015 00:00	33.32	33.98	33.32	33.98	175	EUR	
08/07/2015 00:00	33.32	34.38	33.32	34.37	1379	EUR	
09/07/2015 00:00	34	34.38	34	34.03	115	EUR	
10/07/2015 00:00	34.06	34.38	34	34.32	632	EUR	
13/07/2015 00:00	34.37	34.61	34	34	20689	EUR	
14/07/2015 00:00	34.54	34.55	34.54	34.55	13	EUR	
15/07/2015 00:00	34.28	34.28	34.28	34.28	40	EUR	
16/07/2015 00:00	34.16	34.58	34.15	34.58	401	EUR	
17/07/2015 00:00	34.13	34.3	34.13	34.14	2003	EUR	
20/07/2015 00:00	34.1	34.7	34.1	34.7	163	EUR	
21/07/2015 00:00	34.68	34.7	34	34.02	2157	EUR	
22/07/2015 00:00	34.11	34.54	34.1	34.54	61	EUR	
23/07/2015 00:00	34.03	34.03	34.03	34.03	25	EUR	
24/07/2015 00:00	34.53	34.57	34	34.57	539	EUR	
27/07/2015 00:00	34.5	34.5	34.5	34.5	1807	EUR	
28/07/2015 00:00	34.47	34.47	34	34.2	1036	EUR	
29/07/2015 00:00	34	34.15	34	34.01	1943	EUR	
30/07/2015 00:00	34.56	34.59	34.56	34.56	510	EUR	
