date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	18.75	18.75	18.61	18.62	1272	EUR	
19/05/2015 00:00	18.7	18.73	18.59	18.59	3278	EUR	
20/05/2015 00:00	18.6	18.6	18.18	18.18	5182	EUR	
21/05/2015 00:00	18.28	18.28	18.18	18.19	3117	EUR	
22/05/2015 00:00	18.19	18.26	18.1	18.13	3131	EUR	
25/05/2015 00:00	18.13	18.13	18.05	18.05	4607	EUR	
26/05/2015 00:00	18.05	18.06	17.85	17.88	7732	EUR	
27/05/2015 00:00	17.88	18.15	17.86	18.15	6867	EUR	
28/05/2015 00:00	17.95	18.58	17.95	18.58	6633	EUR	
29/05/2015 00:00	18.01	18.58	18.01	18.58	6175	EUR	
01/06/2015 00:00	18.35	18.53	18.27	18.36	2774	EUR	
02/06/2015 00:00	18.36	18.36	18.03	18.15	3157	EUR	
03/06/2015 00:00	18.15	18.15	18.02	18.11	1735	EUR	
04/06/2015 00:00	18.11	18.64	18.11	18.64	3587	EUR	
05/06/2015 00:00	18.64	18.85	18.63	18.79	6661	EUR	
08/06/2015 00:00	18.79	18.79	18.5	18.5	2859	EUR	
09/06/2015 00:00	18.45	18.7	18.24	18.45	5959	EUR	
10/06/2015 00:00	18.44	18.84	18.36	18.76	6105	EUR	
11/06/2015 00:00	18.77	19	18.76	19	7502	EUR	
12/06/2015 00:00	18.56	18.84	18.33	18.36	3166	EUR	
15/06/2015 00:00	18.33	18.38	18.24	18.32	2637	EUR	
16/06/2015 00:00	18.32	18.32	17.9	17.9	3221	EUR	
17/06/2015 00:00	17.91	18.12	17.91	18.01	183	EUR	
18/06/2015 00:00	18.01	18.11	17.86	18.1	3728	EUR	
19/06/2015 00:00	18.12	18.3	18.12	18.27	1202	EUR	
22/06/2015 00:00	18.33	18.36	18.27	18.33	906	EUR	
23/06/2015 00:00	18.33	18.48	18.33	18.47	1521	EUR	
24/06/2015 00:00	18.47	18.6	18.45	18.6	3725	EUR	
25/06/2015 00:00	18.6	18.7	18.53	18.6	7164	EUR	
26/06/2015 00:00	18.6	18.75	18.45	18.62	2819	EUR	
29/06/2015 00:00	18.55	18.6	18.17	18.3	7250	EUR	
30/06/2015 00:00	18.3	18.3	18.05	18.2	5703	EUR	
01/07/2015 00:00	18.2	18.5	18.2	18.36	1220	EUR	
02/07/2015 00:00	18.36	18.5	18.1	18.25	1301	EUR	
03/07/2015 00:00	18.25	18.27	18.06	18.1	1240	EUR	
06/07/2015 00:00	18.01	18.3	18	18.26	5671	EUR	
07/07/2015 00:00	18.3	18.56	18.25	18.47	2845	EUR	
08/07/2015 00:00	18.51	18.94	18.5	18.83	5294	EUR	
09/07/2015 00:00	18.83	18.9	18.73	18.89	2986	EUR	
10/07/2015 00:00	18.93	18.95	18.83	18.89	2724	EUR	
13/07/2015 00:00	18.73	18.88	18.73	18.84	1601	EUR	
14/07/2015 00:00	18.84	18.85	18.74	18.75	511	EUR	
15/07/2015 00:00	18.75	18.89	18.74	18.82	842	EUR	
16/07/2015 00:00	18.82	18.95	18.82	18.95	1404	EUR	
17/07/2015 00:00	18.95	19.19	18.95	19.11	7496	EUR	
20/07/2015 00:00	19.19	19.5	19.11	19.5	8274	EUR	
21/07/2015 00:00	19.5	19.55	19.11	19.55	6717	EUR	
22/07/2015 00:00	19.55	19.6	19.44	19.59	2883	EUR	
23/07/2015 00:00	19.59	19.7	19.44	19.44	2886	EUR	
24/07/2015 00:00	19.16	19.6	19.11	19.43	3559	EUR	
27/07/2015 00:00	19.43	19.8	19.43	19.57	2768	EUR	
28/07/2015 00:00	19.6	19.8	19.6	19.74	1389	EUR	
29/07/2015 00:00	19.74	19.88	19.53	19.53	1953	EUR	
30/07/2015 00:00	19.53	19.6	19.43	19.53	2862	EUR	
31/07/2015 00:00	19.53	19.88	19.5	19.88	2094	EUR	
03/08/2015 00:00	19.87	19.87	19.85	19.85	331	EUR	
04/08/2015 00:00	19.8	19.9	19.56	19.86	5148	EUR	
05/08/2015 00:00	19.9	20.15	19.8	20.05	5828	EUR	
06/08/2015 00:00	20.05	20.08	19.9	20.07	2477	EUR	
07/08/2015 00:00	20	20.2	19.98	20.07	3767	EUR	
10/08/2015 00:00	20.07	20.17	20.07	20.17	563	EUR	
11/08/2015 00:00	20.2	20.79	20.17	20.69	10478	EUR	
12/08/2015 00:00	20.52	20.64	20.43	20.5	4280	EUR	
13/08/2015 00:00	20.54	20.55	20	20.15	4299	EUR	
14/08/2015 00:00	20.15	20.25	20.14	20.15	3206	EUR	
17/08/2015 00:00	20.15	20.15	19.99	20.05	2311	EUR	
18/08/2015 00:00	20.05	20.05	19.84	19.84	1559	EUR	
19/08/2015 00:00	19.84	19.84	19.35	19.43	2418	EUR	
20/08/2015 00:00	19.16	19.17	18.93	19	3656	EUR	
21/08/2015 00:00	19	19	18.87	18.88	2664	EUR	
24/08/2015 00:00	18.85	18.88	18.34	18.4	4806	EUR	
25/08/2015 00:00	18.15	18.5	18.14	18.38	7833	EUR	
26/08/2015 00:00	18.45	18.79	18.45	18.78	2390	EUR	
27/08/2015 00:00	18.96	19.5	18.96	19.26	4468	EUR	
28/08/2015 00:00	20.2	20.49	19.71	20.18	13638	EUR	
31/08/2015 00:00	20.12	20.12	19.65	19.93	8787	EUR	
