date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	315.1	315.1	315.1	315.1	0	EUR	
20/05/2015 00:00	317	321	317	321	14	EUR	
21/05/2015 00:00	321	321	314.01	314.01	7	EUR	
22/05/2015 00:00	326	326	326	326	13	EUR	
27/05/2015 00:00	318	318	318	318	0	EUR	
29/05/2015 00:00	314	314	314	314	37	EUR	
01/06/2015 00:00	303	307.3	303	307.3	46	EUR	
02/06/2015 00:00	303.6	318.99	303.6	318.99	27	EUR	
03/06/2015 00:00	319	319	319	319	156	EUR	
04/06/2015 00:00	300	318.19	300	318.19	706	EUR	
05/06/2015 00:00	306	306	306	306	121	EUR	
08/06/2015 00:00	301.2	301.2	301.2	301.2	27	EUR	
09/06/2015 00:00	302.5	305.01	302.5	305.01	41	EUR	
10/06/2015 00:00	303	303	303	303	25	EUR	
11/06/2015 00:00	317.8	317.8	317.8	317.8	10	EUR	
12/06/2015 00:00	319.8	319.8	319.8	319.8	1	EUR	
15/06/2015 00:00	301.62	304	301.62	304	62	EUR	
16/06/2015 00:00	317.79	317.79	317.79	317.79	130	EUR	
17/06/2015 00:00	325	325	325	325	0	EUR	
22/06/2015 00:00	325	325	325	325	0	EUR	
24/06/2015 00:00	309.11	309.11	309.11	309.11	0	EUR	
29/06/2015 00:00	310	310	310	310	62	EUR	
30/06/2015 00:00	321	321	321	321	0	EUR	
02/07/2015 00:00	312	312	312	312	0	EUR	
06/07/2015 00:00	303.21	303.21	303.21	303.21	50	EUR	
07/07/2015 00:00	314.8	314.8	314.8	314.8	23	EUR	
08/07/2015 00:00	303.15	303.15	303.15	303.15	120	EUR	
09/07/2015 00:00	303.5	303.5	303.5	303.5	0	EUR	
13/07/2015 00:00	313.2	313.2	313.2	313.2	48	EUR	
14/07/2015 00:00	314.99	314.99	314.99	314.99	0	EUR	
16/07/2015 00:00	314.99	314.99	314.99	314.99	0	EUR	
20/07/2015 00:00	314.97	314.97	314.97	314.97	6	EUR	
21/07/2015 00:00	315	315	315	315	80	EUR	
22/07/2015 00:00	315	315	315	315	50	EUR	
23/07/2015 00:00	315	315	315	315	9	EUR	
24/07/2015 00:00	315	315	315	315	52	EUR	
27/07/2015 00:00	315	315	315	315	0	EUR	
29/07/2015 00:00	315	315	315	315	0	EUR	
31/07/2015 00:00	315.51	320	315.51	320	14	EUR	
03/08/2015 00:00	325	325	315.01	315.01	24	EUR	
04/08/2015 00:00	339	339	339	339	100	EUR	
05/08/2015 00:00	341.99	341.99	341.99	341.99	55	EUR	
06/08/2015 00:00	341.99	342	341.99	342	92	EUR	
07/08/2015 00:00	342	342	342	342	13	EUR	
10/08/2015 00:00	342	342	342	342	2	EUR	
11/08/2015 00:00	341.99	341.99	341.99	341.99	3	EUR	
12/08/2015 00:00	335	335	335	335	10	EUR	
13/08/2015 00:00	341.99	341.99	341.99	341.99	1	EUR	
14/08/2015 00:00	342	342	342	342	24	EUR	
17/08/2015 00:00	342	342	341.99	341.99	37	EUR	
18/08/2015 00:00	342	342	342	342	33	EUR	
19/08/2015 00:00	345	345	338.11	338.11	40	EUR	
20/08/2015 00:00	342	342	342	342	37	EUR	
21/08/2015 00:00	342	342	342	342	41	EUR	
24/08/2015 00:00	334	334	334	334	0	EUR	
26/08/2015 00:00	329	329	329	329	18	EUR	
27/08/2015 00:00	331	331	330	330	55	EUR	
28/08/2015 00:00	341.39	341.39	341.39	341.39	1	EUR	
31/08/2015 00:00	334.5	334.5	334.5	334.5	5	EUR	
01/09/2015 00:00	330.01	330.01	330.01	330.01	12	EUR	
02/09/2015 00:00	330	330	329	329	125	EUR	
03/09/2015 00:00	337.25	337.25	337.25	337.25	13	EUR	
04/09/2015 00:00	330	330	330	330	28	EUR	
08/09/2015 00:00	330	331	330	331	81	EUR	
09/09/2015 00:00	326.2	330	326.2	330	47	EUR	
10/09/2015 00:00	339	339	339	339	33	EUR	
11/09/2015 00:00	335	340	335	340	12	EUR	
14/09/2015 00:00	347	347	347	347	62	EUR	
15/09/2015 00:00	347	347	347	347	47	EUR	
16/09/2015 00:00	340	340	340	340	0	EUR	
21/09/2015 00:00	335	335	335	335	126	EUR	
22/09/2015 00:00	335	335	335	335	0	EUR	
24/09/2015 00:00	331	340	331	340	170	EUR	
25/09/2015 00:00	332	347	332	347	110	EUR	
