date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	2.61	2.72	2.6	2.67	11258	EUR	
19/05/2015 00:00	2.67	2.74	2.63	2.63	19270	EUR	
20/05/2015 00:00	2.66	2.74	2.65	2.7	10131	EUR	
21/05/2015 00:00	2.71	2.71	2.7	2.7	2144	EUR	
22/05/2015 00:00	2.69	2.7	2.69	2.7	841	EUR	
25/05/2015 00:00	2.7	2.75	2.7	2.75	2751	EUR	
26/05/2015 00:00	2.75	2.75	2.7	2.75	1266	EUR	
27/05/2015 00:00	2.75	2.76	2.61	2.66	6633	EUR	
28/05/2015 00:00	2.66	2.7	2.6	2.6	13470	EUR	
29/05/2015 00:00	2.63	2.64	2.46	2.56	26854	EUR	
01/06/2015 00:00	2.54	2.7	2.54	2.63	22644	EUR	
02/06/2015 00:00	2.66	2.68	2.63	2.65	14351	EUR	
03/06/2015 00:00	2.65	2.66	2.6	2.65	92831	EUR	
04/06/2015 00:00	2.65	2.65	2.63	2.63	2001	EUR	
05/06/2015 00:00	2.64	2.69	2.64	2.69	926	EUR	
08/06/2015 00:00	2.69	2.69	2.63	2.69	2211	EUR	
09/06/2015 00:00	2.69	2.69	2.69	2.69	66	EUR	
10/06/2015 00:00	2.69	2.69	2.69	2.69	170	EUR	
11/06/2015 00:00	2.69	2.75	2.69	2.73	6882	EUR	
12/06/2015 00:00	2.73	2.73	2.67	2.67	2346	EUR	
15/06/2015 00:00	2.66	2.69	2.62	2.62	2687	EUR	
16/06/2015 00:00	2.62	2.62	2.62	2.62	1	EUR	
17/06/2015 00:00	2.62	2.62	2.62	2.62	35	EUR	
18/06/2015 00:00	2.62	2.63	2.62	2.63	921	EUR	
19/06/2015 00:00	2.63	2.66	2.63	2.66	868	EUR	
22/06/2015 00:00	2.66	2.69	2.66	2.68	1673	EUR	
23/06/2015 00:00	2.69	2.71	2.68	2.68	2772	EUR	
24/06/2015 00:00	2.71	2.71	2.68	2.68	4974	EUR	
25/06/2015 00:00	2.68	2.72	2.68	2.68	5991	EUR	
26/06/2015 00:00	2.69	2.73	2.69	2.7	5151	EUR	
29/06/2015 00:00	2.69	2.69	2.67	2.67	5241	EUR	
30/06/2015 00:00	2.67	2.68	2.67	2.68	804	EUR	
01/07/2015 00:00	2.68	2.68	2.68	2.68	227	EUR	
02/07/2015 00:00	2.68	2.69	2.68	2.69	166	EUR	
03/07/2015 00:00	2.69	2.69	2.69	2.69	278	EUR	
