date	ouv	haut	bas	clot	vol	devise	
13/10/2017 00:00	10.771	10.947	10.066	10.183	126002	EUR	
16/10/2017 00:00	10.183	10.223	10.095	10.203	11289	EUR	
17/10/2017 00:00	10.213	10.242	9.498	10.242	21736	EUR	
18/10/2017 00:00	10.281	10.281	9.674	9.792	14287	EUR	
19/10/2017 00:00	9.89	10.017	9.253	9.831	60654	EUR	
20/10/2017 00:00	9.351	9.772	9.351	9.743	4460	EUR	
23/10/2017 00:00	9.743	9.772	9.42	9.694	2376	EUR	
24/10/2017 00:00	9.792	9.909	9.4	9.518	8007	EUR	
25/10/2017 00:00	9.42	9.576	9.381	9.547	6007	EUR	
26/10/2017 00:00	9.518	9.694	9.038	9.518	18549	EUR	
27/10/2017 00:00	9.645	9.645	9.106	9.557	23422	EUR	
30/10/2017 00:00	9.234	9.312	9.106	9.302	9345	EUR	
31/10/2017 00:00	9.302	9.302	9.204	9.302	1771	EUR	
01/11/2017 00:00	8.96	9.195	8.881	8.96	6705	EUR	
02/11/2017 00:00	9.067	9.067	8.813	8.911	7785	EUR	
03/11/2017 00:00	8.852	9.155	8.773	8.911	5956	EUR	
06/11/2017 00:00	8.822	9.243	8.813	9.243	596	EUR	
07/11/2017 00:00	9.292	9.292	8.813	9.243	10902	EUR	
08/11/2017 00:00	8.832	9.126	8.597	9.126	14461	EUR	
09/11/2017 00:00	9.126	9.126	8.715	8.999	11806	EUR	
10/11/2017 00:00	8.999	9.234	8.911	9.048	7101	EUR	
13/11/2017 00:00	8.979	9.048	8.911	8.94	4129	EUR	
14/11/2017 00:00	8.95	8.999	8.764	8.764	6960	EUR	
15/11/2017 00:00	8.95	9.038	8.813	8.94	1507	EUR	
16/11/2017 00:00	9.038	9.204	8.911	9.038	12626	EUR	
17/11/2017 00:00	9.204	9.204	9.038	9.204	2825	EUR	
20/11/2017 00:00	9.204	9.596	9.008	9.4	13566	EUR	
21/11/2017 00:00	9.459	10.086	9.459	10.086	28283	EUR	
22/11/2017 00:00	10.272	10.438	10.164	10.281	12081	EUR	
23/11/2017 00:00	10.272	10.272	9.988	10.164	2394	EUR	
24/11/2017 00:00	10.164	10.174	10.037	10.164	526	EUR	
27/11/2017 00:00	10.183	10.183	9.988	9.988	797	EUR	
28/11/2017 00:00	9.997	10.135	9.939	10.056	1564	EUR	
29/11/2017 00:00	9.792	9.792	9.42	9.684	2387	EUR	
30/11/2017 00:00	9.684	9.792	9.674	9.792	180	EUR	
01/12/2017 00:00	9.792	9.792	9.547	9.684	2992	EUR	
04/12/2017 00:00	9.596	9.743	9.596	9.743	512	EUR	
05/12/2017 00:00	9.743	9.802	9.743	9.743	1006	EUR	
06/12/2017 00:00	9.743	9.792	9.743	9.792	972	EUR	
07/12/2017 00:00	9.694	10.086	9.596	9.792	5352	EUR	
08/12/2017 00:00	9.792	9.792	9.743	9.792	488	EUR	
11/12/2017 00:00	9.802	10.135	9.782	10.135	4908	EUR	
12/12/2017 00:00	10.115	10.33	9.821	10.232	6858	EUR	
13/12/2017 00:00	10.232	10.291	10.232	10.232	184	EUR	
14/12/2017 00:00	10.33	10.761	10.213	10.438	30322	EUR	
15/12/2017 00:00	10.448	10.761	10.438	10.722	7193	EUR	
18/12/2017 00:00	11.466	12.465	10.869	11.075	59738	EUR	
19/12/2017 00:00	11.261	11.662	10.967	11.642	30385	EUR	
20/12/2017 00:00	11.633	12.044	11.221	12.044	44501	EUR	
21/12/2017 00:00	11.76	12.034	11.574	11.946	24898	EUR	
22/12/2017 00:00	12.083	12.142	11.78	12.142	19117	EUR	
27/12/2017 00:00	12.416	12.534	12.24	12.436	12498	EUR	
28/12/2017 00:00	12.534	12.866	12.396	12.817	14391	EUR	
29/12/2017 00:00	12.729	13.062	12.661	13.023	8878	EUR	
02/01/2018 00:00	13.562	13.601	13.346	13.415	14277	EUR	
03/01/2018 00:00	13.454	13.509	13.268	13.415	22080	EUR	
04/01/2018 00:00	13.411	13.415	13.082	13.266	4788	EUR	
05/01/2018 00:00	13.268	13.268	12.044	12.727	17952	EUR	
08/01/2018 00:00	12.729	12.729	12.191	12.416	7388	EUR	
09/01/2018 00:00	12.434	12.729	12.338	12.651	6803	EUR	
10/01/2018 00:00	12.622	12.673	12.602	12.651	998	EUR	
11/01/2018 00:00	12.534	12.631	11.946	12.128	7617	EUR	
12/01/2018 00:00	11.954	12.077	11.858	12.044	5063	EUR	
15/01/2018 00:00	12.142	12.375	12.044	12.044	40723	EUR	
16/01/2018 00:00	12.044	12.093	11.936	11.995	4334	EUR	
17/01/2018 00:00	12.099	12.099	11.476	11.603	7733	EUR	
18/01/2018 00:00	11.652	11.652	10.967	11.065	9419	EUR	
