date	ouv	haut	bas	clot	vol	devise	
13/07/2015 00:00	6.4	8.8	6.3	8.3	260726	EUR	
14/07/2015 00:00	8.77	11.5	8.7	10.6	643990	EUR	
15/07/2015 00:00	11.1	12.29	9.92	10.11	557378	EUR	
16/07/2015 00:00	10.12	10.44	9.71	9.9	180361	EUR	
17/07/2015 00:00	9.96	10.19	9.45	9.78	80347	EUR	
20/07/2015 00:00	9.81	10.98	9.7	10.28	208849	EUR	
21/07/2015 00:00	10.31	10.76	9.81	10.05	91879	EUR	
22/07/2015 00:00	9.93	10.18	9.45	9.95	62879	EUR	
23/07/2015 00:00	10	10.18	9.74	9.99	26139	EUR	
24/07/2015 00:00	10	10.5	9.8	10.08	56860	EUR	
27/07/2015 00:00	9.91	10.16	9.8	9.93	44343	EUR	
28/07/2015 00:00	9.91	10.03	9.73	9.97	26744	EUR	
29/07/2015 00:00	10	10.2	9.86	10.17	25921	EUR	
30/07/2015 00:00	10.15	10.22	9.89	9.91	24658	EUR	
31/07/2015 00:00	9.95	10.1	9.91	9.96	10310	EUR	
03/08/2015 00:00	10.25	12.39	10.06	12.15	261444	EUR	
04/08/2015 00:00	13.22	17.5	12.87	17	1067422	EUR	
05/08/2015 00:00	16.4	19.3	15.25	16.3	963071	EUR	
06/08/2015 00:00	16.01	17.2	16.01	16.78	165619	EUR	
07/08/2015 00:00	16.87	16.87	16.15	16.21	31238	EUR	
10/08/2015 00:00	16.1	17.93	15.51	17.26	160384	EUR	
11/08/2015 00:00	17.49	18	16.81	16.97	138420	EUR	
12/08/2015 00:00	16.81	17.26	16.4	16.67	49676	EUR	
13/08/2015 00:00	17.07	17.15	16.5	16.5	46448	EUR	
14/08/2015 00:00	16.85	16.89	16.45	16.52	23824	EUR	
17/08/2015 00:00	16.52	17.2	16.51	16.9	44069	EUR	
18/08/2015 00:00	17.27	17.35	16.62	16.7	29450	EUR	
19/08/2015 00:00	16.7	16.93	15.2	16.25	48868	EUR	
20/08/2015 00:00	15.9	16	15.25	15.33	49909	EUR	
21/08/2015 00:00	14.9	15.6	14.2	14.82	51693	EUR	
24/08/2015 00:00	13.6	13.99	11.03	12.91	185521	EUR	
25/08/2015 00:00	12.91	14.48	12.63	13.9	101911	EUR	
26/08/2015 00:00	14	14.07	13.4	13.74	44277	EUR	
27/08/2015 00:00	14.28	14.44	13.86	14.02	35222	EUR	
28/08/2015 00:00	14.28	14.28	13.8	13.99	16561	EUR	
31/08/2015 00:00	13.8	13.94	12.95	13.3	55620	EUR	
01/09/2015 00:00	12.95	12.95	12.16	12.49	44049	EUR	
02/09/2015 00:00	12.46	13.49	12.46	12.76	62601	EUR	
03/09/2015 00:00	13.2	13.45	12.92	13.3	18777	EUR	
04/09/2015 00:00	12.83	13.22	12.62	12.62	12933	EUR	
07/09/2015 00:00	12.94	12.94	12.62	12.62	5876	EUR	
08/09/2015 00:00	12.66	13.37	12.61	13.37	27328	EUR	
09/09/2015 00:00	13.43	13.5	13.01	13.11	16828	EUR	
10/09/2015 00:00	13.13	13.3	12.38	13.1	26408	EUR	
11/09/2015 00:00	13.19	13.32	12.8	12.81	17798	EUR	
14/09/2015 00:00	12.57	12.89	12.52	12.68	10084	EUR	
15/09/2015 00:00	12.65	12.75	11.8	12.17	25602	EUR	
16/09/2015 00:00	11.86	11.99	10.7	11.23	92094	EUR	
17/09/2015 00:00	11.37	12.38	11.37	12	69892	EUR	
18/09/2015 00:00	12.27	12.39	11.84	12.15	14823	EUR	
21/09/2015 00:00	12.29	15.47	12.12	14.2	284231	EUR	
22/09/2015 00:00	14.44	14.44	13.54	13.86	53088	EUR	
23/09/2015 00:00	14.1	14.84	13.9	13.92	63255	EUR	
24/09/2015 00:00	13.95	13.95	12.83	13.19	47481	EUR	
25/09/2015 00:00	13.54	13.58	12.84	13	13501	EUR	
28/09/2015 00:00	12.71	13.17	12.35	12.74	43278	EUR	
29/09/2015 00:00	12.21	12.4	11.25	11.9	32616	EUR	
30/09/2015 00:00	12.42	12.44	11.91	11.92	15163	EUR	
01/10/2015 00:00	12.2	12.2	11.24	11.55	37217	EUR	
02/10/2015 00:00	11.59	11.8	11.2	11.45	14500	EUR	
05/10/2015 00:00	11.82	12.63	11.53	11.79	33728	EUR	
06/10/2015 00:00	12.09	12.49	11.79	12.08	21972	EUR	
07/10/2015 00:00	12.06	12.29	11.74	11.9	17629	EUR	
08/10/2015 00:00	12.1	12.5	11.72	12.09	23188	EUR	
09/10/2015 00:00	12.25	12.25	11.84	11.95	21449	EUR	
12/10/2015 00:00	11.99	12.6	11.88	12.34	25968	EUR	
13/10/2015 00:00	12.42	12.5	11.96	12.05	12115	EUR	
14/10/2015 00:00	12.02	12.08	11.85	11.92	17033	EUR	
15/10/2015 00:00	12.05	12.05	11.83	11.85	15914	EUR	
16/10/2015 00:00	11.81	12.24	11.7	11.92	29222	EUR	
19/10/2015 00:00	12.1	12.43	11.98	12.05	21451	EUR	
