date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	1.841	1.857	1.809	1.833	1661	EUR	
19/05/2015 00:00	1.841	1.857	1.841	1.857	1224	EUR	
20/05/2015 00:00	1.857	1.857	1.857	1.857	875	EUR	
21/05/2015 00:00	1.865	1.881	1.857	1.881	2900	EUR	
22/05/2015 00:00	1.873	1.873	1.825	1.841	5150	EUR	
25/05/2015 00:00	1.865	1.905	1.865	1.865	3508	EUR	
26/05/2015 00:00	1.865	1.92	1.865	1.881	2761	EUR	
27/05/2015 00:00	1.881	1.928	1.881	1.928	915	EUR	
28/05/2015 00:00	1.92	1.92	1.889	1.92	1053	EUR	
29/05/2015 00:00	1.92	2.016	1.913	1.944	9719	EUR	
01/06/2015 00:00	1.952	2.135	1.952	2.024	11229	EUR	
02/06/2015 00:00	2.024	2.063	2.016	2.04	2038	EUR	
03/06/2015 00:00	2.04	2.04	1.96	2.024	5604	EUR	
04/06/2015 00:00	2.016	2.071	1.976	2.008	4791	EUR	
05/06/2015 00:00	2.032	2.182	2.032	2.182	42229	EUR	
08/06/2015 00:00	2.182	2.182	2.079	2.143	41569	EUR	
09/06/2015 00:00	2.135	2.143	2.04	2.143	21634	EUR	
10/06/2015 00:00	2.143	2.143	2.103	2.127	1352	EUR	
11/06/2015 00:00	2.111	2.111	2.111	2.111	253	EUR	
12/06/2015 00:00	2.103	2.103	1.928	2.032	53535	EUR	
15/06/2015 00:00	2.032	2.063	1.952	2.063	7312	EUR	
16/06/2015 00:00	2.063	2.063	2.032	2.063	1028	EUR	
17/06/2015 00:00	2.063	2.063	1.936	1.936	2408	EUR	
18/06/2015 00:00	1.968	2.008	1.952	1.952	9216	EUR	
19/06/2015 00:00	1.952	2.008	1.944	1.944	2254	EUR	
22/06/2015 00:00	1.944	1.952	1.944	1.952	374	EUR	
23/06/2015 00:00	1.952	2	1.905	2	3703	EUR	
24/06/2015 00:00	2	2.008	1.952	1.952	1133	EUR	
25/06/2015 00:00	1.984	1.984	1.905	1.952	1139	EUR	
26/06/2015 00:00	1.952	2.024	1.936	1.944	959	EUR	
29/06/2015 00:00	1.825	1.873	1.801	1.873	7219	EUR	
30/06/2015 00:00	1.865	1.865	1.865	1.865	415	EUR	
01/07/2015 00:00	1.865	1.944	1.865	1.905	3147	EUR	
02/07/2015 00:00	1.905	1.905	1.865	1.881	529	EUR	
03/07/2015 00:00	1.881	1.905	1.825	1.897	3900	EUR	
06/07/2015 00:00	1.897	1.928	1.889	1.905	1865	EUR	
07/07/2015 00:00	1.905	1.905	1.905	1.905	847	EUR	
08/07/2015 00:00	1.889	1.889	1.849	1.849	987	EUR	
09/07/2015 00:00	1.849	1.865	1.841	1.865	1600	EUR	
10/07/2015 00:00	1.865	1.928	1.841	1.928	5033	EUR	
13/07/2015 00:00	1.905	1.913	1.905	1.905	2206	EUR	
14/07/2015 00:00	1.905	1.944	1.905	1.944	3514	EUR	
15/07/2015 00:00	1.944	1.944	1.786	1.865	3443	EUR	
16/07/2015 00:00	1.865	1.905	1.857	1.905	2132	EUR	
17/07/2015 00:00	1.905	1.905	1.897	1.905	800	EUR	
20/07/2015 00:00	1.913	1.928	1.754	1.857	10036	EUR	
21/07/2015 00:00	1.857	1.936	1.809	1.936	4664	EUR	
22/07/2015 00:00	1.92	1.96	1.913	1.944	22991	EUR	
23/07/2015 00:00	1.944	1.984	1.936	1.984	22692	EUR	
24/07/2015 00:00	1.984	2.024	1.984	1.984	8124	EUR	
27/07/2015 00:00	1.984	2.127	1.984	2.016	31078	EUR	
28/07/2015 00:00	2.016	2.063	2.016	2.063	7161	EUR	
29/07/2015 00:00	2.063	2.063	2.016	2.016	1525	EUR	
30/07/2015 00:00	2.016	2.182	2.016	2.143	11674	EUR	
31/07/2015 00:00	2.143	2.293	2.103	2.293	29126	EUR	
03/08/2015 00:00	2	2.174	1.944	2.063	41957	EUR	
04/08/2015 00:00	2.063	2.119	2.063	2.079	5440	EUR	
05/08/2015 00:00	2.079	2.087	1.984	2.063	6900	EUR	
06/08/2015 00:00	2.063	2.063	2.055	2.063	771	EUR	
07/08/2015 00:00	2.063	2.071	1.968	2.024	3231	EUR	
10/08/2015 00:00	2.024	2.024	1.889	1.976	8371	EUR	
11/08/2015 00:00	1.976	1.976	1.833	1.913	18235	EUR	
12/08/2015 00:00	1.913	2.539	1.905	2.143	264706	EUR	
13/08/2015 00:00	2.119	2.119	1.913	1.944	87910	EUR	
14/08/2015 00:00	1.944	2.024	1.881	1.913	20066	EUR	
17/08/2015 00:00	1.913	1.952	1.865	1.913	2659	EUR	
18/08/2015 00:00	1.873	1.897	1.841	1.897	6842	EUR	
