date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	21	21	20.85	21	4088	EUR	
19/05/2015 00:00	20.995	21	20.4	20.55	19520	EUR	
20/05/2015 00:00	20.355	20.745	20.355	20.44	5908	EUR	
21/05/2015 00:00	20.6	20.6	20.43	20.47	3703	EUR	
22/05/2015 00:00	20.5	20.57	20.33	20.4	4083	EUR	
25/05/2015 00:00	20.565	20.565	20.4	20.56	1364	EUR	
26/05/2015 00:00	20.41	20.985	20.4	20.98	6493	EUR	
27/05/2015 00:00	21	21	20.75	20.77	5952	EUR	
28/05/2015 00:00	20.865	20.995	20.575	20.615	7975	EUR	
29/05/2015 00:00	20.605	20.695	20.35	20.35	6203	EUR	
01/06/2015 00:00	20.99	21.3	20.815	21.13	14434	EUR	
02/06/2015 00:00	21.2	21.3	20.85	21.2	8838	EUR	
03/06/2015 00:00	21.35	21.495	21.19	21.2	3781	EUR	
04/06/2015 00:00	21.48	21.48	20.85	20.88	4519	EUR	
05/06/2015 00:00	21	21.17	20.9	21.095	5042	EUR	
08/06/2015 00:00	21.19	21.19	20.6	20.6	4071	EUR	
09/06/2015 00:00	20.6	20.735	20.52	20.58	2175	EUR	
10/06/2015 00:00	20.58	20.8	20.58	20.8	2146	EUR	
11/06/2015 00:00	20.8	21.2	20.8	21.145	2873	EUR	
12/06/2015 00:00	21.195	21.195	20.73	20.755	1287	EUR	
15/06/2015 00:00	20.76	20.76	20.34	20.365	6240	EUR	
16/06/2015 00:00	20.4	20.58	20.19	20.3	4571	EUR	
17/06/2015 00:00	20.305	20.59	20.305	20.59	1245	EUR	
18/06/2015 00:00	20.87	20.87	20.2	20.2	3395	EUR	
19/06/2015 00:00	20.865	20.865	20.26	20.8	5939	EUR	
22/06/2015 00:00	20.8	20.95	20.395	20.58	4647	EUR	
23/06/2015 00:00	21.6	22.4	21.12	21.75	28867	EUR	
24/06/2015 00:00	21.98	22	20.7	21.55	9344	EUR	
25/06/2015 00:00	21.255	22.07	21.255	22.07	17785	EUR	
26/06/2015 00:00	21.605	22.49	21.605	22	20714	EUR	
29/06/2015 00:00	21.1	21.51	20.4	21.195	12935	EUR	
30/06/2015 00:00	21.1	21.29	20.29	21.1	16161	EUR	
01/07/2015 00:00	20.55	21.485	20.55	21.285	3436	EUR	
02/07/2015 00:00	21.375	21.375	20.75	21	15074	EUR	
03/07/2015 00:00	20.675	20.965	20.63	20.705	3193	EUR	
06/07/2015 00:00	20.5	20.695	20.01	20.6	7591	EUR	
07/07/2015 00:00	20.255	20.9	20.255	20.9	3104	EUR	
08/07/2015 00:00	20.9	21.5	20.8	21.32	4744	EUR	
09/07/2015 00:00	21.315	21.45	21.035	21.2	1878	EUR	
10/07/2015 00:00	21.4	21.5	21.21	21.47	5375	EUR	
13/07/2015 00:00	21.47	21.76	21.3	21.76	6833	EUR	
14/07/2015 00:00	21.765	21.8	21.3	21.715	3127	EUR	
15/07/2015 00:00	21.45	21.685	21.36	21.6	3736	EUR	
16/07/2015 00:00	21.595	21.695	21.415	21.675	2956	EUR	
17/07/2015 00:00	21.68	22.6	21.5	22.37	15387	EUR	
20/07/2015 00:00	22.6	23.5	22.055	22.695	24318	EUR	
21/07/2015 00:00	22.95	23.3	22.325	23	7246	EUR	
22/07/2015 00:00	23.2	23.2	22.61	23	3013	EUR	
23/07/2015 00:00	23	23	21.9	21.91	5341	EUR	
24/07/2015 00:00	21.91	22.645	21.91	22.3	1759	EUR	
