date	ouv	haut	bas	clot	vol	devise	
25/05/2015 00:00	36.84	37.145	36.43	36.625	284181	EUR	
26/05/2015 00:00	36.705	37	36.33	36.62	882502	EUR	
27/05/2015 00:00	36.775	37.2	36.69	37.1	981826	EUR	
28/05/2015 00:00	37	37.155	36.59	36.84	762441	EUR	
29/05/2015 00:00	36.965	36.995	35.94	35.85	3346545	EUR	
01/06/2015 00:00	35.845	36.11	35.41	35.525	882632	EUR	
02/06/2015 00:00	35.675	35.735	35.085	35.345	1027796	EUR	
03/06/2015 00:00	35.525	35.8	35.145	35.2	997998	EUR	
04/06/2015 00:00	35.1	35.325	34.54	35.075	904645	EUR	
05/06/2015 00:00	35.025	35.095	34.5	34.885	965458	EUR	
08/06/2015 00:00	34.85	34.895	34.215	34.235	755810	EUR	
09/06/2015 00:00	34.15	34.245	33.72	34.225	976830	EUR	
10/06/2015 00:00	34.155	34.86	33.95	34.76	948310	EUR	
11/06/2015 00:00	34.77	34.975	34.17	34.685	1703885	EUR	
12/06/2015 00:00	34.625	34.805	33.965	34.3	1091605	EUR	
15/06/2015 00:00	34	34.185	33.79	33.895	1004367	EUR	
16/06/2015 00:00	33.725	34.26	33.355	34.18	1181616	EUR	
17/06/2015 00:00	34.215	34.345	33.545	33.615	837222	EUR	
18/06/2015 00:00	33.585	33.585	32.945	33.415	1323415	EUR	
19/06/2015 00:00	33.53	33.7	33.195	33.62	1785194	EUR	
22/06/2015 00:00	38.5	38.86	37.62	38.07	5555759	EUR	
23/06/2015 00:00	38	38.47	37.655	38.02	2148244	EUR	
24/06/2015 00:00	35.1	35.665	34.5	34.5	5680307	EUR	
25/06/2015 00:00	34.26	35.45	33.915	35.155	3607902	EUR	
26/06/2015 00:00	35.155	35.42	34.72	34.8	1848675	EUR	
29/06/2015 00:00	33.53	34.53	33.31	34.135	1977440	EUR	
30/06/2015 00:00	34.07	34.26	33.535	33.535	1666956	EUR	
01/07/2015 00:00	33.9	34.145	33.465	33.77	1592349	EUR	
02/07/2015 00:00	33.5	33.635	33.09	33.185	1737515	EUR	
03/07/2015 00:00	33.3	33.395	32.77	32.93	1249310	EUR	
06/07/2015 00:00	32.495	32.575	31.89	31.97	1658220	EUR	
07/07/2015 00:00	32.39	32.395	31.1	31.1	2032240	EUR	
08/07/2015 00:00	31.17	31.38	30.725	30.985	2437547	EUR	
