date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	6.18	6.18	6.16	6.17	1356	EUR	
19/05/2015 00:00	6.2	6.35	6.13	6.35	14884	EUR	
20/05/2015 00:00	6.2	6.35	6.2	6.35	1012	EUR	
21/05/2015 00:00	6.35	6.7	6.34	6.57	8234	EUR	
22/05/2015 00:00	6.43	6.59	6.37	6.57	4020	EUR	
25/05/2015 00:00	6.57	6.72	6.39	6.52	4172	EUR	
26/05/2015 00:00	6.5	6.66	6.3	6.65	1607	EUR	
27/05/2015 00:00	6.63	6.63	6.63	6.63	0	EUR	
29/05/2015 00:00	6.67	6.67	6.35	6.65	3120	EUR	
01/06/2015 00:00	6.46	6.47	6.37	6.37	560	EUR	
02/06/2015 00:00	6.41	6.41	6.41	6.41	24	EUR	
03/06/2015 00:00	6.49	6.51	6.4	6.51	4289	EUR	
04/06/2015 00:00	6.4	6.58	6.4	6.58	1013	EUR	
05/06/2015 00:00	6.64	6.64	6.38	6.4	4836	EUR	
08/06/2015 00:00	6.35	6.49	6.33	6.33	9759	EUR	
09/06/2015 00:00	6.3	6.35	6.3	6.35	10448	EUR	
10/06/2015 00:00	6.45	6.45	6.37	6.45	403	EUR	
11/06/2015 00:00	6.45	6.6	6.35	6.4	4396	EUR	
12/06/2015 00:00	6.42	6.43	6.4	6.42	6667	EUR	
15/06/2015 00:00	6.4	6.5	6.35	6.45	7519	EUR	
16/06/2015 00:00	6.36	6.5	6.34	6.43	3232	EUR	
17/06/2015 00:00	6.43	6.43	6.28	6.28	964	EUR	
18/06/2015 00:00	6.28	6.3	6.25	6.3	4251	EUR	
19/06/2015 00:00	6.4	6.4	6.32	6.39	152	EUR	
22/06/2015 00:00	6.44	6.44	6.32	6.43	1957	EUR	
23/06/2015 00:00	6.44	6.6	6.43	6.58	2695	EUR	
24/06/2015 00:00	6.51	6.6	6.45	6.59	481	EUR	
25/06/2015 00:00	6.44	6.6	6.44	6.57	587	EUR	
26/06/2015 00:00	6.55	6.63	6.55	6.63	2352	EUR	
29/06/2015 00:00	6.3	6.57	6.29	6.49	4924	EUR	
30/06/2015 00:00	6.5	6.5	6.3	6.5	2475	EUR	
01/07/2015 00:00	6.48	6.5	6.32	6.5	689	EUR	
02/07/2015 00:00	6.5	6.5	6.49	6.49	165	EUR	
03/07/2015 00:00	6.49	6.49	6.42	6.49	1054	EUR	
06/07/2015 00:00	6.36	6.49	6.36	6.48	672	EUR	
07/07/2015 00:00	6.49	6.49	6.33	6.48	852	EUR	
08/07/2015 00:00	6.48	6.48	6.48	6.48	50	EUR	
09/07/2015 00:00	6.47	6.47	6.43	6.43	1301	EUR	
10/07/2015 00:00	6.49	6.6	6.48	6.58	2214	EUR	
13/07/2015 00:00	6.59	6.78	6.58	6.77	7941	EUR	
14/07/2015 00:00	6.77	6.79	6.71	6.78	562	EUR	
15/07/2015 00:00	6.77	6.95	6.75	6.94	3838	EUR	
16/07/2015 00:00	6.94	6.96	6.76	6.76	1245	EUR	
17/07/2015 00:00	6.85	6.95	6.85	6.94	423	EUR	
20/07/2015 00:00	6.96	7.07	6.95	7.06	2817	EUR	
21/07/2015 00:00	7.09	7.09	6.81	7.08	2887	EUR	
22/07/2015 00:00	7.08	7.08	7.07	7.07	240	EUR	
23/07/2015 00:00	7.06	7.24	7.06	7.1	3543	EUR	
24/07/2015 00:00	7.1	7.25	7	7.24	3446	EUR	
27/07/2015 00:00	7.27	7.58	7.27	7.57	7072	EUR	
28/07/2015 00:00	7.53	7.53	7.37	7.49	1113	EUR	
29/07/2015 00:00	7.48	7.48	7.38	7.46	1375	EUR	
30/07/2015 00:00	7.37	7.69	7.37	7.68	3630	EUR	
31/07/2015 00:00	7.68	8	7.68	7.75	5807	EUR	
03/08/2015 00:00	7.75	7.99	7.75	7.97	3151	EUR	
04/08/2015 00:00	7.95	7.97	7.55	7.97	635	EUR	
05/08/2015 00:00	7.95	7.98	7.94	7.94	699	EUR	
06/08/2015 00:00	7.55	7.75	7.5	7.68	2837	EUR	
07/08/2015 00:00	7.68	7.68	7.57	7.57	80	EUR	
10/08/2015 00:00	7.6	7.68	7.53	7.6	4477	EUR	
11/08/2015 00:00	7.6	7.63	7.51	7.63	2183	EUR	
12/08/2015 00:00	7.51	7.63	7.51	7.6	974	EUR	
13/08/2015 00:00	7.6	7.6	7.4	7.59	1161	EUR	
14/08/2015 00:00	7.6	7.6	7.54	7.6	1943	EUR	
17/08/2015 00:00	7.6	7.68	7.45	7.67	2258	EUR	
18/08/2015 00:00	7.7	7.7	7.47	7.69	1102	EUR	
19/08/2015 00:00	7.75	7.85	7.44	7.85	4600	EUR	
20/08/2015 00:00	7.51	7.84	7.49	7.75	2944	EUR	
21/08/2015 00:00	7.7	7.7	7.33	7.5	1895	EUR	
24/08/2015 00:00	7	7.43	6.52	7.11	31605	EUR	
25/08/2015 00:00	7.13	7.47	6.75	7.1	3592	EUR	
26/08/2015 00:00	6.93	7.37	6.93	7.3	412	EUR	
27/08/2015 00:00	7.3	7.46	7.3	7.45	4165	EUR	
28/08/2015 00:00	7.49	7.75	7.45	7.75	4125	EUR	
31/08/2015 00:00	7.64	7.89	7.62	7.89	2933	EUR	
01/09/2015 00:00	7.36	7.36	7	7.29	16264	EUR	
02/09/2015 00:00	7.15	7.29	7.1	7.27	1502	EUR	
03/09/2015 00:00	7.26	7.29	7.12	7.28	1305	EUR	
04/09/2015 00:00	7.27	7.27	6.63	7.09	3975	EUR	
07/09/2015 00:00	7.08	7.08	6.75	7.06	1122	EUR	
08/09/2015 00:00	6.72	7	6.71	7	786	EUR	
09/09/2015 00:00	6.69	7.04	6.67	6.67	1302	EUR	
10/09/2015 00:00	6.8	6.8	6.78	6.78	258	EUR	
11/09/2015 00:00	6.66	6.8	6.66	6.75	601	EUR	
14/09/2015 00:00	6.79	7.03	6.65	6.83	1687	EUR	
15/09/2015 00:00	6.82	6.96	6.67	6.85	704	EUR	
16/09/2015 00:00	6.63	6.85	6.63	6.75	605	EUR	
17/09/2015 00:00	6.62	6.7	6.52	6.69	1072	EUR	
18/09/2015 00:00	6.5	6.89	6.03	6.76	4502	EUR	
21/09/2015 00:00	6.79	6.79	6.27	6.56	1845	EUR	
22/09/2015 00:00	6.33	6.51	6.11	6.16	6370	EUR	
23/09/2015 00:00	6.2	6.5	6.2	6.49	1107	EUR	
