date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	10.54	10.54	10.51	10.51	21	EUR	
19/05/2015 00:00	10.52	10.52	10.51	10.51	21	EUR	
20/05/2015 00:00	10.51	10.51	10.51	10.51	1	EUR	
21/05/2015 00:00	10.51	10.52	10.3	10.52	381	EUR	
22/05/2015 00:00	10.51	10.6	10.51	10.6	751	EUR	
25/05/2015 00:00	10.59	10.6	10.59	10.6	11	EUR	
26/05/2015 00:00	10.59	10.59	10.59	10.59	1	EUR	
27/05/2015 00:00	10.59	10.59	10.3	10.59	361	EUR	
28/05/2015 00:00	10.59	10.59	10.59	10.59	212	EUR	
29/05/2015 00:00	10.59	10.59	10.59	10.59	1	EUR	
01/06/2015 00:00	10.57	10.59	10.57	10.59	481	EUR	
02/06/2015 00:00	10.58	10.58	10.33	10.58	716	EUR	
03/06/2015 00:00	10.58	10.58	10.58	10.58	1	EUR	
04/06/2015 00:00	10.57	10.57	10.57	10.57	1	EUR	
05/06/2015 00:00	10.57	10.58	10.41	10.41	151	EUR	
08/06/2015 00:00	10.43	10.59	10.33	10.58	792	EUR	
09/06/2015 00:00	10.57	10.57	10.3	10.57	852	EUR	
10/06/2015 00:00	10.56	10.56	10.3	10.3	297	EUR	
11/06/2015 00:00	10.2	10.3	10.2	10.3	69	EUR	
12/06/2015 00:00	10.3	10.35	10.1	10.2	524	EUR	
15/06/2015 00:00	10.21	10.21	10.21	10.21	60	EUR	
16/06/2015 00:00	10.41	10.41	10.4	10.4	73	EUR	
17/06/2015 00:00	10.4	10.4	10.4	10.4	1	EUR	
18/06/2015 00:00	10.4	10.4	10.4	10.4	1	EUR	
19/06/2015 00:00	10.4	10.5	10.15	10.49	511	EUR	
22/06/2015 00:00	10.48	10.48	10.21	10.48	73	EUR	
23/06/2015 00:00	10.48	10.48	10.48	10.48	1	EUR	
24/06/2015 00:00	10.48	10.48	10.35	10.35	6085	EUR	
25/06/2015 00:00	10.35	10.35	10.35	10.35	827	EUR	
26/06/2015 00:00	10.35	10.35	10.22	10.35	104	EUR	
29/06/2015 00:00	10.19	10.19	9.89	10.18	4032	EUR	
