date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	12.4	12.4	12.3	12.34	162	EUR	
19/05/2015 00:00	12.3	12.3	12.26	12.26	385	EUR	
20/05/2015 00:00	12.3	12.39	12.26	12.39	541	EUR	
21/05/2015 00:00	12.4	12.44	12.27	12.36	3141	EUR	
22/05/2015 00:00	12.36	12.36	12.26	12.35	271	EUR	
25/05/2015 00:00	12.3	12.3	12.27	12.27	210	EUR	
26/05/2015 00:00	12.34	12.36	12.34	12.36	144	EUR	
27/05/2015 00:00	12.36	12.4	12.3	12.4	211	EUR	
28/05/2015 00:00	12.4	12.4	12.27	12.27	388	EUR	
29/05/2015 00:00	12.39	12.39	12.26	12.26	255	EUR	
01/06/2015 00:00	12.4	12.4	12.35	12.39	783	EUR	
02/06/2015 00:00	12.35	12.4	12.22	12.37	636	EUR	
03/06/2015 00:00	12.4	12.4	12.38	12.39	512	EUR	
04/06/2015 00:00	12.37	12.37	12.24	12.37	154	EUR	
05/06/2015 00:00	12.24	12.24	12.2	12.2	496	EUR	
08/06/2015 00:00	12.2	12.2	12.2	12.2	101	EUR	
09/06/2015 00:00	12.19	12.19	12.19	12.19	470	EUR	
10/06/2015 00:00	12.19	12.25	12.19	12.19	256	EUR	
11/06/2015 00:00	12.19	12.21	12.19	12.21	32	EUR	
12/06/2015 00:00	12.22	12.3	12.2	12.3	507	EUR	
15/06/2015 00:00	12.19	12.21	12.19	12.19	931	EUR	
16/06/2015 00:00	12.19	12.19	12.15	12.15	174	EUR	
17/06/2015 00:00	12.2	12.3	12.15	12.3	674	EUR	
18/06/2015 00:00	12.29	12.3	12.1	12.1	1852	EUR	
19/06/2015 00:00	12.11	12.15	12.05	12.05	336	EUR	
22/06/2015 00:00	12.05	12.29	12.05	12.28	330	EUR	
23/06/2015 00:00	12.36	13.2	12.35	12.94	19526	EUR	
24/06/2015 00:00	12.98	12.98	12.38	12.6	1621	EUR	
25/06/2015 00:00	12.6	12.95	12.59	12.6	1031	EUR	
26/06/2015 00:00	12.6	12.6	12.51	12.6	428	EUR	
29/06/2015 00:00	12.16	12.5	12.01	12.5	4101	EUR	
30/06/2015 00:00	12.49	12.94	12.41	12.94	2041	EUR	
01/07/2015 00:00	12.94	12.94	12.43	12.8	1017	EUR	
02/07/2015 00:00	12.8	12.8	12.47	12.74	601	EUR	
03/07/2015 00:00	12.53	12.53	12.51	12.51	85	EUR	
06/07/2015 00:00	12.46	12.56	12.4	12.4	552	EUR	
07/07/2015 00:00	12.4	12.59	12	12.59	2791	EUR	
08/07/2015 00:00	12.01	12.28	12.01	12.24	107	EUR	
09/07/2015 00:00	12.24	12.44	12.23	12.44	474	EUR	
10/07/2015 00:00	12.43	12.43	12.19	12.19	608	EUR	
13/07/2015 00:00	12.2	12.2	12.02	12.04	825	EUR	
14/07/2015 00:00	12.04	12.25	12.04	12.2	104	EUR	
15/07/2015 00:00	12.19	12.19	12.05	12.1	1207	EUR	
16/07/2015 00:00	12.2	12.2	12.1	12.2	443	EUR	
17/07/2015 00:00	12.3	12.3	12.21	12.28	2867	EUR	
20/07/2015 00:00	12.28	12.3	12.11	12.11	2199	EUR	
21/07/2015 00:00	12.3	12.3	12.02	12.28	1085	EUR	
22/07/2015 00:00	12.25	12.25	12.25	12.25	124	EUR	
23/07/2015 00:00	12.24	12.24	12.24	12.24	1	EUR	
24/07/2015 00:00	12.24	12.25	12.1	12.1	638	EUR	
27/07/2015 00:00	12.26	12.26	12.01	12.16	249	EUR	
28/07/2015 00:00	12	12.15	12	12.15	699	EUR	
29/07/2015 00:00	12.14	12.15	12.1	12.15	292	EUR	
30/07/2015 00:00	12.15	12.15	12	12.06	1584	EUR	
31/07/2015 00:00	12.06	12.26	12.06	12.26	484	EUR	
03/08/2015 00:00	12.3	13.5	12.25	12.37	9890	EUR	
04/08/2015 00:00	12.35	12.93	12.35	12.5	1990	EUR	
05/08/2015 00:00	12.74	12.8	12.45	12.53	3369	EUR	
06/08/2015 00:00	12.55	12.73	12.55	12.73	285	EUR	
07/08/2015 00:00	12.8	12.8	12.54	12.54	469	EUR	
10/08/2015 00:00	12.51	12.52	12.45	12.45	1753	EUR	
11/08/2015 00:00	12.45	12.6	12.4	12.6	261	EUR	
12/08/2015 00:00	12.33	12.49	12.2	12.45	1116	EUR	
13/08/2015 00:00	12.45	12.45	12.4	12.44	274	EUR	
14/08/2015 00:00	12.3	12.39	12.15	12.26	340	EUR	
17/08/2015 00:00	12.26	12.4	12.26	12.39	1391	EUR	
18/08/2015 00:00	12.45	12.45	12.26	12.42	41	EUR	
19/08/2015 00:00	12.26	12.33	12.11	12.13	1043	EUR	
20/08/2015 00:00	12.15	12.25	12.11	12.24	343	EUR	
21/08/2015 00:00	12.11	12.31	11.75	12.04	1798	EUR	
24/08/2015 00:00	11.71	12.03	10.97	10.97	3070	EUR	
25/08/2015 00:00	10.96	11.35	10.8	11.14	2314	EUR	
26/08/2015 00:00	11	11.15	10.91	11.15	1327	EUR	
27/08/2015 00:00	10.91	11.35	10.9	11.3	635	EUR	
28/08/2015 00:00	11.2	11.45	11.04	11.44	601	EUR	
31/08/2015 00:00	11.45	11.46	10.95	11.46	912	EUR	
01/09/2015 00:00	11.38	11.38	11.1	11.13	471	EUR	
02/09/2015 00:00	11.13	11.24	11.13	11.24	351	EUR	
03/09/2015 00:00	11.23	11.45	11.11	11.45	655	EUR	
04/09/2015 00:00	11.49	11.49	11.32	11.32	366	EUR	
07/09/2015 00:00	11.33	11.5	11.2	11.21	929	EUR	
08/09/2015 00:00	11.2	11.49	11.2	11.48	160	EUR	
09/09/2015 00:00	11.48	11.49	11.48	11.49	50	EUR	
10/09/2015 00:00	11.49	11.5	11.21	11.28	522	EUR	
11/09/2015 00:00	11.29	11.44	11.25	11.42	292	EUR	
14/09/2015 00:00	11.41	11.41	11.21	11.21	161	EUR	
15/09/2015 00:00	11.21	11.29	11.2	11.25	355	EUR	
16/09/2015 00:00	11.75	12.5	11.75	11.99	9885	EUR	
17/09/2015 00:00	12.13	12.13	11.87	12	1396	EUR	
18/09/2015 00:00	12.1	12.13	12.05	12.12	759	EUR	
21/09/2015 00:00	12.16	12.59	12.16	12.5	4162	EUR	
22/09/2015 00:00	12.5	12.5	12	12.28	1676	EUR	
23/09/2015 00:00	12.01	12.15	11.86	12.15	434	EUR	
24/09/2015 00:00	11.85	11.99	11.78	11.95	556	EUR	
25/09/2015 00:00	11.9	12.15	11.77	12.11	462	EUR	
28/09/2015 00:00	12	12	11.76	11.77	806	EUR	
29/09/2015 00:00	11.76	11.8	11.76	11.8	220	EUR	
30/09/2015 00:00	11.85	11.95	11.7	11.7	485	EUR	
01/10/2015 00:00	12	12	11.99	11.99	120	EUR	
02/10/2015 00:00	12	12	11.55	12	884	EUR	
05/10/2015 00:00	11.95	11.95	11.5	11.95	1284	EUR	
06/10/2015 00:00	11.95	11.98	11.7	11.97	524	EUR	
07/10/2015 00:00	11.7	11.99	11.5	11.8	1461	EUR	
08/10/2015 00:00	11.79	11.79	11.79	11.79	11	EUR	
09/10/2015 00:00	11.8	11.9	11.41	11.44	764	EUR	
12/10/2015 00:00	11.53	11.66	11.46	11.65	1328	EUR	
13/10/2015 00:00	11.75	11.89	11.75	11.89	219	EUR	
14/10/2015 00:00	11.89	11.89	11.89	11.89	50	EUR	
15/10/2015 00:00	11.75	11.98	11.7	11.98	600	EUR	
16/10/2015 00:00	11.97	11.97	11.97	11.97	40	EUR	
19/10/2015 00:00	11.97	11.97	11.72	11.72	691	EUR	
20/10/2015 00:00	11.73	11.73	11.73	11.73	21	EUR	
21/10/2015 00:00	11.73	11.94	11.72	11.94	98	EUR	
22/10/2015 00:00	11.65	11.65	11.54	11.6	1181	EUR	
23/10/2015 00:00	11.68	11.83	11.6	11.82	1091	EUR	
26/10/2015 00:00	11.81	11.81	11.81	11.81	21	EUR	
27/10/2015 00:00	12	12	11.6	11.6	2391	EUR	
28/10/2015 00:00	11.56	11.9	11.56	11.9	833	EUR	
29/10/2015 00:00	11.84	11.85	11.8	11.85	441	EUR	
30/10/2015 00:00	11.89	11.9	11.8	11.9	1538	EUR	
02/11/2015 00:00	11.7	11.9	11.61	11.8	995	EUR	
03/11/2015 00:00	11.8	11.91	11.61	11.68	1798	EUR	
04/11/2015 00:00	11.64	11.9	11.64	11.8	940	EUR	
05/11/2015 00:00	11.7	11.85	11.62	11.83	1049	EUR	
06/11/2015 00:00	11.61	11.88	11.55	11.61	2626	EUR	
09/11/2015 00:00	11.6	11.86	11.6	11.7	1083	EUR	
10/11/2015 00:00	11.7	11.84	11.61	11.62	162	EUR	
11/11/2015 00:00	11.61	11.84	11.56	11.82	1689	EUR	
12/11/2015 00:00	11.8	11.8	11.4	11.4	1395	EUR	
13/11/2015 00:00	11.3	11.3	11.28	11.3	1368	EUR	
16/11/2015 00:00	11.29	11.29	11	11.29	1161	EUR	
17/11/2015 00:00	11.28	11.29	11.18	11.29	124	EUR	
18/11/2015 00:00	11.1	11.29	11.03	11.03	699	EUR	
19/11/2015 00:00	11.02	11.21	11.02	11.18	544	EUR	
20/11/2015 00:00	11.25	11.55	11.1	11.5	3185	EUR	
23/11/2015 00:00	11.6	11.6	11.25	11.4	820	EUR	
24/11/2015 00:00	11.4	11.4	11.4	11.4	131	EUR	
25/11/2015 00:00	11.4	11.51	11.4	11.51	111	EUR	
26/11/2015 00:00	11.54	11.55	11.4	11.4	409	EUR	
27/11/2015 00:00	11.41	11.7	11.41	11.68	834	EUR	
30/11/2015 00:00	11.7	11.7	11.55	11.55	597	EUR	
01/12/2015 00:00	11.56	11.6	11.51	11.6	372	EUR	
02/12/2015 00:00	11.6	11.7	11.55	11.7	399	EUR	
03/12/2015 00:00	12.2	12.5	12.15	12.3	11264	EUR	
04/12/2015 00:00	12.35	12.35	12	12	2890	EUR	
07/12/2015 00:00	12.19	12.2	12	12.1	659	EUR	
08/12/2015 00:00	12.28	12.28	12.01	12.01	2862	EUR	
09/12/2015 00:00	12.19	12.19	12.18	12.18	513	EUR	
10/12/2015 00:00	12.17	12.17	12	12.17	549	EUR	
11/12/2015 00:00	12.17	12.3	12.01	12.27	2599	EUR	
14/12/2015 00:00	12.72	13.1	12.5	12.4	9790	EUR	
15/12/2015 00:00	12.5	12.7	12.41	12.57	4639	EUR	
16/12/2015 00:00	12.64	13	12.5	12.96	4032	EUR	
17/12/2015 00:00	13.09	13.1	12.5	12.79	4923	EUR	
18/12/2015 00:00	12.45	12.66	12.45	12.66	915	EUR	
21/12/2015 00:00	12.59	12.59	12.3	12.59	1528	EUR	
22/12/2015 00:00	12.6	12.66	12.4	12.6	1972	EUR	
23/12/2015 00:00	12.6	12.8	12.55	12.79	1476	EUR	
24/12/2015 00:00	12.9	12.9	12.76	12.9	693	EUR	
28/12/2015 00:00	12.85	12.9	12.61	12.62	3739	EUR	
29/12/2015 00:00	12.61	13.1	12.6	12.8	4809	EUR	
30/12/2015 00:00	13.09	13.1	12.81	12.9	2277	EUR	
31/12/2015 00:00	13.09	13.09	12.92	13.08	364	EUR	
04/01/2016 00:00	13	13.05	12.58	12.58	3107	EUR	
05/01/2016 00:00	12.7	12.7	12	12.01	4564	EUR	
06/01/2016 00:00	12.2	12.34	12	12.2	854	EUR	
07/01/2016 00:00	12.19	12.34	12	12.34	896	EUR	
08/01/2016 00:00	12.34	12.5	12.01	12.49	529	EUR	
11/01/2016 00:00	12.49	12.51	12	12.5	2079	EUR	
12/01/2016 00:00	11.8	12.2	11.71	12.1	1966	EUR	
13/01/2016 00:00	12.1	12.2	12	12.2	428	EUR	
14/01/2016 00:00	12.19	12.19	11.85	12.05	2556	EUR	
15/01/2016 00:00	12.1	12.6	12	12.49	5704	EUR	
18/01/2016 00:00	13.04	13.08	12.5	12.52	8954	EUR	
19/01/2016 00:00	12.53	12.8	12.53	12.77	1497	EUR	
20/01/2016 00:00	12.8	12.8	12.45	12.45	1919	EUR	
21/01/2016 00:00	12.45	12.63	12.42	12.6	2765	EUR	
