date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	23.649	23.649	23.649	23.649	7	EUR	
19/05/2015 00:00	23.765	23.765	23.765	23.765	2	EUR	
20/05/2015 00:00	23.765	23.765	23.765	23.765	1	EUR	
21/05/2015 00:00	23.881	23.881	23.658	23.658	47	EUR	
22/05/2015 00:00	23.668	24.124	23.668	24.124	84	EUR	
25/05/2015 00:00	24.784	24.784	24.784	24.784	188	EUR	
26/05/2015 00:00	23.484	23.484	23.484	23.484	1	EUR	
27/05/2015 00:00	23.115	23.115	23.115	23.115	68	EUR	
28/05/2015 00:00	23.115	23.115	23.115	23.115	1	EUR	
29/05/2015 00:00	23.115	23.115	23.115	23.115	1	EUR	
01/06/2015 00:00	23.038	23.28	23.038	23.28	84	EUR	
02/06/2015 00:00	23.736	23.736	23.736	23.736	63	EUR	
03/06/2015 00:00	23.736	23.736	23.736	23.736	1	EUR	
04/06/2015 00:00	23.736	23.736	23.736	23.736	1	EUR	
05/06/2015 00:00	23.61	23.61	23.61	23.61	19	EUR	
08/06/2015 00:00	23.61	23.61	23.61	23.61	1	EUR	
09/06/2015 00:00	23.396	23.396	23.396	23.396	46	EUR	
10/06/2015 00:00	23.396	23.396	23.396	23.396	1	EUR	
11/06/2015 00:00	23.396	23.396	23.396	23.396	1	EUR	
12/06/2015 00:00	23.396	23.396	23.396	23.396	1	EUR	
15/06/2015 00:00	23.852	23.852	23.852	23.852	53	EUR	
16/06/2015 00:00	23.852	23.852	23.852	23.852	1	EUR	
17/06/2015 00:00	23.852	23.852	23.852	23.852	1	EUR	
18/06/2015 00:00	23.852	23.852	23.852	23.852	1	EUR	
19/06/2015 00:00	23.852	23.852	23.852	23.852	1	EUR	
22/06/2015 00:00	23.852	23.852	23.852	23.852	1	EUR	
23/06/2015 00:00	23.843	23.843	23.629	23.629	43	EUR	
24/06/2015 00:00	23.629	23.629	23.629	23.629	1	EUR	
25/06/2015 00:00	23.629	23.629	23.629	23.629	1	EUR	
26/06/2015 00:00	23.629	23.629	23.629	23.629	1	EUR	
29/06/2015 00:00	23.571	23.571	23.571	23.571	6	EUR	
30/06/2015 00:00	23.571	23.571	23.571	23.571	1	EUR	
01/07/2015 00:00	23.571	23.571	23.571	23.571	1	EUR	
02/07/2015 00:00	23.571	23.687	23.571	23.687	38	EUR	
03/07/2015 00:00	23.687	23.687	23.687	23.687	1	EUR	
06/07/2015 00:00	23.687	23.687	23.687	23.687	1	EUR	
07/07/2015 00:00	23.687	23.687	23.687	23.687	1	EUR	
08/07/2015 00:00	23.804	23.804	23.804	23.804	11	EUR	
09/07/2015 00:00	23.804	23.804	23.804	23.804	1	EUR	
10/07/2015 00:00	23.804	24.066	23.804	24.066	42	EUR	
13/07/2015 00:00	24.192	24.735	24.192	24.735	181	EUR	
14/07/2015 00:00	24.735	24.735	24.735	24.735	1	EUR	
15/07/2015 00:00	24.745	24.851	24.745	24.851	6	EUR	
16/07/2015 00:00	24.851	24.851	24.851	24.851	1	EUR	
17/07/2015 00:00	24.851	24.851	24.347	24.347	119	EUR	
20/07/2015 00:00	24.347	24.347	24.347	24.347	1	EUR	
21/07/2015 00:00	24.231	24.231	24.231	24.231	2	EUR	
22/07/2015 00:00	24.231	24.231	24.231	24.231	1	EUR	
23/07/2015 00:00	24.231	24.231	24.231	24.231	1	EUR	
24/07/2015 00:00	24.231	24.231	24.231	24.231	1	EUR	
27/07/2015 00:00	24.231	24.231	24.231	24.231	1	EUR	
28/07/2015 00:00	24.231	24.231	24.231	24.231	1	EUR	
29/07/2015 00:00	24.231	24.231	24.231	24.231	1	EUR	
30/07/2015 00:00	24.231	24.231	24.231	24.231	1	EUR	
31/07/2015 00:00	24.231	24.231	24.231	24.231	1	EUR	
03/08/2015 00:00	24.231	24.231	24.231	24.231	1	EUR	
04/08/2015 00:00	24.231	24.735	24.231	24.735	84	EUR	
05/08/2015 00:00	24.735	24.735	24.735	24.735	1	EUR	
06/08/2015 00:00	24.735	24.735	24.735	24.735	1	EUR	
07/08/2015 00:00	24.725	24.725	24.425	24.425	47	EUR	
10/08/2015 00:00	24.425	24.425	24.425	24.425	1	EUR	
11/08/2015 00:00	24.425	24.425	24.425	24.425	1	EUR	
12/08/2015 00:00	24.425	24.425	24.425	24.425	1	EUR	
13/08/2015 00:00	24.425	24.425	24.425	24.425	1	EUR	
14/08/2015 00:00	24.425	24.425	24.425	24.425	1	EUR	
17/08/2015 00:00	24.425	24.425	24.425	24.425	1	EUR	
18/08/2015 00:00	24.425	24.425	24.425	24.425	1	EUR	
19/08/2015 00:00	24.425	24.425	24.425	24.425	1	EUR	
20/08/2015 00:00	24.425	24.687	24.425	24.687	104	EUR	
21/08/2015 00:00	24.687	24.687	24.687	24.687	1	EUR	
24/08/2015 00:00	24.687	25.269	24.687	25.269	202	EUR	
25/08/2015 00:00	25.395	25.395	25.307	25.307	100	EUR	
26/08/2015 00:00	25.433	25.463	25.433	25.463	22	EUR	
27/08/2015 00:00	25.463	25.463	25.463	25.463	86	EUR	
28/08/2015 00:00	25.307	25.307	25.094	25.094	161	EUR	
31/08/2015 00:00	25.094	25.094	25.094	25.094	1	EUR	
01/09/2015 00:00	25.094	25.094	25.094	25.094	1	EUR	
02/09/2015 00:00	25.094	25.094	24.725	24.725	56	EUR	
03/09/2015 00:00	24.725	24.725	24.725	24.725	1	EUR	
04/09/2015 00:00	24.725	24.725	24.725	24.725	1	EUR	
07/09/2015 00:00	24.725	24.725	24.725	24.725	1	EUR	
08/09/2015 00:00	24.735	24.735	24.735	24.735	4	EUR	
09/09/2015 00:00	24.725	24.725	24.619	24.619	11	EUR	
10/09/2015 00:00	24.619	24.619	24.619	24.619	1	EUR	
11/09/2015 00:00	24.619	24.619	24.619	24.619	1	EUR	
14/09/2015 00:00	24.619	24.619	24.619	24.619	1	EUR	
15/09/2015 00:00	24.619	24.619	24.619	24.619	1	EUR	
16/09/2015 00:00	24.619	24.619	24.619	24.619	1	EUR	
17/09/2015 00:00	24.619	24.619	24.619	24.619	1	EUR	
18/09/2015 00:00	24.619	24.619	24.619	24.619	1	EUR	
21/09/2015 00:00	24.619	24.619	24.619	24.619	1	EUR	
22/09/2015 00:00	24.619	24.619	24.619	24.619	1	EUR	
23/09/2015 00:00	24.619	24.619	24.619	24.619	1	EUR	
24/09/2015 00:00	24.619	24.619	24.619	24.619	1	EUR	
25/09/2015 00:00	24.619	24.619	24.619	24.619	1	EUR	
28/09/2015 00:00	24.619	24.619	24.619	24.619	1	EUR	
29/09/2015 00:00	24.619	24.881	24.619	24.881	27	EUR	
30/09/2015 00:00	24.881	24.881	24.881	24.881	1	EUR	
01/10/2015 00:00	24.881	24.881	24.881	24.881	1	EUR	
02/10/2015 00:00	24.881	24.881	24.881	24.881	1	EUR	
05/10/2015 00:00	24.89	24.89	24.89	24.89	1	EUR	
06/10/2015 00:00	24.89	24.89	24.89	24.89	1	EUR	
07/10/2015 00:00	24.9	24.9	24.9	24.9	1	EUR	
08/10/2015 00:00	24.9	24.9	24.9	24.9	1	EUR	
09/10/2015 00:00	24.939	24.939	24.939	24.939	1	EUR	
12/10/2015 00:00	24.968	24.968	24.968	24.968	1	EUR	
13/10/2015 00:00	25.075	25.075	25.075	25.075	1	EUR	
14/10/2015 00:00	25.181	25.201	25.181	25.201	7	EUR	
15/10/2015 00:00	25.463	25.463	25.463	25.463	26	EUR	
16/10/2015 00:00	25.472	25.472	25.472	25.472	1	EUR	
19/10/2015 00:00	25.589	25.589	25.589	25.589	10	EUR	
20/10/2015 00:00	25.666	25.666	25.666	25.666	1	EUR	
21/10/2015 00:00	25.657	25.657	25.657	25.657	3	EUR	
22/10/2015 00:00	25.657	25.657	25.657	25.657	1	EUR	
23/10/2015 00:00	25.657	25.657	25.657	25.657	1	EUR	
26/10/2015 00:00	25.657	25.657	25.657	25.657	1	EUR	
27/10/2015 00:00	25.657	26.122	25.657	26.122	73	EUR	
28/10/2015 00:00	26.093	26.093	26.093	26.093	73	EUR	
29/10/2015 00:00	26.093	26.093	26.093	26.093	1	EUR	
30/10/2015 00:00	26.093	26.093	26.093	26.093	1	EUR	
02/11/2015 00:00	26.093	26.093	26.093	26.093	1	EUR	
03/11/2015 00:00	26.093	26.093	26.093	26.093	1	EUR	
04/11/2015 00:00	26.093	26.093	26.093	26.093	1	EUR	
05/11/2015 00:00	26.093	26.093	26.093	26.093	1	EUR	
06/11/2015 00:00	26.093	26.093	26.093	26.093	2	EUR	
09/11/2015 00:00	26.093	26.093	26.093	26.093	1	EUR	
10/11/2015 00:00	26.093	26.093	26.093	26.093	1	EUR	
11/11/2015 00:00	26.093	26.093	26.093	26.093	1	EUR	
12/11/2015 00:00	26.093	26.093	26.093	26.093	1	EUR	
13/11/2015 00:00	26.093	26.093	26.093	26.093	1	EUR	
16/11/2015 00:00	26.209	26.209	26.209	26.209	18	EUR	
17/11/2015 00:00	26.209	26.209	26.209	26.209	1	EUR	
18/11/2015 00:00	26.209	26.209	26.209	26.209	1	EUR	
19/11/2015 00:00	26.209	26.209	26.209	26.209	1	EUR	
20/11/2015 00:00	26.209	26.209	26.209	26.209	1	EUR	
23/11/2015 00:00	26.209	26.209	26.093	26.093	12	EUR	
24/11/2015 00:00	26.093	26.093	26.093	26.093	1	EUR	
25/11/2015 00:00	26.093	26.093	26.093	26.093	1	EUR	
26/11/2015 00:00	26.093	26.093	26.093	26.093	1	EUR	
27/11/2015 00:00	26.093	26.093	26.093	26.093	1	EUR	
30/11/2015 00:00	26.093	26.093	26.093	26.093	1	EUR	
01/12/2015 00:00	26.093	26.093	26.093	26.093	1	EUR	
02/12/2015 00:00	26.093	26.093	26.093	26.093	1	EUR	
03/12/2015 00:00	25.977	25.977	25.977	25.977	6	EUR	
04/12/2015 00:00	25.977	25.977	25.977	25.977	1	EUR	
07/12/2015 00:00	25.977	25.977	25.977	25.977	1	EUR	
08/12/2015 00:00	25.977	25.977	25.977	25.977	1	EUR	
09/12/2015 00:00	25.86	25.86	25.86	25.86	8	EUR	
10/12/2015 00:00	25.86	25.86	25.86	25.86	1	EUR	
11/12/2015 00:00	25.86	25.86	25.356	25.356	125	EUR	
14/12/2015 00:00	25.618	25.618	25.618	25.618	53	EUR	
15/12/2015 00:00	25.618	25.618	25.618	25.618	1	EUR	
16/12/2015 00:00	25.618	25.618	25.618	25.618	1	EUR	
17/12/2015 00:00	25.492	25.492	25.104	25.104	113	EUR	
18/12/2015 00:00	24.745	24.745	24.745	24.745	53	EUR	
21/12/2015 00:00	24.628	24.628	24.619	24.619	35	EUR	
22/12/2015 00:00	24.619	24.619	24.619	24.619	1	EUR	
23/12/2015 00:00	24.619	24.619	24.619	24.619	1	EUR	
24/12/2015 00:00	24.648	24.648	24.648	24.648	1	EUR	
28/12/2015 00:00	24.648	24.648	24.648	24.648	1	EUR	
29/12/2015 00:00	24.648	24.648	24.648	24.648	1	EUR	
30/12/2015 00:00	24.648	24.648	24.648	24.648	1	EUR	
31/12/2015 00:00	24.648	24.648	24.648	24.648	1	EUR	
04/01/2016 00:00	24.774	24.774	24.774	24.774	22	EUR	
05/01/2016 00:00	24.774	24.774	24.774	24.774	1	EUR	
06/01/2016 00:00	24.774	24.774	24.774	24.774	1	EUR	
07/01/2016 00:00	24.774	24.774	24.774	24.774	1	EUR	
08/01/2016 00:00	24.774	24.774	24.774	24.774	1	EUR	
11/01/2016 00:00	24.774	24.774	24.657	24.657	3	EUR	
12/01/2016 00:00	24.657	24.657	24.657	24.657	1	EUR	
13/01/2016 00:00	24.444	24.444	24.299	24.299	89	EUR	
14/01/2016 00:00	24.24	24.24	24.24	24.24	1	EUR	
15/01/2016 00:00	24.25	24.25	24.25	24.25	6	EUR	
18/01/2016 00:00	24.25	24.25	24.25	24.25	1	EUR	
19/01/2016 00:00	24.25	24.25	24.25	24.25	1	EUR	
20/01/2016 00:00	24.366	24.366	24.366	24.366	16	EUR	
21/01/2016 00:00	24.366	24.366	24.366	24.366	1	EUR	
22/01/2016 00:00	24.366	24.366	24.366	24.366	1	EUR	
25/01/2016 00:00	24.366	24.366	24.366	24.366	1	EUR	
26/01/2016 00:00	24.347	24.347	24.25	24.25	94	EUR	
27/01/2016 00:00	24.25	24.25	24.25	24.25	99	EUR	
28/01/2016 00:00	24.24	24.24	24.24	24.24	1	EUR	
29/01/2016 00:00	24.24	24.25	24.24	24.25	413	EUR	
01/02/2016 00:00	23.164	23.164	23.164	23.164	511	EUR	
02/02/2016 00:00	23.164	23.164	23.164	23.164	1	EUR	
03/02/2016 00:00	23.164	23.164	22.95	22.95	30	EUR	
04/02/2016 00:00	23.067	23.067	23.067	23.067	5	EUR	
