date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	3.476	3.581	3.476	3.562	47501	EUR	
19/05/2015 00:00	3.562	3.6	3.543	3.571	15056	EUR	
20/05/2015 00:00	3.543	3.571	3.524	3.524	12375	EUR	
21/05/2015 00:00	3.505	3.533	3.486	3.533	7854	EUR	
22/05/2015 00:00	3.533	3.562	3.514	3.514	4423	EUR	
25/05/2015 00:00	3.514	3.571	3.495	3.571	8899	EUR	
26/05/2015 00:00	3.552	3.552	3.514	3.524	23632	EUR	
27/05/2015 00:00	3.505	3.533	3.505	3.514	4205	EUR	
28/05/2015 00:00	3.514	3.533	3.476	3.524	18130	EUR	
29/05/2015 00:00	3.533	3.571	3.457	3.457	65722	EUR	
01/06/2015 00:00	3.524	3.524	3.467	3.505	8102	EUR	
02/06/2015 00:00	3.524	3.524	3.438	3.438	12364	EUR	
03/06/2015 00:00	3.476	3.486	3.457	3.486	2355	EUR	
04/06/2015 00:00	3.476	3.486	3.476	3.486	1367	EUR	
05/06/2015 00:00	3.419	3.448	3.41	3.429	17409	EUR	
08/06/2015 00:00	3.429	3.438	3.4	3.419	6250	EUR	
09/06/2015 00:00	3.419	3.419	3.352	3.419	22498	EUR	
10/06/2015 00:00	3.429	3.429	3.305	3.419	16882	EUR	
11/06/2015 00:00	3.286	3.305	3.248	3.276	17289	EUR	
12/06/2015 00:00	3.276	3.362	3.248	3.257	21358	EUR	
15/06/2015 00:00	3.257	3.257	3.219	3.219	11202	EUR	
16/06/2015 00:00	3.219	3.305	3.181	3.305	23473	EUR	
17/06/2015 00:00	3.305	3.305	3.248	3.286	9463	EUR	
18/06/2015 00:00	3.229	3.267	3.229	3.248	24194	EUR	
19/06/2015 00:00	3.352	3.352	3.276	3.314	44924	EUR	
22/06/2015 00:00	3.324	3.381	3.305	3.324	14182	EUR	
23/06/2015 00:00	3.333	3.371	3.267	3.314	14233	EUR	
24/06/2015 00:00	3.333	3.343	3.314	3.314	3625	EUR	
25/06/2015 00:00	3.314	3.333	3.295	3.295	4301	EUR	
26/06/2015 00:00	3.295	3.324	3.257	3.324	28504	EUR	
29/06/2015 00:00	3.21	3.248	3.124	3.248	31523	EUR	
30/06/2015 00:00	3.2	3.314	3.171	3.248	20490	EUR	
01/07/2015 00:00	3.238	3.352	3.238	3.352	17856	EUR	
02/07/2015 00:00	3.362	3.362	3.238	3.305	6444	EUR	
03/07/2015 00:00	3.305	3.305	3.248	3.257	5202	EUR	
06/07/2015 00:00	3.21	3.267	3.21	3.229	5588	EUR	
07/07/2015 00:00	3.21	3.21	3.19	3.19	8397	EUR	
08/07/2015 00:00	3.19	3.238	3.133	3.238	15628	EUR	
09/07/2015 00:00	3.248	3.267	3.238	3.238	7221	EUR	
10/07/2015 00:00	3.257	3.295	3.238	3.276	6274	EUR	
13/07/2015 00:00	3.276	3.295	3.276	3.286	4851	EUR	
14/07/2015 00:00	3.286	3.314	3.286	3.314	1113	EUR	
15/07/2015 00:00	3.257	3.286	3.248	3.276	5778	EUR	
16/07/2015 00:00	3.276	3.333	3.162	3.333	28543	EUR	
17/07/2015 00:00	3.276	3.314	3.276	3.286	6906	EUR	
20/07/2015 00:00	3.276	3.286	3.21	3.238	24698	EUR	
21/07/2015 00:00	3.238	3.295	3.238	3.295	5652	EUR	
22/07/2015 00:00	3.295	3.314	3.267	3.314	3276	EUR	
23/07/2015 00:00	3.314	3.314	3.286	3.286	3934	EUR	
24/07/2015 00:00	3.286	3.324	3.238	3.238	14609	EUR	
27/07/2015 00:00	3.248	3.267	3.21	3.219	9921	EUR	
28/07/2015 00:00	3.219	3.248	3.219	3.248	2584	EUR	
29/07/2015 00:00	3.248	3.248	3.21	3.248	7144	EUR	
30/07/2015 00:00	3.248	3.257	3.162	3.2	21854	EUR	
31/07/2015 00:00	3.2	3.238	3.181	3.21	8433	EUR	
03/08/2015 00:00	3.219	3.229	3.2	3.21	5204	EUR	
04/08/2015 00:00	3.21	3.267	3.181	3.267	20554	EUR	
05/08/2015 00:00	3.257	3.267	3.238	3.257	5210	EUR	
06/08/2015 00:00	3.257	3.276	3.248	3.276	1689	EUR	
07/08/2015 00:00	3.257	3.257	3.238	3.257	3557	EUR	
10/08/2015 00:00	3.257	3.267	3.248	3.267	7447	EUR	
11/08/2015 00:00	3.267	3.295	3.257	3.295	5713	EUR	
12/08/2015 00:00	3.286	3.286	3.257	3.276	5539	EUR	
13/08/2015 00:00	3.333	3.381	3.324	3.352	26223	EUR	
14/08/2015 00:00	3.381	3.381	3.343	3.362	12318	EUR	
17/08/2015 00:00	3.39	3.41	3.381	3.4	9091	EUR	
18/08/2015 00:00	3.4	3.41	3.371	3.39	8359	EUR	
19/08/2015 00:00	3.381	3.39	3.333	3.333	6064	EUR	
20/08/2015 00:00	3.343	3.343	3.314	3.343	3800	EUR	
21/08/2015 00:00	3.295	3.324	3.257	3.257	12586	EUR	
24/08/2015 00:00	3.2	3.21	3.01	3.124	64548	EUR	
25/08/2015 00:00	3.19	3.219	3.181	3.2	10299	EUR	
26/08/2015 00:00	3.19	3.19	3.057	3.152	8029	EUR	
27/08/2015 00:00	3.171	3.19	3.143	3.181	14979	EUR	
28/08/2015 00:00	3.181	3.181	3.171	3.181	649	EUR	
31/08/2015 00:00	3.171	3.19	3.171	3.171	4883	EUR	
01/09/2015 00:00	3.181	3.19	3.171	3.181	2853	EUR	
02/09/2015 00:00	3.171	3.2	3.162	3.2	4360	EUR	
03/09/2015 00:00	3.19	3.21	3.181	3.21	7692	EUR	
04/09/2015 00:00	3.219	3.219	3.219	3.219	11803	EUR	
07/09/2015 00:00	3.219	3.229	3.219	3.219	9500	EUR	
08/09/2015 00:00	3.219	3.238	3.219	3.238	2794	EUR	
09/09/2015 00:00	3.248	3.276	3.219	3.267	6002	EUR	
10/09/2015 00:00	3.229	3.267	3.229	3.267	474	EUR	
11/09/2015 00:00	3.248	3.267	3.238	3.267	2302	EUR	
14/09/2015 00:00	3.248	3.257	3.229	3.229	3758	EUR	
15/09/2015 00:00	3.229	3.238	3.219	3.229	2061	EUR	
16/09/2015 00:00	3.229	3.238	3.219	3.238	4815	EUR	
17/09/2015 00:00	3.238	3.286	3.238	3.248	7693	EUR	
18/09/2015 00:00	3.248	3.276	3.181	3.229	13014	EUR	
21/09/2015 00:00	3.229	3.257	3.219	3.229	2417	EUR	
22/09/2015 00:00	3.267	3.267	3.21	3.267	12949	EUR	
23/09/2015 00:00	3.238	3.419	3.238	3.39	24639	EUR	
24/09/2015 00:00	3.381	3.381	3.21	3.219	13398	EUR	
25/09/2015 00:00	3.219	3.305	3.219	3.305	16100	EUR	
28/09/2015 00:00	3.257	3.314	3.21	3.314	21000	EUR	
29/09/2015 00:00	3.295	3.295	3.276	3.295	5154	EUR	
30/09/2015 00:00	3.295	3.333	3.295	3.333	6681	EUR	
01/10/2015 00:00	3.333	3.371	3.286	3.324	19594	EUR	
02/10/2015 00:00	3.324	3.333	3.286	3.314	8201	EUR	
05/10/2015 00:00	3.314	3.333	3.295	3.333	6179	EUR	
06/10/2015 00:00	3.333	3.352	3.295	3.352	18072	EUR	
07/10/2015 00:00	3.352	3.362	3.333	3.333	15666	EUR	
08/10/2015 00:00	3.333	3.41	3.324	3.41	62488	EUR	
09/10/2015 00:00	3.41	3.41	3.343	3.4	23649	EUR	
12/10/2015 00:00	3.371	3.41	3.333	3.362	17396	EUR	
13/10/2015 00:00	3.343	3.371	3.324	3.333	9923	EUR	
14/10/2015 00:00	3.314	3.352	3.305	3.314	17920	EUR	
15/10/2015 00:00	3.305	3.371	3.305	3.371	4720	EUR	
16/10/2015 00:00	3.362	3.381	3.362	3.362	6314	EUR	
19/10/2015 00:00	3.381	3.39	3.381	3.39	35786	EUR	
20/10/2015 00:00	3.39	3.4	3.333	3.343	13834	EUR	
21/10/2015 00:00	3.333	3.352	3.286	3.286	28762	EUR	
22/10/2015 00:00	3.295	3.352	3.295	3.352	4692	EUR	
23/10/2015 00:00	3.343	3.362	3.343	3.352	4185	EUR	
