date	ouv	haut	bas	clot	vol	devise	
26/05/2015 00:00	0.7	0.7	0.7	0.7	0	EUR	
01/06/2015 00:00	0.7	0.7	0.7	0.7	0	EUR	
03/06/2015 00:00	0.66	0.66	0.66	0.66	0	EUR	
09/06/2015 00:00	0.66	0.66	0.66	0.66	0	EUR	
15/06/2015 00:00	0.72	0.72	0.72	0.72	0	EUR	
22/06/2015 00:00	0.79	0.79	0.79	0.79	100	EUR	
23/06/2015 00:00	0.82	0.82	0.82	0.82	0	EUR	
26/06/2015 00:00	0.7	0.7	0.7	0.7	2300	EUR	
29/06/2015 00:00	0.71	0.71	0.71	0.71	0	EUR	
01/07/2015 00:00	0.71	0.71	0.71	0.71	0	EUR	
06/07/2015 00:00	0.72	0.72	0.72	0.72	0	EUR	
09/07/2015 00:00	0.73	0.73	0.73	0.73	0	EUR	
14/07/2015 00:00	0.75	0.75	0.75	0.75	0	EUR	
22/07/2015 00:00	0.7	0.7	0.7	0.7	1000	EUR	
23/07/2015 00:00	0.64	0.64	0.64	0.64	0	EUR	
03/08/2015 00:00	0.64	0.64	0.64	0.64	0	EUR	
10/08/2015 00:00	0.58	0.58	0.58	0.58	0	EUR	
13/08/2015 00:00	0.63	0.63	0.63	0.63	0	EUR	
18/08/2015 00:00	0.63	0.63	0.63	0.63	0	EUR	
28/08/2015 00:00	0.63	0.63	0.63	0.63	500	EUR	
02/09/2015 00:00	0.64	0.64	0.64	0.64	0	EUR	
07/09/2015 00:00	0.63	0.63	0.63	0.63	0	EUR	
11/09/2015 00:00	0.69	0.69	0.69	0.69	1125	EUR	
15/09/2015 00:00	0.64	0.64	0.64	0.64	0	EUR	
17/09/2015 00:00	0.66	0.66	0.66	0.66	0	EUR	
22/09/2015 00:00	0.64	0.64	0.64	0.64	940	EUR	
23/09/2015 00:00	0.64	0.64	0.64	0.64	0	EUR	
01/10/2015 00:00	0.64	0.64	0.64	0.64	0	EUR	
30/10/2015 00:00	0.64	0.64	0.64	0.64	1	EUR	
04/11/2015 00:00	0.62	0.62	0.62	0.62	2500	EUR	
05/11/2015 00:00	0.62	0.62	0.62	0.62	0	EUR	
10/11/2015 00:00	0.6	0.6	0.6	0.6	0	EUR	
12/11/2015 00:00	0.6	0.6	0.6	0.6	0	EUR	
26/11/2015 00:00	0.64	0.64	0.64	0.64	0	EUR	
01/12/2015 00:00	0.66	0.66	0.66	0.66	0	EUR	
