date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	29.61	30.15	29.6	30.12	1148	EUR	
19/05/2015 00:00	30.12	30.19	30	30.05	99370	EUR	
20/05/2015 00:00	30.05	30.05	29.7	29.7	811	EUR	
21/05/2015 00:00	29.78	29.78	29.61	29.7	159	EUR	
22/05/2015 00:00	29.7	30	29.7	30	501	EUR	
25/05/2015 00:00	29.99	30.05	29.75	30.05	740	EUR	
26/05/2015 00:00	30.04	30.2	29.9	30.01	545	EUR	
27/05/2015 00:00	30	30.3	30	30.29	2046	EUR	
28/05/2015 00:00	30.3	30.3	29.35	30	27514	EUR	
29/05/2015 00:00	30.01	30.1	29.9	30.05	330	EUR	
01/06/2015 00:00	30.15	30.15	29.85	29.85	171	EUR	
02/06/2015 00:00	29.65	29.87	29.55	29.87	895	EUR	
03/06/2015 00:00	29.91	29.95	29.75	29.9	189	EUR	
04/06/2015 00:00	29.74	29.95	29.7	29.95	882	EUR	
05/06/2015 00:00	30.05	30.05	29.75	29.75	715	EUR	
08/06/2015 00:00	29.68	29.7	29.22	29.39	1806	EUR	
09/06/2015 00:00	29.22	29.22	29.2	29.2	588	EUR	
10/06/2015 00:00	29.1	29.22	29.05	29.22	508	EUR	
11/06/2015 00:00	29.1	29.19	29.06	29.15	2274	EUR	
12/06/2015 00:00	29.15	29.2	29.1	29.15	751	EUR	
15/06/2015 00:00	29	29	28.66	28.84	2632	EUR	
16/06/2015 00:00	28.5	28.61	28.31	28.32	2346	EUR	
17/06/2015 00:00	28.32	28.4	28.32	28.4	860	EUR	
18/06/2015 00:00	28.45	28.45	27.7	28	4526	EUR	
19/06/2015 00:00	28.04	28.45	28.04	28.45	810	EUR	
22/06/2015 00:00	28.45	28.7	28.35	28.63	761	EUR	
23/06/2015 00:00	28.63	29.07	28.63	28.95	1623	EUR	
24/06/2015 00:00	28.95	29.05	28.75	28.95	1603	EUR	
25/06/2015 00:00	28.95	29	28.95	29	414	EUR	
26/06/2015 00:00	28.99	29	28.9	28.9	442	EUR	
29/06/2015 00:00	28.65	28.68	28.3	28.3	2646	EUR	
30/06/2015 00:00	28.3	28.3	28.06	28.08	1313	EUR	
01/07/2015 00:00	28.2	28.2	27.9	28.05	289	EUR	
02/07/2015 00:00	28	28.39	28	28.3	1126	EUR	
03/07/2015 00:00	28.4	28.4	27.65	28.2	2897	EUR	
06/07/2015 00:00	28.3	28.3	27.95	28.21	965	EUR	
07/07/2015 00:00	28.19	28.21	28.09	28.21	985	EUR	
08/07/2015 00:00	28.2	28.35	28.01	28.21	1261	EUR	
09/07/2015 00:00	28.21	28.41	28.21	28.41	180	EUR	
10/07/2015 00:00	28.41	28.8	28.32	28.8	2645	EUR	
13/07/2015 00:00	28.6	29.25	28.42	29.25	2930	EUR	
14/07/2015 00:00	27.85	28.15	27.6	28.15	527	EUR	
15/07/2015 00:00	28.15	28.15	28	28	1764	EUR	
16/07/2015 00:00	28.01	28.2	28.01	28.1	242	EUR	
17/07/2015 00:00	28.2	28.3	28.1	28.26	490	EUR	
20/07/2015 00:00	28.2	28.36	28.15	28.36	1000	EUR	
21/07/2015 00:00	28.32	28.81	28.32	28.78	1032	EUR	
22/07/2015 00:00	28.43	28.73	28.32	28.73	944	EUR	
23/07/2015 00:00	28.73	28.93	28.53	28.93	1178	EUR	
24/07/2015 00:00	28.93	28.94	28.73	28.73	379	EUR	
27/07/2015 00:00	28.83	28.93	28.66	28.85	628	EUR	
28/07/2015 00:00	28.85	28.9	28.84	28.84	597	EUR	
29/07/2015 00:00	28.84	28.84	28.8	28.8	81	EUR	
30/07/2015 00:00	28.8	28.8	28.75	28.75	343	EUR	
31/07/2015 00:00	28.73	28.73	28.56	28.56	101	EUR	
03/08/2015 00:00	28.56	28.8	28.56	28.66	1542	EUR	
04/08/2015 00:00	28.66	28.88	28.66	28.78	381	EUR	
05/08/2015 00:00	28.78	28.9	28.78	28.9	300	EUR	
06/08/2015 00:00	28.9	28.9	28.8	28.8	36	EUR	
07/08/2015 00:00	28.8	28.89	28.7	28.71	797	EUR	
10/08/2015 00:00	28.9	29	28.9	29	763	EUR	
11/08/2015 00:00	28.94	29.04	28.9	29	328	EUR	
12/08/2015 00:00	28.9	29	28.76	28.86	752	EUR	
13/08/2015 00:00	28.86	29.45	28.86	29.4	1954	EUR	
14/08/2015 00:00	29.4	29.52	29.35	29.5	181	EUR	
17/08/2015 00:00	29.41	29.78	29.41	29.78	1639	EUR	
18/08/2015 00:00	29.6	29.77	29.4	29.73	601	EUR	
19/08/2015 00:00	29.73	29.73	29.6	29.71	80	EUR	
20/08/2015 00:00	29.72	29.78	29.3	29.3	1099	EUR	
21/08/2015 00:00	29.31	29.31	29.01	29.01	166	EUR	
24/08/2015 00:00	29	29	27.75	27.94	3401	EUR	
25/08/2015 00:00	28	28.29	27.95	28.2	426	EUR	
26/08/2015 00:00	28.2	28.3	27.91	27.91	358	EUR	
27/08/2015 00:00	28	28	27.75	27.87	432	EUR	
28/08/2015 00:00	27.87	27.95	27.71	27.71	159	EUR	
31/08/2015 00:00	27.76	28	27.76	28	603	EUR	
01/09/2015 00:00	28.01	28.01	27.7	27.75	922	EUR	
02/09/2015 00:00	27.75	27.9	27.75	27.9	451	EUR	
03/09/2015 00:00	27.89	27.9	27.81	27.9	27067	EUR	
04/09/2015 00:00	27.9	27.95	27.82	27.91	25908	EUR	
07/09/2015 00:00	27.92	28.35	27.92	28	1248	EUR	
08/09/2015 00:00	27.9	27.9	27.86	27.9	256	EUR	
09/09/2015 00:00	27.9	27.9	27.75	27.75	1196	EUR	
10/09/2015 00:00	27.74	27.85	27.68	27.68	333	EUR	
11/09/2015 00:00	27.71	27.85	27.68	27.81	329	EUR	
14/09/2015 00:00	27.9	27.9	27.1	27.11	1467	EUR	
15/09/2015 00:00	27.2	27.4	27	27.4	5021	EUR	
16/09/2015 00:00	27.46	27.6	27.46	27.6	210	EUR	
17/09/2015 00:00	27.61	27.7	27.21	27.31	818	EUR	
18/09/2015 00:00	27.31	27.35	27.25	27.35	345	EUR	
21/09/2015 00:00	27.34	27.5	27.15	27.15	2399	EUR	
22/09/2015 00:00	27.17	27.46	27.17	27.46	54	EUR	
23/09/2015 00:00	27.46	27.46	27.46	27.46	1	EUR	
24/09/2015 00:00	27.46	27.46	27.36	27.36	146	EUR	
25/09/2015 00:00	27.36	27.46	27.36	27.43	93	EUR	
28/09/2015 00:00	34.42	34.5	33	33.96	37410	EUR	
29/09/2015 00:00	33.9	34.17	33.9	34.01	17912	EUR	
30/09/2015 00:00	33.7	34.1	33.7	34.1	7238	EUR	
01/10/2015 00:00	34.1	34.2	34.04	34.15	2875	EUR	
02/10/2015 00:00	34.16	34.28	34.15	34.22	9699	EUR	
05/10/2015 00:00	34.2	34.25	34.19	34.22	5117	EUR	
06/10/2015 00:00	34.2	34.25	34.2	34.22	1912	EUR	
07/10/2015 00:00	34.22	34.25	34.18	34.21	21136	EUR	
08/10/2015 00:00	34.25	34.29	34.2	34.29	596	EUR	
09/10/2015 00:00	34.21	34.4	34.21	34.28	2005	EUR	
12/10/2015 00:00	34.25	34.45	34.25	34.45	1307	EUR	
13/10/2015 00:00	34.35	34.5	34.26	34.49	1362	EUR	
14/10/2015 00:00	34.66	34.71	34.51	34.71	209	EUR	
15/10/2015 00:00	34.53	34.71	34.53	34.71	208	EUR	
16/10/2015 00:00	34.61	34.7	34.5	34.7	904	EUR	
19/10/2015 00:00	34.27	34.63	34.25	34.63	1653	EUR	
20/10/2015 00:00	34.52	34.71	34.52	34.71	433	EUR	
21/10/2015 00:00	34.55	34.65	34.54	34.6	12061	EUR	
22/10/2015 00:00	34.52	34.8	34.39	34.75	4015	EUR	
23/10/2015 00:00	34.56	34.69	34.56	34.69	125	EUR	
26/10/2015 00:00	34.62	34.8	34.62	34.8	849	EUR	
27/10/2015 00:00	34.8	34.85	34.7	34.8	134	EUR	
28/10/2015 00:00	34.7	34.8	34.64	34.71	4088	EUR	
29/10/2015 00:00	34.7	34.88	34.7	34.87	1478	EUR	
30/10/2015 00:00	34.73	34.73	34.73	34.73	8	EUR	
02/11/2015 00:00	34.72	34.93	34.71	34.93	1756	EUR	
03/11/2015 00:00	34.73	34.81	34.73	34.81	436	EUR	
04/11/2015 00:00	34.73	34.93	34.73	34.93	679	EUR	
05/11/2015 00:00	34.93	35.2	34.93	34.97	3340	EUR	
06/11/2015 00:00	35.14	35.45	35.03	35.45	21551	EUR	
09/11/2015 00:00	35.2	35.31	35.18	35.31	6104	EUR	
10/11/2015 00:00	35.25	35.4	35.25	35.29	987	EUR	
11/11/2015 00:00	35.25	35.3	35.25	35.3	409	EUR	
12/11/2015 00:00	35.29	35.3	35.21	35.23	705	EUR	
13/11/2015 00:00	35.37	35.45	35.26	35.45	5852	EUR	
16/11/2015 00:00	35.07	35.33	35.07	35.33	748	EUR	
17/11/2015 00:00	35.45	35.45	35.31	35.31	915	EUR	
18/11/2015 00:00	35.32	35.32	35.32	35.32	250	EUR	
19/11/2015 00:00	35.01	35.46	35.01	35.46	1466	EUR	
20/11/2015 00:00	35.21	35.45	35.21	35.45	110	EUR	
23/11/2015 00:00	35.35	35.35	35.35	35.35	0	EUR	
25/11/2015 00:00	35.11	35.11	35.11	35.11	30	EUR	
26/11/2015 00:00	35.41	35.44	35.23	35.44	709	EUR	
27/11/2015 00:00	35.31	35.45	35.31	35.43	661	EUR	
30/11/2015 00:00	35.11	35.45	35.11	35.3	1581	EUR	
01/12/2015 00:00	35.35	35.47	35.35	35.45	321	EUR	
02/12/2015 00:00	35.4	35.47	35.4	35.4	3773	EUR	
03/12/2015 00:00	34.5	35.58	34.5	35.58	12638	EUR	
04/12/2015 00:00	35.31	35.37	35.31	35.37	574	EUR	
07/12/2015 00:00	35.37	35.4	35.37	35.4	447	EUR	
08/12/2015 00:00	35.38	35.5	35.38	35.38	892	EUR	
09/12/2015 00:00	35.49	35.49	35.49	35.49	125	EUR	
10/12/2015 00:00	35.37	35.37	35.37	35.37	132	EUR	
11/12/2015 00:00	35.37	35.5	35.37	35.5	297	EUR	
14/12/2015 00:00	35.37	36.1	35.37	35.5	3656	EUR	
15/12/2015 00:00	35.37	35.5	35.37	35.5	26	EUR	
