date	ouv	haut	bas	clot	vol	devise	
01/06/2015 00:00	4650	4650	4650	4650	0	EUR	
23/06/2015 00:00	4589	4589	4589	4589	0	EUR	
14/07/2015 00:00	4400	4400	4400	4400	1	EUR	
15/07/2015 00:00	4480.01	4480.01	4480.01	4480.01	2	EUR	
16/07/2015 00:00	4500	4500	4500	4500	0	EUR	
24/07/2015 00:00	4500	4500	4500	4500	1	EUR	
22/09/2015 00:00	3960.5	3960.5	3960.5	3960.5	0	EUR	
28/09/2015 00:00	4225	4225	4225	4225	0	EUR	
02/10/2015 00:00	4000	4000	4000	4000	1	EUR	
12/10/2015 00:00	4245	4245	4245	4245	0	EUR	
11/11/2015 00:00	4245	4245	4245	4245	1	EUR	
12/11/2015 00:00	4285	4285	4285	4285	0	EUR	
16/11/2015 00:00	4245	4245	4245	4245	0	EUR	
18/11/2015 00:00	4295	4295	4295	4295	0	EUR	
29/12/2015 00:00	4079	4079	4079	4079	0	EUR	
04/03/2016 00:00	4085	4085	4085	4085	3	EUR	
29/03/2016 00:00	4085	4085	4085	4085	0	EUR	
19/04/2016 00:00	3900	3900	3900	3900	0	EUR	
21/04/2016 00:00	4100	4100	4100	4100	0	EUR	
26/04/2016 00:00	4100	4100	4100	4100	0	EUR	
02/05/2016 00:00	4100	4100	4100	4100	0	EUR	
04/05/2016 00:00	4500	4500	4500	4500	0	EUR	
10/05/2016 00:00	4150	4150	4150	4150	0	EUR	
13/05/2016 00:00	4110	4110	4110	4110	3	EUR	
02/06/2016 00:00	4515.01	4515.01	4515.01	4515.01	0	EUR	
29/06/2016 00:00	4504.01	4504.01	4504.01	4504.01	0	EUR	
04/07/2016 00:00	4504.01	4504.01	4504.01	4504.01	0	EUR	
06/09/2016 00:00	4479.99	4479.99	4479.99	4479.99	0	EUR	
30/09/2016 00:00	4399.99	4399.99	4399.99	4399.99	1	EUR	
03/10/2016 00:00	4399.96	4399.96	4399.96	4399.96	0	EUR	
02/12/2016 00:00	4315	4315	4315	4315	2	EUR	
05/12/2016 00:00	4600	4600	4600	4600	0	EUR	
23/12/2016 00:00	4490	4490	4490	4490	1	EUR	
30/12/2016 00:00	4041	4041	4041	4041	1	EUR	
27/01/2017 00:00	4250	4250	4250	4250	1	EUR	
26/04/2017 00:00	3781	3781	3781	3781	0	EUR	
05/05/2017 00:00	3781	3781	3781	3781	1	EUR	
09/05/2017 00:00	3855	3855	3855	3855	0	EUR	
16/05/2017 00:00	4099.99	4099.99	4099.99	4099.99	0	EUR	
23/05/2017 00:00	4000.01	4000.01	4000.01	4000.01	0	EUR	
31/05/2017 00:00	4199.99	4199.99	4199.99	4199.99	1	EUR	
01/06/2017 00:00	4594.01	4594.01	4594.01	4594.01	0	EUR	
05/07/2017 00:00	4549.99	4549.99	4549.99	4549.99	0	EUR	
30/08/2017 00:00	4450	4450	4450	4450	0	EUR	
12/09/2017 00:00	4490	4490	4490	4490	0	EUR	
28/09/2017 00:00	4600	4600	4600	4600	0	EUR	
05/10/2017 00:00	4600	4600	4600	4600	0	EUR	
20/11/2017 00:00	4600	4600	4600	4600	0	EUR	
28/11/2017 00:00	4700.01	4700.01	4700.01	4700.01	0	EUR	
08/12/2017 00:00	4880	4880	4880	4880	1	EUR	
27/12/2017 00:00	4880	4880	4880	4880	0	EUR	
04/01/2018 00:00	5000	5000	5000	5000	0	EUR	
10/01/2018 00:00	5000	5000	5000	5000	2	EUR	
11/01/2018 00:00	5000	5000	5000	5000	0	EUR	
17/01/2018 00:00	4900	4900	4900	4900	0	EUR	
22/01/2018 00:00	4900	4900	4900	4900	1	EUR	
23/01/2018 00:00	4980	4980	4980	4980	1	EUR	
24/01/2018 00:00	4980	4980	4980	4980	1	EUR	
25/01/2018 00:00	4980	4980	4980	4980	2	EUR	
26/01/2018 00:00	4980	4980	4980	4980	2	EUR	
30/01/2018 00:00	4980	4980	4980	4980	0	EUR	
20/02/2018 00:00	4980	4980	4980	4980	0	EUR	
27/02/2018 00:00	5050	5050	5050	5050	0	EUR	
21/03/2018 00:00	4860	4860	4860	4860	0	EUR	
29/03/2018 00:00	4920	4920	4920	4920	1	EUR	
05/04/2018 00:00	4920	4920	4920	4920	0	EUR	
10/04/2018 00:00	4960	4960	4960	4960	1	EUR	
11/04/2018 00:00	4980	4980	4980	4980	1	EUR	
12/04/2018 00:00	5000	5000	5000	5000	0	EUR	
30/04/2018 00:00	5000	5000	5000	5000	0	EUR	
21/05/2018 00:00	5050	5050	5050	5050	0	EUR	
23/05/2018 00:00	5100	5100	5100	5100	0	EUR	
01/06/2018 00:00	5200	5200	5200	5200	1	EUR	
04/06/2018 00:00	5200	5200	5200	5200	2	EUR	
05/06/2018 00:00	5200	5200	5200	5200	0	EUR	
18/06/2018 00:00	4720	4720	4720	4720	0	EUR	
29/06/2018 00:00	4800	4800	4800	4800	1	EUR	
06/09/2018 00:00	4800	4800	4800	4800	0	EUR	
26/09/2018 00:00	4800	4800	4800	4800	0	EUR	
17/10/2018 00:00	4600	4600	4600	4600	1	EUR	
04/12/2018 00:00	4600	4600	4600	4600	0	EUR	
15/02/2019 00:00	4600	4600	4600	4600	4	EUR	
27/02/2019 00:00	4600	4600	4600	4600	1	EUR	
28/02/2019 00:00	4600	4600	4600	4600	2	EUR	
01/03/2019 00:00	4600	4600	4600	4600	1	EUR	
22/03/2019 00:00	4220	4340	4220	4340	3	EUR	
19/08/2019 00:00	3960	3960	3960	3960	0	EUR	
13/11/2019 00:00	3980	3980	3980	3980	0	EUR	
24/02/2020 00:00	3900	3900	3900	3900	0	EUR	
24/03/2020 00:00	3200	3200	3200	3200	0	EUR	
20/04/2020 00:00	2600	2600	2600	2600	10	EUR	
21/04/2020 00:00	2720	2720	2720	2720	0	EUR	
