date	ouv	haut	bas	clot	vol	devise	
21/05/2015 00:00	13	13	13	13	0	EUR	
08/06/2015 00:00	14.16	14.16	14.16	14.16	5	EUR	
09/06/2015 00:00	14.15	14.15	14.15	14.15	0	EUR	
18/06/2015 00:00	14.16	14.16	14.16	14.16	0	EUR	
01/07/2015 00:00	10.9	10.9	10.9	10.9	0	EUR	
07/07/2015 00:00	15.9	15.9	15.9	15.9	1	EUR	
08/07/2015 00:00	17.4	17.4	17.4	17.4	0	EUR	
13/07/2015 00:00	18	18	18	18	0	EUR	
16/07/2015 00:00	17.4	17.4	17.4	17.4	0	EUR	
21/07/2015 00:00	18.85	18.85	18.85	18.85	0	EUR	
24/07/2015 00:00	19.49	19.49	19.49	19.49	18	EUR	
03/08/2015 00:00	20	20	20	20	0	EUR	
30/09/2015 00:00	16.01	16.01	16.01	16.01	0	EUR	
09/10/2015 00:00	17.58	17.58	17.58	17.58	135	EUR	
16/10/2015 00:00	17.63	17.63	17.63	17.63	65	EUR	
19/10/2015 00:00	17.63	17.63	17.63	17.63	2	EUR	
20/10/2015 00:00	15.87	15.87	15.87	15.87	0	EUR	
22/10/2015 00:00	15.5	15.5	15.5	15.5	0	EUR	
06/11/2015 00:00	12.58	12.58	12.58	12.58	18	EUR	
11/11/2015 00:00	15	15	15	15	0	EUR	
13/11/2015 00:00	13.5	13.5	13.5	13.5	40	EUR	
17/11/2015 00:00	12.5	12.5	12.5	12.5	0	EUR	
23/11/2015 00:00	12.6	12.6	12.6	12.6	0	EUR	
26/11/2015 00:00	13.25	13.25	13.25	13.25	0	EUR	
01/12/2015 00:00	11.93	11.93	11.93	11.93	0	EUR	
03/12/2015 00:00	10.75	10.75	10.75	10.75	260	EUR	
04/12/2015 00:00	11	11	11	11	200	EUR	
07/12/2015 00:00	11.47	11.47	11.47	11.47	0	EUR	
09/12/2015 00:00	12	12	12	12	0	EUR	
11/12/2015 00:00	12.5	12.5	12.5	12.5	100	EUR	
14/12/2015 00:00	13	13	13	13	46	EUR	
15/12/2015 00:00	13.45	13.45	13.45	13.45	0	EUR	
05/01/2016 00:00	13.21	13.21	13.21	13.21	0	EUR	
13/01/2016 00:00	12.5	12.5	12.5	12.5	0	EUR	
25/01/2016 00:00	11.3	11.3	11.3	11.3	0	EUR	
28/01/2016 00:00	12.5	12.5	12.5	12.5	40	EUR	
29/01/2016 00:00	13.75	13.75	13.75	13.75	1	EUR	
04/02/2016 00:00	10.11	10.11	10.11	10.11	1839	EUR	
05/02/2016 00:00	9.8	9.8	9.8	9.8	150	EUR	
10/02/2016 00:00	10.5	10.5	10.5	10.5	3	EUR	
11/02/2016 00:00	10.5	10.5	10.5	10.5	0	EUR	
15/02/2016 00:00	10.9	10.9	10.9	10.9	0	EUR	
18/02/2016 00:00	10.28	10.28	10.28	10.28	119	EUR	
19/02/2016 00:00	11	11	11	11	2	EUR	
22/02/2016 00:00	10.2	10.2	10.2	10.2	0	EUR	
24/02/2016 00:00	11	11	11	11	1	EUR	
25/02/2016 00:00	11.5	11.5	11.5	11.5	0	EUR	
04/03/2016 00:00	11.55	11.55	11.55	11.55	18	EUR	
07/03/2016 00:00	11.55	11.55	11.55	11.55	0	EUR	
10/03/2016 00:00	10.5	10.5	10.5	10.5	0	EUR	
16/03/2016 00:00	10.69	10.69	10.69	10.69	0	EUR	
30/03/2016 00:00	10.7	10.7	10.7	10.7	0	EUR	
04/04/2016 00:00	10.5	10.5	10.5	10.5	0	EUR	
06/04/2016 00:00	10.5	10.5	10.5	10.5	200	EUR	
07/04/2016 00:00	10.5	10.5	10.5	10.5	200	EUR	
08/04/2016 00:00	10.5	10.5	10.5	10.5	200	EUR	
