date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	0.08	0.09	0.08	0.08	188100	EUR	
19/05/2015 00:00	0.08	0.09	0.08	0.08	341025	EUR	
20/05/2015 00:00	0.08	0.09	0.07	0.09	77150	EUR	
21/05/2015 00:00	0.09	0.09	0.07	0.09	161657	EUR	
22/05/2015 00:00	0.09	0.09	0.08	0.09	222422	EUR	
25/05/2015 00:00	0.09	0.09	0.08	0.09	142356	EUR	
26/05/2015 00:00	0.08	0.09	0.08	0.08	61250	EUR	
27/05/2015 00:00	0.08	0.09	0.08	0.09	31150	EUR	
28/05/2015 00:00	0.08	0.09	0.08	0.09	101013	EUR	
29/05/2015 00:00	0.08	0.09	0.08	0.09	171555	EUR	
01/06/2015 00:00	0.09	0.09	0.08	0.09	147785	EUR	
02/06/2015 00:00	0.09	0.09	0.08	0.09	64121	EUR	
03/06/2015 00:00	0.09	0.09	0.08	0.09	95783	EUR	
04/06/2015 00:00	0.09	0.09	0.08	0.09	14150	EUR	
05/06/2015 00:00	0.09	0.09	0.08	0.08	44630	EUR	
08/06/2015 00:00	0.09	0.09	0.08	0.08	52695	EUR	
09/06/2015 00:00	0.08	0.1	0.08	0.09	3266668	EUR	
10/06/2015 00:00	0.09	0.1	0.09	0.1	396426	EUR	
11/06/2015 00:00	0.1	0.1	0.09	0.1	156701	EUR	
12/06/2015 00:00	0.09	0.09	0.08	0.08	446484	EUR	
15/06/2015 00:00	0.09	0.09	0.08	0.09	202600	EUR	
16/06/2015 00:00	0.08	0.09	0.08	0.09	82500	EUR	
17/06/2015 00:00	0.09	0.09	0.09	0.09	900	EUR	
18/06/2015 00:00	0.08	0.09	0.08	0.08	110012	EUR	
19/06/2015 00:00	0.08	0.09	0.08	0.09	81091	EUR	
22/06/2015 00:00	0.09	0.09	0.08	0.09	26758	EUR	
23/06/2015 00:00	0.09	0.11	0.08	0.11	4291167	EUR	
24/06/2015 00:00	0.11	0.11	0.1	0.11	338678	EUR	
25/06/2015 00:00	0.1	0.1	0.1	0.1	212339	EUR	
26/06/2015 00:00	0.1	0.1	0.1	0.1	48500	EUR	
29/06/2015 00:00	0.09	0.11	0.09	0.1	1642891	EUR	
30/06/2015 00:00	0.1	0.11	0.09	0.11	570200	EUR	
01/07/2015 00:00	0.11	0.11	0.1	0.11	130931	EUR	
02/07/2015 00:00	0.1	0.11	0.1	0.11	1371067	EUR	
03/07/2015 00:00	0.1	0.11	0.09	0.11	375913	EUR	
06/07/2015 00:00	0.1	0.11	0.09	0.1	1203186	EUR	
07/07/2015 00:00	0.11	0.11	0.1	0.1	28000	EUR	
08/07/2015 00:00	0.1	0.11	0.1	0.1	80273	EUR	
09/07/2015 00:00	0.11	0.11	0.1	0.11	28100	EUR	
10/07/2015 00:00	0.1	0.14	0.1	0.12	7555482	EUR	
13/07/2015 00:00	0.12	0.13	0.11	0.13	1942253	EUR	
14/07/2015 00:00	0.13	0.13	0.11	0.12	239975	EUR	
15/07/2015 00:00	0.11	0.12	0.11	0.11	447167	EUR	
16/07/2015 00:00	0.11	0.12	0.11	0.12	652033	EUR	
17/07/2015 00:00	0.11	0.12	0.11	0.12	49375	EUR	
20/07/2015 00:00	0.11	0.12	0.11	0.12	193281	EUR	
21/07/2015 00:00	0.12	0.12	0.1	0.11	677868	EUR	
22/07/2015 00:00	0.12	0.12	0.11	0.12	203263	EUR	
