date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	15.3	15.3	15.105	15.25	234433	EUR	
19/05/2015 00:00	15.3	15.455	15.245	15.41	302101	EUR	
20/05/2015 00:00	15.45	15.58	15.39	15.555	298914	EUR	
21/05/2015 00:00	15.59	15.695	15.5	15.695	246675	EUR	
22/05/2015 00:00	15.69	15.735	15.59	15.665	202668	EUR	
25/05/2015 00:00	15.675	15.72	15.59	15.65	34838	EUR	
26/05/2015 00:00	15.68	15.76	15.51	15.555	300328	EUR	
27/05/2015 00:00	15.55	15.69	15.41	15.62	245881	EUR	
28/05/2015 00:00	15.605	15.645	15.31	15.465	365987	EUR	
29/05/2015 00:00	15.48	15.5	15.05	15.055	482752	EUR	
01/06/2015 00:00	15.08	15.095	14.81	14.98	358388	EUR	
02/06/2015 00:00	15.08	15.08	14.83	15.01	379111	EUR	
03/06/2015 00:00	15.02	15.09	14.925	15.04	277116	EUR	
04/06/2015 00:00	15.07	15.09	14.76	14.975	358481	EUR	
05/06/2015 00:00	14.915	15	14.83	14.905	472191	EUR	
08/06/2015 00:00	14.895	14.93	14.61	14.61	372590	EUR	
09/06/2015 00:00	14.61	14.8	14.45	14.71	500949	EUR	
10/06/2015 00:00	14.69	15.08	14.66	15.025	416733	EUR	
11/06/2015 00:00	15.005	15.165	14.985	15.09	335352	EUR	
12/06/2015 00:00	15.13	15.13	14.8	14.925	298703	EUR	
15/06/2015 00:00	14.9	14.915	14.685	14.72	283919	EUR	
16/06/2015 00:00	14.62	14.855	14.48	14.85	333876	EUR	
17/06/2015 00:00	14.885	14.885	14.68	14.755	284583	EUR	
18/06/2015 00:00	14.75	14.88	14.635	14.88	377484	EUR	
19/06/2015 00:00	14.925	15.145	14.895	14.895	677540	EUR	
22/06/2015 00:00	15	15.55	14.995	15.55	418185	EUR	
23/06/2015 00:00	15.6	15.855	15.59	15.775	284769	EUR	
24/06/2015 00:00	15.79	15.8	15.59	15.65	320431	EUR	
25/06/2015 00:00	15.59	15.88	15.59	15.725	316566	EUR	
26/06/2015 00:00	15.69	15.885	15.615	15.785	223858	EUR	
