date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	2.1	2.12	2.09	2.1	3486	EUR	
19/05/2015 00:00	2.1	2.13	2.06	2.08	9444	EUR	
20/05/2015 00:00	2.08	2.14	2.08	2.14	801	EUR	
21/05/2015 00:00	2.14	2.2	2.1	2.18	10968	EUR	
22/05/2015 00:00	2.18	2.18	2.11	2.12	5173	EUR	
25/05/2015 00:00	2.19	2.19	2.13	2.14	2151	EUR	
26/05/2015 00:00	2.15	2.19	2.15	2.19	1491	EUR	
27/05/2015 00:00	2.19	2.2	2.16	2.2	10996	EUR	
28/05/2015 00:00	2.16	2.16	2.12	2.14	3181	EUR	
29/05/2015 00:00	2.15	2.15	2.11	2.11	6885	EUR	
01/06/2015 00:00	2.08	2.1	2.08	2.09	7567	EUR	
02/06/2015 00:00	2.09	2.09	2.05	2.09	5553	EUR	
03/06/2015 00:00	2.1	2.1	2.07	2.08	1065	EUR	
04/06/2015 00:00	2.08	2.08	2.08	2.08	527	EUR	
05/06/2015 00:00	2.08	2.08	2.02	2.03	2845	EUR	
08/06/2015 00:00	1.94	1.95	1.93	1.95	19121	EUR	
09/06/2015 00:00	1.95	1.95	1.95	1.95	1961	EUR	
10/06/2015 00:00	1.96	2.1	1.96	2.08	6917	EUR	
11/06/2015 00:00	2.08	2.08	2.06	2.06	4731	EUR	
12/06/2015 00:00	2.06	2.06	2.06	2.06	101	EUR	
15/06/2015 00:00	2.06	2.06	1.93	1.95	15720	EUR	
16/06/2015 00:00	1.95	2	1.82	2	26952	EUR	
17/06/2015 00:00	2	2	1.97	1.97	1935	EUR	
18/06/2015 00:00	1.97	2.03	1.91	1.96	9879	EUR	
19/06/2015 00:00	1.96	2	1.96	1.97	981	EUR	
22/06/2015 00:00	1.98	1.98	1.93	1.97	11401	EUR	
23/06/2015 00:00	1.97	1.97	1.97	1.97	66	EUR	
24/06/2015 00:00	1.97	1.97	1.97	1.97	902	EUR	
25/06/2015 00:00	1.97	1.97	1.95	1.97	2147	EUR	
26/06/2015 00:00	1.97	1.97	1.97	1.97	916	EUR	
29/06/2015 00:00	1.95	1.96	1.92	1.96	8130	EUR	
30/06/2015 00:00	1.96	1.96	1.85	1.94	1451	EUR	
01/07/2015 00:00	1.94	1.97	1.94	1.97	1801	EUR	
02/07/2015 00:00	1.97	1.97	1.96	1.97	571	EUR	
03/07/2015 00:00	1.97	2.03	1.95	2.03	5551	EUR	
06/07/2015 00:00	2.03	2.03	2.01	2.01	853	EUR	
07/07/2015 00:00	2.01	2.01	1.98	2.01	942	EUR	
08/07/2015 00:00	2.01	2.05	1.98	2.03	4200	EUR	
09/07/2015 00:00	2.03	2.03	1.95	2.01	3468	EUR	
10/07/2015 00:00	2.01	2.1	2.01	2.01	8736	EUR	
13/07/2015 00:00	2.01	2.01	2	2.01	1806	EUR	
