date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	8.01	8.01	7.85	7.96	2029	EUR	
19/05/2015 00:00	8	8.01	7.89	7.89	2825	EUR	
20/05/2015 00:00	7.89	8.19	7.89	8.19	1451	EUR	
21/05/2015 00:00	8.2	8.4	8.07	8.4	1628	EUR	
22/05/2015 00:00	8.49	8.8	8.49	8.7	4073	EUR	
25/05/2015 00:00	8.79	9	8.79	8.89	2896	EUR	
26/05/2015 00:00	8.89	8.94	8.7	8.9	1682	EUR	
27/05/2015 00:00	8.89	8.89	8.7	8.72	674	EUR	
28/05/2015 00:00	8.72	8.8	8.51	8.8	1313	EUR	
29/05/2015 00:00	8.8	8.8	8.4	8.59	3284	EUR	
01/06/2015 00:00	8.59	8.59	8.59	8.59	1	EUR	
02/06/2015 00:00	8.58	8.58	8.16	8.49	831	EUR	
03/06/2015 00:00	8.35	8.38	8.02	8.38	3222	EUR	
04/06/2015 00:00	8.25	8.25	7.95	8.14	726	EUR	
05/06/2015 00:00	8.14	8.14	8	8.1	38	EUR	
08/06/2015 00:00	8.1	8.1	8.1	8.1	1	EUR	
09/06/2015 00:00	8.1	8.1	8.1	8.1	1	EUR	
10/06/2015 00:00	7.95	8.1	7.9	8.1	974	EUR	
11/06/2015 00:00	7.84	8.09	7.83	8.09	752	EUR	
12/06/2015 00:00	8.09	8.2	8.05	8.2	783	EUR	
15/06/2015 00:00	8.2	8.2	7.65	7.95	2423	EUR	
16/06/2015 00:00	7.95	7.95	7.93	7.93	361	EUR	
17/06/2015 00:00	7.93	7.93	7.65	7.7	662	EUR	
18/06/2015 00:00	7.7	7.78	7.5	7.5	758	EUR	
19/06/2015 00:00	7.51	7.75	7.51	7.75	189	EUR	
22/06/2015 00:00	7.75	7.9	7.75	7.75	351	EUR	
23/06/2015 00:00	7.75	7.93	7.61	7.65	1161	EUR	
24/06/2015 00:00	7.66	7.8	7.66	7.66	1812	EUR	
25/06/2015 00:00	7.66	7.8	7.65	7.8	1542	EUR	
26/06/2015 00:00	7.8	8.2	7.78	7.89	1118	EUR	
29/06/2015 00:00	7.73	7.73	7.27	7.59	3021	EUR	
30/06/2015 00:00	7.59	7.59	7.41	7.42	364	EUR	
01/07/2015 00:00	7.42	7.66	7.42	7.66	1094	EUR	
02/07/2015 00:00	7.66	7.7	7.22	7.65	1451	EUR	
03/07/2015 00:00	7.51	7.51	7.5	7.5	185	EUR	
06/07/2015 00:00	7.4	7.49	7.3	7.49	265	EUR	
07/07/2015 00:00	7.49	7.5	7.49	7.5	775	EUR	
08/07/2015 00:00	7.5	7.7	7.22	7.7	903	EUR	
09/07/2015 00:00	7.7	7.7	7.41	7.5	916	EUR	
10/07/2015 00:00	7.55	7.75	7.45	7.75	1631	EUR	
13/07/2015 00:00	7.74	8	7.7	8	5414	EUR	
14/07/2015 00:00	8.2	8.39	7.98	8.35	1339	EUR	
15/07/2015 00:00	8.4	8.49	8.16	8.42	932	EUR	
16/07/2015 00:00	8.42	8.43	8.42	8.43	298	EUR	
17/07/2015 00:00	8.35	8.4	8.1	8.4	439	EUR	
20/07/2015 00:00	8.4	8.52	8.35	8.52	1089	EUR	
21/07/2015 00:00	8.51	8.77	8.19	8.76	1412	EUR	
22/07/2015 00:00	8.75	8.75	8.3	8.45	1443	EUR	
23/07/2015 00:00	8.45	8.55	8.22	8.5	3188	EUR	
24/07/2015 00:00	7.68	7.7	7.22	7.5	14077	EUR	
27/07/2015 00:00	7.5	7.5	7.45	7.45	111	EUR	
28/07/2015 00:00	7.45	7.45	7.3	7.4	2012	EUR	
29/07/2015 00:00	7.4	7.4	7.14	7.4	410	EUR	
30/07/2015 00:00	7.4	7.59	7.31	7.59	880	EUR	
31/07/2015 00:00	7.56	7.56	7.3	7.56	314	EUR	
03/08/2015 00:00	7.56	7.56	7.21	7.3	980	EUR	
04/08/2015 00:00	7.3	7.3	6.98	6.98	1358	EUR	
05/08/2015 00:00	6.98	7.28	6.98	7.1	2911	EUR	
06/08/2015 00:00	7.1	7.3	7	7.3	1978	EUR	
07/08/2015 00:00	7.3	7.3	7.3	7.55	850	EUR	
10/08/2015 00:00	7.54	7.54	7.3	7.5	1198	EUR	
11/08/2015 00:00	7.4	7.4	7.3	7.4	892	EUR	
12/08/2015 00:00	7.39	7.39	7.3	7.39	1146	EUR	
13/08/2015 00:00	7.3	7.3	7.1	7.1	543	EUR	
14/08/2015 00:00	7.1	7.2	7.1	7.2	201	EUR	
17/08/2015 00:00	7.2	7.2	7	7	467	EUR	
18/08/2015 00:00	7	7	6.75	6.95	1516	EUR	
19/08/2015 00:00	6.95	6.95	6.8	6.8	515	EUR	
20/08/2015 00:00	6.85	6.85	6.31	6.37	2509	EUR	
21/08/2015 00:00	6.37	6.89	6.37	6.89	709	EUR	
24/08/2015 00:00	6.89	6.89	6.38	6.41	1382	EUR	
25/08/2015 00:00	6.41	6.9	6.41	6.9	1219	EUR	
26/08/2015 00:00	6.9	7	6.9	7	157	EUR	
27/08/2015 00:00	7	7.4	6.81	7.4	451	EUR	
