date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	87.8	87.8	87.8	87.8	25	EUR	
19/05/2015 00:00	88	88	88	88	0	EUR	
21/05/2015 00:00	89	89	89	89	40	EUR	
22/05/2015 00:00	89.5	89.5	89.5	89.5	143	EUR	
25/05/2015 00:00	90	90	90	90	135	EUR	
26/05/2015 00:00	91.85	91.85	91.85	91.85	13	EUR	
27/05/2015 00:00	92	92	92	92	5	EUR	
28/05/2015 00:00	92	92	92	92	43	EUR	
29/05/2015 00:00	91.99	91.99	91.99	91.99	12	EUR	
01/06/2015 00:00	92	92	92	92	30	EUR	
02/06/2015 00:00	90.5	90.5	90.5	90.5	0	EUR	
08/06/2015 00:00	90.75	90.75	90.75	90.75	66	EUR	
09/06/2015 00:00	89.5	89.5	89.5	89.5	0	EUR	
11/06/2015 00:00	90	90	90	90	0	EUR	
18/06/2015 00:00	92	92	92	92	0	EUR	
24/06/2015 00:00	93.5	93.5	93.5	93.5	40	EUR	
25/06/2015 00:00	97.5	97.5	97.5	97.5	30	EUR	
26/06/2015 00:00	96.99	96.99	96.99	96.99	50	EUR	
29/06/2015 00:00	96.9	96.9	96.9	96.9	50	EUR	
30/06/2015 00:00	99	99	99	99	10	EUR	
01/07/2015 00:00	95	95	95	95	108	EUR	
02/07/2015 00:00	98	98	98	98	45	EUR	
03/07/2015 00:00	99.01	99.01	99.01	99.01	99	EUR	
06/07/2015 00:00	102.01	102.01	102.01	102.01	134	EUR	
07/07/2015 00:00	103.21	103.21	103.21	103.21	17	EUR	
08/07/2015 00:00	103	103	103	103	16	EUR	
09/07/2015 00:00	103.02	103.02	103.02	103.02	31	EUR	
10/07/2015 00:00	96	96	96	96	150	EUR	
13/07/2015 00:00	102.99	102.99	102.99	102.99	8	EUR	
14/07/2015 00:00	102.99	102.99	102.99	102.99	0	EUR	
16/07/2015 00:00	102.99	102.99	102.99	102.99	28	EUR	
17/07/2015 00:00	98	98	98	98	20	EUR	
20/07/2015 00:00	98.2	98.2	98.2	98.2	0	EUR	
22/07/2015 00:00	100	100	100	100	44	EUR	
23/07/2015 00:00	100	100	100	100	0	EUR	
27/07/2015 00:00	97.52	97.52	97.52	97.52	0	EUR	
29/07/2015 00:00	99	99	99	99	0	EUR	
31/07/2015 00:00	98.02	98.02	98.02	98.02	30	EUR	
03/08/2015 00:00	104.97	104.97	104.97	104.97	0	EUR	
05/08/2015 00:00	104.97	104.97	104.97	104.97	0	EUR	
07/08/2015 00:00	104	104	104	104	11	EUR	
10/08/2015 00:00	103	103	103	103	160	EUR	
11/08/2015 00:00	103	103	103	103	53	EUR	
12/08/2015 00:00	102	102	102	102	126	EUR	
13/08/2015 00:00	102.5	102.5	102.5	102.5	10	EUR	
14/08/2015 00:00	100	100	100	100	36	EUR	
17/08/2015 00:00	100	100	100	100	0	EUR	
19/08/2015 00:00	102	102	102	102	353	EUR	
20/08/2015 00:00	102.01	102.01	102.01	102.01	402	EUR	
21/08/2015 00:00	102.1	102.1	102.1	102.1	4	EUR	
24/08/2015 00:00	101	101	101	101	80	EUR	
25/08/2015 00:00	102	102	102	102	625	EUR	
26/08/2015 00:00	102.99	102.99	102.99	102.99	15	EUR	
27/08/2015 00:00	102.99	102.99	102.99	102.99	0	EUR	
02/09/2015 00:00	102.01	102.01	102.01	102.01	0	EUR	
04/09/2015 00:00	104.9	104.9	104.9	104.9	54	EUR	
07/09/2015 00:00	104.84	104.84	104.84	104.84	53	EUR	
08/09/2015 00:00	104.85	104.85	104.85	104.85	10	EUR	
09/09/2015 00:00	104.8	104.8	104.8	104.8	85	EUR	
10/09/2015 00:00	104.85	104.85	104.85	104.85	56	EUR	
11/09/2015 00:00	104.9	104.9	104.9	104.9	40	EUR	
14/09/2015 00:00	104.9	104.9	104.9	104.9	122	EUR	
15/09/2015 00:00	105	105	105	105	89	EUR	
16/09/2015 00:00	96.01	96.01	96.01	96.01	700	EUR	
17/09/2015 00:00	99	99	99	99	22	EUR	
18/09/2015 00:00	99.25	99.25	99.25	99.25	21	EUR	
21/09/2015 00:00	99.12	99.12	99.12	99.12	0	EUR	
24/09/2015 00:00	99	99	99	99	0	EUR	
28/09/2015 00:00	102.99	102.99	102.99	102.99	25	EUR	
29/09/2015 00:00	103	103	103	103	463	EUR	
30/09/2015 00:00	103	103	103	103	0	EUR	
02/10/2015 00:00	102	102	102	102	200	EUR	
05/10/2015 00:00	103	103	103	103	234	EUR	
06/10/2015 00:00	105	105	105	105	74	EUR	
07/10/2015 00:00	105	105	105	105	0	EUR	
09/10/2015 00:00	105	105	105	105	50	EUR	
14/10/2015 00:00	105	105	105	105	50	EUR	
15/10/2015 00:00	106	106	106	106	0	EUR	
19/10/2015 00:00	106	106	106	106	15	EUR	
20/10/2015 00:00	105	105	105	105	0	EUR	
23/10/2015 00:00	105	105	105	105	25	EUR	
26/10/2015 00:00	106	106	106	106	45	EUR	
27/10/2015 00:00	105.1	105.1	105.1	105.1	25	EUR	
28/10/2015 00:00	108	108	108	108	0	EUR	
30/10/2015 00:00	108	108	108	108	2	EUR	
02/11/2015 00:00	108	108	108	108	9	EUR	
03/11/2015 00:00	104.02	104.02	104.02	104.02	5	EUR	
04/11/2015 00:00	107.9	107.9	107.9	107.9	0	EUR	
06/11/2015 00:00	107.9	107.9	107.9	107.9	25	EUR	
10/11/2015 00:00	110	110	110	110	64	EUR	
11/11/2015 00:00	113.05	113.05	113.05	113.05	0	EUR	
13/11/2015 00:00	110	110	110	110	78	EUR	
16/11/2015 00:00	114.5	114.5	114.5	114.5	275	EUR	
17/11/2015 00:00	115	115	115	115	3	EUR	
18/11/2015 00:00	114.99	114.99	114.99	114.99	10	EUR	
19/11/2015 00:00	115	115	115	115	15	EUR	
20/11/2015 00:00	115	115	115	115	40	EUR	
23/11/2015 00:00	114.99	114.99	114.99	114.99	0	EUR	
25/11/2015 00:00	114.98	114.98	114.98	114.98	44	EUR	
26/11/2015 00:00	115	115	115	115	94	EUR	
27/11/2015 00:00	115	115	115	115	174	EUR	
30/11/2015 00:00	114	114	114	114	0	EUR	
02/12/2015 00:00	110	110	110	110	0	EUR	
04/12/2015 00:00	110.05	110.05	110.05	110.05	2	EUR	
07/12/2015 00:00	113.59	113.59	113.59	113.59	10	EUR	
08/12/2015 00:00	110	110	110	110	32	EUR	
09/12/2015 00:00	110	110	110	110	124	EUR	
10/12/2015 00:00	110	110	110	110	10	EUR	
11/12/2015 00:00	110	110	110	110	100	EUR	
14/12/2015 00:00	110	110	110	110	2	EUR	
15/12/2015 00:00	110	110	110	110	54	EUR	
16/12/2015 00:00	109.98	109.98	109.98	109.98	11	EUR	
17/12/2015 00:00	106.6	106.6	106.6	106.6	43	EUR	
18/12/2015 00:00	106.6	106.6	106.6	106.6	60	EUR	
21/12/2015 00:00	105.99	105.99	105.99	105.99	34	EUR	
22/12/2015 00:00	105.99	105.99	105.99	105.99	11	EUR	
23/12/2015 00:00	100.6	100.6	100.6	100.6	13	EUR	
24/12/2015 00:00	99	99	99	99	16	EUR	
28/12/2015 00:00	99.5	99.5	99.5	99.5	66	EUR	
29/12/2015 00:00	100	100	100	100	13	EUR	
30/12/2015 00:00	100	100	100	100	10	EUR	
31/12/2015 00:00	102	102	102	102	16	EUR	
04/01/2016 00:00	96.15	96.15	96.15	96.15	408	EUR	
05/01/2016 00:00	96	96	96	96	0	EUR	
07/01/2016 00:00	95	95	95	95	240	EUR	
08/01/2016 00:00	95.01	95.01	95.01	95.01	4	EUR	
11/01/2016 00:00	99.7	99.7	99.7	99.7	15	EUR	
12/01/2016 00:00	94	94	94	94	0	EUR	
14/01/2016 00:00	94	94	94	94	19	EUR	
15/01/2016 00:00	98	98	98	98	50	EUR	
18/01/2016 00:00	96.48	96.48	96.48	96.48	25	EUR	
19/01/2016 00:00	97	97	97	97	636	EUR	
20/01/2016 00:00	95.6	95.6	95.6	95.6	15	EUR	
21/01/2016 00:00	95.65	95.65	95.65	95.65	660	EUR	
22/01/2016 00:00	97	97	97	97	100	EUR	
25/01/2016 00:00	96.1	96.1	96.1	96.1	0	EUR	
27/01/2016 00:00	96	96	96	96	59	EUR	
28/01/2016 00:00	96.5	96.5	96.5	96.5	0	EUR	
09/02/2016 00:00	96.5	96.5	96.5	96.5	0	EUR	
11/02/2016 00:00	95.47	95.47	95.47	95.47	67	EUR	
12/02/2016 00:00	96	96	96	96	11	EUR	
15/02/2016 00:00	98.99	98.99	98.99	98.99	0	EUR	
17/02/2016 00:00	99	99	99	99	0	EUR	
22/02/2016 00:00	99	99	99	99	50	EUR	
23/02/2016 00:00	98.25	98.25	98.25	98.25	50	EUR	
24/02/2016 00:00	98.66	98.66	98.66	98.66	28	EUR	
25/02/2016 00:00	100.06	100.06	100.06	100.06	17	EUR	
26/02/2016 00:00	102.1	102.1	102.1	102.1	169	EUR	
29/02/2016 00:00	102.1	102.1	102.1	102.1	160	EUR	
01/03/2016 00:00	100	100	100	100	50	EUR	
02/03/2016 00:00	101	101	101	101	50	EUR	
