date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	77.219	77.219	75.376	76	68003	EUR	
19/05/2015 00:00	76.009	78.764	76.009	78.764	131991	EUR	
20/05/2015 00:00	78.885	78.978	77.861	78.233	100366	EUR	
21/05/2015 00:00	78.168	78.661	76.474	77.256	61386	EUR	
22/05/2015 00:00	77.182	77.684	76.428	76.912	67329	EUR	
25/05/2015 00:00	77.47	77.47	76.111	76.149	14372	EUR	
26/05/2015 00:00	76.363	76.865	75.339	75.535	77619	EUR	
27/05/2015 00:00	75.293	77.042	75.293	76.009	84035	EUR	
28/05/2015 00:00	75.674	76.521	75.674	76.056	144175	EUR	
29/05/2015 00:00	76.056	76.27	74.632	74.632	141664	EUR	
01/06/2015 00:00	75.525	76.046	74.93	75.488	88485	EUR	
02/06/2015 00:00	75.99	75.99	73.627	73.739	121176	EUR	
03/06/2015 00:00	74.278	74.613	72.017	72.157	130124	EUR	
04/06/2015 00:00	71.97	73.283	70.733	72.706	106010	EUR	
05/06/2015 00:00	72.492	72.492	70.817	70.817	72760	EUR	
08/06/2015 00:00	70.342	70.817	69.765	69.914	83427	EUR	
09/06/2015 00:00	69.793	71.152	69.579	70.91	119552	EUR	
10/06/2015 00:00	70.509	72.613	70.388	72.24	123763	EUR	
11/06/2015 00:00	72.175	74.036	71.98	73.534	171124	EUR	
12/06/2015 00:00	73.618	73.618	72.008	72.482	75002	EUR	
15/06/2015 00:00	72.203	72.203	71.291	71.654	116082	EUR	
16/06/2015 00:00	71.617	73.329	71.235	72.519	116530	EUR	
17/06/2015 00:00	72.864	73.05	70.705	70.751	86226	EUR	
18/06/2015 00:00	70.751	71.421	70.007	71.133	103804	EUR	
19/06/2015 00:00	70.919	71.924	70.388	70.388	158507	EUR	
22/06/2015 00:00	71.403	72.613	71.347	72.464	114090	EUR	
23/06/2015 00:00	72.752	74.306	72.622	73.794	125203	EUR	
24/06/2015 00:00	73.627	73.85	72.91	73.292	81727	EUR	
25/06/2015 00:00	72.975	73.469	72.305	73.096	98422	EUR	
26/06/2015 00:00	73.096	74.092	72.501	73.813	86705	EUR	
29/06/2015 00:00	71.533	72.678	70.593	71.896	173415	EUR	
