date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	26.35	26.49	26.21	26.4	3098	EUR	
19/05/2015 00:00	26.5	26.68	26.13	26.42	4729	EUR	
20/05/2015 00:00	26.1	26.42	26.1	26.41	4188	EUR	
21/05/2015 00:00	26.51	26.75	26.31	26.44	5438	EUR	
22/05/2015 00:00	26.43	26.64	26.3	26.34	7124	EUR	
25/05/2015 00:00	26.3	26.59	26.11	26.59	3215	EUR	
26/05/2015 00:00	26.58	26.58	26.1	26.4	3705	EUR	
27/05/2015 00:00	26.49	26.49	26.11	26.12	2732	EUR	
28/05/2015 00:00	26.17	26.4	26.12	26.29	6028	EUR	
29/05/2015 00:00	26.3	26.5	25.8	25.8	7551	EUR	
01/06/2015 00:00	25.81	26.09	25.8	25.89	3304	EUR	
02/06/2015 00:00	25.92	26.09	25.67	25.67	3704	EUR	
03/06/2015 00:00	25.67	25.9	25.65	25.8	6586	EUR	
04/06/2015 00:00	25.8	25.9	25.74	25.8	2254	EUR	
05/06/2015 00:00	25.9	25.9	25.65	25.8	2459	EUR	
08/06/2015 00:00	25.65	25.85	25.64	25.85	3835	EUR	
09/06/2015 00:00	25.54	25.7	25.3	25.56	5813	EUR	
10/06/2015 00:00	25.56	25.7	25.31	25.35	3771	EUR	
11/06/2015 00:00	25.36	25.6	25.3	25.43	4840	EUR	
12/06/2015 00:00	25.32	25.6	25.3	25.36	5374	EUR	
15/06/2015 00:00	25.37	25.37	25.15	25.2	2026	EUR	
16/06/2015 00:00	25.19	25.36	25.1	25.2	4500	EUR	
17/06/2015 00:00	25.37	26.45	25.05	26.19	11015	EUR	
18/06/2015 00:00	26.2	26.32	25.5	25.93	6503	EUR	
19/06/2015 00:00	25.81	26.2	25.3	25.81	5936	EUR	
22/06/2015 00:00	25.75	26.05	25.6	25.83	5106	EUR	
23/06/2015 00:00	25.83	26.2	25.72	25.88	4878	EUR	
24/06/2015 00:00	26.1	26.14	25.2	25.78	8752	EUR	
25/06/2015 00:00	25.78	25.78	25.31	25.31	5733	EUR	
26/06/2015 00:00	25.7	25.7	25.36	25.5	1985	EUR	
29/06/2015 00:00	25.1	25.42	24.8	25	11555	EUR	
30/06/2015 00:00	24.86	24.91	24.62	24.8	5679	EUR	
01/07/2015 00:00	25	25.09	24.7	24.7	2208	EUR	
02/07/2015 00:00	24.79	25.06	24.62	24.62	6246	EUR	
03/07/2015 00:00	24.63	24.97	24.5	24.5	3901	EUR	
06/07/2015 00:00	24.7	24.89	24.51	24.51	1978	EUR	
07/07/2015 00:00	24.52	24.89	24.1	24.22	4895	EUR	
08/07/2015 00:00	24.2	24.5	24.2	24.2	3598	EUR	
09/07/2015 00:00	24.2	24.6	24.2	24.6	5156	EUR	
10/07/2015 00:00	24.6	24.97	24.6	24.75	3940	EUR	
13/07/2015 00:00	24.65	25.3	24.65	25.19	3865	EUR	
14/07/2015 00:00	25.19	25.2	25.03	25.2	532	EUR	
15/07/2015 00:00	25.28	25.5	25.1	25.49	3485	EUR	
16/07/2015 00:00	25.25	26	25.25	26	3636	EUR	
17/07/2015 00:00	26.1	26.12	25.7	25.71	1990	EUR	
20/07/2015 00:00	25.74	25.81	25.48	25.69	3038	EUR	
21/07/2015 00:00	25.68	25.7	25.5	25.68	2432	EUR	
22/07/2015 00:00	25.69	25.7	25.26	25.35	2969	EUR	
23/07/2015 00:00	25.43	25.5	25.3	25.39	1442	EUR	
24/07/2015 00:00	25.3	25.39	25.2	25.3	2159	EUR	
27/07/2015 00:00	25.2	25.3	25.15	25.16	1269	EUR	
28/07/2015 00:00	25.16	25.3	25	25.21	2101	EUR	
29/07/2015 00:00	25.21	25.38	25.06	25.06	987	EUR	
30/07/2015 00:00	25.01	25.26	25.01	25.18	1895	EUR	
31/07/2015 00:00	25.3	25.47	25	25	3816	EUR	
03/08/2015 00:00	25	25.25	24.92	25.05	3851	EUR	
04/08/2015 00:00	25.1	25.15	24.9	25.14	3242	EUR	
05/08/2015 00:00	25	25.18	25	25.01	1240	EUR	
06/08/2015 00:00	25.02	25.18	24.61	24.91	3797	EUR	
07/08/2015 00:00	25.19	25.19	24.68	24.9	1546	EUR	
10/08/2015 00:00	25.16	25.16	24.81	25.01	2409	EUR	
11/08/2015 00:00	25.01	25.14	24.74	24.9	2148	EUR	
12/08/2015 00:00	24.9	24.9	24.5	24.51	3733	EUR	
13/08/2015 00:00	24.5	24.77	24.5	24.73	1763	EUR	
14/08/2015 00:00	24.85	24.85	24.63	24.68	2113	EUR	
17/08/2015 00:00	24.7	24.85	24.7	24.85	973	EUR	
18/08/2015 00:00	24.8	24.9	24.6	24.6	3300	EUR	
19/08/2015 00:00	24.6	24.91	24.6	24.67	1426	EUR	
20/08/2015 00:00	24.91	24.91	24.68	24.69	1512	EUR	
21/08/2015 00:00	24.69	24.7	24.11	24.48	6411	EUR	
24/08/2015 00:00	24.39	24.39	23.5	23.78	9644	EUR	
25/08/2015 00:00	23.72	24.1	23.4	23.99	10932	EUR	
26/08/2015 00:00	23.72	24.1	23.64	23.79	5106	EUR	
