date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	118.92	118.92	117.7	118.5	160	EUR	
19/05/2015 00:00	118.49	118.49	116.65	117.45	676	EUR	
20/05/2015 00:00	117.45	117.45	116.76	117.43	300	EUR	
21/05/2015 00:00	116.72	116.98	116.72	116.72	1598	EUR	
22/05/2015 00:00	116.72	117	116.72	116.9	155	EUR	
25/05/2015 00:00	116.89	117.99	116.89	117.99	149	EUR	
26/05/2015 00:00	114	114.68	113.45	113.89	2356	EUR	
27/05/2015 00:00	114.5	115	113.25	115	296	EUR	
28/05/2015 00:00	115.45	115.45	112.9	112.9	421	EUR	
29/05/2015 00:00	113.8	113.8	111.81	111.81	330	EUR	
01/06/2015 00:00	112.9	113.2	111.92	112	291	EUR	
02/06/2015 00:00	112	112.01	111.5	111.5	362	EUR	
03/06/2015 00:00	111.51	111.51	110.8	110.8	335	EUR	
04/06/2015 00:00	111	111	109.3	110	7815	EUR	
05/06/2015 00:00	109.99	109.99	108.4	108.4	583	EUR	
08/06/2015 00:00	108.1	109.2	108.1	109.2	186	EUR	
09/06/2015 00:00	109.3	109.6	108.06	109.6	358	EUR	
10/06/2015 00:00	109.59	109.8	108.93	109.79	73	EUR	
11/06/2015 00:00	109.81	109.81	108.1	108.1	557	EUR	
12/06/2015 00:00	108.1	108.94	107	108.1	296	EUR	
15/06/2015 00:00	107.32	107.98	107.2	107.23	452	EUR	
16/06/2015 00:00	107	107.98	105.7	107.51	472	EUR	
17/06/2015 00:00	107.51	107.8	106.9	107	416	EUR	
18/06/2015 00:00	106.01	106.89	106.01	106.47	234	EUR	
19/06/2015 00:00	106.47	107	104.8	105.97	611	EUR	
22/06/2015 00:00	107	108.35	106.99	108.3	542	EUR	
23/06/2015 00:00	108.3	109.29	108.3	108.3	381	EUR	
24/06/2015 00:00	108.2	109.13	108.1	108.1	80	EUR	
25/06/2015 00:00	109.3	109.3	108.13	109	525	EUR	
26/06/2015 00:00	109	110	108.51	110	296	EUR	
29/06/2015 00:00	108.5	109.6	107	108.07	1167	EUR	
30/06/2015 00:00	108.07	108.39	107.5	107.5	763	EUR	
01/07/2015 00:00	107.51	110	107.51	110	1055	EUR	
02/07/2015 00:00	110	110.5	110	110.5	205	EUR	
03/07/2015 00:00	110.5	111.09	110	111	376	EUR	
06/07/2015 00:00	108.7	108.7	106.6	106.92	785	EUR	
07/07/2015 00:00	106.92	108.03	106.92	107	526	EUR	
08/07/2015 00:00	107.01	107.99	107	107	528	EUR	
09/07/2015 00:00	108	109	108	109	343	EUR	
10/07/2015 00:00	108.4	112.3	108.4	112.2	1364	EUR	
13/07/2015 00:00	111.89	112.5	111.89	112.11	211	EUR	
14/07/2015 00:00	112.11	113.8	112.11	113.26	255	EUR	
15/07/2015 00:00	113.26	113.49	111.7	111.9	946	EUR	
16/07/2015 00:00	112	112.5	112	112.5	129	EUR	
17/07/2015 00:00	112.6	113.19	111.95	113.19	761	EUR	
20/07/2015 00:00	113.2	114.1	112.6	114.02	512	EUR	
21/07/2015 00:00	113	113.51	112.91	112.91	102	EUR	
22/07/2015 00:00	112.91	112.91	112	112	125	EUR	
23/07/2015 00:00	112	112	111.7	111.7	61	EUR	
24/07/2015 00:00	111.4	111.41	106.4	107.29	1298	EUR	
27/07/2015 00:00	107.32	108.5	107.32	107.32	162	EUR	
28/07/2015 00:00	107.33	107.71	107.33	107.41	184	EUR	
29/07/2015 00:00	107.51	108.2	107	107.8	416	EUR	
30/07/2015 00:00	109.29	109.29	107.09	109.26	42	EUR	
31/07/2015 00:00	109.24	109.24	107.51	107.53	147	EUR	
03/08/2015 00:00	107.53	109.3	107.53	109.29	136	EUR	
04/08/2015 00:00	107.6	109.6	107.6	109.44	176	EUR	
05/08/2015 00:00	109.44	109.79	108.6	109.49	46	EUR	
06/08/2015 00:00	109.49	109.5	107	109.45	372	EUR	
07/08/2015 00:00	109.45	109.45	108.61	108.81	110	EUR	
10/08/2015 00:00	108.81	109.89	108.81	109.57	50	EUR	
11/08/2015 00:00	109.57	109.57	106.9	107.9	267	EUR	
12/08/2015 00:00	107.9	108.5	107	107.01	306	EUR	
13/08/2015 00:00	106.99	107.95	106.99	107.06	148	EUR	
14/08/2015 00:00	107.95	107.95	107	107	58	EUR	
17/08/2015 00:00	107.95	107.95	107	107	129	EUR	
18/08/2015 00:00	107.01	107.01	107.01	107.01	1	EUR	
19/08/2015 00:00	107.01	107.11	107	107	1275	EUR	
20/08/2015 00:00	107	107.95	106.61	106.9	186	EUR	
21/08/2015 00:00	106.7	106.7	105.2	105.25	275	EUR	
24/08/2015 00:00	104.5	105.4	99	102.6	1066	EUR	
25/08/2015 00:00	103	103.9	102.99	103.23	457	EUR	
26/08/2015 00:00	103.23	103.88	102.7	102.72	722	EUR	
27/08/2015 00:00	102.73	103.89	102.66	102.67	690	EUR	
28/08/2015 00:00	102.68	103.69	102.68	102.7	237	EUR	
31/08/2015 00:00	102.71	102.9	102.68	102.7	80	EUR	
01/09/2015 00:00	103.89	103.89	102.72	102.72	248	EUR	
02/09/2015 00:00	102.51	103.22	102.51	102.53	162	EUR	
03/09/2015 00:00	102.57	102.57	102.55	102.55	238	EUR	
04/09/2015 00:00	102.57	102.6	102.05	102.05	153	EUR	
07/09/2015 00:00	102.07	103.51	102.06	102.22	348	EUR	
08/09/2015 00:00	102.22	102.22	102.11	102.16	479	EUR	
09/09/2015 00:00	102.16	103.51	102.16	103	81	EUR	
10/09/2015 00:00	102.99	102.99	102.05	102.06	296	EUR	
11/09/2015 00:00	102.5	102.5	102.05	102.49	126	EUR	
14/09/2015 00:00	102.2	102.29	102.05	102.05	41	EUR	
15/09/2015 00:00	102.06	102.06	101.11	101.11	107	EUR	
16/09/2015 00:00	101.12	101.99	100	101.49	538	EUR	
17/09/2015 00:00	101.49	101.8	101.05	101.05	83	EUR	
18/09/2015 00:00	101.05	101.5	100.01	100.9	348	EUR	
21/09/2015 00:00	100.9	101.8	100.9	101.8	171	EUR	
22/09/2015 00:00	101.79	101.8	97	98.63	435	EUR	
23/09/2015 00:00	98.63	99	98.63	99	220	EUR	
24/09/2015 00:00	99	100.09	98.5	100.09	417	EUR	
25/09/2015 00:00	100.09	100.6	100.01	100.1	224	EUR	
28/09/2015 00:00	100.01	100.6	100	100	315	EUR	
29/09/2015 00:00	99.99	99.99	98.6	98.6	414	EUR	
30/09/2015 00:00	98.61	99.85	98.61	99.85	1004	EUR	
01/10/2015 00:00	100	100	98.55	100	320	EUR	
02/10/2015 00:00	100	100.3	99.5	99.51	96	EUR	
05/10/2015 00:00	99.54	100.3	99.54	100	265	EUR	
06/10/2015 00:00	100.3	100.89	100.3	100.89	132	EUR	
07/10/2015 00:00	100.01	100.59	100.01	100.43	196	EUR	
08/10/2015 00:00	100.9	101.79	100	100.9	968	EUR	
09/10/2015 00:00	100.9	101.09	100.16	101.09	41	EUR	
12/10/2015 00:00	100.25	100.26	99.8	100.24	283	EUR	
13/10/2015 00:00	100.89	100.89	99.55	99.62	76	EUR	
14/10/2015 00:00	100.79	100.79	99	99.06	289	EUR	
15/10/2015 00:00	99.06	99.98	99.06	99.98	3	EUR	
16/10/2015 00:00	99.96	99.98	99.89	99.98	84	EUR	
