date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	3.036	3.046	3.017	3.046	2106	EUR	
19/05/2015 00:00	3.036	3.046	2.957	2.997	3990	EUR	
20/05/2015 00:00	2.957	2.977	2.908	2.957	7231	EUR	
21/05/2015 00:00	3.007	3.155	2.967	3.135	37897	EUR	
22/05/2015 00:00	3.135	3.135	3.056	3.095	14098	EUR	
25/05/2015 00:00	3.135	3.135	3.086	3.115	7112	EUR	
26/05/2015 00:00	3.125	3.125	3.056	3.056	8088	EUR	
27/05/2015 00:00	3.066	3.095	3.056	3.095	5225	EUR	
28/05/2015 00:00	3.056	3.066	3.046	3.056	4333	EUR	
29/05/2015 00:00	3.056	3.095	3.036	3.095	1679	EUR	
01/06/2015 00:00	3.036	3.076	3.036	3.076	3419	EUR	
02/06/2015 00:00	3.076	3.076	3.017	3.056	4647	EUR	
03/06/2015 00:00	3.046	3.056	2.879	2.997	17971	EUR	
04/06/2015 00:00	3.007	3.007	2.908	2.987	7924	EUR	
05/06/2015 00:00	2.987	2.987	2.938	2.987	406	EUR	
08/06/2015 00:00	2.977	2.977	2.957	2.977	655	EUR	
09/06/2015 00:00	2.967	2.967	2.879	2.918	4345	EUR	
10/06/2015 00:00	2.908	3.017	2.879	3.017	21727	EUR	
11/06/2015 00:00	3.007	3.007	2.967	3.007	1821	EUR	
12/06/2015 00:00	2.997	3.007	2.869	2.938	20431	EUR	
15/06/2015 00:00	2.898	2.898	2.859	2.869	17996	EUR	
16/06/2015 00:00	2.869	2.879	2.8	2.819	16649	EUR	
17/06/2015 00:00	2.829	2.839	2.77	2.79	33139	EUR	
18/06/2015 00:00	2.78	2.8	2.76	2.8	9404	EUR	
19/06/2015 00:00	2.79	2.8	2.78	2.8	4513	EUR	
22/06/2015 00:00	2.819	2.819	2.78	2.819	4132	EUR	
23/06/2015 00:00	2.81	2.829	2.81	2.819	6332	EUR	
24/06/2015 00:00	2.77	2.81	2.721	2.76	17502	EUR	
25/06/2015 00:00	2.76	2.76	2.76	2.76	1833	EUR	
26/06/2015 00:00	2.75	2.76	2.741	2.75	2482	EUR	
29/06/2015 00:00	2.671	2.691	2.632	2.691	24269	EUR	
30/06/2015 00:00	2.681	2.681	2.602	2.662	9200	EUR	
01/07/2015 00:00	2.662	2.701	2.662	2.701	7153	EUR	
02/07/2015 00:00	2.711	2.711	2.662	2.711	6609	EUR	
03/07/2015 00:00	2.701	2.711	2.652	2.681	2488	EUR	
06/07/2015 00:00	2.681	2.681	2.593	2.662	3154	EUR	
07/07/2015 00:00	2.652	2.652	2.622	2.632	1258	EUR	
08/07/2015 00:00	2.632	2.632	2.632	2.632	1244	EUR	
09/07/2015 00:00	2.642	2.662	2.642	2.662	3597	EUR	
10/07/2015 00:00	2.662	2.701	2.652	2.681	4657	EUR	
13/07/2015 00:00	2.681	2.681	2.533	2.681	16023	EUR	
14/07/2015 00:00	2.681	2.711	2.602	2.711	10181	EUR	
15/07/2015 00:00	2.681	2.711	2.671	2.711	1892	EUR	
