date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	60.81	61.131	60.031	61.131	1026245	EUR	
19/05/2015 00:00	61.375	62.553	61.375	61.93	1819578	EUR	
20/05/2015 00:00	61.823	62.203	61.463	61.95	1338405	EUR	
21/05/2015 00:00	61.901	61.901	61.307	61.638	1299519	EUR	
22/05/2015 00:00	61.56	62.222	61.336	61.959	1093727	EUR	
25/05/2015 00:00	62.203	62.203	61.579	61.969	160288	EUR	
26/05/2015 00:00	62.339	62.544	61.326	61.872	1881755	EUR	
27/05/2015 00:00	62.047	62.816	61.735	62.651	1691318	EUR	
28/05/2015 00:00	62.291	62.855	61.998	62.505	1385669	EUR	
29/05/2015 00:00	62.476	62.68	60.907	60.907	2637406	EUR	
01/06/2015 00:00	60.868	61.862	60.781	61.579	1459650	EUR	
02/06/2015 00:00	61.95	61.95	60.664	60.956	1741531	EUR	
03/06/2015 00:00	61.141	62.417	60.722	61.414	1818062	EUR	
04/06/2015 00:00	61.053	61.424	59.777	60.761	1988411	EUR	
05/06/2015 00:00	60.459	60.527	59.505	59.583	1916270	EUR	
08/06/2015 00:00	59.67	59.953	59.018	59.213	1484295	EUR	
09/06/2015 00:00	59.144	59.631	58.511	58.901	2425253	EUR	
10/06/2015 00:00	58.638	60.05	58.287	59.729	2127182	EUR	
11/06/2015 00:00	59.719	60.81	59.359	59.982	1897572	EUR	
12/06/2015 00:00	59.953	59.953	58.453	59.105	1781866	EUR	
15/06/2015 00:00	58.599	59.193	58.336	58.774	1656451	EUR	
16/06/2015 00:00	58.404	59.524	58.258	59.261	1511413	EUR	
17/06/2015 00:00	59.505	59.583	58.141	58.453	1463403	EUR	
18/06/2015 00:00	58.17	58.248	57.303	57.975	2668366	EUR	
19/06/2015 00:00	58.073	58.424	57.518	57.576	3333501	EUR	
22/06/2015 00:00	58.862	59.251	58.005	59.037	2556160	EUR	
23/06/2015 00:00	59.524	59.982	59.086	59.378	1905755	EUR	
24/06/2015 00:00	59.524	59.641	58.648	58.901	1785746	EUR	
25/06/2015 00:00	58.268	59.553	58.248	58.998	1707270	EUR	
26/06/2015 00:00	58.774	59.777	58.54	59.086	1574794	EUR	
29/06/2015 00:00	57.235	58.424	56.807	57.537	2731265	EUR	
30/06/2015 00:00	57.381	57.917	56.485	56.485	3338547	EUR	
01/07/2015 00:00	57.001	58.053	56.475	57.664	2594365	EUR	
02/07/2015 00:00	57.956	58.161	57.381	57.605	1730740	EUR	
03/07/2015 00:00	57.566	57.771	56.816	57.177	1091338	EUR	
06/07/2015 00:00	56.144	57.177	55.842	56.583	1866279	EUR	
07/07/2015 00:00	56.553	56.885	55.969	56.008	2207835	EUR	
08/07/2015 00:00	56.242	56.797	56.173	56.427	1838068	EUR	
09/07/2015 00:00	56.69	58.092	56.534	57.859	1755664	EUR	
10/07/2015 00:00	59.135	59.592	58.842	59.359	2108060	EUR	
13/07/2015 00:00	60.294	60.586	59.797	60.031	1824177	EUR	
14/07/2015 00:00	59.904	60.596	59.904	60.537	1132891	EUR	
15/07/2015 00:00	59.904	60.274	59.417	60.128	2163368	EUR	
16/07/2015 00:00	60.391	61.521	60.274	61.063	1588530	EUR	
17/07/2015 00:00	60.985	61.063	60.45	60.907	1294615	EUR	
20/07/2015 00:00	60.8	61.56	60.8	61.248	906912	EUR	
21/07/2015 00:00	61.589	61.687	60.625	60.771	1155556	EUR	
22/07/2015 00:00	60.615	61.297	60.605	60.898	1051241	EUR	
23/07/2015 00:00	61.141	61.511	60.255	60.547	1713678	EUR	
24/07/2015 00:00	60.333	60.859	59.446	60.235	1877236	EUR	
27/07/2015 00:00	59.777	59.963	58.735	58.803	1535464	EUR	
28/07/2015 00:00	59.135	59.544	58.696	59.271	1297583	EUR	
29/07/2015 00:00	59.417	59.855	59.203	59.768	1390847	EUR	
30/07/2015 00:00	59.914	59.972	59.407	59.972	1283715	EUR	
31/07/2015 00:00	59.982	60.109	59.388	60.089	1612870	EUR	
03/08/2015 00:00	60.089	61.297	60.001	61.297	1374541	EUR	
04/08/2015 00:00	61.277	61.56	60.927	61.307	1220388	EUR	
05/08/2015 00:00	61.268	61.687	61.122	61.521	1813445	EUR	
06/08/2015 00:00	61.326	61.842	61.161	61.628	834357	EUR	
07/08/2015 00:00	61.667	61.667	60.82	60.927	951110	EUR	
10/08/2015 00:00	61.122	61.268	60.527	61.151	746434	EUR	
11/08/2015 00:00	60.839	60.995	60.021	60.274	1489690	EUR	
12/08/2015 00:00	59.748	59.748	58.083	58.346	2327351	EUR	
13/08/2015 00:00	58.979	59.32	58.735	58.881	1353359	EUR	
14/08/2015 00:00	58.95	59.222	58.404	58.755	1053266	EUR	
17/08/2015 00:00	59.174	59.466	58.005	58.764	937276	EUR	
18/08/2015 00:00	58.609	58.911	58.433	58.57	686296	EUR	
19/08/2015 00:00	58.199	58.346	57.537	57.566	987580	EUR	
20/08/2015 00:00	57.469	57.596	56.485	56.612	1571624	EUR	
21/08/2015 00:00	56.086	56.583	55.131	55.131	2323221	EUR	
24/08/2015 00:00	53.553	54.342	50.388	52.151	4909978	EUR	
25/08/2015 00:00	52.823	54.323	52.492	53.505	3370754	EUR	
26/08/2015 00:00	52.618	53.436	51.79	52.745	2996754	EUR	
27/08/2015 00:00	53.787	54.294	53.339	53.923	2375300	EUR	
