date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	2.932	3.045	2.932	3.018	284642	EUR	
19/05/2015 00:00	3.039	3.078	2.98	2.987	174664	EUR	
20/05/2015 00:00	2.98	3.005	2.95	2.99	117039	EUR	
21/05/2015 00:00	2.963	2.983	2.93	2.934	127340	EUR	
22/05/2015 00:00	2.93	2.95	2.92	2.935	83768	EUR	
25/05/2015 00:00	3.09	3.61	3.085	3.58	2150706	EUR	
26/05/2015 00:00	3.487	3.547	3.223	3.234	1415091	EUR	
27/05/2015 00:00	3.222	3.313	3.16	3.24	617478	EUR	
28/05/2015 00:00	3.189	3.28	3.18	3.205	213748	EUR	
29/05/2015 00:00	3.201	3.205	3.104	3.113	293365	EUR	
01/06/2015 00:00	3.194	3.194	3.012	3.05	373580	EUR	
02/06/2015 00:00	3.036	3.12	3.011	3.1	227182	EUR	
03/06/2015 00:00	3.15	3.239	3.145	3.196	406015	EUR	
04/06/2015 00:00	3.227	3.227	3.12	3.18	246854	EUR	
05/06/2015 00:00	3.18	3.18	3.047	3.058	189910	EUR	
08/06/2015 00:00	3.051	3.071	2.983	2.983	200227	EUR	
09/06/2015 00:00	2.974	3.022	2.907	3.007	302983	EUR	
10/06/2015 00:00	3.025	3.173	3.013	3.165	196639	EUR	
11/06/2015 00:00	3.17	3.181	3.087	3.141	182054	EUR	
12/06/2015 00:00	3.15	3.15	3.01	3.024	153474	EUR	
15/06/2015 00:00	3.009	3.029	2.95	2.958	282470	EUR	
16/06/2015 00:00	2.949	2.989	2.87	2.976	348847	EUR	
17/06/2015 00:00	3	3.06	2.963	3.012	264127	EUR	
18/06/2015 00:00	2.991	3.079	2.887	3.06	240891	EUR	
19/06/2015 00:00	3.06	3.093	2.97	3.009	635743	EUR	
22/06/2015 00:00	2.978	3.116	2.978	3.071	316609	EUR	
23/06/2015 00:00	3.117	3.117	3.035	3.074	227100	EUR	
24/06/2015 00:00	3.056	3.114	3.056	3.08	169984	EUR	
25/06/2015 00:00	3.085	3.2	3.062	3.181	283641	EUR	
26/06/2015 00:00	3.177	3.19	3.066	3.08	157663	EUR	
29/06/2015 00:00	2.85	3.02	2.83	2.94	369551	EUR	
30/06/2015 00:00	2.918	2.925	2.84	2.879	202687	EUR	
01/07/2015 00:00	2.92	2.998	2.877	2.961	146057	EUR	
02/07/2015 00:00	2.9	2.95	2.874	2.897	155326	EUR	
03/07/2015 00:00	2.9	2.918	2.865	2.918	146704	EUR	
06/07/2015 00:00	2.85	2.942	2.825	2.852	235399	EUR	
07/07/2015 00:00	2.875	2.875	2.77	2.771	178468	EUR	
08/07/2015 00:00	2.847	2.935	2.78	2.907	175774	EUR	
09/07/2015 00:00	2.852	3.004	2.851	2.967	210913	EUR	
10/07/2015 00:00	2.971	3.05	2.971	3.033	114729	EUR	
13/07/2015 00:00	3.015	3.111	3.015	3.05	174825	EUR	
14/07/2015 00:00	3.086	3.111	3.06	3.101	111405	EUR	
15/07/2015 00:00	3.11	3.19	3.085	3.179	99303	EUR	
16/07/2015 00:00	3.131	3.194	3.124	3.132	124127	EUR	
17/07/2015 00:00	3.13	3.175	3.104	3.13	73465	EUR	
20/07/2015 00:00	3.091	3.19	3.087	3.187	109098	EUR	
21/07/2015 00:00	3.188	3.207	3.128	3.131	82147	EUR	
22/07/2015 00:00	3.096	3.129	3.096	3.124	43248	EUR	
23/07/2015 00:00	3.12	3.147	3.071	3.112	81899	EUR	
24/07/2015 00:00	3.051	3.171	3.051	3.136	107885	EUR	
27/07/2015 00:00	3.106	3.108	2.973	2.99	158615	EUR	
28/07/2015 00:00	2.971	3.063	2.971	3.036	126050	EUR	
29/07/2015 00:00	3.019	3.05	2.995	3.033	79491	EUR	
30/07/2015 00:00	3.009	3.046	2.971	3.005	79585	EUR	
31/07/2015 00:00	2.98	3.234	2.98	3.233	359834	EUR	
03/08/2015 00:00	3.3	3.3	3.203	3.219	334583	EUR	
04/08/2015 00:00	3.2	3.2	3.109	3.131	207164	EUR	
05/08/2015 00:00	3.155	3.298	3.15	3.298	305937	EUR	
06/08/2015 00:00	3.3	3.349	3.27	3.323	281415	EUR	
07/08/2015 00:00	3.3	3.3	3	3.04	629519	EUR	
10/08/2015 00:00	3.05	3.059	2.951	2.984	275364	EUR	
11/08/2015 00:00	2.984	2.999	2.95	2.982	183892	EUR	
12/08/2015 00:00	2.95	2.95	2.78	2.79	472506	EUR	
13/08/2015 00:00	2.79	2.86	2.71	2.732	430581	EUR	
14/08/2015 00:00	2.773	2.874	2.751	2.859	189181	EUR	
17/08/2015 00:00	2.876	2.969	2.761	2.969	269683	EUR	
18/08/2015 00:00	2.954	3.034	2.91	3.009	242954	EUR	
19/08/2015 00:00	3.009	3.012	2.89	2.918	177635	EUR	
20/08/2015 00:00	2.943	2.943	2.81	2.871	238102	EUR	
21/08/2015 00:00	2.81	2.881	2.8	2.8	227088	EUR	
24/08/2015 00:00	2.744	2.744	2.512	2.627	634610	EUR	
25/08/2015 00:00	2.636	2.845	2.633	2.816	272998	EUR	
26/08/2015 00:00	2.79	2.858	2.7	2.798	239671	EUR	
27/08/2015 00:00	2.884	2.975	2.849	2.964	321601	EUR	
28/08/2015 00:00	2.992	2.992	2.91	2.94	159145	EUR	
31/08/2015 00:00	2.919	2.95	2.901	2.933	166839	EUR	
01/09/2015 00:00	2.933	2.94	2.8	2.845	274550	EUR	
02/09/2015 00:00	2.879	2.879	2.786	2.807	190045	EUR	
03/09/2015 00:00	2.824	2.985	2.824	2.927	326957	EUR	
04/09/2015 00:00	2.902	2.945	2.87	2.903	210742	EUR	
07/09/2015 00:00	2.9	2.973	2.858	2.971	133908	EUR	
08/09/2015 00:00	2.97	3	2.9	2.965	182662	EUR	
09/09/2015 00:00	3.015	3.04	2.715	2.739	424145	EUR	
10/09/2015 00:00	2.75	2.774	2.581	2.581	555869	EUR	
11/09/2015 00:00	2.609	2.617	2.47	2.506	370655	EUR	
14/09/2015 00:00	2.55	2.57	2.477	2.482	236342	EUR	
15/09/2015 00:00	2.484	2.484	2.374	2.42	362393	EUR	
16/09/2015 00:00	2.45	2.479	2.401	2.455	166534	EUR	
17/09/2015 00:00	2.45	2.585	2.424	2.564	241803	EUR	
18/09/2015 00:00	2.57	2.57	2.454	2.468	250098	EUR	
21/09/2015 00:00	2.453	2.517	2.453	2.476	138181	EUR	
22/09/2015 00:00	2.48	2.497	2.371	2.398	247358	EUR	
23/09/2015 00:00	2.406	2.482	2.37	2.461	177935	EUR	
24/09/2015 00:00	2.461	2.477	2.38	2.392	197434	EUR	
25/09/2015 00:00	2.423	2.52	2.423	2.487	256082	EUR	
28/09/2015 00:00	2.5	2.515	2.42	2.455	282623	EUR	
29/09/2015 00:00	2.4	2.481	2.38	2.467	132920	EUR	
30/09/2015 00:00	2.49	2.599	2.472	2.562	169472	EUR	
01/10/2015 00:00	2.56	2.605	2.559	2.588	252024	EUR	
02/10/2015 00:00	2.594	2.74	2.585	2.74	252363	EUR	
05/10/2015 00:00	2.74	2.784	2.733	2.77	137176	EUR	
06/10/2015 00:00	2.77	2.819	2.742	2.75	133104	EUR	
07/10/2015 00:00	2.75	2.823	2.75	2.782	167784	EUR	
08/10/2015 00:00	2.79	2.81	2.768	2.806	82201	EUR	
09/10/2015 00:00	2.823	2.84	2.778	2.81	143590	EUR	
12/10/2015 00:00	2.77	2.881	2.753	2.842	119304	EUR	
13/10/2015 00:00	2.85	2.85	2.75	2.766	129871	EUR	
14/10/2015 00:00	2.75	2.788	2.693	2.771	103226	EUR	
15/10/2015 00:00	2.782	2.877	2.745	2.875	97968	EUR	
16/10/2015 00:00	2.88	2.885	2.845	2.861	97372	EUR	
19/10/2015 00:00	2.88	2.899	2.833	2.882	77493	EUR	
20/10/2015 00:00	2.842	2.883	2.842	2.842	44119	EUR	
21/10/2015 00:00	2.88	2.88	2.805	2.816	81888	EUR	
22/10/2015 00:00	2.822	2.89	2.811	2.887	102357	EUR	
23/10/2015 00:00	2.857	2.895	2.857	2.882	108275	EUR	
26/10/2015 00:00	2.89	2.89	2.827	2.849	41992	EUR	
27/10/2015 00:00	2.8	2.85	2.8	2.808	37269	EUR	
28/10/2015 00:00	2.8	2.895	2.8	2.892	37879	EUR	
29/10/2015 00:00	2.863	2.905	2.764	2.784	92418	EUR	
30/10/2015 00:00	2.847	2.847	2.76	2.799	74497	EUR	
02/11/2015 00:00	2.752	2.87	2.752	2.839	90568	EUR	
03/11/2015 00:00	2.864	2.864	2.751	2.813	119242	EUR	
04/11/2015 00:00	2.8	2.827	2.731	2.734	348181	EUR	
05/11/2015 00:00	2.723	2.76	2.716	2.717	91575	EUR	
06/11/2015 00:00	2.7	2.7	2.578	2.59	281775	EUR	
09/11/2015 00:00	2.6	2.657	2.5	2.5	319738	EUR	
10/11/2015 00:00	2.587	2.587	2.495	2.524	154521	EUR	
11/11/2015 00:00	2.557	2.564	2.501	2.53	122276	EUR	
12/11/2015 00:00	2.538	2.566	2.472	2.472	197083	EUR	
