date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	0.77	0.77	0.77	0.77	0	EUR	
20/05/2015 00:00	0.74	0.74	0.74	0.74	0	EUR	
22/05/2015 00:00	0.71	0.71	0.7	0.7	250	EUR	
25/05/2015 00:00	0.76	0.76	0.76	0.76	0	EUR	
27/05/2015 00:00	0.76	0.76	0.76	0.76	0	EUR	
29/05/2015 00:00	0.75	0.75	0.75	0.75	895	EUR	
02/06/2015 00:00	0.7	0.7	0.7	0.7	2340	EUR	
03/06/2015 00:00	0.69	0.71	0.69	0.71	4785	EUR	
04/06/2015 00:00	0.69	0.69	0.69	0.69	0	EUR	
08/06/2015 00:00	0.75	0.75	0.75	0.75	0	EUR	
12/06/2015 00:00	0.77	0.77	0.77	0.77	130	EUR	
16/06/2015 00:00	0.77	0.77	0.77	0.77	0	EUR	
18/06/2015 00:00	0.79	0.79	0.79	0.79	1406	EUR	
19/06/2015 00:00	0.86	0.86	0.86	0.86	900	EUR	
22/06/2015 00:00	0.86	0.86	0.86	0.86	0	EUR	
24/06/2015 00:00	0.75	0.75	0.75	0.75	337	EUR	
25/06/2015 00:00	0.75	0.75	0.75	0.75	0	EUR	
29/06/2015 00:00	0.7	0.75	0.7	0.75	1787	EUR	
30/06/2015 00:00	0.75	0.75	0.75	0.75	1399	EUR	
01/07/2015 00:00	0.75	0.79	0.75	0.79	1049	EUR	
02/07/2015 00:00	0.81	0.81	0.81	0.81	0	EUR	
09/07/2015 00:00	0.61	0.61	0.61	0.61	0	EUR	
13/07/2015 00:00	0.66	0.66	0.66	0.66	0	EUR	
16/07/2015 00:00	0.63	0.63	0.63	0.63	21	EUR	
17/07/2015 00:00	0.65	0.65	0.63	0.63	2716	EUR	
21/07/2015 00:00	0.69	0.69	0.69	0.69	0	EUR	
28/07/2015 00:00	0.7	0.7	0.7	0.7	0	EUR	
31/07/2015 00:00	0.77	0.77	0.77	0.77	2825	EUR	
03/08/2015 00:00	0.8	0.8	0.8	0.8	7950	EUR	
04/08/2015 00:00	0.8	0.82	0.8	0.82	24842	EUR	
05/08/2015 00:00	0.82	0.82	0.82	0.82	2785	EUR	
06/08/2015 00:00	0.81	0.81	0.81	0.81	3321	EUR	
07/08/2015 00:00	0.81	0.85	0.81	0.85	1080	EUR	
10/08/2015 00:00	0.86	0.86	0.86	0.86	1565	EUR	
11/08/2015 00:00	0.83	0.83	0.83	0.83	199	EUR	
12/08/2015 00:00	0.81	0.81	0.81	0.81	970	EUR	
13/08/2015 00:00	0.8	0.8	0.8	0.8	1224	EUR	
14/08/2015 00:00	0.81	0.81	0.81	0.81	2291	EUR	
17/08/2015 00:00	0.81	0.81	0.81	0.81	709	EUR	
18/08/2015 00:00	0.81	0.81	0.81	0.81	600	EUR	
19/08/2015 00:00	0.81	0.81	0.81	0.81	2000	EUR	
20/08/2015 00:00	0.82	0.87	0.82	0.87	1754	EUR	
21/08/2015 00:00	0.82	0.82	0.82	0.82	200	EUR	
24/08/2015 00:00	0.8	0.8	0.79	0.79	2162	EUR	
25/08/2015 00:00	0.79	0.8	0.79	0.8	6534	EUR	
27/08/2015 00:00	0.8	0.8	0.8	0.8	465	EUR	
28/08/2015 00:00	0.8	0.8	0.79	0.79	1034	EUR	
03/09/2015 00:00	0.89	0.89	0.89	0.89	200	EUR	
04/09/2015 00:00	0.77	0.77	0.77	0.77	75	EUR	
07/09/2015 00:00	0.78	0.78	0.78	0.78	0	EUR	
14/09/2015 00:00	0.77	0.77	0.77	0.77	0	EUR	
25/09/2015 00:00	0.77	0.77	0.77	0.77	80	EUR	
28/09/2015 00:00	0.78	0.78	0.78	0.78	1000	EUR	
29/09/2015 00:00	0.78	0.78	0.78	0.78	0	EUR	
08/10/2015 00:00	0.89	0.89	0.89	0.89	0	EUR	
12/10/2015 00:00	0.89	0.89	0.89	0.89	300	EUR	
13/10/2015 00:00	0.81	0.81	0.81	0.81	448	EUR	
14/10/2015 00:00	0.81	0.81	0.81	0.81	0	EUR	
19/10/2015 00:00	0.73	0.73	0.73	0.73	1635	EUR	
20/10/2015 00:00	0.7	0.7	0.7	0.7	0	EUR	
23/10/2015 00:00	0.87	0.87	0.87	0.87	100	EUR	
26/10/2015 00:00	0.72	0.72	0.72	0.72	0	EUR	
30/10/2015 00:00	0.73	0.73	0.73	0.73	1200	EUR	
03/11/2015 00:00	0.73	0.73	0.73	0.73	1383	EUR	
04/11/2015 00:00	0.8	0.8	0.8	0.8	4639	EUR	
05/11/2015 00:00	0.87	0.87	0.87	0.87	5361	EUR	
06/11/2015 00:00	0.89	0.89	0.89	0.89	5975	EUR	
11/11/2015 00:00	0.95	1	0.95	1	2276	EUR	
