date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	17	17.11	16.88	16.88	2227	EUR	
19/05/2015 00:00	16.88	16.94	16.75	16.76	1382	EUR	
20/05/2015 00:00	16.8	16.8	16.76	16.77	331	EUR	
21/05/2015 00:00	16.78	16.85	16.62	16.8	2808	EUR	
22/05/2015 00:00	16.8	17.08	16.65	16.81	3902	EUR	
25/05/2015 00:00	16.8	16.8	16.7	16.75	844	EUR	
26/05/2015 00:00	16.76	16.76	16.65	16.7	809	EUR	
27/05/2015 00:00	16.7	16.7	16.65	16.69	923	EUR	
28/05/2015 00:00	16.68	16.69	16.65	16.69	199	EUR	
29/05/2015 00:00	16.68	16.69	16.68	16.68	450	EUR	
01/06/2015 00:00	16.6	16.75	16.6	16.66	1037	EUR	
02/06/2015 00:00	16.66	16.74	16.66	16.74	120	EUR	
03/06/2015 00:00	16.74	16.83	16.59	16.59	2301	EUR	
04/06/2015 00:00	16.6	16.98	16.6	16.81	1432	EUR	
05/06/2015 00:00	16.81	16.82	16.65	16.79	590	EUR	
08/06/2015 00:00	16.7	16.71	16.65	16.65	328	EUR	
09/06/2015 00:00	16.6	16.7	16.57	16.57	2501	EUR	
10/06/2015 00:00	16.58	16.58	16.5	16.55	1886	EUR	
11/06/2015 00:00	16.56	16.6	16.5	16.6	624	EUR	
12/06/2015 00:00	16.59	16.6	16.59	16.6	164	EUR	
15/06/2015 00:00	16.58	16.58	16.55	16.55	683	EUR	
16/06/2015 00:00	16.49	16.6	16.4	16.4	2017	EUR	
17/06/2015 00:00	16.4	16.4	16.1	16.27	2270	EUR	
18/06/2015 00:00	16.25	16.27	16.06	16.08	1168	EUR	
19/06/2015 00:00	16.05	16.15	15.8	16	5820	EUR	
22/06/2015 00:00	16	16.23	15.8	16.2	2581	EUR	
23/06/2015 00:00	16.21	16.23	16.1	16.12	1181	EUR	
24/06/2015 00:00	15.95	16.19	15.82	15.85	2566	EUR	
25/06/2015 00:00	15.86	16	15.85	15.85	459	EUR	
26/06/2015 00:00	15.85	15.86	15.8	15.84	3827	EUR	
29/06/2015 00:00	15.75	15.75	15.4	15.45	3525	EUR	
30/06/2015 00:00	15.46	15.54	15.31	15.31	1838	EUR	
01/07/2015 00:00	15.3	15.31	15.25	15.25	2468	EUR	
02/07/2015 00:00	15.27	15.35	15.27	15.3	351	EUR	
03/07/2015 00:00	15.3	16	15.3	15.5	2987	EUR	
06/07/2015 00:00	15.6	16	15.51	15.85	1775	EUR	
07/07/2015 00:00	15.24	15.35	14.95	15	3787	EUR	
08/07/2015 00:00	15	15	15	15	617	EUR	
09/07/2015 00:00	14.98	15.5	14.98	15.48	1592	EUR	
10/07/2015 00:00	15.3	15.48	15.16	15.34	1728	EUR	
13/07/2015 00:00	15.15	15.29	15	15.04	2622	EUR	
14/07/2015 00:00	15.1	15.14	15.03	15.03	221	EUR	
15/07/2015 00:00	15.15	15.3	14.85	15.3	5413	EUR	
16/07/2015 00:00	15.29	15.29	15.2	15.2	261	EUR	
17/07/2015 00:00	15.21	15.26	15.06	15.15	519	EUR	
20/07/2015 00:00	15.15	15.15	15	15	1350	EUR	
21/07/2015 00:00	15	15	14.45	14.46	8133	EUR	
22/07/2015 00:00	14.46	14.5	14.03	14.24	6718	EUR	
23/07/2015 00:00	14.24	14.24	13.61	13.9	4742	EUR	
24/07/2015 00:00	13.81	13.92	13.7	13.73	4499	EUR	
27/07/2015 00:00	13.8	13.9	13.7	13.89	2235	EUR	
28/07/2015 00:00	13.89	13.9	13.76	13.9	2471	EUR	
29/07/2015 00:00	13.89	13.9	13.82	13.89	1575	EUR	
30/07/2015 00:00	13.89	13.89	13.81	13.87	677	EUR	
31/07/2015 00:00	13.87	13.87	13.81	13.82	1126	EUR	
03/08/2015 00:00	13.81	14	13.81	14	2259	EUR	
04/08/2015 00:00	14	14.26	13.99	14.26	1553	EUR	
05/08/2015 00:00	14.26	14.28	14.16	14.24	1109	EUR	
06/08/2015 00:00	14	14.05	13.8	13.92	4347	EUR	
07/08/2015 00:00	13.92	14	13.8	13.83	2101	EUR	
10/08/2015 00:00	13.75	13.89	13.75	13.89	1653	EUR	
11/08/2015 00:00	13.89	13.9	13.75	13.89	684	EUR	
12/08/2015 00:00	13.8	13.86	13.75	13.8	2672	EUR	
13/08/2015 00:00	13.8	13.84	13.75	13.82	1331	EUR	
14/08/2015 00:00	13.82	13.9	13.75	13.76	2580	EUR	
17/08/2015 00:00	13.67	13.7	13.22	13.23	10584	EUR	
18/08/2015 00:00	13.25	13.25	12.42	12.83	14884	EUR	
19/08/2015 00:00	12.8	12.89	12.61	12.89	3347	EUR	
20/08/2015 00:00	12.89	13.3	12.86	13.1	2114	EUR	
21/08/2015 00:00	13.05	13.05	12.62	12.98	2141	EUR	
24/08/2015 00:00	12.8	12.81	12.2	12.67	8404	EUR	
25/08/2015 00:00	12.71	12.81	12.7	12.81	1162	EUR	
26/08/2015 00:00	12.71	12.71	12.65	12.67	779	EUR	
27/08/2015 00:00	11	11.44	9.6	10.34	37956	EUR	
28/08/2015 00:00	10.45	10.8	10.31	10.39	11390	EUR	
31/08/2015 00:00	10.39	10.39	9.6	9.62	12552	EUR	
01/09/2015 00:00	9.3	9.5	8.9	9.2	10778	EUR	
02/09/2015 00:00	9	9.1	8.67	8.73	7893	EUR	
03/09/2015 00:00	8.9	8.9	8.41	8.71	4580	EUR	
04/09/2015 00:00	8.69	8.69	8.3	8.31	4322	EUR	
07/09/2015 00:00	8.29	8.29	7.85	8.19	4044	EUR	
08/09/2015 00:00	8.17	8.17	7.53	7.53	5700	EUR	
09/09/2015 00:00	7.52	7.56	5.8	6.75	28477	EUR	
10/09/2015 00:00	7.24	7.3	6.69	6.74	5065	EUR	
11/09/2015 00:00	6.71	6.99	6.12	6.49	10049	EUR	
14/09/2015 00:00	6.8	6.8	6.4	6.73	6644	EUR	
15/09/2015 00:00	6.74	6.9	6.51	6.88	2934	EUR	
16/09/2015 00:00	6.85	6.9	6.65	6.89	1801	EUR	
17/09/2015 00:00	6.89	6.89	6.25	6.54	7398	EUR	
18/09/2015 00:00	6.54	6.54	6.31	6.45	1317	EUR	
21/09/2015 00:00	6.55	6.58	6.31	6.48	2486	EUR	
22/09/2015 00:00	6.33	6.47	6.3	6.47	2249	EUR	
23/09/2015 00:00	6.38	6.39	6.25	6.39	1152	EUR	
24/09/2015 00:00	6.42	6.42	6.24	6.37	1481	EUR	
25/09/2015 00:00	6.25	6.39	6.22	6.26	1291	EUR	
28/09/2015 00:00	6.26	6.26	6.2	6.2	1084	EUR	
29/09/2015 00:00	6.2	6.2	6.17	6.2	1871	EUR	
30/09/2015 00:00	6.2	6.38	6.07	6.18	3388	EUR	
01/10/2015 00:00	6.39	6.39	6.11	6.11	532	EUR	
02/10/2015 00:00	6.13	6.13	6	6.04	1492	EUR	
05/10/2015 00:00	6	6.19	6	6	2205	EUR	
06/10/2015 00:00	6.19	6.39	5.94	6.15	2621	EUR	
07/10/2015 00:00	6.38	6.6	6.23	6.49	919	EUR	
08/10/2015 00:00	6.49	6.58	6.26	6.49	749	EUR	
09/10/2015 00:00	6.48	6.58	6.28	6.37	1179	EUR	
12/10/2015 00:00	6.3	6.5	6.3	6.48	1849	EUR	
13/10/2015 00:00	6.48	6.49	6.26	6.26	1269	EUR	
14/10/2015 00:00	6.26	6.44	6.26	6.43	768	EUR	
15/10/2015 00:00	6.43	6.43	6.43	6.43	171	EUR	
16/10/2015 00:00	6.34	6.44	6.25	6.35	1296	EUR	
19/10/2015 00:00	6.35	6.36	6.31	6.35	403	EUR	
