date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	0.853	0.853	0.853	0.853	5346	EUR	
19/05/2015 00:00	0.889	0.889	0.889	0.889	5468	EUR	
20/05/2015 00:00	0.889	0.889	0.889	0.889	4141	EUR	
21/05/2015 00:00	0.888	0.888	0.888	0.888	6612	EUR	
22/05/2015 00:00	0.853	0.853	0.853	0.853	17334	EUR	
25/05/2015 00:00	0.84	0.84	0.84	0.84	3017	EUR	
26/05/2015 00:00	0.84	0.84	0.84	0.84	6703	EUR	
27/05/2015 00:00	0.835	0.835	0.835	0.835	1195	EUR	
28/05/2015 00:00	0.849	0.849	0.849	0.849	4455	EUR	
29/05/2015 00:00	0.869	0.869	0.869	0.869	13163	EUR	
01/06/2015 00:00	0.869	0.869	0.869	0.869	4050	EUR	
02/06/2015 00:00	0.889	0.889	0.889	0.889	5265	EUR	
03/06/2015 00:00	0.895	0.895	0.895	0.895	36400	EUR	
04/06/2015 00:00	0.898	0.898	0.898	0.898	30881	EUR	
05/06/2015 00:00	0.889	0.889	0.889	0.889	5802	EUR	
08/06/2015 00:00	0.884	0.884	0.884	0.884	4354	EUR	
09/06/2015 00:00	0.889	0.889	0.889	0.889	21212	EUR	
10/06/2015 00:00	0.903	0.903	0.903	0.903	12454	EUR	
11/06/2015 00:00	0.909	0.909	0.909	0.909	10064	EUR	
12/06/2015 00:00	0.909	0.909	0.909	0.909	18023	EUR	
15/06/2015 00:00	0.884	0.884	0.884	0.884	1468	EUR	
16/06/2015 00:00	0.869	0.869	0.869	0.869	5771	EUR	
17/06/2015 00:00	0.859	0.859	0.859	0.859	3281	EUR	
18/06/2015 00:00	0.869	0.869	0.869	0.869	3038	EUR	
19/06/2015 00:00	0.889	0.889	0.889	0.889	12049	EUR	
22/06/2015 00:00	0.904	0.904	0.904	0.904	13669	EUR	
23/06/2015 00:00	0.904	0.904	0.904	0.904	1387	EUR	
24/06/2015 00:00	0.889	0.889	0.889	0.889	4050	EUR	
25/06/2015 00:00	0.889	0.889	0.889	0.889	2531	EUR	
26/06/2015 00:00	0.889	0.889	0.889	0.889	1215	EUR	
29/06/2015 00:00	0.899	0.899	0.899	0.899	1519	EUR	
30/06/2015 00:00	0.899	0.899	0.899	0.899	1013	EUR	
01/07/2015 00:00	0.938	0.938	0.938	0.938	1731	EUR	
02/07/2015 00:00	0.938	0.938	0.938	0.938	1367	EUR	
03/07/2015 00:00	0.938	0.938	0.938	0.938	506	EUR	
06/07/2015 00:00	0.91	0.91	0.91	0.91	506	EUR	
07/07/2015 00:00	0.91	0.91	0.91	0.91	506	EUR	
