date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	19.285	19.394	18.906	18.981	2204752	EUR	
19/05/2015 00:00	18.855	19.255	18.813	19.116	2040360	EUR	
20/05/2015 00:00	19.099	19.475	19.087	19.432	2324861	EUR	
21/05/2015 00:00	19.428	19.512	19.276	19.466	1498363	EUR	
22/05/2015 00:00	19.47	19.643	19.428	19.563	1673570	EUR	
25/05/2015 00:00	19.508	19.555	19.31	19.42	325405	EUR	
26/05/2015 00:00	19.483	19.508	18.986	19.078	1859631	EUR	
27/05/2015 00:00	19.213	19.234	18.977	19.167	2355035	EUR	
28/05/2015 00:00	19.154	19.226	18.872	19.036	1973256	EUR	
29/05/2015 00:00	19.074	19.129	18.863	18.863	2040380	EUR	
01/06/2015 00:00	18.922	19.129	18.834	18.914	1968535	EUR	
02/06/2015 00:00	19.015	19.015	18.741	18.927	1405997	EUR	
03/06/2015 00:00	18.649	18.649	18.147	18.345	2649073	EUR	
04/06/2015 00:00	18.328	18.459	17.789	17.839	3054755	EUR	
05/06/2015 00:00	17.793	17.945	17.7	17.759	2558479	EUR	
08/06/2015 00:00	17.734	17.776	17.388	17.464	2245103	EUR	
09/06/2015 00:00	17.431	17.464	17.279	17.431	1960892	EUR	
10/06/2015 00:00	17.397	17.532	17.321	17.494	2025086	EUR	
11/06/2015 00:00	17.49	17.675	17.443	17.553	1751361	EUR	
12/06/2015 00:00	17.57	17.646	17.178	17.351	2119980	EUR	
15/06/2015 00:00	17.203	17.232	16.921	17.068	1871753	EUR	
16/06/2015 00:00	16.992	17.211	16.857	17.161	1604815	EUR	
17/06/2015 00:00	17.195	17.388	17.089	17.258	1804120	EUR	
18/06/2015 00:00	17.254	17.426	17.093	17.41	1605491	EUR	
19/06/2015 00:00	17.372	17.49	17.207	17.283	2115084	EUR	
22/06/2015 00:00	17.532	17.869	17.502	17.789	2369221	EUR	
23/06/2015 00:00	17.928	17.97	17.768	17.86	1405992	EUR	
24/06/2015 00:00	17.852	17.953	17.742	17.81	1753628	EUR	
25/06/2015 00:00	17.734	17.966	17.65	17.747	1396180	EUR	
26/06/2015 00:00	17.7	17.7	17.473	17.646	1521723	EUR	
29/06/2015 00:00	17.06	17.329	16.942	17.136	2437777	EUR	
30/06/2015 00:00	17.051	17.199	16.857	16.857	2299151	EUR	
01/07/2015 00:00	16.992	17.077	16.71	16.765	2818288	EUR	
02/07/2015 00:00	16.777	17.22	16.761	17.077	2059540	EUR	
03/07/2015 00:00	17.11	17.136	16.752	16.887	1201521	EUR	
06/07/2015 00:00	16.647	16.87	16.503	16.575	1961179	EUR	
07/07/2015 00:00	16.6	16.756	16.449	16.461	2409680	EUR	
08/07/2015 00:00	16.495	16.832	16.487	16.706	1872090	EUR	
09/07/2015 00:00	16.807	17.211	16.756	17.043	2254862	EUR	
10/07/2015 00:00	17.27	17.523	17.186	17.426	2194146	EUR	
13/07/2015 00:00	17.528	17.721	17.469	17.637	1542599	EUR	
14/07/2015 00:00	17.599	17.709	17.57	17.595	1549600	EUR	
15/07/2015 00:00	17.658	18.185	17.658	18.063	4052086	EUR	
16/07/2015 00:00	18.286	18.396	17.983	18.299	3320343	EUR	
17/07/2015 00:00	18.328	18.4	18.021	18.042	2157114	EUR	
20/07/2015 00:00	18.139	18.387	18.092	18.16	1216437	EUR	
21/07/2015 00:00	18.189	18.252	18.004	18.071	1187532	EUR	
22/07/2015 00:00	17.97	18.059	17.565	17.793	2827517	EUR	
23/07/2015 00:00	17.831	17.903	17.738	17.818	1058936	EUR	
24/07/2015 00:00	17.81	17.941	17.73	17.747	1054210	EUR	
27/07/2015 00:00	17.7	17.768	17.536	17.587	1894924	EUR	
28/07/2015 00:00	17.667	17.801	17.561	17.709	1583314	EUR	
29/07/2015 00:00	17.751	17.823	17.616	17.814	1602221	EUR	
30/07/2015 00:00	18.037	18.56	17.983	18.413	3686183	EUR	
31/07/2015 00:00	18.413	18.429	18.202	18.282	3267646	EUR	
03/08/2015 00:00	18.299	18.349	18.185	18.244	1653967	EUR	
04/08/2015 00:00	18.236	18.29	18.134	18.248	1062370	EUR	
05/08/2015 00:00	18.282	18.493	18.278	18.472	1616004	EUR	
06/08/2015 00:00	18.459	18.509	18.391	18.434	1018013	EUR	
