date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	51.92	52.04	51.3	51.84	194928	EUR	
19/05/2015 00:00	52.75	54.51	52.75	53.95	412741	EUR	
20/05/2015 00:00	53.9	53.95	53.21	53.38	170047	EUR	
21/05/2015 00:00	53.02	53.65	53.01	53.33	255955	EUR	
22/05/2015 00:00	53.4	53.6	52.87	53.3	185039	EUR	
25/05/2015 00:00	53.3	53.33	52.28	52.59	75425	EUR	
26/05/2015 00:00	52.7	53.45	51.95	52.81	204816	EUR	
27/05/2015 00:00	52.7	53.79	52.61	53.69	313479	EUR	
28/05/2015 00:00	53.51	54.12	53.3	54.06	292326	EUR	
29/05/2015 00:00	54	54.25	53.16	53.16	266257	EUR	
01/06/2015 00:00	53.4	53.88	52.93	53.27	164190	EUR	
02/06/2015 00:00	53.4	53.43	52.35	52.78	180110	EUR	
03/06/2015 00:00	52.8	53.15	52.16	52.8	584286	EUR	
04/06/2015 00:00	52.6	52.64	50.79	51.77	309301	EUR	
05/06/2015 00:00	51.4	51.73	50.52	51.22	264225	EUR	
08/06/2015 00:00	51	51.27	50.43	50.45	152340	EUR	
09/06/2015 00:00	50.4	51	49.44	50.71	236872	EUR	
10/06/2015 00:00	50.5	51.59	50.14	51.36	266708	EUR	
11/06/2015 00:00	51.34	51.7	50.9	51.11	185580	EUR	
12/06/2015 00:00	51	51	49.39	50.11	386603	EUR	
15/06/2015 00:00	49.7	49.7	48.02	48.235	469197	EUR	
16/06/2015 00:00	48.645	48.835	47.63	48.81	478205	EUR	
17/06/2015 00:00	48.85	49.08	48.6	48.685	354030	EUR	
18/06/2015 00:00	48.72	49.41	47.875	49.41	287696	EUR	
19/06/2015 00:00	49.95	51.18	49.95	50.22	392940	EUR	
22/06/2015 00:00	50.97	52.12	50.93	52.07	262199	EUR	
23/06/2015 00:00	52.12	53.01	52.12	52.29	240939	EUR	
24/06/2015 00:00	52.2	52.45	51.73	52.2	204880	EUR	
25/06/2015 00:00	52.12	52.92	52	52.68	172343	EUR	
26/06/2015 00:00	52.5	52.72	51.83	52.33	179414	EUR	
29/06/2015 00:00	50.96	50.96	49.7	49.71	381422	EUR	
30/06/2015 00:00	49.7	50.73	49.145	49.9	342785	EUR	
01/07/2015 00:00	50.25	51.63	50.2	51.05	323294	EUR	
02/07/2015 00:00	50.95	51.19	49.945	50.01	179252	EUR	
03/07/2015 00:00	50.2	50.35	49.2	49.615	187752	EUR	
06/07/2015 00:00	49.1	49.205	48.61	48.67	203236	EUR	
