date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	114.4	114.4	113.8	113.8	374	EUR	
19/05/2015 00:00	114.2	114.2	112.11	112.11	1331	EUR	
20/05/2015 00:00	112.6	114.09	112.6	114	390	EUR	
21/05/2015 00:00	112.4	113.98	112.4	113.98	54	EUR	
22/05/2015 00:00	114	114.45	113.51	114.44	385	EUR	
25/05/2015 00:00	114.26	114.5	113.98	113.98	303	EUR	
26/05/2015 00:00	115	115	113.83	114.94	504	EUR	
27/05/2015 00:00	114.94	114.94	113.6	114.39	732	EUR	
28/05/2015 00:00	114.78	114.78	113.58	114.77	345	EUR	
29/05/2015 00:00	109.06	110.23	108.12	109.99	1964	EUR	
01/06/2015 00:00	109.2	110	109.2	109.97	294	EUR	
02/06/2015 00:00	109.15	109.78	109.15	109.78	148	EUR	
03/06/2015 00:00	109.8	109.8	108	108.6	607	EUR	
04/06/2015 00:00	109.77	109.8	108.1	108.22	409	EUR	
05/06/2015 00:00	109	109	107.31	108.5	304	EUR	
08/06/2015 00:00	108.5	108.5	106	106.7	537	EUR	
09/06/2015 00:00	106.9	108.03	106.1	108.03	441	EUR	
10/06/2015 00:00	106.11	107.12	106	107	182	EUR	
11/06/2015 00:00	106.6	108.41	106.6	107	238	EUR	
12/06/2015 00:00	107	107.5	106.7	106.7	366	EUR	
15/06/2015 00:00	106.31	106.98	105.02	106.49	533	EUR	
16/06/2015 00:00	105.11	107	105.1	107	790	EUR	
17/06/2015 00:00	105.12	106.99	105.12	106.99	169	EUR	
18/06/2015 00:00	106.01	106.01	105.15	106	520	EUR	
19/06/2015 00:00	105.15	105.99	105.15	105.99	131	EUR	
22/06/2015 00:00	105.99	106	105.6	106	321	EUR	
23/06/2015 00:00	105.7	107	105.7	106.05	660	EUR	
24/06/2015 00:00	107	108	106.05	106.08	501	EUR	
25/06/2015 00:00	106.06	110	106.06	110	944	EUR	
26/06/2015 00:00	109.99	110.29	108.01	110.27	337	EUR	
29/06/2015 00:00	107	110	106	109.9	373	EUR	
30/06/2015 00:00	109.89	109.89	105.4	108.99	591	EUR	
01/07/2015 00:00	108	110	108	109.5	625	EUR	
02/07/2015 00:00	110.3	112.4	110.05	112	906	EUR	
03/07/2015 00:00	112.4	112.4	110	111	467	EUR	
06/07/2015 00:00	108.03	109.96	107.02	108.05	133	EUR	
07/07/2015 00:00	111.8	111.8	107.52	107.52	398	EUR	
08/07/2015 00:00	111.77	111.77	107.1	109.8	281	EUR	
09/07/2015 00:00	110.78	110.87	107.79	110.87	341	EUR	
10/07/2015 00:00	110.01	112.5	110	110.15	216	EUR	
13/07/2015 00:00	109.5	112.5	109.5	112.5	658	EUR	
