date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	17.865	18	17.57	17.8	4509982	EUR	
19/05/2015 00:00	17.945	18.335	17.92	18.275	7845408	EUR	
20/05/2015 00:00	18.5	18.685	18.375	18.64	6646345	EUR	
21/05/2015 00:00	18.595	18.695	18.395	18.66	4107205	EUR	
22/05/2015 00:00	18.675	18.785	18.605	18.725	5007920	EUR	
25/05/2015 00:00	18.71	18.725	18.35	18.5	2164119	EUR	
26/05/2015 00:00	18.54	18.685	18.32	18.42	5486790	EUR	
27/05/2015 00:00	18.515	18.905	18.38	18.875	5702211	EUR	
28/05/2015 00:00	18.8	18.895	18.62	18.83	4727760	EUR	
29/05/2015 00:00	18.83	18.85	18.375	18.375	6744359	EUR	
01/06/2015 00:00	18.47	18.525	18.205	18.24	3864796	EUR	
02/06/2015 00:00	18.305	18.33	17.96	18.085	5551121	EUR	
03/06/2015 00:00	18.15	18.4	17.98	18.11	5207185	EUR	
04/06/2015 00:00	18	18.05	17.68	17.835	7008178	EUR	
05/06/2015 00:00	17.775	17.85	17.605	17.635	4684236	EUR	
08/06/2015 00:00	17.6	17.655	17.355	17.39	5152388	EUR	
09/06/2015 00:00	17.37	17.385	16.95	17.265	10527425	EUR	
10/06/2015 00:00	17.19	17.635	17.145	17.53	8584905	EUR	
11/06/2015 00:00	17.415	17.795	17.305	17.52	7249021	EUR	
12/06/2015 00:00	17.46	17.515	16.925	17.16	8425373	EUR	
15/06/2015 00:00	17	17.125	16.805	16.89	5157754	EUR	
16/06/2015 00:00	16.785	16.975	16.65	16.91	6829054	EUR	
17/06/2015 00:00	16.95	17.07	16.77	16.915	5745136	EUR	
18/06/2015 00:00	16.875	17.075	16.65	17.06	6035171	EUR	
19/06/2015 00:00	17.02	17.33	16.955	17.07	13374881	EUR	
22/06/2015 00:00	17.5	17.72	17.29	17.655	9028534	EUR	
23/06/2015 00:00	17.945	17.985	17.67	17.785	7709109	EUR	
24/06/2015 00:00	17.82	17.88	17.53	17.73	5458051	EUR	
25/06/2015 00:00	17.65	17.96	17.495	17.605	6953236	EUR	
26/06/2015 00:00	17.35	17.575	17.23	17.49	7211804	EUR	
29/06/2015 00:00	16.84	17.15	16.66	16.85	8411886	EUR	
30/06/2015 00:00	16.8	17.07	16.64	16.64	10846002	EUR	
01/07/2015 00:00	16.885	17.07	16.63	16.73	10838825	EUR	
02/07/2015 00:00	16.815	17.14	16.79	16.97	7614765	EUR	
03/07/2015 00:00	17.02	17.045	16.6	16.72	5974132	EUR	
06/07/2015 00:00	16.46	16.685	16.28	16.32	8013807	EUR	
07/07/2015 00:00	16.415	16.44	16.08	16.11	8995575	EUR	
08/07/2015 00:00	16.14	16.42	16.09	16.3	7232544	EUR	
09/07/2015 00:00	16.41	16.84	16.36	16.73	6324810	EUR	
10/07/2015 00:00	17.075	17.31	16.95	17.25	6779728	EUR	
13/07/2015 00:00	17.54	17.605	17.395	17.475	5929273	EUR	
14/07/2015 00:00	17.38	17.575	17.335	17.575	4018868	EUR	
15/07/2015 00:00	17.6	17.68	17.505	17.625	4916109	EUR	
16/07/2015 00:00	17.72	17.95	17.635	17.835	6145226	EUR	
17/07/2015 00:00	17.855	17.885	17.585	17.66	5684812	EUR	
20/07/2015 00:00	17.735	17.935	17.655	17.705	4203923	EUR	
21/07/2015 00:00	17.77	17.84	17.515	17.575	4493616	EUR	
22/07/2015 00:00	17.46	17.565	17.38	17.48	4978334	EUR	
23/07/2015 00:00	17.65	17.665	17.43	17.46	4047189	EUR	
24/07/2015 00:00	17.425	17.555	17.32	17.37	4655187	EUR	
27/07/2015 00:00	17.28	17.345	16.855	16.87	6740654	EUR	
28/07/2015 00:00	17.035	17.035	16.52	16.54	8718478	EUR	
29/07/2015 00:00	16.59	17.04	16.5	16.89	8366657	EUR	
30/07/2015 00:00	17.32	17.87	17.12	17.56	11667491	EUR	
31/07/2015 00:00	17.38	17.495	17.155	17.485	5177324	EUR	
03/08/2015 00:00	17.565	17.7	17.41	17.645	5983835	EUR	
04/08/2015 00:00	17.745	17.75	17.435	17.545	4830377	EUR	
05/08/2015 00:00	17.565	17.835	17.565	17.82	5305332	EUR	
06/08/2015 00:00	17.7	17.81	17.665	17.75	5242265	EUR	
07/08/2015 00:00	17.87	18.115	17.78	17.91	7447457	EUR	
10/08/2015 00:00	17.98	18	17.75	17.94	4691481	EUR	
11/08/2015 00:00	17.9	17.925	17.66	17.675	3597705	EUR	
12/08/2015 00:00	17.59	17.605	17.22	17.29	5802550	EUR	
13/08/2015 00:00	17.595	17.685	17.375	17.43	4839433	EUR	
14/08/2015 00:00	17.415	17.485	17.17	17.22	3631273	EUR	
17/08/2015 00:00	17.33	17.4	17.09	17.36	3860621	EUR	
18/08/2015 00:00	17.335	17.365	17.145	17.17	4370236	EUR	
19/08/2015 00:00	17.05	17.09	16.905	16.93	4121532	EUR	
20/08/2015 00:00	16.9	16.96	16.775	16.81	5727639	EUR	
21/08/2015 00:00	16.595	16.685	16.21	16.21	8895274	EUR	
24/08/2015 00:00	15.8	15.955	14.705	15.06	17740259	EUR	
25/08/2015 00:00	15.275	15.795	15.235	15.73	10877571	EUR	
26/08/2015 00:00	15.51	15.69	15.24	15.445	6057472	EUR	
27/08/2015 00:00	15.86	16.11	15.73	16.02	6048420	EUR	
28/08/2015 00:00	15.98	16.21	15.94	16.21	5334326	EUR	
31/08/2015 00:00	16.1	16.1	15.855	15.985	3997430	EUR	
01/09/2015 00:00	15.78	15.855	15.435	15.55	6125482	EUR	
02/09/2015 00:00	15.63	15.74	15.43	15.555	4471874	EUR	
03/09/2015 00:00	15.615	15.645	15.23	15.485	9758720	EUR	
04/09/2015 00:00	15.4	15.42	14.975	15.035	7541629	EUR	
07/09/2015 00:00	15.135	15.37	15.08	15.22	3916678	EUR	
08/09/2015 00:00	15.325	15.655	15.325	15.42	5771395	EUR	
09/09/2015 00:00	15.78	15.96	15.635	15.72	6723072	EUR	
10/09/2015 00:00	15.6	15.65	15.215	15.28	8463797	EUR	
11/09/2015 00:00	15.315	15.39	15.16	15.27	5833582	EUR	
14/09/2015 00:00	15.29	15.39	15.095	15.13	3821373	EUR	
15/09/2015 00:00	15.155	15.17	14.55	15.05	7916009	EUR	
16/09/2015 00:00	15.19	15.385	15.04	15.35	4967759	EUR	
17/09/2015 00:00	15.385	15.59	15.165	15.465	6055403	EUR	
18/09/2015 00:00	15.425	15.47	14.81	14.97	12149800	EUR	
21/09/2015 00:00	14.99	15.31	14.98	15.085	6018580	EUR	
22/09/2015 00:00	15.09	15.09	14.545	14.61	6707955	EUR	
23/09/2015 00:00	14.63	14.785	14.535	14.535	4789938	EUR	
24/09/2015 00:00	14.535	14.605	14.155	14.275	7281276	EUR	
25/09/2015 00:00	14.51	14.72	14.41	14.58	5330508	EUR	
28/09/2015 00:00	14.405	14.55	14.085	14.15	6739774	EUR	
29/09/2015 00:00	14	14.415	14	14.17	4768128	EUR	
30/09/2015 00:00	14.45	14.525	14.355	14.44	8056158	EUR	
01/10/2015 00:00	14.505	14.57	13.88	13.95	10123542	EUR	
02/10/2015 00:00	14.105	14.275	13.8	14.03	9080314	EUR	
05/10/2015 00:00	14.27	14.525	14.21	14.5	7303168	EUR	
06/10/2015 00:00	14.545	14.765	14.415	14.715	5376104	EUR	
07/10/2015 00:00	14.78	15.19	14.745	14.945	6794767	EUR	
08/10/2015 00:00	14.915	15.055	14.71	15.055	4804337	EUR	
09/10/2015 00:00	15.25	15.375	15.135	15.175	6080843	EUR	
12/10/2015 00:00	15.31	15.4	15.12	15.245	5697053	EUR	
