date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	3.45	3.45	3.45	3.45	408	EUR	
19/05/2015 00:00	3.54	3.54	3.54	3.54	1800	EUR	
20/05/2015 00:00	3.4	3.4	3.4	3.4	2140	EUR	
21/05/2015 00:00	3.49	3.49	3.49	3.49	378	EUR	
22/05/2015 00:00	3.49	3.49	3.49	3.49	1	EUR	
25/05/2015 00:00	3.49	3.49	3.49	3.49	223	EUR	
26/05/2015 00:00	3.49	3.49	3.49	3.49	1	EUR	
27/05/2015 00:00	3.49	3.49	3.49	3.49	1	EUR	
28/05/2015 00:00	3.49	3.49	3.49	3.49	1	EUR	
29/05/2015 00:00	3.55	3.55	3.55	3.55	200	EUR	
01/06/2015 00:00	3.44	3.44	3.44	3.44	360	EUR	
02/06/2015 00:00	3.45	3.45	3.45	3.45	150	EUR	
03/06/2015 00:00	3.6	3.6	3.6	3.6	1000	EUR	
04/06/2015 00:00	3.6	3.6	3.6	3.6	69	EUR	
05/06/2015 00:00	3.6	3.6	3.6	3.6	50	EUR	
08/06/2015 00:00	3.6	3.6	3.6	3.6	530	EUR	
09/06/2015 00:00	3.58	3.58	3.58	3.58	400	EUR	
10/06/2015 00:00	3.58	3.58	3.58	3.58	200	EUR	
11/06/2015 00:00	3.55	3.55	3.55	3.55	200	EUR	
12/06/2015 00:00	3.55	3.55	3.55	3.55	1	EUR	
15/06/2015 00:00	3.55	3.55	3.55	3.55	1	EUR	
16/06/2015 00:00	3.55	3.55	3.55	3.55	1	EUR	
17/06/2015 00:00	3.55	3.55	3.55	3.55	1	EUR	
18/06/2015 00:00	3.55	3.55	3.55	3.55	70	EUR	
19/06/2015 00:00	3.55	3.55	3.55	3.55	1	EUR	
22/06/2015 00:00	3.55	3.55	3.55	3.55	30	EUR	
23/06/2015 00:00	3.55	3.55	3.55	3.55	1	EUR	
24/06/2015 00:00	3.55	3.55	3.55	3.55	1	EUR	
25/06/2015 00:00	3.55	3.55	3.55	3.55	1	EUR	
26/06/2015 00:00	3.55	3.55	3.55	3.55	1	EUR	
