date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	48.71	50	48.71	49.3	12072	EUR	
19/05/2015 00:00	49.94	50.5	49.25	50.35	19346	EUR	
20/05/2015 00:00	50.35	50.93	49	50	9046	EUR	
21/05/2015 00:00	49.12	50.09	49	50.09	2440	EUR	
22/05/2015 00:00	50.3	50.3	49.4	49.88	1282	EUR	
25/05/2015 00:00	49.93	50	49.23	49.31	1297	EUR	
26/05/2015 00:00	49.5	49.61	46.35	49.61	3886	EUR	
27/05/2015 00:00	49	49.55	48.71	49.55	2101	EUR	
28/05/2015 00:00	48.22	49.41	47.9	48.48	4033	EUR	
29/05/2015 00:00	48	49.56	48	48.71	7061	EUR	
01/06/2015 00:00	49.5	49.75	49.02	49.75	2853	EUR	
02/06/2015 00:00	49.88	49.94	48.7	48.82	1899	EUR	
03/06/2015 00:00	48.9	50.19	48.89	50.18	3642	EUR	
04/06/2015 00:00	49.97	50.5	49.54	50	5528	EUR	
05/06/2015 00:00	50	50.5	49.6	50.43	5664	EUR	
08/06/2015 00:00	50.2	50.55	49.55	50.18	2071	EUR	
09/06/2015 00:00	50	50.29	49.21	50.15	1894	EUR	
10/06/2015 00:00	49.07	50.14	49.05	49.65	3282	EUR	
11/06/2015 00:00	49.65	50.5	49.65	50.4	4195	EUR	
12/06/2015 00:00	50.3	50.45	49.58	49.89	1732	EUR	
15/06/2015 00:00	49.01	49.12	48.69	48.82	1517	EUR	
16/06/2015 00:00	48.51	49	48.12	48.4	3061	EUR	
17/06/2015 00:00	48.12	49.33	48.02	49.33	2368	EUR	
18/06/2015 00:00	48.39	50	48.39	50	2637	EUR	
19/06/2015 00:00	49.96	50.5	48.35	48.74	1900	EUR	
22/06/2015 00:00	50.3	50.5	49.52	49.76	4625	EUR	
23/06/2015 00:00	50.29	50.76	49.95	50.76	6675	EUR	
24/06/2015 00:00	50.21	52.39	50.21	52.39	8091	EUR	
25/06/2015 00:00	51.71	52.5	51.66	52.25	2655	EUR	
26/06/2015 00:00	52.49	52.49	51.71	52.31	2281	EUR	
29/06/2015 00:00	51.9	51.9	50.2	50.2	2965	EUR	
