date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	270	271.05	266.7	271.05	8004	EUR	
19/05/2015 00:00	270.8	276.4	270.3	276.25	11594	EUR	
20/05/2015 00:00	277	279.9	275.7	279.5	11480	EUR	
21/05/2015 00:00	278	279.65	274	278.65	11544	EUR	
22/05/2015 00:00	279	281.1	277.6	279.35	8671	EUR	
25/05/2015 00:00	280	280.85	278	279.05	1645	EUR	
26/05/2015 00:00	279.1	280.5	275.85	278.25	4895	EUR	
27/05/2015 00:00	280.85	285.4	278	283.55	12491	EUR	
28/05/2015 00:00	284	285.85	282.4	284.45	9847	EUR	
29/05/2015 00:00	284.25	284.5	276.1	277.1	13645	EUR	
01/06/2015 00:00	281.8	283.15	278.1	282.95	9155	EUR	
02/06/2015 00:00	282	282.9	277	279.9	9371	EUR	
03/06/2015 00:00	278	284.1	278	283.2	8637	EUR	
04/06/2015 00:00	283.6	283.6	276.35	277.85	13753	EUR	
05/06/2015 00:00	276.2	276.6	270.7	271.45	14592	EUR	
08/06/2015 00:00	272.85	273.5	267.1	268.65	15216	EUR	
09/06/2015 00:00	269.85	269.85	263	267	13496	EUR	
10/06/2015 00:00	266	268.7	263.1	267.95	25131	EUR	
11/06/2015 00:00	267.5	275.5	267	273	22839	EUR	
12/06/2015 00:00	274.5	275.5	266.6	270.3	13672	EUR	
15/06/2015 00:00	266.6	269.2	262.55	264.15	9341	EUR	
16/06/2015 00:00	264	268.2	261.1	268.05	18885	EUR	
17/06/2015 00:00	266.15	268.6	259.2	264	15992	EUR	
18/06/2015 00:00	263.5	263.5	251.55	253	37372	EUR	
19/06/2015 00:00	253	255.8	252.5	254.75	26476	EUR	
22/06/2015 00:00	258.05	262.45	256	256.25	19777	EUR	
23/06/2015 00:00	264.95	266.2	260.4	265.95	39113	EUR	
24/06/2015 00:00	266.85	268.5	264.9	266	17454	EUR	
25/06/2015 00:00	267	276.2	266.3	274.4	20841	EUR	
26/06/2015 00:00	274	278.05	272.45	277.95	16884	EUR	
29/06/2015 00:00	264.7	266.85	249.3	265.8	28481	EUR	
30/06/2015 00:00	264.6	275	263	273.1	27572	EUR	
01/07/2015 00:00	272.6	292.3	272.4	286	32907	EUR	
02/07/2015 00:00	285.5	288.25	276.45	277.55	13433	EUR	
03/07/2015 00:00	277.55	278.7	274.05	275.6	8159	EUR	
06/07/2015 00:00	272.2	276.55	266	274.75	6982	EUR	
07/07/2015 00:00	278.9	284.55	274.85	279.65	47291	EUR	
08/07/2015 00:00	279	283.25	275.7	279.6	17298	EUR	
09/07/2015 00:00	280.45	289	280	283.55	24652	EUR	
10/07/2015 00:00	290	296.1	288.55	293	17576	EUR	
13/07/2015 00:00	292.65	298.45	291.8	296.75	17750	EUR	
14/07/2015 00:00	299	299.25	296	296.85	11795	EUR	
15/07/2015 00:00	296.85	304.45	295.05	302.6	15568	EUR	
16/07/2015 00:00	304.25	306.65	301.35	303	22796	EUR	
17/07/2015 00:00	303	309.9	302.55	309.35	12480	EUR	
20/07/2015 00:00	309.15	317.1	307.8	312.65	18514	EUR	
21/07/2015 00:00	313	315.15	308.3	310.6	10547	EUR	
22/07/2015 00:00	309	310	306.15	309	12100	EUR	
23/07/2015 00:00	313.7	314.2	307.15	310.1	12360	EUR	
24/07/2015 00:00	310.1	312.9	308.95	309.95	7702	EUR	
27/07/2015 00:00	308.3	308.3	298.55	299.3	10545	EUR	
28/07/2015 00:00	300.1	304	299.85	301.8	14595	EUR	
29/07/2015 00:00	302.95	305.75	301.45	303.2	14218	EUR	
30/07/2015 00:00	306.7	306.9	300.6	302.75	13566	EUR	
31/07/2015 00:00	304.2	304.25	298.7	299.05	15367	EUR	
03/08/2015 00:00	299.65	309.8	299.65	307.75	15380	EUR	
04/08/2015 00:00	307.45	307.45	300.65	304.85	13611	EUR	
05/08/2015 00:00	302.5	308.75	302.5	308.1	12689	EUR	
06/08/2015 00:00	308.5	311.4	304.15	304.65	9662	EUR	
07/08/2015 00:00	303	303	297.8	299.15	10751	EUR	
10/08/2015 00:00	302	306.75	299	305.45	9701	EUR	
11/08/2015 00:00	306.7	306.75	302.85	303.15	6010	EUR	
12/08/2015 00:00	303.8	303.8	290.6	293.85	11918	EUR	
13/08/2015 00:00	296.1	304.8	296.1	302.4	8073	EUR	
14/08/2015 00:00	303.2	306	302.05	302.35	4975	EUR	
17/08/2015 00:00	306.8	308.15	299.95	304.7	8146	EUR	
18/08/2015 00:00	305	312.45	304.85	311.2	24970	EUR	
19/08/2015 00:00	310.5	310.5	306.2	308.2	7186	EUR	
20/08/2015 00:00	305.45	306.2	292.25	294.25	17309	EUR	
21/08/2015 00:00	290	294.45	285.5	286.25	15140	EUR	
24/08/2015 00:00	285	285.05	263.45	274.6	23943	EUR	
25/08/2015 00:00	277.45	291.95	276.5	289.1	15994	EUR	
26/08/2015 00:00	291	295	280.6	282	35616	EUR	
27/08/2015 00:00	292.25	293.4	284.6	292.5	18996	EUR	
28/08/2015 00:00	293.4	296	288.85	292.25	14566	EUR	
31/08/2015 00:00	290	299	287.1	298.85	16939	EUR	
01/09/2015 00:00	288.6	296.3	283.1	294.55	31840	EUR	
02/09/2015 00:00	295	300.35	293.35	297.9	33659	EUR	
03/09/2015 00:00	299.95	300	292.9	293.7	15197	EUR	
04/09/2015 00:00	291.15	291.15	283.75	286	16268	EUR	
07/09/2015 00:00	292.4	292.4	282.1	287.8	14657	EUR	
08/09/2015 00:00	289	294.5	288.55	291.5	12428	EUR	
09/09/2015 00:00	296.85	297.5	291.55	293.75	15823	EUR	
10/09/2015 00:00	292	296.1	288.7	292	11490	EUR	
11/09/2015 00:00	296	296	287.8	289.8	11926	EUR	
14/09/2015 00:00	290.3	292.1	286.85	288.05	9702	EUR	
15/09/2015 00:00	289.55	291.9	286.6	291.45	8038	EUR	
16/09/2015 00:00	292.4	295.7	289.8	290.55	9049	EUR	
17/09/2015 00:00	290.5	291.8	286.15	291.7	13372	EUR	
18/09/2015 00:00	291.5	291.9	285.75	288.75	13630	EUR	
21/09/2015 00:00	289.9	294.95	287.45	293.5	13616	EUR	
22/09/2015 00:00	291.3	291.45	281	284.1	17975	EUR	
23/09/2015 00:00	284.1	285.5	281.2	281.2	9516	EUR	
24/09/2015 00:00	281.3	283.35	273.05	275	17316	EUR	
25/09/2015 00:00	277.8	283.6	276.85	281.4	19113	EUR	
28/09/2015 00:00	281.9	283.25	275.25	276.15	11599	EUR	
29/09/2015 00:00	275	275.5	267	268.75	15612	EUR	
30/09/2015 00:00	273.95	277.9	272	274.7	14862	EUR	
01/10/2015 00:00	277.65	288.7	277.1	278.55	34100	EUR	
02/10/2015 00:00	282.7	282.7	276.15	280.15	14589	EUR	
05/10/2015 00:00	281.35	287.6	281.35	286.85	12697	EUR	
06/10/2015 00:00	284.5	288.8	282.1	282.4	14616	EUR	
07/10/2015 00:00	284.45	285.2	276.05	276.3	16589	EUR	
08/10/2015 00:00	276.4	279.45	273.7	275.65	11309	EUR	
09/10/2015 00:00	279.45	279.45	273.7	274.9	10248	EUR	
12/10/2015 00:00	274	276.75	271.4	276.45	18332	EUR	
13/10/2015 00:00	274.15	276.1	272.1	275.3	9683	EUR	
14/10/2015 00:00	274	274.15	269.2	271.95	15481	EUR	
15/10/2015 00:00	273	286.15	271.8	284.5	18792	EUR	
16/10/2015 00:00	288	292	285	286.4	28177	EUR	
19/10/2015 00:00	300	314.8	299	313.2	42092	EUR	
20/10/2015 00:00	310	312.55	303.3	309.6	23385	EUR	
21/10/2015 00:00	311.55	313	306.9	306.9	19389	EUR	
22/10/2015 00:00	308.7	308.7	300.6	306.35	14606	EUR	
23/10/2015 00:00	308.5	313.6	306.25	311	14043	EUR	
26/10/2015 00:00	314	331	313.55	329	34473	EUR	
27/10/2015 00:00	321.55	325	320.2	322.3	25222	EUR	
28/10/2015 00:00	322.4	329.65	322.4	328.25	15516	EUR	
29/10/2015 00:00	328	331.65	326.35	331.65	21398	EUR	
30/10/2015 00:00	331.1	333.55	325.5	329.25	19071	EUR	
02/11/2015 00:00	326.4	336.4	326	334	19377	EUR	
03/11/2015 00:00	332	334.5	329.35	331.4	13728	EUR	
04/11/2015 00:00	331	333.7	326.9	328.45	11921	EUR	
05/11/2015 00:00	326.7	329.95	324.05	328.85	25061	EUR	
06/11/2015 00:00	329	335	328.3	335	16063	EUR	
09/11/2015 00:00	332.4	334.5	326.1	327.5	14517	EUR	
10/11/2015 00:00	327.15	332.55	327.1	332	14107	EUR	
11/11/2015 00:00	332.65	338.4	332.3	337.15	16160	EUR	
12/11/2015 00:00	337.15	338	326.6	328.9	26610	EUR	
13/11/2015 00:00	319.4	320.2	304.4	314.6	43343	EUR	
16/11/2015 00:00	309.05	313.8	307	313.35	13779	EUR	
17/11/2015 00:00	314.05	318.6	312.25	318.1	13522	EUR	
18/11/2015 00:00	317.35	318.3	313.75	315.65	11226	EUR	
19/11/2015 00:00	318.95	319.7	315.25	316.5	7257	EUR	
20/11/2015 00:00	315.3	317.25	312	315	21144	EUR	
23/11/2015 00:00	314	316.7	312	316.3	11556	EUR	
24/11/2015 00:00	317.15	317.15	310.25	312.95	10494	EUR	
25/11/2015 00:00	327.4	344.05	327.4	344.05	51584	EUR	
26/11/2015 00:00	344	350	343.9	349	25659	EUR	
27/11/2015 00:00	345	349.9	340.6	348.3	13086	EUR	
30/11/2015 00:00	348.8	356.2	346.85	356.2	16917	EUR	
01/12/2015 00:00	356.2	360	349.3	350.8	22201	EUR	
02/12/2015 00:00	351	360	351	359.8	16976	EUR	
03/12/2015 00:00	360	361.65	345.65	347.95	18656	EUR	
04/12/2015 00:00	348	350.9	343.75	344.25	20727	EUR	
07/12/2015 00:00	345.6	348.65	342.05	347	19526	EUR	
08/12/2015 00:00	345	349.6	341.9	343.15	10334	EUR	
09/12/2015 00:00	339	339	339	339	0	EUR	
11/12/2015 00:00	307.05	314.9	303	306.2	73041	EUR	
14/12/2015 00:00	305.95	308.25	299.1	307.85	39933	EUR	
15/12/2015 00:00	309.9	322.75	308	322.75	30175	EUR	
16/12/2015 00:00	324.9	324.9	318.8	319.35	15624	EUR	
17/12/2015 00:00	328	328.5	321.7	324	16490	EUR	
18/12/2015 00:00	326.85	326.85	317.4	326.6	33998	EUR	
21/12/2015 00:00	328.45	328.45	320.45	320.45	11151	EUR	
22/12/2015 00:00	325	325.1	313.5	315	18671	EUR	
23/12/2015 00:00	323	323	313.2	317.05	14926	EUR	
24/12/2015 00:00	316.95	320.5	315	320.5	2061	EUR	
28/12/2015 00:00	321.05	322.9	320.3	320.45	8363	EUR	
29/12/2015 00:00	322.5	330.5	322.45	330.5	5849	EUR	
30/12/2015 00:00	331.1	331.9	326.25	329.05	7469	EUR	
31/12/2015 00:00	327.65	330.6	321.85	321.85	4842	EUR	
04/01/2016 00:00	320.6	323.55	315	321.15	13993	EUR	
05/01/2016 00:00	325	325	315.55	318.85	12592	EUR	
06/01/2016 00:00	319.2	319.2	310.9	317.95	14379	EUR	
07/01/2016 00:00	310	311.8	302.05	306.95	15037	EUR	
08/01/2016 00:00	309.3	315.7	307.5	308.5	10429	EUR	
11/01/2016 00:00	312.8	312.8	297.5	301.05	16376	EUR	
12/01/2016 00:00	304.95	313.55	301.05	310.2	15705	EUR	
13/01/2016 00:00	317.5	318	310	312	24673	EUR	
14/01/2016 00:00	310	312	293.35	301.6	23516	EUR	
15/01/2016 00:00	300.95	302.2	292.1	295.05	22437	EUR	
18/01/2016 00:00	292.75	297.7	283.05	286.5	20933	EUR	
19/01/2016 00:00	292.15	298.75	291.4	294.35	14442	EUR	
20/01/2016 00:00	288.15	291.25	284.2	286.3	20498	EUR	
21/01/2016 00:00	283.9	289.8	279.25	288.35	27437	EUR	
22/01/2016 00:00	292.25	304.65	292.15	299.9	23221	EUR	
25/01/2016 00:00	294.5	299.5	293.3	297.5	20741	EUR	
26/01/2016 00:00	289.45	301.65	289.3	301.4	16721	EUR	
27/01/2016 00:00	302	304.5	300	304.5	12703	EUR	
28/01/2016 00:00	301.3	302.65	290.2	290.35	15214	EUR	
29/01/2016 00:00	304.5	304.5	296.25	302.65	31834	EUR	
01/02/2016 00:00	302.9	307	300.5	304	21879	EUR	
02/02/2016 00:00	304.2	306	300.35	304.55	17485	EUR	
03/02/2016 00:00	302.9	304.45	294.85	297.05	13765	EUR	
04/02/2016 00:00	299.05	299.55	291.7	296.9	22964	EUR	
05/02/2016 00:00	297.55	299.65	286.75	287.1	20485	EUR	
08/02/2016 00:00	295	300	275	276.35	41558	EUR	
09/02/2016 00:00	276.85	283.55	271.25	279.35	37048	EUR	
10/02/2016 00:00	279.05	289.9	275.1	284.45	13626	EUR	
11/02/2016 00:00	283.15	283.15	272.5	272.9	23392	EUR	
12/02/2016 00:00	275.3	279.4	273.35	279.4	13320	EUR	
15/02/2016 00:00	286.05	297.3	285.45	295.4	15433	EUR	
16/02/2016 00:00	298.5	298.9	286.5	287.55	13216	EUR	
17/02/2016 00:00	290.75	297.95	290	297.05	22379	EUR	
18/02/2016 00:00	299.85	303	296	301.75	16388	EUR	
19/02/2016 00:00	301.1	303.8	299	303.8	18281	EUR	
22/02/2016 00:00	303.75	306	299.9	302.4	13799	EUR	
23/02/2016 00:00	299	303.65	297.3	298.55	11249	EUR	
24/02/2016 00:00	300.35	300.35	292.05	293.5	13431	EUR	
25/02/2016 00:00	298	307.2	297.9	304.45	11618	EUR	
26/02/2016 00:00	305.25	319	301.3	318.1	24616	EUR	
29/02/2016 00:00	325	338.8	316	328.1	45200	EUR	
01/03/2016 00:00	332	339.25	327.75	333.35	29171	EUR	
02/03/2016 00:00	336	337.8	329.4	330.85	26274	EUR	
03/03/2016 00:00	330.45	330.45	320.05	320.45	16163	EUR	
04/03/2016 00:00	320.15	325.7	315.6	319.3	16571	EUR	
07/03/2016 00:00	320.55	323.7	317.7	318	14958	EUR	
08/03/2016 00:00	316	317.55	310.05	314.5	11329	EUR	
09/03/2016 00:00	315	316.25	309.05	309.05	15641	EUR	
10/03/2016 00:00	311.6	317.5	304.9	304.9	19776	EUR	
11/03/2016 00:00	312.15	315.55	308.35	312	20301	EUR	
14/03/2016 00:00	314	319.3	313.75	317.55	10696	EUR	
15/03/2016 00:00	317.3	318	313.95	314.75	14198	EUR	
16/03/2016 00:00	314.8	320	312.45	314.9	14528	EUR	
17/03/2016 00:00	316.05	316.8	305.4	309.3	18867	EUR	
18/03/2016 00:00	311.95	313.1	304	308.8	110028	EUR	
21/03/2016 00:00	308.6	315.25	307.75	308.8	11599	EUR	
22/03/2016 00:00	308.8	313.65	306.3	311.5	13905	EUR	
23/03/2016 00:00	314.3	317.1	313.3	315	8681	EUR	
24/03/2016 00:00	314.85	315.95	312.2	312.2	9330	EUR	
29/03/2016 00:00	311.95	318.85	310.25	317.7	13399	EUR	
30/03/2016 00:00	320	325	319.4	322.2	18614	EUR	
31/03/2016 00:00	323.2	327.45	321.7	322.35	20800	EUR	
01/04/2016 00:00	320.25	322.5	311.55	322.45	14178	EUR	
04/04/2016 00:00	323.9	328	322.25	324.55	9409	EUR	
05/04/2016 00:00	322.3	325	321.05	321.15	9829	EUR	
06/04/2016 00:00	321.2	324.85	317.8	324.8	10341	EUR	
07/04/2016 00:00	324.9	328	323.55	325.5	10589	EUR	
08/04/2016 00:00	324.75	328	318	327.6	16358	EUR	
11/04/2016 00:00	326	327.95	321.4	321.65	14815	EUR	
12/04/2016 00:00	321	321	316.25	319.65	15902	EUR	
13/04/2016 00:00	321.55	324.35	317.55	319.35	8339	EUR	
14/04/2016 00:00	318.25	323.1	317.3	319.8	9011	EUR	
15/04/2016 00:00	319.35	321.7	318.35	320	11009	EUR	
18/04/2016 00:00	318.4	325.45	316.7	325.05	11036	EUR	
19/04/2016 00:00	324.9	327.9	322.25	326.55	12314	EUR	
20/04/2016 00:00	324.55	327	319.8	320	7829	EUR	
21/04/2016 00:00	320	320	313.3	316.65	12065	EUR	
22/04/2016 00:00	318.45	320.35	313.4	316.15	8477	EUR	
25/04/2016 00:00	327.8	333.2	320.1	330.55	33866	EUR	
26/04/2016 00:00	332.3	334.6	321.4	324.35	13360	EUR	
27/04/2016 00:00	324.35	330.8	321.3	326.25	11210	EUR	
28/04/2016 00:00	326.25	329.15	319.85	329.05	11657	EUR	
29/04/2016 00:00	327	328.4	322.5	324.05	13816	EUR	
02/05/2016 00:00	324	324	321.4	323	6117	EUR	
03/05/2016 00:00	321.35	326.05	319.5	323	11357	EUR	
04/05/2016 00:00	320.35	322.1	315	317.25	13038	EUR	
05/05/2016 00:00	322.45	322.45	317.7	320.4	6151	EUR	
06/05/2016 00:00	318.8	321.2	316.7	319.95	7101	EUR	
09/05/2016 00:00	320.4	326.55	320.4	321.2	10061	EUR	
10/05/2016 00:00	322.15	325.9	321.65	324.7	12684	EUR	
11/05/2016 00:00	322.65	326	322.65	325.1	4960	EUR	
12/05/2016 00:00	324.25	325.95	320.75	320.75	10026	EUR	
13/05/2016 00:00	318.05	325.45	318.05	323.35	13129	EUR	
16/05/2016 00:00	323.35	324	320.1	322.1	4712	EUR	
17/05/2016 00:00	324.95	326.1	321.45	324.85	12386	EUR	
18/05/2016 00:00	324.6	327.65	323	325.55	9600	EUR	
19/05/2016 00:00	323.1	325.85	321.4	322	8523	EUR	
20/05/2016 00:00	323.2	330.35	323.2	330.3	10005	EUR	
23/05/2016 00:00	330.5	334.8	328.6	331.6	13118	EUR	
24/05/2016 00:00	330.1	339.15	329.4	339	14084	EUR	
25/05/2016 00:00	339.45	345.9	336.85	345.65	12896	EUR	
26/05/2016 00:00	348	348.7	345.3	347.85	12101	EUR	
27/05/2016 00:00	346	348	339.2	343.9	17602	EUR	
30/05/2016 00:00	340.9	347	340.8	345.6	6316	EUR	
31/05/2016 00:00	344.75	348.5	343.6	348.5	12445	EUR	
01/06/2016 00:00	348.95	350	345.7	347	13958	EUR	
02/06/2016 00:00	346.1	347	343.2	346.75	8762	EUR	
03/06/2016 00:00	345.75	351.8	339.75	344.35	17661	EUR	
06/06/2016 00:00	344.15	345.75	341.1	342.85	10965	EUR	
07/06/2016 00:00	344.25	346.2	341.35	343.95	10228	EUR	
08/06/2016 00:00	345.45	345.45	341.35	342.65	8173	EUR	
09/06/2016 00:00	340.25	341.4	336.55	340.9	7882	EUR	
10/06/2016 00:00	337.65	340.55	328	329.05	10233	EUR	
13/06/2016 00:00	325	325	317.5	319.75	16798	EUR	
14/06/2016 00:00	317.45	318.6	312.05	314.25	15727	EUR	
15/06/2016 00:00	315.5	320.05	314.8	317	15663	EUR	
16/06/2016 00:00	312.6	315.45	306.65	310	15367	EUR	
17/06/2016 00:00	311.85	317.1	310.35	315.5	22075	EUR	
20/06/2016 00:00	320.05	326	320.05	321.25	15806	EUR	
21/06/2016 00:00	320.3	326.65	317.45	325.2	11514	EUR	
