date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	2.5	2.53	2.5	2.5	5079	EUR	
19/05/2015 00:00	2.5	2.5	2.46	2.47	11548	EUR	
20/05/2015 00:00	2.47	2.5	2.44	2.47	9424	EUR	
21/05/2015 00:00	2.47	2.51	2.47	2.49	6434	EUR	
22/05/2015 00:00	2.5	2.52	2.49	2.52	11514	EUR	
25/05/2015 00:00	2.5	2.52	2.47	2.51	8700	EUR	
26/05/2015 00:00	2.4	2.4	2.32	2.35	11420	EUR	
27/05/2015 00:00	2.39	2.39	2.29	2.38	5607	EUR	
28/05/2015 00:00	2.38	2.38	2.29	2.35	4284	EUR	
29/05/2015 00:00	2.35	2.35	2.32	2.35	2624	EUR	
01/06/2015 00:00	2.33	2.35	2.33	2.34	5420	EUR	
02/06/2015 00:00	2.35	2.35	2.29	2.29	10322	EUR	
03/06/2015 00:00	2.32	2.33	2.32	2.33	2099	EUR	
04/06/2015 00:00	2.33	2.33	2.3	2.32	5393	EUR	
05/06/2015 00:00	2.3	2.32	2.3	2.31	5885	EUR	
08/06/2015 00:00	2.32	2.33	2.32	2.32	3468	EUR	
09/06/2015 00:00	2.31	2.33	2.31	2.33	6080	EUR	
10/06/2015 00:00	2.32	2.33	2.29	2.33	8238	EUR	
11/06/2015 00:00	2.33	2.33	2.32	2.32	2257	EUR	
12/06/2015 00:00	2.32	2.32	2.3	2.3	3723	EUR	
15/06/2015 00:00	2.31	2.31	2.25	2.25	19609	EUR	
16/06/2015 00:00	2.25	2.25	2.23	2.23	3893	EUR	
17/06/2015 00:00	2.23	2.25	2.17	2.25	5568	EUR	
18/06/2015 00:00	2.27	2.27	2.18	2.23	4336	EUR	
19/06/2015 00:00	2.29	2.3	2.24	2.29	1265	EUR	
22/06/2015 00:00	2.3	2.3	2.21	2.29	7934	EUR	
23/06/2015 00:00	2.25	2.29	2.22	2.29	7085	EUR	
24/06/2015 00:00	2.28	2.29	2.28	2.29	947	EUR	
25/06/2015 00:00	2.27	2.29	2.27	2.29	2410	EUR	
26/06/2015 00:00	2.3	2.3	2.25	2.25	5085	EUR	
29/06/2015 00:00	2.25	2.25	2.2	2.2	3750	EUR	
30/06/2015 00:00	2.2	2.24	2.12	2.15	13273	EUR	
01/07/2015 00:00	2.17	2.17	2.15	2.17	3089	EUR	
02/07/2015 00:00	2.17	2.17	2.17	2.17	1000	EUR	
03/07/2015 00:00	2.2	2.26	2.17	2.17	3055	EUR	
06/07/2015 00:00	2.15	2.23	2.15	2.23	106	EUR	
07/07/2015 00:00	2.24	2.24	2.13	2.14	7984	EUR	
08/07/2015 00:00	2.13	2.19	2.06	2.18	19347	EUR	
09/07/2015 00:00	2.14	2.17	2.13	2.14	3340	EUR	
10/07/2015 00:00	2.14	2.2	2.14	2.18	3175	EUR	
13/07/2015 00:00	2.19	2.19	2.11	2.18	9061	EUR	
14/07/2015 00:00	2.15	2.2	2.1	2.2	17937	EUR	
15/07/2015 00:00	2.2	2.2	2.13	2.17	6490	EUR	
16/07/2015 00:00	2.18	2.18	2.16	2.16	2925	EUR	
17/07/2015 00:00	2.14	2.18	2.14	2.18	1114	EUR	
20/07/2015 00:00	2.15	2.19	2.15	2.15	4296	EUR	
21/07/2015 00:00	2.15	2.16	2.1	2.16	9235	EUR	
22/07/2015 00:00	2.12	2.16	2.12	2.16	2025	EUR	
23/07/2015 00:00	2.16	2.16	2.14	2.16	4617	EUR	
24/07/2015 00:00	2.16	2.16	2.12	2.13	11073	EUR	
27/07/2015 00:00	2.15	2.16	2.13	2.16	1495	EUR	
28/07/2015 00:00	2.11	2.15	2.1	2.15	5672	EUR	
29/07/2015 00:00	2.14	2.14	2.1	2.11	2947	EUR	
30/07/2015 00:00	2.15	2.16	2.14	2.15	2925	EUR	
31/07/2015 00:00	2.11	2.16	2.1	2.15	4050	EUR	
03/08/2015 00:00	2.1	2.14	2.1	2.1	343	EUR	
04/08/2015 00:00	2.11	2.15	2.11	2.15	5840	EUR	
05/08/2015 00:00	2.15	2.15	2.15	2.15	200	EUR	
06/08/2015 00:00	2.15	2.15	2.15	2.15	81	EUR	
07/08/2015 00:00	2.1	2.14	2.1	2.14	2289	EUR	
10/08/2015 00:00	2.14	2.18	2.14	2.15	6402	EUR	
11/08/2015 00:00	2.17	2.17	2.16	2.17	3300	EUR	
12/08/2015 00:00	2.18	2.38	2.18	2.29	24481	EUR	
13/08/2015 00:00	2.18	2.29	2.18	2.2	2886	EUR	
14/08/2015 00:00	2.25	2.29	2.25	2.25	1851	EUR	
17/08/2015 00:00	2.29	2.29	2.28	2.29	1865	EUR	
18/08/2015 00:00	2.29	2.29	2.23	2.23	2900	EUR	
19/08/2015 00:00	2.32	2.32	2.23	2.24	2100	EUR	
20/08/2015 00:00	2.25	2.25	2.22	2.23	4517	EUR	
21/08/2015 00:00	2.25	2.28	2.19	2.25	5945	EUR	
24/08/2015 00:00	2.2	2.24	2.1	2.12	16542	EUR	
25/08/2015 00:00	2.1	2.29	1.91	2.27	28722	EUR	
26/08/2015 00:00	2.17	2.24	2.17	2.24	2830	EUR	
27/08/2015 00:00	2.16	2.19	2.15	2.16	4865	EUR	
28/08/2015 00:00	2.23	2.25	2.23	2.25	679	EUR	
31/08/2015 00:00	2.25	2.25	2.13	2.22	4988	EUR	
01/09/2015 00:00	2.14	2.14	2.07	2.07	4000	EUR	
02/09/2015 00:00	2.11	2.18	2.11	2.18	340	EUR	
03/09/2015 00:00	2.22	2.22	2.22	2.22	300	EUR	
04/09/2015 00:00	2.18	2.18	2.11	2.14	1026	EUR	
07/09/2015 00:00	2.11	2.16	2.11	2.16	10794	EUR	
08/09/2015 00:00	2.19	2.21	2.16	2.21	19291	EUR	
09/09/2015 00:00	2.2	2.2	2.2	2.2	2340	EUR	
10/09/2015 00:00	2.2	2.2	2.17	2.18	4562	EUR	
11/09/2015 00:00	2.18	2.18	2.16	2.16	1280	EUR	
14/09/2015 00:00	2.16	2.19	2.12	2.12	6228	EUR	
15/09/2015 00:00	2.12	2.12	2.07	2.08	9327	EUR	
16/09/2015 00:00	2.07	2.12	2.07	2.12	2599	EUR	
17/09/2015 00:00	2.07	2.12	2.07	2.08	2111	EUR	
18/09/2015 00:00	2.1	2.15	2.08	2.13	8859	EUR	
22/09/2015 00:00	2.09	2.19	2.09	2.1	7505	EUR	
23/09/2015 00:00	2.1	2.18	2.09	2.14	3194	EUR	
24/09/2015 00:00	2.08	2.17	2.07	2.17	3837	EUR	
25/09/2015 00:00	2.15	2.15	2.15	2.15	280	EUR	
