date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	33.65	33.98	33	33.3	2264	EUR	
19/05/2015 00:00	33.5	33.8	33	33.5	1570	EUR	
20/05/2015 00:00	33.5	33.5	33	33.5	2439	EUR	
21/05/2015 00:00	33.49	33.5	33	33.5	1968	EUR	
22/05/2015 00:00	33.5	33.5	32.8	33.2	1473	EUR	
25/05/2015 00:00	33.2	33.4	33	33.4	402	EUR	
26/05/2015 00:00	33.39	33.4	33.06	33.4	13	EUR	
27/05/2015 00:00	33.4	33.5	33.4	33.5	1602	EUR	
28/05/2015 00:00	33.49	33.5	33.1	33.5	70	EUR	
29/05/2015 00:00	33.49	33.49	33	33	731	EUR	
01/06/2015 00:00	33	33	33	33	13	EUR	
02/06/2015 00:00	33.05	33.05	33	33	77	EUR	
03/06/2015 00:00	33.06	33.06	33.06	33.06	1	EUR	
04/06/2015 00:00	33.1	33.1	33	33	270	EUR	
05/06/2015 00:00	32.89	32.9	32.45	32.9	576	EUR	
08/06/2015 00:00	32.89	32.89	32.4	32.6	331	EUR	
09/06/2015 00:00	32.4	32.4	32.2	32.23	265	EUR	
10/06/2015 00:00	32.21	32.21	32.01	32.03	588	EUR	
11/06/2015 00:00	32.9	33.17	32.71	33.17	5476	EUR	
12/06/2015 00:00	32.95	33	32.95	33	167	EUR	
15/06/2015 00:00	33.2	33.2	33.06	33.08	1649	EUR	
16/06/2015 00:00	33.1	33.1	32.96	32.96	1363	EUR	
17/06/2015 00:00	32.98	32.98	32.9	32.9	510	EUR	
18/06/2015 00:00	32.9	33	32.9	32.9	3307	EUR	
19/06/2015 00:00	32.9	32.98	32.9	32.9	87	EUR	
22/06/2015 00:00	32.8	32.8	32.8	32.8	555	EUR	
23/06/2015 00:00	32.86	33.2	32.86	33	6593	EUR	
24/06/2015 00:00	33.3	33.4	33	33.16	1072	EUR	
25/06/2015 00:00	33.16	33.5	33	33	777	EUR	
26/06/2015 00:00	33	33.5	33	33	618	EUR	
29/06/2015 00:00	32.8	32.8	32.58	32.7	1278	EUR	
30/06/2015 00:00	32.5	32.51	32.5	32.5	201	EUR	
01/07/2015 00:00	32.5	33.6	32.01	33.6	1329	EUR	
02/07/2015 00:00	34	34	33.5	33.5	735	EUR	
03/07/2015 00:00	33.5	33.98	32.51	33.93	560	EUR	
06/07/2015 00:00	33.5	33.5	33	33.1	1501	EUR	
07/07/2015 00:00	33	33.35	33	33.1	1108	EUR	
08/07/2015 00:00	33.16	34.24	33.16	34.24	1191	EUR	
09/07/2015 00:00	34.1	34.98	34.1	34.52	1027	EUR	
10/07/2015 00:00	35.51	37.9	35.51	36.5	5817	EUR	
13/07/2015 00:00	36.1	36.5	36.1	36.5	1017	EUR	
14/07/2015 00:00	36.49	37.25	36.49	37.25	786	EUR	
15/07/2015 00:00	37	37.5	36.35	37.25	5030	EUR	
16/07/2015 00:00	37.25	37.35	36.41	36.75	2455	EUR	
17/07/2015 00:00	36.52	36.7	36.45	36.63	1519	EUR	
20/07/2015 00:00	36.3	36.3	36.15	36.2	359	EUR	
21/07/2015 00:00	36.19	36.2	35.6	35.6	2114	EUR	
22/07/2015 00:00	35.64	36	35.64	35.65	472	EUR	
23/07/2015 00:00	36.1	36.5	36	36.5	1920	EUR	
24/07/2015 00:00	36.5	36.6	36.11	36.6	355	EUR	
27/07/2015 00:00	36.5	36.5	36.3	36.5	786	EUR	
28/07/2015 00:00	36.49	36.5	36.1	36.1	838	EUR	
29/07/2015 00:00	36.1	36.3	35.9	36.3	2782	EUR	
30/07/2015 00:00	35.9	36.39	35.9	35.9	174	EUR	
31/07/2015 00:00	35.7	35.7	35.05	35.05	1617	EUR	
03/08/2015 00:00	35.05	35.7	35.05	35.7	435	EUR	
04/08/2015 00:00	35.69	35.8	35.69	35.8	245	EUR	
05/08/2015 00:00	35.79	35.79	35.5	35.5	335	EUR	
06/08/2015 00:00	35.51	35.65	35.3	35.65	2344	EUR	
07/08/2015 00:00	35.63	35.64	35.63	35.64	38	EUR	
10/08/2015 00:00	35.6	35.63	35.3	35.45	1573	EUR	
11/08/2015 00:00	35.45	35.45	35.44	35.44	230	EUR	
12/08/2015 00:00	35.44	35.44	35.3	35.3	132	EUR	
13/08/2015 00:00	35.31	35.5	35.3	35.3	86	EUR	
14/08/2015 00:00	35.6	35.6	35.12	35.16	571	EUR	
17/08/2015 00:00	35.5	35.5	35.12	35.35	89	EUR	
18/08/2015 00:00	35.1	35.15	35.1	35.11	229	EUR	
19/08/2015 00:00	35.1	35.5	35.1	35.1	302	EUR	
20/08/2015 00:00	35.1	35.1	35.03	35.03	738	EUR	
21/08/2015 00:00	35.04	35.7	35.03	35.03	234	EUR	
24/08/2015 00:00	35	35	32.06	33	2612	EUR	
25/08/2015 00:00	32	33.2	32	32.7	2098	EUR	
26/08/2015 00:00	32.5	33	32.5	32.55	279	EUR	
27/08/2015 00:00	32.7	33	32.6	33	198	EUR	
28/08/2015 00:00	32.99	32.99	32.7	32.7	31	EUR	
31/08/2015 00:00	33	33.2	33	33.2	86	EUR	
01/09/2015 00:00	33.19	33.19	32.5	32.7	612	EUR	
02/09/2015 00:00	32.71	32.71	32.7	32.7	114	EUR	
03/09/2015 00:00	32.7	32.7	32.6	32.6	127	EUR	
04/09/2015 00:00	33.2	33.2	32.5	32.5	317	EUR	
07/09/2015 00:00	32.3	32.5	32.3	32.5	336	EUR	
08/09/2015 00:00	32.51	32.9	32.51	32.9	216	EUR	
09/09/2015 00:00	32.89	33.1	32.89	33	910	EUR	
10/09/2015 00:00	34	34.3	34	34.3	558	EUR	
11/09/2015 00:00	35	35	34.41	35	338	EUR	
14/09/2015 00:00	34.99	35	34.9	35	246	EUR	
15/09/2015 00:00	35.01	35.01	35.01	35.01	1	EUR	
16/09/2015 00:00	35.01	35.7	35	35.7	186	EUR	
17/09/2015 00:00	35.8	36.7	35.7	36.7	937	EUR	
18/09/2015 00:00	36.69	37.5	36.5	36.5	1002	EUR	
21/09/2015 00:00	36.39	37.3	36.39	36.91	536	EUR	
22/09/2015 00:00	37.48	37.48	37	37	499	EUR	
23/09/2015 00:00	37.4	37.7	37.3	37.4	1918	EUR	
24/09/2015 00:00	37.7	37.7	36.8	36.8	1266	EUR	
25/09/2015 00:00	37.55	37.7	37.41	37.46	3307	EUR	
28/09/2015 00:00	37.89	38	37.4	37.4	4199	EUR	
29/09/2015 00:00	37.33	37.5	37.33	37.5	709	EUR	
30/09/2015 00:00	37.5	37.5	37.2	37.2	1254	EUR	
01/10/2015 00:00	37	37	36.1	36.89	2592	EUR	
02/10/2015 00:00	36.89	37	36.56	37	276	EUR	
05/10/2015 00:00	37.2	37.8	37.2	37.8	1224	EUR	
06/10/2015 00:00	37.6	37.8	37.6	37.8	7414	EUR	
07/10/2015 00:00	37.8	37.9	37.8	37.8	213	EUR	
08/10/2015 00:00	37.8	38.4	37.75	38.4	586	EUR	
09/10/2015 00:00	39	39.3	38.6	38.6	2450	EUR	
12/10/2015 00:00	39.5	39.5	38.8	38.8	1125	EUR	
13/10/2015 00:00	38.8	38.8	38.2	38.25	528	EUR	
14/10/2015 00:00	38.25	38.25	38.25	38.25	1	EUR	
15/10/2015 00:00	38.2	38.57	38.2	38.54	213	EUR	
16/10/2015 00:00	38.54	38.54	38.54	38.54	1	EUR	
19/10/2015 00:00	38.6	39.8	38.6	39.8	1320	EUR	
20/10/2015 00:00	39.7	39.8	39.42	39.8	2076	EUR	
21/10/2015 00:00	39.69	39.99	39.42	39.98	1236	EUR	
22/10/2015 00:00	39.97	40	39.45	39.52	997	EUR	
23/10/2015 00:00	39.5	39.9	39.1	39.1	528	EUR	
26/10/2015 00:00	39.1	39.9	39	39.9	363	EUR	
27/10/2015 00:00	39.9	39.9	39.5	39.5	637	EUR	
28/10/2015 00:00	39.49	39.5	39.42	39.5	95	EUR	
29/10/2015 00:00	39.49	39.79	39.4	39.4	287	EUR	
30/10/2015 00:00	39.45	39.45	39.06	39.08	467	EUR	
02/11/2015 00:00	39.08	39.08	39.05	39.05	79	EUR	
03/11/2015 00:00	39.06	39.4	39.06	39.33	518	EUR	
04/11/2015 00:00	39.33	39.5	39.11	39.5	1240	EUR	
05/11/2015 00:00	39.49	39.49	39.21	39.4	302	EUR	
06/11/2015 00:00	39.41	39.7	39.3	39.5	2607	EUR	
09/11/2015 00:00	39.5	39.5	39.3	39.3	671	EUR	
10/11/2015 00:00	39.31	39.5	39.2	39.3	2109	EUR	
11/11/2015 00:00	39.3	39.3	38.9	39	670	EUR	
12/11/2015 00:00	38.9	39	38.9	38.9	802	EUR	
13/11/2015 00:00	38.89	38.89	38.6	38.6	839	EUR	
16/11/2015 00:00	38.4	38.4	37.51	38.28	1900	EUR	
17/11/2015 00:00	38.51	38.51	38.32	38.33	2251	EUR	
18/11/2015 00:00	38.5	38.5	38.31	38.45	103	EUR	
19/11/2015 00:00	38.44	38.45	38.11	38.11	231	EUR	
20/11/2015 00:00	38.13	38.4	38	38.4	102	EUR	
23/11/2015 00:00	38.39	38.39	38.32	38.37	41	EUR	
24/11/2015 00:00	38.29	38.29	38	38	171	EUR	
25/11/2015 00:00	38.11	38.3	38	38.3	1106	EUR	
26/11/2015 00:00	38.3	38.39	38.15	38.39	77	EUR	
27/11/2015 00:00	38.39	38.45	38.25	38.45	463	EUR	
