date	ouv	haut	bas	clot	vol	devise	
25/05/2015 00:00	80	80	80	80	6	EUR	
26/05/2015 00:00	80	80	80	80	0	EUR	
28/05/2015 00:00	80	80	80	80	0	EUR	
08/06/2015 00:00	75	75	75	75	0	EUR	
10/06/2015 00:00	75	75	75	75	47	EUR	
11/06/2015 00:00	75	75	75	75	0	EUR	
18/06/2015 00:00	75	75	75	75	0	EUR	
22/06/2015 00:00	75.2	75.2	75.2	75.2	12	EUR	
23/06/2015 00:00	75	75	75	75	49	EUR	
24/06/2015 00:00	75	75	75	75	5	EUR	
25/06/2015 00:00	77.49	77.49	77.49	77.49	10	EUR	
26/06/2015 00:00	75	75	75	75	10	EUR	
29/06/2015 00:00	74.05	74.05	74	74	303	EUR	
30/06/2015 00:00	71.01	71.01	71.01	71.01	105	EUR	
01/07/2015 00:00	71.02	71.02	71.02	71.02	0	EUR	
03/07/2015 00:00	74.7	74.7	74.7	74.7	104	EUR	
07/07/2015 00:00	74.71	74.71	74.7	74.7	246	EUR	
08/07/2015 00:00	77	77	77	77	15	EUR	
09/07/2015 00:00	77	77	74.69	74.69	41	EUR	
10/07/2015 00:00	70.01	75.75	70.01	75.75	447	EUR	
13/07/2015 00:00	72.49	75.75	72.49	75.75	22	EUR	
14/07/2015 00:00	73	73	72.5	72.5	40	EUR	
15/07/2015 00:00	73	73	72.5	72.5	145	EUR	
16/07/2015 00:00	74	74	72.2	72.2	46	EUR	
17/07/2015 00:00	72.31	72.31	72.1	72.1	150	EUR	
20/07/2015 00:00	72.5	72.5	72.5	72.5	0	EUR	
23/07/2015 00:00	72	72	72	72	2	EUR	
24/07/2015 00:00	72.5	73	72.5	73	54	EUR	
27/07/2015 00:00	73	73	73	73	31	EUR	
28/07/2015 00:00	73	73	73	73	17	EUR	
29/07/2015 00:00	72.5	72.5	72.5	72.5	70	EUR	
30/07/2015 00:00	72	72	72	72	0	EUR	
03/08/2015 00:00	70.01	70.01	70.01	70.01	30	EUR	
04/08/2015 00:00	71.23	71.23	71.23	71.23	0	EUR	
06/08/2015 00:00	74	74	74	74	4	EUR	
07/08/2015 00:00	70.32	73.89	70.32	73.89	13	EUR	
13/08/2015 00:00	73.89	73.89	73.89	73.89	29	EUR	
14/08/2015 00:00	72	72	72	72	13	EUR	
20/08/2015 00:00	70	70	70	70	0	EUR	
25/08/2015 00:00	70	70	70	70	90	EUR	
26/08/2015 00:00	70	70	70	70	9	EUR	
27/08/2015 00:00	73.5	73.5	73.5	73.5	13	EUR	
28/08/2015 00:00	70	70	70	70	125	EUR	
02/09/2015 00:00	70	70	70	70	0	EUR	
04/09/2015 00:00	70.99	70.99	70.99	70.99	2	EUR	
07/09/2015 00:00	70.99	70.99	70.99	70.99	0	EUR	
09/09/2015 00:00	70.49	70.49	65.01	65.01	502	EUR	
10/09/2015 00:00	65	65	65	65	92	EUR	
11/09/2015 00:00	66.01	66.01	66.01	66.01	109	EUR	
14/09/2015 00:00	66.66	66.66	65	65	101	EUR	
15/09/2015 00:00	65	65	65	65	0	EUR	
17/09/2015 00:00	65.01	65.01	65.01	65.01	60	EUR	
18/09/2015 00:00	65	65	65	65	802	EUR	
21/09/2015 00:00	65	65	65	65	96	EUR	
22/09/2015 00:00	65.7	65.7	65.7	65.7	117	EUR	
23/09/2015 00:00	67.8	67.8	67.8	67.8	20	EUR	
24/09/2015 00:00	64.51	64.51	64.51	64.51	0	EUR	
28/09/2015 00:00	65	65	65	65	50	EUR	
29/09/2015 00:00	65	65	64.7	64.7	104	EUR	
30/09/2015 00:00	64.7	64.71	64.7	64.71	280	EUR	
01/10/2015 00:00	65.01	65.01	65.01	65.01	0	EUR	
05/10/2015 00:00	74.9	74.9	74.9	74.9	220	EUR	
06/10/2015 00:00	79	79	79	79	160	EUR	
07/10/2015 00:00	78.5	78.5	78.5	78.5	3	EUR	
08/10/2015 00:00	78.5	78.66	78.5	78.66	56	EUR	
09/10/2015 00:00	79	79	78.9	78.9	43	EUR	
12/10/2015 00:00	78.9	79	78.9	79	87	EUR	
13/10/2015 00:00	78	78	78	78	74	EUR	
14/10/2015 00:00	75.5	78	75.5	78	28	EUR	
15/10/2015 00:00	75	75	75	75	10	EUR	
16/10/2015 00:00	77.99	77.99	77.99	77.99	2	EUR	
19/10/2015 00:00	77.99	77.99	77.99	77.99	30	EUR	
20/10/2015 00:00	77.9	77.9	77.9	77.9	10	EUR	
21/10/2015 00:00	77.9	77.99	77.9	77.99	35	EUR	
22/10/2015 00:00	77.99	77.99	77.99	77.99	0	EUR	
26/10/2015 00:00	79	79	79	79	42	EUR	
27/10/2015 00:00	79	79	79	79	1	EUR	
28/10/2015 00:00	78	78	78	78	49	EUR	
29/10/2015 00:00	78	78	78	78	12	EUR	
30/10/2015 00:00	78	78	78	78	7	EUR	
02/11/2015 00:00	79	79	79	79	0	EUR	
04/11/2015 00:00	78.9	78.9	78	78	14	EUR	
05/11/2015 00:00	78	78	78	78	20	EUR	
06/11/2015 00:00	78	78	78	78	7	EUR	
09/11/2015 00:00	78.8	78.8	78.8	78.8	12	EUR	
10/11/2015 00:00	78.8	78.8	78.8	78.8	126	EUR	
11/11/2015 00:00	78	78	78	78	10	EUR	
12/11/2015 00:00	78	78	78	78	0	EUR	
16/11/2015 00:00	78	78	73.5	73.5	73	EUR	
17/11/2015 00:00	74.01	74.01	74.01	74.01	88	EUR	
18/11/2015 00:00	74	74	74	74	20	EUR	
19/11/2015 00:00	74	74	74	74	10	EUR	
20/11/2015 00:00	74	74	73	73	70	EUR	
24/11/2015 00:00	73.5	73.5	73	73	151	EUR	
25/11/2015 00:00	73	73	73	73	499	EUR	
26/11/2015 00:00	73	73	73	73	96	EUR	
27/11/2015 00:00	72	72.01	72	72.01	60	EUR	
30/11/2015 00:00	73	73	73	73	0	EUR	
02/12/2015 00:00	73.01	73.01	73.01	73.01	65	EUR	
03/12/2015 00:00	73	73	73	73	50	EUR	
04/12/2015 00:00	72.52	72.52	72.52	72.52	14	EUR	
07/12/2015 00:00	72.01	72.01	72.01	72.01	310	EUR	
08/12/2015 00:00	71.1	71.1	71.1	71.1	20	EUR	
09/12/2015 00:00	70.97	70.97	70.97	70.97	15	EUR	
10/12/2015 00:00	70.1	70.1	70.1	70.1	148	EUR	
11/12/2015 00:00	70.1	70.1	69.8	69.8	142	EUR	
14/12/2015 00:00	66	66	66	66	176	EUR	
15/12/2015 00:00	66	66	66	66	25	EUR	
16/12/2015 00:00	66	66	66	66	26	EUR	
17/12/2015 00:00	66	66	66	66	52	EUR	
18/12/2015 00:00	65.01	65.01	65	65	774	EUR	
21/12/2015 00:00	65	65	65	65	422	EUR	
22/12/2015 00:00	65	65	65	65	303	EUR	
23/12/2015 00:00	65	65	65	65	470	EUR	
24/12/2015 00:00	66	66	66	66	9	EUR	
28/12/2015 00:00	65	65	65	65	191	EUR	
29/12/2015 00:00	66	66.5	66	66.5	76	EUR	
30/12/2015 00:00	66.5	66.5	66.5	66.5	140	EUR	
31/12/2015 00:00	66.5	66.5	66.5	66.5	126	EUR	
04/01/2016 00:00	66.5	67.9	66.5	67.9	36	EUR	
05/01/2016 00:00	67.9	67.9	67.9	67.9	219	EUR	
06/01/2016 00:00	67.9	67.9	67.9	67.9	0	EUR	
08/01/2016 00:00	68.9	68.9	68.9	68.9	500	EUR	
12/01/2016 00:00	67.9	67.9	67.9	67.9	0	EUR	
14/01/2016 00:00	66.4	66.4	66.4	66.4	36	EUR	
15/01/2016 00:00	66	66.4	66	66.4	451	EUR	
18/01/2016 00:00	66.4	66.4	66	66	43	EUR	
19/01/2016 00:00	66.4	66.4	65.06	65.06	239	EUR	
20/01/2016 00:00	65	65	65	65	74	EUR	
21/01/2016 00:00	64.5	64.5	63	63	59	EUR	
22/01/2016 00:00	63.01	63.01	63	63	161	EUR	
25/01/2016 00:00	63	63	63	63	0	EUR	
27/01/2016 00:00	63.03	63.03	63.03	63.03	0	EUR	
01/02/2016 00:00	63.05	63.05	63.05	63.05	5	EUR	
02/02/2016 00:00	64.5	64.5	64.5	64.5	16	EUR	
03/02/2016 00:00	64.5	64.5	64.5	64.5	27	EUR	
04/02/2016 00:00	64.51	64.51	64.51	64.51	0	EUR	
08/02/2016 00:00	64.5	64.5	64.5	64.5	9	EUR	
09/02/2016 00:00	63.06	63.06	63.06	63.06	7	EUR	
10/02/2016 00:00	63.01	63.01	63	63	160	EUR	
11/02/2016 00:00	62.45	62.45	62.45	62.45	30	EUR	
12/02/2016 00:00	62.45	62.45	62.45	62.45	95	EUR	
15/02/2016 00:00	62.5	62.5	62.5	62.5	0	EUR	
17/02/2016 00:00	62.5	62.5	62.5	62.5	15	EUR	
18/02/2016 00:00	63	63	63	63	82	EUR	
19/02/2016 00:00	63	63	63	63	25	EUR	
22/02/2016 00:00	63.5	63.5	63.5	63.5	0	EUR	
25/02/2016 00:00	63.5	63.5	63.5	63.5	8	EUR	
26/02/2016 00:00	63.4	63.4	63.4	63.4	5	EUR	
29/02/2016 00:00	62.5	62.5	62.5	62.5	0	EUR	
02/03/2016 00:00	62.5	62.5	62.5	62.5	26	EUR	
03/03/2016 00:00	63	63	63	63	28	EUR	
04/03/2016 00:00	63	63	63	63	130	EUR	
08/03/2016 00:00	64.99	65	64.99	65	33	EUR	
09/03/2016 00:00	63	63	63	63	49	EUR	
10/03/2016 00:00	62	62	62	62	49	EUR	
11/03/2016 00:00	65	65	65	65	171	EUR	
15/03/2016 00:00	65	65	65	65	50	EUR	
16/03/2016 00:00	65	65	65	65	0	EUR	
18/03/2016 00:00	65	65	65	65	110	EUR	
21/03/2016 00:00	65	65	65	65	35	EUR	
22/03/2016 00:00	64	64	64	64	7	EUR	
23/03/2016 00:00	65	65	65	65	405	EUR	
24/03/2016 00:00	65	65.01	65	65.01	435	EUR	
29/03/2016 00:00	65	65	65	65	18	EUR	
30/03/2016 00:00	65	66.4	65	66.4	45	EUR	
31/03/2016 00:00	66.4	66.51	66.4	66.51	548	EUR	
01/04/2016 00:00	69	69	68	68	250	EUR	
04/04/2016 00:00	67.2	67.2	67.2	67.2	30	EUR	
05/04/2016 00:00	69	69	69	69	0	EUR	
07/04/2016 00:00	70	70	70	70	2	EUR	
08/04/2016 00:00	69.99	69.99	69.99	69.99	17	EUR	
11/04/2016 00:00	69.5	69.5	69.5	69.5	314	EUR	
12/04/2016 00:00	69.5	69.5	69.5	69.5	160	EUR	
13/04/2016 00:00	69.52	70	69.52	70	219	EUR	
14/04/2016 00:00	70	70	70	70	447	EUR	
15/04/2016 00:00	69.99	69.99	69.99	69.99	151	EUR	
18/04/2016 00:00	69.99	69.99	69.98	69.98	70	EUR	
19/04/2016 00:00	69.98	69.98	69.98	69.98	165	EUR	
20/04/2016 00:00	69.98	69.98	69.98	69.98	433	EUR	
21/04/2016 00:00	69.98	69.98	69.98	69.98	120	EUR	
22/04/2016 00:00	69.99	70.11	69.99	70.11	262	EUR	
25/04/2016 00:00	69	70	69	70	39	EUR	
26/04/2016 00:00	70	70	69.9	69.9	157	EUR	
27/04/2016 00:00	69.9	70	69.9	70	518	EUR	
28/04/2016 00:00	70	70	70	70	268	EUR	
29/04/2016 00:00	69.9	70	69.9	70	186	EUR	
02/05/2016 00:00	71	71	71	71	213	EUR	
03/05/2016 00:00	71	71	71	71	164	EUR	
04/05/2016 00:00	72	72	72	72	177	EUR	
