date	ouv	haut	bas	clot	vol	devise	
27/05/2015 00:00	45.01	45.01	45.01	45.01	0	EUR	
07/07/2015 00:00	46	46	46	46	255	EUR	
08/07/2015 00:00	43.7	43.7	43.7	43.7	0	EUR	
10/07/2015 00:00	43.7	43.7	43.7	43.7	150	EUR	
13/07/2015 00:00	43.78	43.78	43.78	43.78	354	EUR	
14/07/2015 00:00	43.78	43.78	43.78	43.78	0	EUR	
17/07/2015 00:00	43.78	43.78	43.78	43.78	175	EUR	
20/07/2015 00:00	43.78	43.78	43.78	43.78	125	EUR	
21/07/2015 00:00	48.15	48.15	48.15	48.15	0	EUR	
23/07/2015 00:00	50	50	50	50	0	EUR	
31/07/2015 00:00	43.72	43.72	43.72	43.72	1	EUR	
07/08/2015 00:00	43.71	43.71	43.71	43.71	9	EUR	
10/09/2015 00:00	43.69	43.69	43.69	43.69	0	EUR	
25/09/2015 00:00	43.7	43.7	43.7	43.7	225	EUR	
23/10/2015 00:00	48	48	48	48	500	EUR	
26/10/2015 00:00	48	48	48	48	0	EUR	
30/10/2015 00:00	43.69	43.69	43.69	43.69	4	EUR	
12/11/2015 00:00	43.69	43.69	43.69	43.69	0	EUR	
07/12/2015 00:00	43.7	43.7	43.7	43.7	0	EUR	
26/01/2016 00:00	30	30	30	30	30	EUR	
27/01/2016 00:00	36.3	36.3	36.3	36.3	0	EUR	
04/02/2016 00:00	42	42	42	42	206	EUR	
05/02/2016 00:00	46	46	46	46	260	EUR	
08/02/2016 00:00	47.8	47.8	47.8	47.8	742	EUR	
09/02/2016 00:00	47	47	47	47	40	EUR	
10/02/2016 00:00	47	47	47	47	0	EUR	
12/02/2016 00:00	47	47	47	47	250	EUR	
15/02/2016 00:00	47	47	47	47	150	EUR	
16/02/2016 00:00	47	47	47	47	0	EUR	
02/03/2016 00:00	34.31	34.31	34.31	34.31	810	EUR	
03/03/2016 00:00	35.16	35.16	35.16	35.16	0	EUR	
07/03/2016 00:00	48.5	48.5	48.5	48.5	50	EUR	
08/03/2016 00:00	35.38	35.38	35.38	35.38	1373	EUR	
09/03/2016 00:00	35.38	35.38	35.38	35.38	200	EUR	
10/03/2016 00:00	39	39	39	39	11	EUR	
11/03/2016 00:00	35.8	35.8	35.8	35.8	185	EUR	
11/04/2016 00:00	47.5	47.5	47.5	47.5	0	EUR	
