date	ouv	haut	bas	clot	vol	devise	
21/05/2015 00:00	0.99	0.99	0.99	0.99	500	EUR	
22/05/2015 00:00	1.1	1.1	1.1	1.1	650	EUR	
25/05/2015 00:00	0.99	0.99	0.99	0.99	0	EUR	
28/05/2015 00:00	0.96	0.96	0.95	0.95	743	EUR	
29/05/2015 00:00	1.08	1.08	0.9	0.9	8904	EUR	
02/06/2015 00:00	1.06	1.06	0.9	0.9	2064	EUR	
03/06/2015 00:00	0.9	0.9	0.9	0.9	0	EUR	
09/06/2015 00:00	0.86	0.86	0.86	0.86	0	EUR	
12/06/2015 00:00	0.86	0.88	0.86	0.88	1565	EUR	
16/06/2015 00:00	0.84	0.84	0.84	0.84	0	EUR	
19/06/2015 00:00	0.8	0.8	0.8	0.8	500	EUR	
22/06/2015 00:00	0.9	0.9	0.83	0.83	5209	EUR	
23/06/2015 00:00	0.82	0.89	0.82	0.86	557	EUR	
24/06/2015 00:00	0.9	0.9	0.9	0.9	0	EUR	
26/06/2015 00:00	0.99	1	0.99	0.99	6201	EUR	
29/06/2015 00:00	1.06	1.06	1.06	1.06	0	EUR	
01/07/2015 00:00	0.93	0.93	0.89	0.89	3633	EUR	
02/07/2015 00:00	0.98	0.98	0.98	0.98	0	EUR	
06/07/2015 00:00	1.03	1.03	1.03	1.03	0	EUR	
13/07/2015 00:00	1	1	1	1	0	EUR	
15/07/2015 00:00	1	1	1	1	1500	EUR	
16/07/2015 00:00	0.9	0.9	0.9	0.9	0	EUR	
21/07/2015 00:00	0.94	0.94	0.89	0.94	8138	EUR	
22/07/2015 00:00	0.95	0.99	0.9	0.99	3333	EUR	
23/07/2015 00:00	0.9	0.95	0.89	0.93	3763	EUR	
24/07/2015 00:00	0.93	0.95	0.93	0.95	1001	EUR	
27/07/2015 00:00	0.97	0.97	0.91	0.91	305	EUR	
28/07/2015 00:00	0.88	0.88	0.8	0.87	8928	EUR	
29/07/2015 00:00	0.89	0.97	0.89	0.97	2675	EUR	
30/07/2015 00:00	1	1	1	1	5	EUR	
31/07/2015 00:00	1.06	1.2	1.06	1.14	25027	EUR	
03/08/2015 00:00	1	1.15	1	1.15	8989	EUR	
04/08/2015 00:00	1.14	1.14	1.14	1.14	178	EUR	
05/08/2015 00:00	1.01	1.09	1.01	1.09	816	EUR	
06/08/2015 00:00	1.09	1.13	0.99	1.12	508	EUR	
07/08/2015 00:00	1.1	1.1	1.1	1.1	78	EUR	
10/08/2015 00:00	1.11	1.11	0.83	0.83	16858	EUR	
11/08/2015 00:00	0.83	0.93	0.8	0.81	11622	EUR	
12/08/2015 00:00	0.89	0.9	0.87	0.9	2404	EUR	
13/08/2015 00:00	0.89	0.89	0.89	0.89	178	EUR	
14/08/2015 00:00	0.85	0.89	0.8	0.85	2497	EUR	
17/08/2015 00:00	0.89	0.89	0.89	0.89	5	EUR	
18/08/2015 00:00	0.88	0.88	0.88	0.88	0	EUR	
20/08/2015 00:00	0.88	0.88	0.88	0.88	0	EUR	
25/08/2015 00:00	0.8	0.8	0.8	0.8	400	EUR	
26/08/2015 00:00	0.8	0.87	0.8	0.87	1921	EUR	
27/08/2015 00:00	0.87	0.9	0.87	0.9	425	EUR	
