date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	6.94	7.1	6.94	7.01	12010	EUR	
19/05/2015 00:00	7.03	7.09	6.95	7	13730	EUR	
20/05/2015 00:00	7.04	7.09	7.02	7.08	19755	EUR	
21/05/2015 00:00	7.06	7.09	7.01	7.04	11748	EUR	
22/05/2015 00:00	7.03	7.07	7.02	7.07	12496	EUR	
25/05/2015 00:00	7.07	7.07	7	7.02	20299	EUR	
26/05/2015 00:00	7.02	7.02	6.98	6.98	3044	EUR	
27/05/2015 00:00	6.97	6.97	6.87	6.87	9056	EUR	
28/05/2015 00:00	6.8	6.8	6.6	6.69	19352	EUR	
29/05/2015 00:00	6.69	6.69	6.51	6.59	12162	EUR	
01/06/2015 00:00	6.63	6.66	6.6	6.63	5470	EUR	
02/06/2015 00:00	6.6	6.63	6.57	6.6	4347	EUR	
03/06/2015 00:00	6.6	6.6	6.56	6.56	6148	EUR	
04/06/2015 00:00	6.56	6.58	6.54	6.56	5569	EUR	
05/06/2015 00:00	6.57	6.57	6.54	6.55	4553	EUR	
08/06/2015 00:00	6.55	6.55	6.51	6.53	3735	EUR	
09/06/2015 00:00	6.53	6.56	6.5	6.56	8632	EUR	
10/06/2015 00:00	6.56	6.65	6.56	6.62	3854	EUR	
11/06/2015 00:00	6.62	6.83	6.62	6.76	4613	EUR	
12/06/2015 00:00	6.83	6.86	6.8	6.8	4277	EUR	
15/06/2015 00:00	6.81	6.81	6.62	6.65	8510	EUR	
16/06/2015 00:00	6.65	6.65	6.5	6.53	6586	EUR	
17/06/2015 00:00	6.5	6.55	6.41	6.5	17482	EUR	
18/06/2015 00:00	6.43	6.48	6.4	6.4	10551	EUR	
19/06/2015 00:00	6.4	6.44	6.35	6.4	8340	EUR	
22/06/2015 00:00	6.37	6.43	6.37	6.42	6636	EUR	
23/06/2015 00:00	6.4	6.43	6.4	6.42	3572	EUR	
24/06/2015 00:00	6.42	6.42	6.41	6.42	2964	EUR	
25/06/2015 00:00	6.42	6.42	6.35	6.37	22378	EUR	
26/06/2015 00:00	6.37	6.39	6.33	6.36	1046	EUR	
29/06/2015 00:00	6.19	6.19	6.02	6.08	14520	EUR	
30/06/2015 00:00	6.06	6.23	6.04	6.23	5388	EUR	
01/07/2015 00:00	6.23	6.27	6.23	6.27	1584	EUR	
02/07/2015 00:00	6.28	6.28	6.13	6.19	2840	EUR	
03/07/2015 00:00	6.2	6.25	6.15	6.2	3043	EUR	
06/07/2015 00:00	6.08	6.08	6.02	6.08	3485	EUR	
07/07/2015 00:00	6.04	6.09	6.04	6.05	3399	EUR	
08/07/2015 00:00	6.05	6.07	6.04	6.05	2133	EUR	
09/07/2015 00:00	6.05	6.09	6.02	6.09	1044	EUR	
10/07/2015 00:00	6.09	6.16	6.09	6.16	1890	EUR	
13/07/2015 00:00	6.16	6.2	6.03	6.2	4647	EUR	
14/07/2015 00:00	6.2	6.4	6.2	6.33	5444	EUR	
15/07/2015 00:00	6.33	6.33	6.26	6.29	1474	EUR	
16/07/2015 00:00	6.3	6.4	6.3	6.39	8709	EUR	
17/07/2015 00:00	6.39	6.39	6.29	6.3	3862	EUR	
20/07/2015 00:00	6.25	6.3	6.25	6.25	5276	EUR	
21/07/2015 00:00	6.25	6.32	6.25	6.3	3225	EUR	
22/07/2015 00:00	6.3	6.32	6.28	6.29	1256	EUR	
23/07/2015 00:00	6.29	6.3	6.29	6.29	710	EUR	
24/07/2015 00:00	6.32	6.32	6.28	6.28	1197	EUR	
27/07/2015 00:00	6.28	6.36	6.24	6.35	8905	EUR	
28/07/2015 00:00	6.35	6.4	6.25	6.35	11258	EUR	
29/07/2015 00:00	6.37	6.39	6.35	6.37	3420	EUR	
30/07/2015 00:00	6.37	6.39	6.23	6.25	4720	EUR	
31/07/2015 00:00	6.29	6.3	6.16	6.3	2624	EUR	
03/08/2015 00:00	6.29	6.29	6.22	6.22	1873	EUR	
04/08/2015 00:00	6.25	6.3	6.25	6.3	2213	EUR	
05/08/2015 00:00	6.29	6.29	6.16	6.22	2831	EUR	
06/08/2015 00:00	6.25	6.28	6.2	6.28	1076	EUR	
07/08/2015 00:00	6.28	6.3	6.25	6.25	2323	EUR	
10/08/2015 00:00	6.25	6.27	6.25	6.27	1002	EUR	
11/08/2015 00:00	6.27	6.3	6.25	6.25	1200	EUR	
12/08/2015 00:00	6.25	6.25	6.2	6.22	2652	EUR	
13/08/2015 00:00	6.22	6.28	6.22	6.28	5600	EUR	
14/08/2015 00:00	6.28	6.3	6.26	6.3	2367	EUR	
17/08/2015 00:00	6.3	6.3	6.27	6.27	2336	EUR	
18/08/2015 00:00	6.27	6.27	6.22	6.24	2442	EUR	
19/08/2015 00:00	6.24	6.24	6.22	6.22	1041	EUR	
20/08/2015 00:00	6.22	6.23	6.15	6.17	6513	EUR	
21/08/2015 00:00	6.15	6.15	6.11	6.12	4825	EUR	
24/08/2015 00:00	6	6	5.5	5.86	29036	EUR	
25/08/2015 00:00	5.86	5.88	5.85	5.88	9290	EUR	
26/08/2015 00:00	5.88	5.88	5.82	5.82	14105	EUR	
27/08/2015 00:00	5.83	5.87	5.83	5.85	6666	EUR	
28/08/2015 00:00	5.86	5.87	5.85	5.86	2038	EUR	
31/08/2015 00:00	5.88	5.92	5.88	5.9	3934	EUR	
01/09/2015 00:00	5.95	5.95	5.85	5.88	5500	EUR	
02/09/2015 00:00	5.88	5.88	5.59	5.59	9717	EUR	
03/09/2015 00:00	5.66	5.76	5.66	5.75	2953	EUR	
04/09/2015 00:00	5.77	5.77	5.73	5.73	1240	EUR	
07/09/2015 00:00	5.76	5.76	5.76	5.76	1654	EUR	
08/09/2015 00:00	5.77	5.78	5.65	5.65	16831	EUR	
09/09/2015 00:00	5.65	5.68	5.64	5.68	2897	EUR	
10/09/2015 00:00	5.68	5.73	5.68	5.7	1821	EUR	
11/09/2015 00:00	5.7	5.73	5.68	5.73	1133	EUR	
14/09/2015 00:00	5.73	5.73	5.7	5.73	1148	EUR	
15/09/2015 00:00	5.73	5.75	5.73	5.75	911	EUR	
16/09/2015 00:00	5.8	6.29	5.8	5.98	19597	EUR	
17/09/2015 00:00	6.01	6.28	5.92	6.24	6449	EUR	
18/09/2015 00:00	6.24	6.24	6.1	6.1	2726	EUR	
21/09/2015 00:00	6.17	6.17	6.1	6.15	1630	EUR	
22/09/2015 00:00	6.03	6.03	5.8	5.81	6403	EUR	
23/09/2015 00:00	5.9	5.9	5.81	5.81	1043	EUR	
24/09/2015 00:00	5.81	5.81	5.73	5.78	1419	EUR	
25/09/2015 00:00	5.78	5.89	5.78	5.86	981	EUR	
28/09/2015 00:00	5.87	5.87	5.72	5.72	1577	EUR	
29/09/2015 00:00	5.65	5.71	5.62	5.72	7241	EUR	
30/09/2015 00:00	5.73	5.79	5.72	5.79	2602	EUR	
01/10/2015 00:00	5.79	5.81	5.73	5.79	4193	EUR	
02/10/2015 00:00	5.8	5.81	5.79	5.81	1245	EUR	
05/10/2015 00:00	5.81	6	5.81	5.83	7316	EUR	
06/10/2015 00:00	5.9	5.99	5.86	5.86	1890	EUR	
07/10/2015 00:00	5.86	5.87	5.8	5.81	1268	EUR	
08/10/2015 00:00	5.85	5.9	5.81	5.9	1609	EUR	
09/10/2015 00:00	6.47	6.58	6.25	6.3	82955	EUR	
