date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	117.5	118	117.5	118	43	EUR	
19/05/2015 00:00	118	118	118	118	1	EUR	
20/05/2015 00:00	118	120.5	118	120.5	81	EUR	
21/05/2015 00:00	120.49	120.49	120.49	120.49	1	EUR	
22/05/2015 00:00	120.49	120.49	120.49	120.49	1	EUR	
25/05/2015 00:00	120.49	120.49	120.49	120.49	1	EUR	
26/05/2015 00:00	118.5	118.5	118.5	118.5	16	EUR	
27/05/2015 00:00	118.51	118.51	117.5	117.5	21	EUR	
28/05/2015 00:00	117.51	117.51	117.51	117.51	1	EUR	
29/05/2015 00:00	117.51	117.51	117.51	117.51	1	EUR	
01/06/2015 00:00	117.52	117.52	117.5	117.5	26	EUR	
02/06/2015 00:00	117.5	117.5	117.5	117.5	1	EUR	
03/06/2015 00:00	114.5	114.5	114.5	114.5	58	EUR	
04/06/2015 00:00	113.5	113.5	113.5	113.5	57	EUR	
05/06/2015 00:00	113.5	113.5	113.5	113.5	1	EUR	
08/06/2015 00:00	112.5	112.5	111.5	111.5	41	EUR	
09/06/2015 00:00	111.5	113.5	111.5	113.5	40	EUR	
10/06/2015 00:00	113.49	113.49	113.49	113.49	1	EUR	
11/06/2015 00:00	113.5	115.8	113.5	115.8	81	EUR	
12/06/2015 00:00	115.8	115.8	114.5	114.5	21	EUR	
15/06/2015 00:00	113.5	113.5	113.49	113.49	31	EUR	
16/06/2015 00:00	113.49	113.49	113.49	113.49	1	EUR	
17/06/2015 00:00	112.5	114.5	112.5	114.5	38	EUR	
18/06/2015 00:00	114.49	114.49	114.49	114.49	1	EUR	
19/06/2015 00:00	114.49	114.49	112.5	112.5	21	EUR	
22/06/2015 00:00	112.5	112.5	112.5	112.5	1	EUR	
23/06/2015 00:00	112.5	112.5	111.5	111.5	17	EUR	
24/06/2015 00:00	111.5	111.5	111.5	111.5	5	EUR	
25/06/2015 00:00	111.5	111.5	110.5	110.5	18	EUR	
26/06/2015 00:00	114.5	114.5	114.5	114.5	101	EUR	
29/06/2015 00:00	113.5	113.5	113.5	113.5	21	EUR	
30/06/2015 00:00	113.5	113.5	113.5	113.5	1	EUR	
01/07/2015 00:00	113.5	113.5	113.5	113.5	1	EUR	
02/07/2015 00:00	113.5	113.5	113.5	113.5	1	EUR	
03/07/2015 00:00	113.5	113.5	112.5	112.5	19	EUR	
06/07/2015 00:00	112.51	112.51	112.51	112.51	1	EUR	
07/07/2015 00:00	112.51	112.51	112	112	11	EUR	
08/07/2015 00:00	112.01	112.01	112.01	112.01	1	EUR	
09/07/2015 00:00	112.01	112.01	112.01	112.01	1	EUR	
10/07/2015 00:00	112.01	112.01	112.01	112.01	1	EUR	
13/07/2015 00:00	112.01	112.01	112.01	112.01	1	EUR	
14/07/2015 00:00	112.01	112.01	112.01	112.01	1	EUR	
15/07/2015 00:00	112.01	112.01	112.01	112.01	1	EUR	
16/07/2015 00:00	112.01	112.01	112.01	112.01	1	EUR	
17/07/2015 00:00	112.01	112.01	112.01	112.01	1	EUR	
20/07/2015 00:00	113.5	113.5	113.5	113.5	20	EUR	
21/07/2015 00:00	113.51	113.51	113.5	113.5	8	EUR	
22/07/2015 00:00	113.5	113.5	113.5	113.5	1	EUR	
23/07/2015 00:00	113.5	113.5	113.5	113.5	1	EUR	
24/07/2015 00:00	113.5	113.5	113.5	113.5	1	EUR	
27/07/2015 00:00	112	112	112	112	21	EUR	
28/07/2015 00:00	112	112	112	112	1	EUR	
29/07/2015 00:00	112	112	112	112	1	EUR	
30/07/2015 00:00	111.5	111.5	111.5	111.5	21	EUR	
31/07/2015 00:00	110.5	110.5	110.5	110.5	21	EUR	
03/08/2015 00:00	110.5	110.5	110.5	110.5	1	EUR	
04/08/2015 00:00	110.5	115	110.5	115	81	EUR	
05/08/2015 00:00	115	115	115	115	1	EUR	
06/08/2015 00:00	115	115	115	115	1	EUR	
07/08/2015 00:00	115.5	115.5	115.5	115.5	10	EUR	
10/08/2015 00:00	115.49	115.49	115.49	115.49	1	EUR	
11/08/2015 00:00	115.49	115.49	115.49	115.49	1	EUR	
12/08/2015 00:00	115.49	115.49	114	114	88	EUR	
13/08/2015 00:00	114	114	114	114	1	EUR	
14/08/2015 00:00	114	114	114	114	1	EUR	
17/08/2015 00:00	113.99	113.99	113.99	113.99	1	EUR	
18/08/2015 00:00	113.99	113.99	113.99	113.99	1	EUR	
19/08/2015 00:00	113.99	113.99	113.99	113.99	1	EUR	
20/08/2015 00:00	113.99	113.99	113.99	113.99	1	EUR	
21/08/2015 00:00	113.99	114	113.99	114	61	EUR	
24/08/2015 00:00	114	114	114	114	1	EUR	
25/08/2015 00:00	114	114	114	114	1	EUR	
26/08/2015 00:00	114	114	114	114	1	EUR	
27/08/2015 00:00	114	114	114	114	1	EUR	
