date	ouv	haut	bas	clot	vol	devise	
25/05/2015 00:00	3.85	3.85	3.85	3.85	0	EUR	
27/05/2015 00:00	3.85	3.85	3.85	3.85	162	EUR	
28/05/2015 00:00	3.85	3.85	3.85	3.85	0	EUR	
09/06/2015 00:00	3.7	3.7	3.7	3.7	250	EUR	
10/06/2015 00:00	3.6	3.6	3.6	3.6	250	EUR	
11/06/2015 00:00	3.7	3.7	3.7	3.7	0	EUR	
19/06/2015 00:00	3.7	3.7	3.7	3.7	12	EUR	
24/06/2015 00:00	3.51	3.51	3.51	3.51	0	EUR	
29/06/2015 00:00	2.85	2.85	2.85	2.85	0	EUR	
03/07/2015 00:00	2.88	2.88	2.88	2.88	3	EUR	
06/07/2015 00:00	3.11	3.11	3.11	3.11	200	EUR	
07/07/2015 00:00	2.88	2.88	2.88	2.88	100	EUR	
08/07/2015 00:00	2.9	2.9	2.9	2.9	0	EUR	
10/07/2015 00:00	2.9	2.9	2.9	2.9	63	EUR	
13/07/2015 00:00	2.32	2.32	2.32	2.32	0	EUR	
17/07/2015 00:00	2.9	2.9	2.9	2.9	500	EUR	
20/07/2015 00:00	2.89	2.89	2.89	2.89	227	EUR	
21/07/2015 00:00	2.91	2.91	2.91	2.91	0	EUR	
23/07/2015 00:00	2.87	2.87	2.87	2.87	0	EUR	
03/08/2015 00:00	2.8	2.8	2.8	2.8	0	EUR	
06/08/2015 00:00	2.8	2.8	2.8	2.8	158	EUR	
07/08/2015 00:00	2.5	2.5	2.5	2.5	136	EUR	
11/08/2015 00:00	2.45	2.45	2.45	2.45	18	EUR	
12/08/2015 00:00	2.51	2.51	2.51	2.51	0	EUR	
14/08/2015 00:00	2.51	2.51	2.51	2.51	100	EUR	
17/08/2015 00:00	2.52	2.52	2.52	2.52	0	EUR	
19/08/2015 00:00	2.64	2.64	2.64	2.64	0	EUR	
24/08/2015 00:00	2.64	2.64	2.64	2.64	7	EUR	
25/08/2015 00:00	3	3	3	3	0	EUR	
02/09/2015 00:00	3.5	3.5	3.5	3.5	1500	EUR	
03/09/2015 00:00	3.5	3.5	3.5	3.5	0	EUR	
17/09/2015 00:00	2.56	2.56	2.56	2.56	0	EUR	
02/10/2015 00:00	2.56	2.56	2.56	2.56	300	EUR	
06/10/2015 00:00	2.5	2.5	2.5	2.5	1	EUR	
07/10/2015 00:00	2.5	2.5	2.5	2.5	0	EUR	
09/10/2015 00:00	2.65	2.65	2.65	2.65	9700	EUR	
14/10/2015 00:00	3.2	3.2	3.2	3.2	186	EUR	
15/10/2015 00:00	3.45	3.45	3.45	3.45	196	EUR	
16/10/2015 00:00	3.3	3.3	3.3	3.3	85	EUR	
19/10/2015 00:00	3.35	3.35	3.35	3.35	0	EUR	
21/10/2015 00:00	3.36	3.36	3.36	3.36	15073	EUR	
22/10/2015 00:00	3.36	3.36	3.36	3.36	0	EUR	
02/11/2015 00:00	2.69	2.69	2.69	2.69	0	EUR	
05/11/2015 00:00	3.49	3.49	3.49	3.49	1173	EUR	
06/11/2015 00:00	4	4	4	4	3164	EUR	
09/11/2015 00:00	4.51	4.51	4.51	4.51	4340	EUR	
10/11/2015 00:00	4.7	4.7	4.7	4.7	3756	EUR	
11/11/2015 00:00	4.2	4.2	4.2	4.2	1875	EUR	
12/11/2015 00:00	4.2	4.2	4.2	4.2	1408	EUR	
13/11/2015 00:00	4.2	4.2	4.2	4.2	2706	EUR	
16/11/2015 00:00	4.1	4.1	4.1	4.1	700	EUR	
