date	ouv	haut	bas	clot	vol	devise	
21/09/2017 00:00	6.5	6.5	6.5	6.5	0	EUR	
13/10/2017 00:00	12.7	12.7	12.7	12.7	150	EUR	
03/11/2017 00:00	7.01	7.01	7.01	7.01	9	EUR	
07/11/2017 00:00	6.99	6.99	6.99	6.99	0	EUR	
09/11/2017 00:00	10.2	10.2	10.2	10.2	0	EUR	
01/12/2017 00:00	7.45	7.45	7.45	7.45	8	EUR	
16/02/2018 00:00	15.4	15.4	15.4	15.4	3	EUR	
20/03/2018 00:00	18.3	18.3	18.3	18.3	0	EUR	
19/04/2018 00:00	17.6	17.6	17.6	17.6	0	EUR	
23/04/2018 00:00	12.2	12.2	12.2	12.2	60	EUR	
24/04/2018 00:00	14.3	14.3	14.3	14.3	30	EUR	
25/04/2018 00:00	12	12	12	12	0	EUR	
02/05/2018 00:00	12	12	12	12	0	EUR	
08/05/2018 00:00	12.5	12.5	12.5	12.5	0	EUR	
05/06/2018 00:00	10.8	10.8	10.8	10.8	0	EUR	
12/06/2018 00:00	9.8	9.8	9.8	9.8	0	EUR	
