date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	89.06	89.06	89.06	89.06	76	EUR	
19/05/2015 00:00	89.06	89.06	89.06	89.06	1	EUR	
20/05/2015 00:00	89.71	89.71	89.71	89.71	1	EUR	
21/05/2015 00:00	89.71	89.71	89.71	89.71	1	EUR	
22/05/2015 00:00	89.71	89.71	88.22	88.22	16	EUR	
25/05/2015 00:00	88.22	88.22	88.22	88.22	74	EUR	
26/05/2015 00:00	87.39	87.39	87.39	87.39	60	EUR	
27/05/2015 00:00	87.39	87.39	86.63	86.63	152	EUR	
28/05/2015 00:00	86.75	86.75	86.75	86.75	192	EUR	
29/05/2015 00:00	83.6	83.6	83.52	83.52	145	EUR	
01/06/2015 00:00	83.52	83.52	83.52	83.52	1	EUR	
02/06/2015 00:00	83.53	83.53	83.53	83.53	1	EUR	
03/06/2015 00:00	84.99	84.99	84.99	84.99	1	EUR	
04/06/2015 00:00	84.99	84.99	84.99	84.99	11	EUR	
05/06/2015 00:00	83.52	83.52	83.52	83.52	40	EUR	
08/06/2015 00:00	83.52	83.52	83.52	83.52	1	EUR	
09/06/2015 00:00	83.52	83.52	83.52	83.52	1	EUR	
10/06/2015 00:00	83.52	83.52	83.52	83.52	26	EUR	
11/06/2015 00:00	83.52	83.52	83.52	83.52	1	EUR	
12/06/2015 00:00	83.52	83.52	83.52	83.52	1	EUR	
15/06/2015 00:00	83.52	83.52	83.52	83.52	1	EUR	
16/06/2015 00:00	83.52	83.52	83.52	83.52	33	EUR	
17/06/2015 00:00	83.52	83.52	83.52	83.52	725	EUR	
18/06/2015 00:00	83	83	82.6	82.6	69	EUR	
19/06/2015 00:00	82.5	82.5	82.5	82.5	55	EUR	
22/06/2015 00:00	82	82	81.01	81.01	66	EUR	
23/06/2015 00:00	81.01	81.01	81.01	81.01	1	EUR	
24/06/2015 00:00	81.01	81.98	81.01	81.98	60	EUR	
25/06/2015 00:00	81.98	81.98	81	81	64	EUR	
26/06/2015 00:00	81	81	81	81	110	EUR	
29/06/2015 00:00	81	81	81	81	6	EUR	
30/06/2015 00:00	81	81	80	80	52	EUR	
01/07/2015 00:00	80	80	80	80	4	EUR	
02/07/2015 00:00	79.22	79.22	79.22	79.22	35	EUR	
03/07/2015 00:00	79.22	79.22	79	79	10	EUR	
06/07/2015 00:00	79	79	78.01	78.01	121	EUR	
07/07/2015 00:00	75.2	75.2	73.51	73.51	466	EUR	
08/07/2015 00:00	73.5	73.5	72.51	72.51	194	EUR	
09/07/2015 00:00	79.22	81.2	79.22	81.2	1501	EUR	
10/07/2015 00:00	81.2	81.2	81.2	81.2	1	EUR	
13/07/2015 00:00	81	81	81	81	35	EUR	
14/07/2015 00:00	81.5	81.5	81.5	81.5	3	EUR	
15/07/2015 00:00	81.5	81.5	81.5	81.5	1	EUR	
16/07/2015 00:00	81.56	81.56	81.56	81.56	51	EUR	
17/07/2015 00:00	82.6	82.6	82.6	82.6	78	EUR	
20/07/2015 00:00	82.69	82.69	82.69	82.69	1	EUR	
21/07/2015 00:00	82.69	82.69	81.5	81.5	74	EUR	
