date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	64	64	64	64	51	EUR	
19/05/2015 00:00	63.99	63.99	62.65	62.65	182	EUR	
20/05/2015 00:00	62.65	63	62.65	63	16	EUR	
21/05/2015 00:00	63	63	63	63	1	EUR	
22/05/2015 00:00	63	63	63	63	1	EUR	
25/05/2015 00:00	63.35	63.35	63.35	63.35	51	EUR	
26/05/2015 00:00	63.35	63.35	63.35	63.35	30	EUR	
27/05/2015 00:00	63.35	64	63.35	64	46	EUR	
28/05/2015 00:00	63.65	63.65	63.65	63.65	7	EUR	
29/05/2015 00:00	61.5	61.75	61.5	61.75	51	EUR	
01/06/2015 00:00	61.75	62	61.75	62	64	EUR	
02/06/2015 00:00	61.99	61.99	61.99	61.99	1	EUR	
03/06/2015 00:00	61.99	61.99	61.99	61.99	1	EUR	
04/06/2015 00:00	61.99	61.99	61.99	61.99	1	EUR	
05/06/2015 00:00	61.99	61.99	61.99	61.99	9	EUR	
08/06/2015 00:00	61.14	61.14	61.14	61.14	76	EUR	
09/06/2015 00:00	60.99	60.99	60.99	60.99	1	EUR	
10/06/2015 00:00	60.99	60.99	60.99	60.99	1	EUR	
11/06/2015 00:00	61	61	61	61	6	EUR	
12/06/2015 00:00	61	61	61	61	40	EUR	
15/06/2015 00:00	60.98	60.98	60.98	60.98	1	EUR	
16/06/2015 00:00	60.63	60.63	60.63	60.63	26	EUR	
17/06/2015 00:00	60.62	60.62	60.62	60.62	1	EUR	
18/06/2015 00:00	60.27	60.27	60.27	60.27	26	EUR	
19/06/2015 00:00	60.27	60.27	60.27	60.27	1	EUR	
22/06/2015 00:00	60.63	60.63	60.63	60.63	175	EUR	
23/06/2015 00:00	60.61	60.61	60.61	60.61	1	EUR	
24/06/2015 00:00	60.3	60.3	60.3	60.3	41	EUR	
25/06/2015 00:00	59.45	59.45	59.45	59.45	101	EUR	
26/06/2015 00:00	59.45	59.45	59.45	59.45	21	EUR	
29/06/2015 00:00	59.44	59.44	59.44	59.44	1	EUR	
30/06/2015 00:00	59.44	59.44	59.44	59.44	14	EUR	
01/07/2015 00:00	59.43	59.45	59.43	59.45	91	EUR	
02/07/2015 00:00	59.43	59.43	59.42	59.42	27	EUR	
03/07/2015 00:00	59.41	59.41	59.41	59.41	1	EUR	
06/07/2015 00:00	59.41	59.41	59.41	59.41	26	EUR	
07/07/2015 00:00	59.41	59.41	59	59	35	EUR	
08/07/2015 00:00	59	59	58.15	58.15	40	EUR	
09/07/2015 00:00	58.15	58.15	58.15	58.15	33	EUR	
10/07/2015 00:00	57.8	58.15	57.8	58.15	35	EUR	
13/07/2015 00:00	58.15	58.15	58.15	58.15	1	EUR	
14/07/2015 00:00	58.15	58.15	58.15	58.15	1	EUR	
15/07/2015 00:00	58.15	58.15	58.15	58.15	1	EUR	
16/07/2015 00:00	60	60.5	60	60.5	251	EUR	
17/07/2015 00:00	60.39	60.39	60.39	60.39	1	EUR	
20/07/2015 00:00	60.4	60.4	60.4	60.4	257	EUR	
21/07/2015 00:00	60.4	60.4	60.4	60.4	1	EUR	
22/07/2015 00:00	60.05	60.05	59.55	59.55	40	EUR	
23/07/2015 00:00	60.4	60.4	58.7	58.7	209	EUR	
24/07/2015 00:00	58.7	59.04	58.7	59.04	66	EUR	
27/07/2015 00:00	59.21	59.21	59.21	59.21	1	EUR	
28/07/2015 00:00	59.19	59.19	58.4	58.4	121	EUR	
29/07/2015 00:00	58.39	58.39	58.39	58.39	1	EUR	
30/07/2015 00:00	58.38	58.38	58.38	58.38	1	EUR	
31/07/2015 00:00	58.38	58.38	58.38	58.38	1	EUR	
03/08/2015 00:00	58.38	58.38	58.1	58.1	6	EUR	
04/08/2015 00:00	57.98	57.98	57.98	57.98	1	EUR	
05/08/2015 00:00	58.3	58.3	58.3	58.3	51	EUR	
06/08/2015 00:00	58.4	58.4	58.4	58.4	568	EUR	
07/08/2015 00:00	58.39	58.39	58.39	58.39	51	EUR	
10/08/2015 00:00	58.4	58.4	58.4	58.4	78	EUR	
11/08/2015 00:00	58.39	58.39	58.39	58.39	1	EUR	
12/08/2015 00:00	58.39	58.39	58.39	58.39	1	EUR	
13/08/2015 00:00	58.39	58.39	58.39	58.39	1	EUR	
14/08/2015 00:00	58.39	58.39	58.04	58.04	11	EUR	
17/08/2015 00:00	58.04	58.04	57.69	57.69	38	EUR	
18/08/2015 00:00	57.69	57.69	57.69	57.69	1	EUR	
19/08/2015 00:00	57.69	58.04	57.69	58.04	16	EUR	
20/08/2015 00:00	57.19	57.19	57.19	57.19	51	EUR	
21/08/2015 00:00	57	57	57	57	21	EUR	
24/08/2015 00:00	56	56	55.05	55.05	36	EUR	
25/08/2015 00:00	55.06	55.06	54.8	54.8	130	EUR	
26/08/2015 00:00	54.2	54.2	53.45	53.45	248	EUR	
27/08/2015 00:00	53.15	53.15	52.6	52.6	248	EUR	
28/08/2015 00:00	52.25	52.25	51.75	51.75	261	EUR	
31/08/2015 00:00	53	53	52.5	52.5	261	EUR	
01/09/2015 00:00	52.99	52.99	52.99	52.99	236	EUR	
02/09/2015 00:00	52.99	53	52.99	53	400	EUR	
03/09/2015 00:00	53	53	53	53	301	EUR	
04/09/2015 00:00	53	53	52.95	52.95	221	EUR	
07/09/2015 00:00	52.75	52.75	52.75	52.75	218	EUR	
08/09/2015 00:00	53	53	53	53	101	EUR	
09/09/2015 00:00	53	53	52.01	52.01	861	EUR	
10/09/2015 00:00	52.02	52.02	52.01	52.01	91	EUR	
11/09/2015 00:00	51.29	51.29	50.9	50.9	211	EUR	
14/09/2015 00:00	50	50	48	48	595	EUR	
15/09/2015 00:00	47.4	47.4	47	47	826	EUR	
16/09/2015 00:00	47	47.4	47	47.4	1101	EUR	
17/09/2015 00:00	47.05	47.05	47	47	1233	EUR	
18/09/2015 00:00	47.35	47.35	47.34	47.34	31	EUR	
21/09/2015 00:00	47.69	47.69	47.69	47.69	106	EUR	
22/09/2015 00:00	47	47	45.75	45.75	1834	EUR	
23/09/2015 00:00	45.76	45.76	45.4	45.4	126	EUR	
24/09/2015 00:00	45.4	45.4	45	45	155	EUR	
25/09/2015 00:00	44.4	44.4	43.4	43.4	1146	EUR	
28/09/2015 00:00	43.05	43.05	42	42	690	EUR	
29/09/2015 00:00	41.95	41.95	41.45	41.45	1056	EUR	
30/09/2015 00:00	41.1	41.1	41	41	218	EUR	
01/10/2015 00:00	42	42.5	42	42.5	133	EUR	
02/10/2015 00:00	42.5	42.5	42.5	42.5	150	EUR	
05/10/2015 00:00	44	44	44	44	116	EUR	
06/10/2015 00:00	45.35	45.35	45.35	45.35	211	EUR	
07/10/2015 00:00	45.36	45.36	45.36	45.36	1	EUR	
08/10/2015 00:00	45.36	45.36	45.36	45.36	1	EUR	
09/10/2015 00:00	45.36	45.36	45.36	45.36	86	EUR	
12/10/2015 00:00	49.84	49.84	48.9	48.9	1252	EUR	
13/10/2015 00:00	48	48	48	48	101	EUR	
14/10/2015 00:00	46.85	46.85	46.85	46.85	226	EUR	
15/10/2015 00:00	48	48	48	48	1847	EUR	
16/10/2015 00:00	48	48.35	48	48.35	13	EUR	
19/10/2015 00:00	48.64	48.64	48.64	48.64	26	EUR	
20/10/2015 00:00	48.64	48.64	48.64	48.64	1	EUR	
21/10/2015 00:00	48.64	48.64	48.64	48.64	40	EUR	
22/10/2015 00:00	47.9	48.9	47.9	48.9	183	EUR	
23/10/2015 00:00	48.6	48.6	48.6	48.6	101	EUR	
26/10/2015 00:00	48.25	48.25	48.25	48.25	81	EUR	
27/10/2015 00:00	48.6	48.6	48	48	136	EUR	
28/10/2015 00:00	48	48	48	48	1	EUR	
29/10/2015 00:00	47.65	47.65	47.65	47.65	51	EUR	
30/10/2015 00:00	47.65	47.65	47.65	47.65	41	EUR	
02/11/2015 00:00	48	48	48	48	41	EUR	
03/11/2015 00:00	47.65	47.65	47.65	47.65	358	EUR	
04/11/2015 00:00	47.65	47.65	47.65	47.65	1	EUR	
05/11/2015 00:00	47.64	47.64	47.64	47.64	1	EUR	
06/11/2015 00:00	47.64	47.64	47.64	47.64	1	EUR	
09/11/2015 00:00	47.64	47.64	47.04	47.04	135	EUR	
10/11/2015 00:00	47.04	47.04	47.04	47.04	1	EUR	
11/11/2015 00:00	47.38	47.38	47.38	47.38	34	EUR	
12/11/2015 00:00	47.37	47.37	47.03	47.03	61	EUR	
13/11/2015 00:00	46.68	46.68	46.68	46.68	41	EUR	
16/11/2015 00:00	46.68	46.68	46.68	46.68	1	EUR	
17/11/2015 00:00	46.68	46.68	46.68	46.68	148	EUR	
18/11/2015 00:00	46.68	46.68	46.68	46.68	156	EUR	
19/11/2015 00:00	46.68	46.68	46.68	46.68	79	EUR	
20/11/2015 00:00	46.68	46.68	46.68	46.68	1	EUR	
23/11/2015 00:00	46.68	46.68	46.68	46.68	1	EUR	
24/11/2015 00:00	46.68	46.68	46.68	46.68	1	EUR	
25/11/2015 00:00	46.68	46.68	46.68	46.68	1	EUR	
26/11/2015 00:00	46.68	46.68	46.68	46.68	1	EUR	
